country,cleaned_sentences
뉴질랜드,호주 뉴질랜드 최고 이성혁 이원규 백승환 최고 2019 12 16 12 25 10일 호주 뉴질랜드 여행 자다 다녀오다 호주 이성혁 뉴질랜드 남섬 이원규 북섬 백승환 들다 계시다 여행 더욱 아름답다 추억 되어다 친절하다 사고 최선 모습 좋다 추억 더욱 쌓다 좋다 들이다 최고 더욱 이용
뉴질랜드,뉴질랜드 백승환 이원규 쨩입니 12월 16일 25일 호주 뉴질랜드 여행 다녀오다 뉴질랜드 북섬 백승환 친절하다 자상하다 편안하다 여행 즐기다 자다 주다 감동 남섬 이원규 좋다 여행 주다 잊다 정도 좋다 여행 주신 계속 이용 훌륭하다 계시다 여행사 발전 감사하다
뉴질랜드,직원 후기 연합 뉴질랜드 북섬 출장 6일 출장 지역 뉴질랜드 북섬 기간 2019 08 30 2019 09 04 6일 이용 항공 중화항공 2019 08 30 1일 20 45 163 타이페이 탑승 비행 2시간 30분 기내식 2019 08 31 2일 053 브리즈번 환승 대기 1시간 30분 비행 9시간 기내식 브리즈번 도착 동일 비행기 탑승 오클랜드 대기 1시간 30분 비행 2시간 30분 기내식 19 30 오클랜드 도착 첫날 저녁식사 근처 한식당 김치찌개 먹다 호텔 이동 호텔 오클랜드 오클랜드 공항 차량 15분 거리 오클랜드 시내 2012년 12월 오픈 깔끔하다 호텔 호텔 근처 레스토랑 여러 상점 위치 괜찮다 펴다 객실 트윈룸 사용 충분하다 공간 욕실 욕조 불편하다 2019 09 01 3일 마이클 세다 비치 메모 리얼 뉴질랜드 수상 최초 총리 마이클 세다 비치 추모 공원 넓다 잔디밭 공원 내다 보이다 오클랜드 풍경 감상 좋다 마이클 세다 비치 기념 공원 오벨리스크 영국인 이주 오다 원주민 마오리족 경의 세운 미션 베이 미션 베이 오클랜드 시티 해수욕 즐기다 가깝다 오클랜드 시티 미션 베이 가다 길이 유명하다 도로 자전거 조깅 해변 백사 펼쳐지다 해수욕 일광욕 피크닉 좋다 장소 오클랜드 시민 인기 높다 장소 오클랜드 시내 일정 마무리 와이토모 동굴 이동 오클랜드 와이토모 동굴 차량 3시간 정도 소요 되어다 점심식사 이동 중간 스테이크 식당 식사 음식점 대부분 패키지 상품 필수 가다 스테이크 국수 샐러드 커피 음식 좋다 와이토모 동굴 와이토모 마오리 어로 동굴 세계 불가사의 반딧불 동굴 3천만년 형성 석회암 동굴 천장 바닥 종유석 석순 자라다 동굴 자체 일반 동굴 로우 유충 서식 동굴 반딧불 생태 보호 불빛 전혀 동굴 냇물 흐르다 작다 보트 타고 동굴 천정 설치 사공 당기다 운행 방식 진행 동굴 천정 많다 반딧불 이의 모습 신비 로움 자체 와이토모 일정 진행 로토루아 이동 2시간 소요 되어다 저녁식사 뉴질랜드 유명하다 초록 홍합 해산물 좋아하다 만족스럽다 메뉴 해산물 먹다 경우 밑반찬 식사 아쉽다 호텔 로토루아 로토루아 시내 거리 객실 넓다 깔끔하다 객실 호수 보이 저녁 별도 아침 산책 좋다 조식 커피 계란 요리 과일 다양하다 자다 나오다 모든 마음 들다 리조트 2019 09 02 4일 레드우드 수목원 로토루아 근교 레드우드 수목원 쥬라기 공원 반지 제왕 촬영 배경 기도 입구 하늘 가리다 정도 빽빽하다 들다 아름드리 레드우드 고사리 나무 쿠션 느껴지다 정도 걷기 좋다 레드우드 수목원 15분 코스 8시간 코스 다양하다 산책길 색깔 구분 되어다 표지판 따라가다 코스 선택 정도 산책 서울 느끼다 뉴질랜드 맑은 공기 마음껏 즐기다 선물 로토루아 스카이라인 곤돌라 뷔페 로토루아 스카이라인 곤돌라 탑승 해발 900 전망대 올라가다 타우포 화산 대의 화산 활동 형성 되어다 로토루아 호수 전경 감상 뷔페 전망대 전경 아름답다 기억 남아 스카이라인 뷔페 양고기 소고기 스테이크 뉴질랜드 유명하다 초록 홍합 고기 해산물 다양하다 후식 잡채 김치 준비 되어다 한국인 굉장하다 만족 들다 멋지다 식사 그로 농장 뉴질랜드 기르다 농장 트랙터 타고 알파카 먹이 주기 트랙터 오다 내다 간식 주다 모이다 들다 실내 공연장 펼쳐지다 양털 몰이 시범 관람 헤드폰 통해 통역 제공 한국어 선택 설명 들다 가버먼트 가든 가버먼트 가든 로토루아 호수 튀어나오다 작다 반도 세워지다 정원 넓다 잔디밭 꽃들이 아름답다 꾸미다 정원 영국 튜터 양식 지다 빨갛다 건물 건축물 차다 인상 멋지다 로토루아 시민 휴식 널리 이용 로토루아 온천 유명하다 가든 열탕 유황 냄새 나다 폴리 시안 온천 세계 활발하다 활동 일어나고 로토루아 도착 유황 냄새 맡다 로토루아 이름 유황 도시 피부 미용 질병 효과 세계 10 대다 스파 선정 로토루아 호수 바라보다 유황 세계 최고 온천 명성 누리 북섬 관광 들리다 누적 피로 풀기 좋다 온천 이용 수영복 필수 대여 가능하다 2019 09 03 5일 오다 카레 민속촌 오다 카레 실제 마오리 생활 전통 마을 현재 20 가구 대다 째다 지열 온천 증기 구르다 활용 음식 익히다 지열 난방 마을 주민 목욕탕 이용 지열 활동 활발하다 고원 지대 남반구 높이 솟구치다 포호투 간헐천 관광 도중 진흙 물이 끓다 간헐천 솟구치다 모습 산책로 따라가다 관엽 식물 식용식물 자라다 모습 테파 키라 마오리 민속 관람 이식 점심 이식 먹다 이식 지열 이용 음식 찌다 마오리 전통 음식 닭고기 소고기 감자 고구마 고물 당근 양배추 옥수수 디저트 나오다 건강 부담 먹다 재료 괜찮다 음식 담백하다 좋다 2019 09 03 5일 2019 09 04 6일 054 오클랜드 출발 브리즈번 경유 타이페이 타이페이 160 인천 11 15 인천 도착
뉴질랜드,이보 좋다 호주 뉴질랜드 남섬 북섬 강추 이보 좋다 호주 뉴질랜드 남섬 북섬 강추 즐겁다 여행 이끌다 박승 호주 박찬우 뉴질랜드 남섬 변종 뉴질랜드 북섬 감사하다 크라이스트처치 밀포드 사운드 안전하다 운전 해주다 황경수 운전기사 수고 8월 호주 뉴질랜드 여행 망설이다 사진 남기다 멋지다 여행 도전 해보다
뉴질랜드,호주 뉴질랜드 다녀오다 추천 해주다 싶다 후기 안좋다 걱정 나가다 이렇다 설레다 여행객 마음 짖다 밟다 모르다 본인 생계 이해 해달라다 일해 자선 사업 하나요 서비스 받다 싶다 이용 고객 호구 방법 여행 갈수 가요 여행사 이용 고객 답답하다 마음 부모님 환갑 여행 보내다 드리다 불쾌하다 쳐다보다 싫다 광고 명성 주다 사서 치다 먹기 개선 되어다 좋다
뉴질랜드,호주 뉴질랜드 하루 11일 여행 품격 행동 뉴질랜드 남북 호주 11일 일정 여행 쇼핑 많다 뉴질랜드 북섬 쇼핑 뉴질랜드 남섬 쇼핑 호주 시드니 쇼핑 진행 이중 형진 드라이빙 서도 스토리 재미있다 여행 내내 즐겁다 여행 되어다 시드니 조슈아 뉴질랜드 넘어오다 첫날 실망 사례 뉴질랜드 시드니 공항 오전 도착 여행사 게이트 출구 업체 물어 게이트 게이트 데려오다 여행사 일행 다행하다 모든 연락처 가지 가능하다 쇼핑 레스 트롤 거제 명의 일행 많다 쇼핑 지치다 구매 되어다 쇼핑 센터 나오다 싸구려 여행 구매 나다 성격 불쾌하다 언사 남발 모르다 본인 여행 품격 싸구려 만들다 장본인 싶다 마지막 귀국 새벽 일어나다 준비 기다리다 약속 10분 지나 호텔 전화하다 아기 아프다 안되다 핑계 오다 보내다 진짜 문제 최소 약속 이전 전화 예의 쉬다 기본 안되다
뉴질랜드,스케줄 여행 품질 만족스럽다 뉴질랜드 호주 10일 여행 대한항공 이용 뉴질랜드 북섬 남섬 호주 시드니 둘러보다 10일 여행 2019 17 다녀오다 아시아나 항공 이용 경우 인천 시드니 거치다 오클랜드 가게 환승 비행 추가 되어다 도착 첫날 여행 하루 가지 대한항공 직항 오클랜드 도착 여행 일정 도착 첫날 북섬 여행 한국 5월 뉴질랜드 초겨울 알다 한국 북섬 따뜻핶 남섬 차갑다 초가을 늦가을 느끼다 북섬 가나 초록색 구릉 풀밭 사슴 지다 뜯다 먹다 풍경 시원하다 아름답다 미세먼지 파란 하늘 구름 낮다 뜨다 북섬 유명하다 관광지 버스 타고 지나가다 힐링 북섬 첫날 방문 와이토모 동굴 방문 로토루아 유황 민속 공연 여행 화려하다 순수하다 뉴질랜드 체험 북섬 버스 기다 느껴지다 호텔 만족스럽다 식사 좋다 변종 민가 이드 베테 유머 버스 탑승 내내 즐거움 선사 주다 북섬 5월 기온 한국 10월 기온 단풍 들다 시작 시점 북섬 여행 2일 마무리 아침 일찍 오클랜드 퀸즈 랜드 비행기 이동 북섬 모든 색깔 초록 뉴질랜드 남섬 일정 북섬 거리 길다 많다 의미 즐겁다 되어다 5월 중순 남섬 기온 한국 11월 날씨 깊다 가을 가다 얇다 겨울 체온 유지 도움 되어다 가다 단풍 절정 이루다 붉다 물결 맞다 주다 남섬 도착 첫날 퀸즈 랜드 시가지 유네스코 문화유산 등재 마을 둘러보다 세계 최초 번지점프 대가 아름답다 계곡 번지점프 광경 놀랍다 오다 아침 일찍 서두르다 출발 뉴질랜드 피요르드 밀포드 사운드 멀다 다니다 오다 마침 여행 일정 유일하다 내리다 오다 덕분 절벽 타고 흐르다 수많다 폭포수 장관 마주 밀포드 사운드 연중 200일 오다 마르다 마르다 비다 비다 차다 많다 여행지 남섬 하얗다 설산 후커 밸리 계곳 트래킹 산꼭대기 빙산 계곡 빙하 산밑 푸른 나무 어우러지다 내다 부시 아름답다 남섬 아침 출발 크다 라스트 처치 올라가다 중간 중간 명소 두르다 오후 크라이스트처치 시내 크다 아름답다 보태 가든 둘러보다 가지다 남섬 호텔 식사 두루 두루 만족스럽다 뉴질랜드 여행 내내 중간 중간 스테이크 양고기 한식 서다 전혀 불만 없엇습니 10일 여행 돌아오다 몸무게 늘다 늘다 살빼다 걱정 잇다 저녁 6시 크라이스트처치 출발 최신 380 아랍에미리트 항공기 3시간 정도 비행 시드니 공항 내다 주다 4일 동행 안내 해주다 문건 젊다 친절하다 적절하다 관광지 소개 한국 비교 현지 문화 소개 해주다 뉴질랜드 많다 배우다 남섬 색깔 겨울 들다 직전 갈색 호주 시드니 여행 백미 오페라 하우스 부근 황홀하다 야경 블루마운틴 여행 요약 뉴질랜드 비다 따뜻하다 바꾸다 입다 김세준 현지 20년 거주 베테 호주 시드니 많다 안내 보여주다 도착 첫날 선택 옵션 야경 보지 시드니 아름답다 반도 느끼다 오다 듭니 시드니 호주 그랜드캐년 불리다 블루마운틴 가다 종이 아찔하다 스카이 기구 타고 블루마운틴 구경 오후 반다이 비치 두르다 호주 워낙 크다 나라 명소 멀리 떨어지다 관계 시드니 두르다 여행 일정 뉴질랜드 비다 화려하다 약하다 전체 일정 가지 아쉽다 시드니 호텔 비다 좁다 정도 북섬 남섬 시드니 번의 쇼핑 물건 판매 강요 현지 품질 상품 많다 가격 싸다 여유 일행 여러 상품 구매 전반 스케쥴 자다 짜이다 현지 항공 이동 스케쥴 허비하다 적다 호텔 음식 만족스럽다 평가 점수 라면 80 충분하다 여행 현지 들다 뉴질랜드 6월 한국 관광객 오다 수기 좋다 상품 설계 해주다 감사 드리다 일행 10 건강하다 내내 행복하다 바라다
뉴질랜드,직원 후기 2019 03 13 20 뉴질랜드 출장 후기 대한항공 직항 이용 8일 일정 다녀오다 1일 대한항공 타고 뉴질랜드 오클랜드 국제공항 가다 비행기 17시 05분 출발 터미널 15시 도착 카운터 오스 크다 체크 진행 수하물 보내다 기내 자리 물병 일회용 슬리퍼 치약 칫솔 들다 파우치 담요 헤드셋 별도 출발 승무원 나누다 기내식 나오다 출발 1시간 지나다 기내식 나오다 메뉴 비빔밥 중국 요리 양식 고리 준비 선택 먹다 도착 2시간 나오다 기내식 희다 쌀죽 오믈렛 선택 2일 오클랜드 도착 비행기 내리다 도착 면세점 유심 구매 가능하다 도착 면세 지나다 입국심사대 우리나라 자동 출입국심사 해당 서다 입국심사대 통과 위탁 수하물 찾다 찾다 검역 통과 검역 까다롭다 육류 가공품 과일 야채 물품 통과 크게 문제 수하물 들다 모든 보안 검색 통과 입국 나가다 국내선 갈아타다 크라이스트처치 가야 국제선 터미널 오스 크다 수속 위탁 수하물 셀프 드랍 부친 국내선 터미널 도보 이동 크라이스트처치 도착 베트남 식당 식사 핸머스프링스 차로 이동 핸머스프링스 호텔 마크 인증 호텔 호텔 체크 방문 시설 돌아보다 체험 뉴질랜드 국가 운영 뉴질랜드 크다 온천 온천 지인 추천 해주다 근처 레스토랑 방문 저녁식사 3일 호텔 조식 스크럼 토마토 베이컨 소시지 버섯 식빵 과일 시리얼 준비 되어다 기본 형태 조식 오전 8시 카이코우라 출발 10시 15분 카이코우라 도착 점심 간단하다 주변 둘러보다 특별하다 카이코우라 웨일 칭크 루즈 탑승 오다 점심 카페 간단하다 브런치 종류 먹다 식사 웨일 칭크 루즈 12시 이동 간단하다 교육 버스 타고 선착장 이동 탑승 카이코우라 바다 파도 심하다 유명하다 뱃멀미 먹다 탑승 권장 실제 뱃멀미 먹다 탑승 탑승객 3분 멀미 호소 배다 2시간 정도 탑승 탑승 물개 돌고래 고래 관찰 웨일 칭크 루즈 마치다 크라이스트처치 차량 이동 호텔 체크 저녁식사 크라이스트처치 시내 관광 오클랜드 항공 이동 예정 오전 크라이스트처치 테러 발생 크라이스트처치 폐쇄 되어다 급하다 일정 수정 되어다 핸머스프링스 이동 되어다 객실 전날 달리 별채 배정 받다 저녁 핸머스프링스 온천 건너편 위치 레스토랑 식사 4일 크라이스트처치 공항 이용 힘드다 상황 오클랜드 가다 항공 블래넘 탑승 오전 10시 30분 블래넘 출발 점심 중간 카이코우라 들다 식사 블래넘 공항 근처 크다 우디 베이 너리 방문 와인 농장 간단하다 둘러보다 블래넘 공항 규모 작다 공항 블래넘 오클랜드 가다 비행기 배열 오클랜드 도착 호텔 체크 일본 이자 끄다 식당 식사 오클랜드 호텔 버블 욕조 전자레인지 형태 5일 숙박 호텔 호텔 인도 계열 직원 많다 인지 조식 라씨 인도 음식 포함 되어다 조식 네이피어 이동 오전 8시 10분 출발 장거리 이동 10시 화장실 가기 해밀턴 가든 들리다 12시 타우포 위치 새우 요리 점심식사 새우 요리 적다 좋다 점심 식사 20분 후카 폭포 들다 사진 찍다 네이피어 이동 네이피어 오후 3시 30분 도착 네이피어 위치 뉴질랜드 국립 수족관 블루 펭귄 피라냐 악어 키위새 다양하다 담수 육상 동물 호텔 이동 네이피어 호텔 네이피어 퓨전 레스토랑 밀크 허니 저녁식사 5일 일정 종료 메뉴 한국 치킨 한국 돼지고기 요리 메뉴 우리나라 양념치킨 6일 호텔 조식 오전 8시 30분 가넷 사파리 투어 헤이스팅스 이동 오전 9시 15분 2시간 정도 사파리 투어 진행 가넷 사파리 투어 버스 투어 트랙터 투어 트랙터 투어 지난 1월 사고 폐쇄되었 현재 버스 투어 진행 사파리 투어 처치 로드 너리 방문 점심식사 너리 관광 목적 식사 목적 방문 별도 너리 투어 점심식사 네이피어 시내 이동 15시 아르데코 투어 진행 네이피어 1931년 일어나다 지진 아르데코 양식 이용 도시 복구 클래식 도보 이용 투어 상품 차량 1시간 도보 1시간 30분 소요 코스 패키지 진행 클래식 투어 도보 투어 진행 적합하다 클래식 투어 도보 투어 걸리다 중복 내용 아르데코 투어 엘리펀트 레스토랑 이동 저녁식사 엘리펀트 레스토랑 현대 분위기 너리 레스토랑 와인 오다 스테이크 즐기다 7일 오전 7시 30분 호텔 출발 타우포 호수 30분 휴식 11시 30분 호비다 틀다 무비 세트 도착 12시 투어 시작 13시 30분 투어 종료 되어다 뷔페 점심식사 14시 30분 오클랜드 출발 마타 마타 오클랜드 교통체증 심하다 3시간 가까이 소요 되어다 저녁 한식당 방문 마지막 호텔 콥손 호텔 오클랜드 시티 클래스 8일 오전 7시 오클랜드 공항 출발 공항 30분 소요 되어다 공항 도착 대한항공 카운터 수속 진행 공항 우동 라멘 판매 식당 간단하다 조식 먹다 출국 장안 들어가다 출국 보안 검색 통과 액체 버리다 공간 여유 구성 되어다 귀국 편의 기내식 나오다 지연 출발 도착 지연 되어다 도착 정시 1시간 30분 늦다 18시 30분 인천 도착
뉴질랜드,뉴질랜드 기억 주선 지난 3월 10일 뉴질랜드 북섬 다녀오다 통해 동유럽 미국 서부 동남아 나라 다녀오다 뉴질랜드 여행 좋다 기억 아쉽다 기억 좋다 기억 맑은 공기 아름답다 자연 환경 힐링 기회 되어다 직하다 아쉬움 인용 말일 정도 용납 라면 효능 영향 북섬 만족하다 여행 남섬 국내선 비행기 퀸스타운 만나다 되어다 보이다 강릉 한글 피켙 들다 중얼거리다 만나다 다행 버스 타고 가다 북섬 차이 느껴지다 고자세 마음 걸리다 여러가지 7일 마운트 가다 버스 잊다 수가 남섬 버스 이동 길다 많다 가다 평원 평화롭다 넓다 평원 만끽 빙하수 흐르다 보이 시설 물이 안내 빙하수 이용 발전 소란 의문 발전 물의 낙차 이용 터빈 돌리다 평원 어떻다 발전 질문 후회 꾸중 들다 상류 말씀 드리다 아차 참다 맞서다 여행 망치다 중학생 정도 학생 인솔 훈육 교사 인상 느끼다 맞서다 고분고분 따르다 현실 무시 상류 발전소 상류 시설 변전소 송전 소일 여행 궁굼 질문 당연하다 핀잔 주다 착각 마르다 베풀다 주다 배려 여행 내다 내다 안내 받다 여행객 여행객 여행 질서 지키다 의무 당연하다 편안하다 추억 남다 흥겹다 여행 안내 받다 권리 뉴질랜드 여행 기억 갖다 되어다 세명 즐겁다 마음 여행 많다 인연 돌다 북섬 남자 여자 이름 밝히다 싶다 이렇다 성실하다 진심 서비스 칭찬 싶다 여유 마음 스르 어렵다 마디 덧붙이다 70 대다 중반 노인 30 대의 젊다 꾸중 받다 정도 남섬 마음 진정하다 위치 설정 서비스 되새기다 진심 바라다 노랗다 쌓다 명성 우수하다 여행 안내 더욱 정진 발전 충심 기원
뉴질랜드,뉴질랜드 남북 시드니 다녀오다 설레다 마음 기다리다 여행 기대 커다랗다 북섬 도착 만나다 전문 여행 조로 다니다 알러지 나다 생겻 별다르다 대처 의아 진행 여행 괸찬았 솔직하다 불편하다 쇼핑 노골 권유 솔직하다 너무하다 싶다 패키지 런가 남섬 만난 다르다 세심 배려 해주다 챙기다 달라 비교 비교 남섬 길다 버스 투어 재치 자다 이끌다 주셧 고마 웟답 시드니 적절하다 날씨 여행 행복 선사 주엇답니 시드니 만난 젠틀 세심 즐겁다 행복하다 여행 되어다 북섬 계시다 인하다 떨어지다 이미지 말로 이어지다 보이다 여행 다녀오다 쓰다 후기 여행사 이용 처음 여행 다녀오다 아쉽다 이글 올리다
