country,cleaned_sentences
대만,대만 여행 오다 대만 여행 행복 사랑 힐링 여행 아름답다 추억 만들다 장성 친절하다 관광지 설명 감사하다
대만,4일 대만 몇번 패키지 가보다 괜찮다 부모님 모시 처음 해외여행 다리 불편하다 기다 4일 대만 호텔 츄토 프라자 호텔 타이페이 시내 1시간 가량 떨어지다 타오위안 외곽 모든 일정 타이페이 거치다 론데 잡다 의문 낭비 단체 관광 위주 호텔 실내 크다 들어가다 쿰쿰하다 냄새 올라오다 낡다 괜찮다 넓다 난방 커버 추다 조식 쓰레기 먹다 소세지 계란 냄새 나다 시리얼 먹다 특급 호텔 글자 자다 모르다 나이 신분 일행 나이 배정됫는 모르다 인상 그닥 농담 그닥 설명 해주다 졸리다 죽다 알다 물건 팔다 추억 팔다 모르다 물건 팔다 좋다 버스 팔다 기사 여행사 드리다 안사면 강매 수준 분위기 조성 중간 옵션 상품 맛사지 받다 버스 30분 기다리다 1시간 가량 소요 되어다 주변 관광 오라 좋다 관광 짧다 수박 핥다 식이 많다 지우펀 기념품 사다 많다 요일 30분 주다 여유롭다 즐기다 해주다 뛰어다니다 사다 사다 여기다 좋다 이렇다 계약 되어다 가게 장창 가다 인터넷 많다 정보 이렇다 구식 여행 식사 전반 맛없다 맛집 많다 맛집 고르다 첫날 장통 알다 먹다 중간 화장실 포함 30분 먹다 늦다 눈치 보이 쇼핑 4회 쇼핑 4회 보석 가게 가다 마지막 면세점 공항 굳이 끼다 넣다 넘다 돌맹 지긋지긋 맛집 다니다 아기자기하다 기념품 사다 자유여행 추천 드리다 자유로 다니다 패키지 아웃
대만,지인 큰딸 다녀오다 대만 여행 지인 큰딸 즐겁다 여행 노영 따뜻하다 배려 감사 드리다 일정 들다 노영 감사하다
대만,유휘 선생님 대만 여행 4일 유휘 선생님 포함 11 여행 즐겁다 4일 내내 예보 걱정 되어다 흐리다 날씨 도리어 덥다 적당하다 여행 자다 3일 지우펀 가다 오다 평소 지옥펀 불리다 정도 많다 고생 오다 바람 많다 우산 쓰다 다니다 도리어 구경 나다 101 빌딩 어머님 반응 별로 대신 시먼딩 거리 구경 피사 불리다 동물 모형 된거 잡화 만원 파다 3만 5천원 대만 달러 590달러 정도 주다 모형 자다 구입 화련 가기 쉬다 패키지 열차 타고 자다 다녀오다 박물관 좋아하다 고궁 박물관 설명 자다 듣다 책자 사고 좋다 곳도 교통 좋다 자유여행 가다 고생 수도 편하다 자다 다녀오다 선생님 재미있다 일행 좋다 패키지 좋다 일행 개념 계시 짜증나다 변하다 수도 좋다 선생님 날씨 일행 좋다 여행
대만,복신 덕분 대만 여행 자다 돌아오다 여행 패키지 여행 장점 최대로 살리다 여행 노팁 쇼핑 아침 여유 일어나다 식사 준비 나가다 인상 좋다 착하다 생기다 기사 청소 버스 대기 두다 행선 지로 이동 숙련 복신 야하다 포인트 설명 주시 관광지 나다 장소 식당 관광지 이동 현지 사정 자다 계시다 장소 붐비다 도착 여유 식사 식사 관광 이면 관광 즐기다 모든 분초 다투다 노심초사 식당 버스 기사 분과 연락 애쓰다 주다 비올 확률 100 일기 예보 가운데 서도 가족 남매 연합군 구성 받다 그룹 표현 사이 면서 즐겁다 여행 알다 기차 여행 비행기 여행 편하다 꿀팁 더하다 편안하다 여행 감사하다 여행 자다 지키다 노력 서로 배려 좋다 여행 감사하다 남매 연합군 밤늦다 인천공항 내다 피곤하다 가운데 찾기 바쁘다 작별인사 들다 건강하다 행복하다 바라다 가족 엄마 드림
대만,여행 임기응변 진수 장성 여행 임기응변 진수 장성 손주 여름방학 맞이 2019년 8월 7일 8월 10일 4일 대만 가족 여행 떠나다 집사람 손주 동행 여행 정이 충실하다 여행 비도 저렴하다 신세 지게 되어다 태풍 몰아치다 계절 걱정 많다 도착 2일 8월 8일 05 28 호텔 세면 자갈밭 굴러가다 자동차 흔들리다 건물 흔들다 강도 지진 일어나다 당황 스럽다 별일 도착 3일 태풍 예보 따르다 관공서 휴무 들어가다 공무원 출퇴근 되어다 야류 협곡 기념관 대부분 여행지 출입 통제 긴급 상황 발생 다행 장성 선견자 기지 발휘 일정 자다 조정 따르다 눈앞 재난 피하 여행 일정 빠지다 자다 소화 주다 태풍 예상 첫날 야류 시편 우편 자다 야시장 일정 마무리 화련 지방 출발 삼일 다녀오다 여행 통제 되어다 재난 피하 고맙다 앞서 오거 오신 대부분 관광지 출입 제한 되어다 여행 어렵다 비행기 이륙 대만 하룻밤 묶다 제주도 하루 희다 바위 즐비하다 야류 바닷가 석회석 흐르다 먹다 물들다 흘러나오다 협곡 따르다 닦아지다 도로 나라 비다 특이하다 시편 소원 풀다 날다 중국 샤마니즘 체험 우편 야시장 지방 활기차다 모습 대만 여행 추억 돌리다 현명하다 판단 여행 밝다 해주다 장성 베스트 칭호 주다 류정수
대만,베스트 화진 대만 가족 여행기 적극 추천 화진 대만 가족 여행기 노팁 옵션 쇼핑 화진 대만 여행기 화련 101 타워 국립 고궁 박물관 충렬사 용산사 협곡 타이베이 추다 기륭 스펀 지우펀 차다 흔들다 지우펀 문정 거리 단수이 강변 마오 양가 어른 모시 60 70 생신 기념 서울 비행기 어른 들이다 고려 4시간 미만 그간 이용 해보다 여행 회사 합리 여행사 어른 휴양 관광 쇼핑 옵션 강력하다 요구 노팁 옵션 쇼핑 상품 대만 선택 되어다 부모님 모시 국내 가다 해외 처음 아동 가다 걱정스럽다 불안하다 나날이 지정 한참 검색 정보 후기 나오다 더욱 불안하다 화진 배정 걱정 4일 편안하다 효율 쓸다 알다 지식 많다 재밋 신기하다 대만 평생 들다 듣다 싶다 들어서다 아쉽다 화진 한국 대만 이민 가신 20년 넘으셧데 20년 넘으셧데 한국 전혀 무리 자다 한국 정서 취향 맞다 상황 별로 센스 대박 넘치다 일정 소화 편안하다 시원하다 자다 다녀오다 화진 감사하다 사진 포인트 맞다 찍다 주시 시원하다 주시 유쾌하다 재미나 자다 다녀오다 자리 빌어 감사 드리다 행복하다 항상 부자 대만 시작 앨범 제작 양쪽 돌리다 사진 편집 사진 대신 사진 찍다 대만 여행기 시작 대만 나라 2시간 30분 정도 소요 위치 인천 공항 대만 고고 설레다 긴장 마음 떠나다 한국인 중국인 중국 대만 스케쥴 현지 여행 팀원 상의 조절 편리하다 아끼다 무리하다 범위 조절 숙소 늦다 들어오다 빠지다 일정 편하다 즐겁다 일정 조절 차다 듭니 진짜 자다 들다 여행 다녀오다 잇다 먹다 좋다 추천 해보다 좋다 영업 장사 알다 오해 잇다 전혀 없엇어 추천 해주다 음식 한국 가져가다 선물 진짜 맛있다 풍경 진짜 좋다 사진 배경 포인트 좋다 짱짱맨 여행 떠나다 가족 대기 가지다 할아버지 손자 비행기 뜨다 내리다 모습 설명 주다 여행 시작 되어다 비행 세이 퍼시픽 항공사 래서 걱정 괜찮다 기내식 꼬마 입맛 맞다 자다 먹다 아들 할머니 할아버지 아프다 울면 지루하다 짜다 다행 아프다 먹다 즐겁다 탑승 내리다 걱정 무색 정도 차다 다행 화진 공항 만나다 들다 기다리다 처음 미니 버스 승선 버스 기사 헤어 빵빵 틀다 주다 기다리다 버스 리기 싫다 정도 버스 컨디션 컨디션 좋다 버스 안전 운전 깨끗하다 시원하다 목적지 도착 시원하다 버스 리기 싫다 정도 미리 언급 친절하다 셧구 버스 주다 시원하다 좋다 이효리 웰컴 링크 쥬스 부럽다 한잔 말다 시원하다 버스 처음 도착 우육 팔다 식당 밥때 점심 먼저 먹기 앨범 만들다 찾아보다 대만 먹다 식당 맛집 우육 팔다 우육 딤섬 먹다 비행기 먹다 들다 갈라 싶다 자다 먹다 아들 미도 까다롭다 먹다 싶다 우육 자다 먹다 고수 좋아하다 당연하다 무리 곱다 양가 어른 들다 들다 아시 대만 맛집 먹방 여행 가다 자다 들다 걱정 말다 참고 아기 물통 수저 포크 물티슈 가져가다 계속 달라 마르다 싫다 가지 다니다 잇다 점심 먹다 든든하다 신나다 마음 타이완 국립 고궁 박물관 시원하다 버스 이동 특이하다 이어폰 헤드폰 세트 대여 해주다 목소리 들리다 녹음 실시간 말씀 들렷답니 국립 고궁 박물관 음식물 반입 금지 타이완 국립 고궁 박물관 세계 대다 박물관 우리나라 가깝다 위치 박물관 타이완 들다 명소 국립 고궁 박물 영국 박물관 프랑스 루브르 미술관 어깨 나란하다 세계 박물관 대부분 전시품 중국 송나라 원나라 명나라 청나라 왕조 황실 유물 본래 중국 베이징 고궁 박물 소장 되어다 1948 1949년 국민당 정부 타이완 전해 박물관 20만 6천 넓다 대지 자리 잡고 본관 중국 궁전 양식 건물 녹색 기와 황색 벽면 인상 여러 동의 부속 건물 본관 보이다 중턱 지하 장고 지다 귀중하다 유물 보관 박물관 따지다 오천 역사 중국 보물 미술품 69만 전시 어리다 정도 많다 인기 상설 전시관 전시 도자기 회화 청동 보물 일정 기간 두다 테마 바꾸다 전시 진짜 갖다 싶다 아름 담다 진귀하다 보물 놀랍다 설명 듣다 싶다 공부 설명 재미있다 즐겁다 해주다 진짜 유물 설명 듣다 싶다 역사 전통 유물 구경 차로 이동 충렬사 설명 인용 1969년 완공 충렬사 그랜드 호텔 위치 푸른 등지 지룽허 세워지다 건축 양식 중국 베이징 자금성 화전 모방 웅장 아름답다 건축물 열사 정의 목숨 바치다 두려움 정신 상징 1만 평의 푸른 잔디밭 배경 엄숙하다 분위기 조성 건축물 장엄하다 더욱 돋보이다 충렬사 중화민국 건국 전의 혁명 열사 비롯 항일 투쟁 국공 내전 희생 33만 장병 위패 봉안 애국 정신 기리 충렬사 관람 포인트 위병 교대 정문 지키다 위병 항상 마네킹 꼿꼿하다 자세 엄숙하다 표정 유지 1시간 열리다 교대 본당 정문 100 거리 행진 힘차다 절도 동작 총검술 선보이다 충렬사 위병 교대 인기 볼거리 많다 관광객 교대 기다리다 사진 찍다 센스 교체 맞다 덥다 고생 기다리다 충렬사 배경 사진 돌아가다 사진 찍다 위병 교대 군인 절도 모슴 멋쪗어 웃다 2시간 서다 차다 대다 덥다 습하다 군기 위엄 겠다 크다 주황색 기와집 슬로우 모션 절도 걸어오다 정문 보이다 하얗다 오다 교대 모습 충렬사 위병 교대 버스 용산사 시지 야시장 이동 덥다 4일 오다 희다 오다 좋다 내리다 모르다 우산 우비 가지 다니다 스럽다 간사하다 마음 이란 타고 용산사 이동 용산사 진사 전형 전통 건물 만들어지다 사찰 용산사 관광 인용 타이베이 소규모 사원 거대하다 사원 수많다 사원 흩어지다 용산사 타이베이 사원 오래되다 유명하다 전형 타이완 사원 타이완 오래되다 아름답다 사찰 타이완 자금성 부르다 건륭 3년 지다 사찰 주신 용산사 관세음보살 모시 진사 전형 전통 건물 용의 기둥 중간 기둥 정교하다 아름답다 새기다 사찰 지붕 오리 붙이다 전통 예술 방식 아름답다 색채 유리 자석 장식 되어다 봉황 기린 동물 더욱 특색 주다 불교 도교 유교 중요하다 모시다 종합 사찰 참배 향불 끊다 네모 중심 건물 둘러싸다 구조 반복 사합원 궁전 건물 타이완 전통 사원 건축 극치 보이다 주다 벽면 생생하다 그림 그려지다 석조 정밀 기둥 처마 경계 부분 쓰다 전통 방식 되어다 처음 지다 1738년 자연 재해 화재 여러 차례 파괴 1757년 새롭다 지다 오늘 국가 고적 지정 되어다 많다 관광객 신도 덥다 날씨 소망 기원 가지 기도 모습 신비롭다 보이다 사원 인산 인하다 향냄새 나다 불도 어리다 아들 위험하다 수도 급하다 나오다 시장 넓다 길다 용산사 많다 크다 인산 인하다 아들 달라 난리 눈물 바람 거기 뭐좀 사주다 물총 사주다 쪼금 미안하다 아들 주마 갈다 지다 모르다 야시장 많다 색음 팔고 신기하다 들다 많다 사먹다 이색 음식 먹다 어른 모시 나다 안되다 최대한 건전하다 기성품 먹다 아들 어른 안계셧으 자유롭다 먹다 쪼금 아쉽다 어느덧다 첫날 저물다 갈다 처음 들다 몽골리안 비비큐 먹다 되어다 비비큐 바베큔 크다 원형 본인 고르다 야채 고기 굽다 철판 이식 먹다 그거 뷔페 이용 터지다 실컷 먹다 아들 30 60 대다 70 대다 즐겁다 맛있다 사진 맛있다 먹다 호텔 푸신 호텔 시내 늘다 나오다 놀다 가깝다 택시 가야 거리 정도 무섭다 포기 아들 어른 계시다 기르다 쓰다 나가다 걱정 참다 호텔 깨끗하다 맛있다 괜찮다 벌레 나오다 전혀 못봣어 호텔 현대차 팔다 품다 편의점 유용하다 이용 대만 라면 맜잇어 오다 싶다 아쉽다 수산물 축산물 반입 금지 일정 무리 소화 해피 마무리 되어다 호텔 조식 먹다 차편 화련 이동해 협곡 구경 코스 낯선 나라 이용 기차 신기 한국 글자 한자 기차 애기 짜다 아들 협조 재밌다 열차 타고 차창 구경 한국 질감 새마을호 정도 기분 창밖 풍경 이색 대만 섬나라 중심부 엄청나다 산새 높이 자랑 이뤄지다 기차 가운 지나가다 열차 바다 보이 산도 보이 신기 방귀 객실 풍경 현지 여행객 대화 내용 외국어 당연하다 알다 젊다 남자 학생 자전거 타고 하이킹 가다 기차 만난 또래 여자친구 만나다 내미다 풋풋하다 10 대다 20 대의 모습 창밖 풍경 새롭다 기분 금강산 후경 식사 어른 극찬 풀온 호텔 뷔페 맛있다 셧데 오뎅 튀김 잇다 곱다 음식 잇다 곱다 서비스 좋다 맛있다 깔끔하다 좋다 아들 최고 따다 찾다 지다 스스로 계속 사진 찍다 먹기 바빳네 먹다 싶다 풀온 호텔 뷔페 강추 발도 담그다 자다 오다 해변 깊다 절벽 심해 바다로 떨어지다 가다 오다 목숨 소중하다 여배우 마돈나 뮤비 장소 넓다 광활하다 멀다 발치 보이다 풍경 몽환 전이 수채 그리다 담묵 표현 구름 그리다 표현 놀랍다 과일 팔다 상인 보이다 팔다 상인 보이다 상인 당연하다 겠다 어리다 손녀 유모차 태우다 때얓볕 내다 찌다 바닷가 앉다 손님 기다리다 노인 내외 레드 바나나 먹다 끄다 맛읍다 망고 추천 해주다 망고 포장 시원하다 먹다 크다 진짜 크다 크다 간혹 가다가 옥돌 진귀하다 돌이 초록색 찾다 열씨 밉다 저리 자갈 해변 돌다 다니다 천신 지나가다 보이다 초록색 옥돌 해변 줄무늬 많다 신기 신기 옥돌 줍다 오다 좋다 부자 팔자 시원하다 버스 테이크 아웃 해오다 망고 먹다 협곡 달리다 한국 산들 보이다 멀리 서다 오다 세상 카메라 광곽 잡히다 한눈 잡히다 연발 버스 가족 여기저기 차창 매달리다 바빳 협곡 높다 돌이 진짜 풍화 비다 떨어지다 위험하다 길이 없어지다 기도 통제 기도 가다 공사 눈치 빠르다 자다 이동 주다 지루하다 자다 맞다 오다 먹다 좋다 맛집 기다리다 먹다 싫어하다 기다리다 해주다 감사하다 쫭입니 화진 위험하다 구간 이나 일반 부분 비경 절경 포인트 내다 사진 찍다 좋다 다녀오다 가다 사진 감동 덥다 시아버지 동영상 찍다 달라 하셧어 영원하다 간직 싶다 셨나바 대만 협곡 스케일 다르다 떨어지다 돌이 진짜 집채 오다 스케일 협곡 화렌 지식 먹다 덥다 체적 간이 쎄다 심심하다 각도 강력 추천 가다 열차 피로하다 구경 들다 자동차 기차 버스 이동 피곤하다 꿀잠 타이베이 도착 지우펀 시작 아침 맞이 지우펀 꼭대기 버스 타고 이동 내려오다 골목 골목 아기자기하다 이국 상점 즐비 허락 구경 사고 싶다 한국 백화점 고가 팔리다 신방 리수 회사 직원 선물 사다 까르푸 사오다 먹다 늘다 확실하다 지우펀 펑리수 맛있다 신방 펑리수 고급 포장 덥다 고급 포장 케이스 유통 기한 정도 가보다 기내 반입 가능하다 늘다 땅콩 아이스크림 오카리나 이색 적다 아들 오리 모양 오카리나 구입 도레미 시도 소리 맑다 좋다 수제 공장 오카리나 곱다 오리 매장 오카리나 박물관 구경 버스 타고 스펀 이동 빨갛다 소원 적다 하늘 높이 올라가다 신기 지우펀 스펀 모양 그네 쇠고리 물고기 술잔 찻잔 사서 오다 그네 술잔 원래 찻잔 소주잔 애용 소원 적다 직원 안내 철길 서다 주의 사항 귀퉁이 잡다 직원 동시 놓다 타지 하늘 자다 뜨다 박자 타이밍 맞다 검다 연기 홀라당 조심하다 먹다 추천 날개 볶음밥 덥다 글쎄 먹다 큰일 쓰다 먹다 싶다 먹다 이서 소원 적다 띄우다 날리다 차다 흔들다 다리 도보 이동 스펀 1918년 일본 광업 회사 석탄 운송 스펀역 건설 타이완 정부 회수 운영 스펀역 시선 제일 크다 1992년 광업 몰락하다 현재 관광 열차 분위기 바꾸다 새롭다 운행 스펀역 지나다 철로 스펀 거리 근접하다 기차 아슬아슬하다 스치다 지나가다 모습 여행자 특이하다 풍경 다가오다 기차 가로지르다 갈다 밝다 어두워지다 변화 다채롭다 스펀 거리 스펀 폭포 정안 다리 철로 여러 명소 살펴보다 다리 광산 광부 그림 흔들다 거리 다리 바퀴 골다 시골 느낌 잇다 곱다 이색 다리 고정 밧줄 치다 아쉽다 생판 모르다 그늘 쉬다 갈다 의자 반갑다 차고 예류 이동 예류 도착 식당 들다 먹다 괴석 즐비하다 국립 야류 해상 공원 가다 사진 보이다 여왕 돌다 2년 훙화 떨어지다 예상 대만 여행 계획 서두르다 시원하다 버스 타고 문정 거리 이동 문정 거리 느낌 강남 명동 거리 과일 사먹다 먼저 손님 기다리다 이동 사지 뭐라다 뭐라다 한참 왓어 버블티 먹다 비싸다 타이완 건물 오래되다 지다 물어보다 대만 사서 벌다 팔지 자다 파다 엄청나다 비싸다 집값 억억 몇몇 백억 깜놀 까르푸 가다 추천 해주다 금문 삿는데 오다 진짜 주가 불구 욕심 많다 쎄다 까르푸 삿었는데 대만 면세점 가다 멋지다 선물 사다 까오 딤섬 저녁 먹엇어 코스 중식 분위기 친절하다 어떻다 입맛 늘다 묻다 다행 점심 70 만족하다 저녁 식사 절판 나오다 만두 새우 딤섬 반찬 잇다 추다 관발 맛사지 좋다 여행 여독 충분하다 풀다 주다 맛사지 교차 신경 부분 아프다 끄다 어떻다 치료 주인 아주머니 교포 정도 한국말 진짜 감놀 해보다 편집 앨범 한장 넣다 대만 대표 랜드마크 101 타워 오다 세상 엘이디 모으다 놓다 명품 쇼핑몰 진짜 블링 블링 제일 블링블링 반짝 반짝 아침 진리 대학 옥스포드 마오 들르다 날씨 좋다 아들 요런 명문 학교 대녔으 좋다 빨갛다 머리 드나들다 마오 예쁘다 기도 슬프다 기도 단수이 지역 작다 언덕 웅장 붉다 벽돌 양식 건물 대만 식민 통치 스페인 네덜란드 군사 요지 삼다 청나라 영국 미국 관할 거치다 외국 영사관 역할 바뀌다 건물 본관 영사관 성문 이루어지다 중국 네덜란드 영국 건축 양식 동시 알다 주다 바다 삼은 낭만 단수이 2008년 영화 비밀 촬영 지로 알려지다 단수이 영화 촬영 사랑 항구 도시 불리 기도 단수이 여유 로움 아름답다 석양 이성 고백 좋다 장소 꼽히다 사랑 이루다 단수이 블랙 슈가 먹다 시장 곳도 둘러보다 차다 좋다 마지막 식사 대만 마르다 훠궈 먹다 뷔페 먹다 싶다 훠궈 해먹 맥주 음료 하겐다즈 아이스크림 후식 주다 특징 대만 다녀오다 놀랍다 대만 식당 대부분 김치 먹다 대만 커피 스타벅스 진하다 커피 좋아하다 썻어 어른 쓰다 난리 맥심 믹스 아메리카노 가지 가세 추가 요금 받다 내장 시원하다 얼음 찬물 아쉽다 중국 영향 얼음 시원하다 먹기 어렵다 가족 90 프로 95 프로 만족하다 대만 여행 날씨 리지 친절하다 더불다 안전하다 운전 시원하다 해주다 기사 나다 상냥하다 약속 미팅 지키다 주다 감사하다 즐겁다 다녀오다 대만 여행 노팁 옵션 추천 추천 대만 가다 싶다 말씀 주신 닿다 모르다 정도 만난 여행자 셧다 만남 모르다 기다리다 강력 추천
대만,직원 후기 푸다 푸다 대만 화련 2019 07 15 2019 07 19 출장 후기 2019년 푸다 푸다 대만 관광 화련 출장 후기 지역 대만 화련 항공 티웨이항공 기간 2019 07 15 2019 07 19 5일 1일 09 00 공항 미팅 수속 11 15 김포공항 송산 공항 출발 667 기내식 제공 비행 2시간 20분 현지 12 50 송산 공항 도착 대만 1시간 느리다 13 20 간단하다 미팅 송산 공항 화련 버스 이동 촉박하다 관계 버스 간단하다 점심 해결 이동 도로 험준하다 공사 관계 정차 6시간 기다 소요 되어다 바다 절벽 도로 화련 멋지다 경관 자다 내년 1월 대만 선거 맞추다 완공 예정 도로 개통 3시간 정도 단축 하니 2시간 소요 어렵다 기차표 불편하다 해소 예상 19 30 호텔 도착 20 00 원주민 공연 저녁 만찬 호텔 예정 늦다 도착 피곤하다 열정 대만 원주민 아리 흥겹다 전통 공연 맛있다 식사 피곤하다 잊다 즐겁다 꼭대기 위치 호텔 컨디션 청결하다 좋다 내려다보다 오션 야경 장관 2일 08 00 기상 조식 아메리칸 조식 중식 로컬 요리 조화롭다 마련 되어다 09 30 호텔 되어다 근처 글로리 해양 공원 관람 러시아 돌고래 물개 다양하다 볼거리 준비 되어다 케이블카 놀이기구 해양 테마 즐기다 거리 많다 아동 동반 가족 단위 여행객 글로리 숙박 관광 추천 12 00 점심식사 해양 공원 마련 해주다 대만 식사 나오다 우육 만두 일반 식도 주문 들다 14 00 수이 목장 관광 푸른 녹음 초원 신선하다 유제품 아이스크림 요구르트 다양하다 제품 판매 힐링 좋다 15 00 북회귀선 상징 공원 북회귀선 열대 온대 구분 경계 세계 16 개국 거치다 상징 기념비 세계 개다 대만 소재 공원 관광 중국 전통 사상 상징 상징물 크다 주전자 유명하다 상징 16 00 18 00 호텔 도착 호텔 탐방 코스모스 화련 리조트 워터파크 다양하다 놀이 시설 편의 시설 갖추다 굳이 리조트 나가다 즐기다 거리 충분하다 친절하다 호텔 구석구석 기회 좋다 객실 넓다 쾌적하다 객실 천수 나오다 온천 즐기다 넓다 욕조 좋다 18 30 저녁식사 업계 관계자 정보 공유 깊다 식사 자리다 3일 08 00 조식 글로벌 호텔 체인 식당 아메리칸 조식 중식 조화롭다 자다 준비 되어다 음료 담다 두다 냉장 좋다 10 00 친부 지자 스카이 크다 친부 지자 이름 옛날 부인 업다 따르다 절벽 넘어가다 인지도 모르다 사라지다 유래 명칭 아찔하다 절벽 관광지 만들다 강화유리 만들어지다 스카이 크다 코스 태풍 다나스 북상 영향 인하다 입장 통제 되어다 차창 통해 멀리 아쉬움 달래다 11 30 점심식사 화련 해변 위치 싱싱하다 해산물 맛보다 어회 싱싱하다 육질 좋다 좋다 13 30 협곡 관광 이루 협곡 지역 살다 대만 소수민족 이루 거족 이름 유래 화련 지역 관광지 유명하다 침식 작용 의하다 가파른 대리석 산이 흐름 따르다 깎다 좁다 협곡 이루다 지형 석회 섞이다 물이 회색 띄다 특징 18 00 저녁식사 태풍 영향 휴식 화련 지역 유명하다 레스토랑 가다 19 00 동대문 야시장 관광 화련 크다 성문 알다 서울 동대문 야시장 호칭 궁금하다 설명 해주다 기르다 대만 관광 발전 한국 사례 참고 야시장 이름 짓다 한국 동대문시장 따다 쓰이다 워낙 유명하다 대만 야시장 문화 직접 체험 신기하다 파이 버블티 길거리 음식 많다 월미도 연상 사격 놀이기구 즐기다 거리 많다 21 00 호텔 체크 화련 시내 중심 위치 호텔 오래되다 수영장 골프장 시설 자다 갖추다 접근성 편리 만족하다 불편하다 머무르다 4일 11 00 해변 관광 물이 깨끗하다 북두칠성 비치다 정도 맑다 이름 붙이다 푸른 하늘 바다 아름답다 태풍 다나스 영향 가까이 접근 통제 망하다 12 00 수단 관광 해안 절벽 이루어지다 동쪽 해안가 아름답다 풍경 자랑 절벽 어우러지다 푸른 태평양 망하다 13 00 점심식사 화련 기차역 근처 한국인 찾다 식당 점심식사 15 00 화련 컨테이너 스타벅스 방문 컨테이너 붙이다 특이하다 구조 스타벅스 화련 생기다 명소 주목 받다 우리나라 이렇다 특징 분명하다 지점 생기다 좋다 17 00 화련 문화 창의 산업 관람 문화 창의 대만 정부 관심 기울이다 사업 하나로 버려진 공장 모델링 젊다 감각 디자이너 창업 공간 대여 문화 예술 장소 만들다 화련 버려진 산업 탈바꿈 여러가지 소품 먹다 판매 낡다 건물 사용 벽면 전쟁 흔적 총알 흔적 찾아보다 내부 모델링 중이 들어가다 공존 느낌 받다 19 00 저녁식사 호텔 이용 저녁 뷔페 만찬 무제한 생맥주 즐기다 5일 08 00 화련 기차역 도착 화련 송산 공항 이동 기차 이용 기차역 내부 현대 깨끗하다 10 00 송산 공항 도착 13 50 송산 공항 출발 668 17 10 김포공항 도착 해산 5일 대만 화련 출장 돌아보다 출발 걱정 기억 나다 타이베이 거리 화련 지역 5일 일정 생소하다 지진 빈번 일어나다 협곡 볼거리 싶다 마음 설레다 걱정 안고 떠나다 화련 안전 문제 신경 쓰다 태풍 다나스 치면 직접 확인 해안가 해안가 인접 관광지 안전 통제 치가 이루어지다 협곡 볼거리 많다 대만 동부 해안 자다 보존 절벽 푸른 태평양 바다 망하다 시설 자다 갖추다 호텔 리조트 많다 5일 즐겁다 일정 한가지 아쉽다 접근성 문제 타이베이 버스 4시간 30분 기차 2시간 소요 기차표 어렵다 자유여행 접근성 떨어지다 내년 완공 목표 도로공사 중이 내년 1월 개통 버스 1시간 1시간 줄어들다 이처럼 편리하다 접근성 이용 화련 곳곳 아름답다 자연 경관 자다 보여주다 상품 개발 줄어들다 대만 여행 수요 방문 떨어지다 보완 기대하다 5일 화련 출장 후기
대만,잊다 추억 선사 해주다 대만 여행 이인선 감사하다 여행 4일 2일 날씨 흐리다 2일 좋다 날씨 좋다 안좋다 체험 부드럽다 여행 코스 친절하다 안내 장인 장모님 여행 즐겁다 추억 되어다 남다 관광 호텔 숙박 관련 세다 부분 신경 써주다 대만 서도 상세 알다 덕분 대만 좋다 기억 남다 돌아오다 감사하다
대만,엄마 대만 여행 즐겁다 엄마 연세 해외여행 가다 걱정 많다 노팁노 옵션 알아보다 차이다 상품 괜찮다 예약 다녀오다 모로 차다 좋다 여행 숙소 깨끗하다 조식 맛있다 전반 식사 맛있다 일정 타고 다니다 버스 넓다 쾌적하다 좋다 만나다 기분 좋다 여행 힘들다 힘드다 내색 설명 자다 해주시 내리다 맞다 관광객 가족 별로 사진 먼저 찍다 관광지 군데 사진 찍다 엄마 자다 생기다 크시 목소리 좋다 똑똑하다 넘다 만족스럽다 대만 엄마 여행 덕분 든든하다 마음 안심 여행 감사하다 마음 홈페이지 들어오다 남기다 장성규 분만 만날 패키지 여행 마음 놓다 예약 성향 좋다 만난 경험 패키지 여행 엄마 패키지 예약 되어다 엄마 좋다 추억 만들다 해주다 장성규 감사 드리다 감사 드리다
