country,cleaned_sentences
마닐라,마닐라 현우 장님 감사하다 특별하다 첫날 황제 느끼다 총리 느끼다 마닐라 여행 필리핀 인식 바뀌다 되어다 순수하다 자연 경관 간직 폭포 가다 여정 인상 따갑다 이따 따다 호수 여행 여정 원주민 힘들다 작다 손목 잡다 못내 아쉽다 기회 필리핀 방문 싶다 지다
마닐라,4일 필리핀 마닐라 여행 좋다 부부 떠나다 4일 여행 날씨 좋다 즐겁다 경험 오다 따다 분화구 호수 올라가다 조랑말 투어 1시간 30분 폭포 거슬러 카누 타고 올라가다 레프팅 사공 직업 가슴 뭉클하다 선택 옵션 88 스프링 투어 마닐라 시내 마차 투어 새롭다 경험 되어다 가깝다 필리핀 좋다 여행 자다 오다
마닐라,마닐라 4일 여행 후기 마닐라 여행 후기 20190208 2019 02 11 교수 재직 여행 좋아하다 30년 우연찮 여행사 인연 맺다 되어다 동일하다 여행사 여행 되어다 필리핀 여행 66 개국 여행 되어다 역사 피리 한국 도와주다 계기 도와주다 도와주다 건물 현대차 필리핀 많다 과정 필리핀 부강 헀던 과정 부강 크게 발전 내용 필리핀 여성 한국 남성 드라마 좋아하다 과정 한국 모르다 틈틈하다 여행 버스 설명 해주다 인상 필리핀 유명하다 따다 이따 끄다 과정 말타 올라가다 과정 멋있다 상봉 화산 이중 호수 경치 말로 형용 내려오다 어리다 아아 자다 다루다 놀랍다 내려오다 엉덩이 꼬리뼈 부분 쓰라리다 흔들리다 안장 상처 나다 3일 지난 쓰라리다 여행사 꼬리뼈 받다 힐수 수건 엉덩이 받침 준비 여행객 미리 전달 해주다 좋다 폭포 가기 보트 다루다 아저씨 고생 스럽다 안쓰럽다 힘들다 올라가다 폭포 직접 받다 쾌감 이루 내려오다 주다 패댕 치다 달라 헀다 주다 여행사 설명 서다 10 쓰이다 제사 미안하다 느끼다 한국 남원 운영 노천 차다 자다 만들다 놨다 하루 리조트 하루 가다 싶다 정도 자다 설계 필리핀 색다르다 모든 건물 출입구 권총 경비원 출입 보완 검사 실시 보이다 3일 묵다 소피텔 식당 분할 정도 좋다 항상 소티텔 아침식사 정도 많다 무얼 먹다 지다 모르다 처음 신기하다 고르다 먹다 한식 먹다 속이다 여행 다니다 계획 여행객 조정 들다 재치 조정 재치 진행 무난 공항 갈다 세계 다니다 공항 방법 차다 종류 수고 용선 수고 덕분 즐겁다
마닐라,필리핀 마닐라 신은수 덕분 즐겁다 여행 데리 짧다 기간 즐겁다 여행 패키지 여행 중요하다 부분 역할 느끼다 동반 미리 고려 카지노 방문 대신 일정 제안 주다 폭포 카누 따갑다 이따 조랑말 탈때 가족 사진 찍다 주시 세심 모습 인상 깊다 일정 참여 가족 가족 전용 차량 전용 호사 누리다 마닐라 여행 가시다 신은수 만나다 즐겁다 여행 성공하다 것로 멋지다 외모 매너 좋다 항상 손님 배려 주시 모습 좋다
마닐라,마닐라 투어 최악 호텔 조식 1일 아침 순두부 점심 쌈밥 저녁 삼겹살 제육 2일 아침 호텔 조식 점심 쌈밥 저녁 불고기 제육 3일 아침 호텔 조식 점심 항의 항의 지식 필리핀 10년 교민 3일 행온 한식 먹이다 싶다 마지막 한식 동태 찌개 먹다 2일 폭포 투어 끝나다 옵션 온천 되어다 최악 몰다 대형 쇼핑몰 아예 들리다 잡화 사라 잡화 물품 종류 원하다 필리핀 쇼핑 헤어 과자 아예 들다 사려 편의점 들어가다 커미션 일부러 데려가다 계속 쇼핑 어필 걱정 잡화 여행 내내 한국인 패키지 특성 식사 옵션 쇼핑 가지 개도 아깝다 다시다 이렇다 패키지 가다 들다 여행
마닐라,7월 28일 8월 1일 극성 수기 마닐라 여행 7월 28일 8월 1일 극성 수기 마닐라 여행 16 대가족 부모님 어리다 조카 여행 가족 매년 1년 가족 여행 떠나다 현지 신경 쓰이다 부분 자다 만나다 여행 편안하다 기간 내내 불편하다 결론 여행 좋다 만나다 여러가지 편안 불편하다 부모님 자다 케어 주다 고맙다 해주다 박경수 소장 감사 드리다 진행 도와주다 필리핀인 고맙다 쇼핑 강매 옵션 강매 정보 제공 주다 선택 주다 필리핀인 부모님 자다 해주다 고맙다 마음 가족 필리핀 보조 찍다 사진 구매 해주다 정도 필리핀 마닐라 상당하다 덥다 지역 한국 덥다 날씨 적당하다 오다 날씨 폭포 가보다 감상 기다 유일하다 단점 마지막 교통경찰 섭외 빠르다 이동 좋다 현지 박경수 소장 감사하다
마닐라,마닐라 여행 마닐라 여행 최고 여행지 항상 식구 항상 여행 학교 학부모 상담 선생님 엄마 직장 늦다 오다 괴롭다 힘들다 죽다 표현 비밀 노트 알다 넌지시 비밀 노트 보여주다 비밀 노트 학기 부모님 싶다 거짓 표현 노트 부모님 보여주다 맘껏 출하 시작 노트 노트 펼치다 순간 소나기 흘러나오다 선생님 막내딸 엄마 애착 형성 형성 되어다 일도 중요하다 심정 자다 헤아리다 좋다 추억 남다 좋다 제안 추억 해외여행 난뒤 단둘 이의 여행 걱정 근심 많다 배려 많다 예의 바르다 기사 만나다 유쾌하다 즐겁다 여행 늦다 여행 후기 작성 되어다 아담 최고 지루하다 설명 유머 재치 겸비 재미있다 관광 시원하다 여행 끝나다 계속 챙기다 망고 사비 듬뿍 사서 맛있다 들다 고객 웃음꽃 필수 해주다 하루 하루 일정 끝나다 헤어지다 아쉽다 정도 해주다 감사하다 해외 종종 가보다 마지막 공항 간단하다 설명 가시다 아담 가시 들어가다 인사 어떻다 티켓 끊다 자세하다 설명 해주다 친절하다 기사 덕분 단둘 여행 두렵다 걱정 근심 훌훌 날다 버리다 해주다 감사하다 사진 요청 안해 찍다 찍다 진심 모습 감동 담번 여행 식구 가게 아담 기사 만나다 바램 거품 아담 기사 격려 박수 보내다 싶다 해주다 늦다 여행 후기 감사하다 전달 되어다 항상 건강하다 좋다 바라다 해주다
마닐라,마닐라 여행 즐겁다 연휴 이용 3일 03시 15분 비행기 필리핀 마닐라 여행 다녀오다 베네룩스 새벽 비행기 날짜 계산 자다 바람 급하다 필리핀 돌리다 새벽 비행기 낯선 일행 사이 장현 미국 이름 즐겁다 박학 다식 안내 주다 마닐라 곳곳 돌아보다 오다 코코넛 파이 맛보다 열대과일 시식 자다 아쉽다 마닐라 도착 일행 나누다 출발 미리 알다 주다 묵다 호텔 호텔 방역 문제
마닐라,엄마 마닐라 여행기 차장 마이크 하트뿅뿅 감사하다 매일 바쁘다 티비 하늘 일찍 퇴근 씻다 여기저기 채널 돌리다 홈쇼핑 여행 상품 파다 그요 마닐라 거기 국적 기르다 타고 다주 299000원 모르다 전화기 들다 버리다 엄마 마닐라 여행기 서막 열리다 되어다 필리핀 계엄령 위험하다 많다 가다 따오다 마닐라 전혀 위험하다 싶다 위험하다 걱정 계시다 듣다 자다 따라다니다 절대 위험하다 여행 쓸다 아침 비행기 꼭두새벽 일어나서 준비 인천공항 가다 체크 수화물 붙이 미리 문해 놓다 화장품 받다 벌써 탑승 진짜 어떻다 지나가다 지모 모르다 벌써 엄마 하늘 라그 차다 좋다 기내식 주다 음료수 주다 엄마 수다 나누다 벌써 마닐라 도착 마닐라 내리다 덥다 막히다 우기다 오다 걱정 덥다 비도 좋다 덥다 나라 기다 필수 에어콘 빵빵 진짜 오들오들 먼저 금강산 후경 먹다 관광 시작 자다 공원 차장 한국인 간략하다 설명 인증샷 찍다 마이크 현지 가다 사진 찍다 마닐라 대성당 내부 관람 마차 타고 시내 바퀴 돌다 곳곳 내다 인증샷 찍그 재밌다 시내 관광 어요 진심 차장 역사 공부 강추 방송 나오다 쏙쏙 모르다 차장 설명 듣다 나서다 알곘더라그 관광 끝내다 마닐라 중심 자리 잡고 잇다 복합 리조트 카지노 관광 2천 바꾸다 룰렛 30초 2천 하늘나라 가버리다 카지노 오다 즐겁다 즐겁다 지노 나오다 과일 시장 방문 한국 매일 얼리다 해동 망고스틴 먹다 생으로 먹다 10달러 어치 정도 사서 숙소 오다 꼭두새벽 일어나서 비행기 타고 고단 첫날 숙소 오다 씻다 기절 따갑다 따다 화산 가다 일정 날로 9시 로비 이동 따갑다 따다 조랑말 한국 8만원 결재 가다 좋다 처음 동물학대 아예 마음 결재 가다 막상 가보다 선택 관광 무조건 선택 관광 그요 식당 기다리다 다르다 타고 들어가다 조랑말 타고 산꼭대기 올라가다 내려오다 타고 나오다 이모 일정 8만원 포함 되어다 거랍니 가다 식당 쉬다 한국 결재 가시다 저렴하다 막상 타고 넘어가다 조랑말 타고 올라가다 조랑말 미안하다 번은 그요 모르다 알다 선택 관광 올라가다 지안 천지 따갑다 이따 관광 끝내다 마닐라 베이 나이트 투어 산미구엘 마시다 정표 오다 보니파시오 서다 산미구엘 마시다 필리핀 빈부격차 자다 느끼다 한편 나다 들어오다 살다 느끼다 간정 자유시간 주다 글로벌 브랜드 들어오다 진짜 싸다 쇼핑 진심 우리나라 대비 40 넘다 저렴하다 라그 확실하다 면세 달다 안녕 폭포 가다 날로 그날 9시 로비 모이다 폭포 가다 필리핀 명물 부코파이 일명 코코넛 파이 사주다 따끈따끈하다 우리나라 계란빵 부드럽다 맛있다 휴게소 들다 코코넛 쥬스 쥬시 진짜 잇다 휴게소 내다 스타벅스 음료 사다 버스 코코넛 쥬스 진짜 잇다 먹다 차장 쏙쏙 역사 들다 이동 진짜 가다 벌써 도착 그요 도착 점심 먹다 카누 타고 폭포 우비 입다 들다 젖다 어차피 몽땅 젖다 폭포 체험 재밌다 폭포 오다 가다 헬멧 불다 끄다 넘다 재밌다 폭포 체험 끝내다 88 온천 선택 관광 가다 노천온천 시설 크다 우리나라 과자 팔고 우리나라 노래 불다 괜찮다 온천 천안 식당 저녁 먹다 호텔 이동 마지막 비행 오전 7시 로비 여야 씻다 기절 가다 7시 로비 쇼핑 센터 군데 방문 노니 비누 사다 워낙 유명하다 노니 비누 쇼핑 센터 후다닥 방문 4일 고생 해주다 마이크 찍다 사진 출력 해오다 주다 여행 다니다 인화 받다 사진 처음 주다 살다 마이크 4일 따라다니다 고생 이정 지출 추억 사고 좋다 핸드폰 사진 출력 유치하다 좋다 공항 마지막 인사 진짜 아쉽다 여행사 회원 가입 후기 쓰다 100 차장 마이크 해주다 쓸다 나르다 받다 꾹꾹 참고 쓸다 정도 진짜 차장 마이크 좋다 추억 좋다 역사 공부 좋다 신분 좋다 여행 마닐라 가면 차장 마이크 지정 지정 가다 싶다 정도
마닐라,마닐라 패키지 마틴 감솨 20 23일 마닐라 패키지 여행 다녀오다 큰딸 스트레스 위염 자다 먹다 고생 마틴 챙기다 주시 챙기다 자다 마치다 공항 늦다 도착 티켓 잊어버리다 바람 당황 공항 들어오다 마닐라 공항 여권 들어오다 비행기 도와주다 마틴 역사 해박 지식 많다 여행 어리다 제아 연세 많다 어르신 쉬다 들다 재미있다 설명 해주다 쏙쏙 들어오다 솜씨 어떻다 말씀 들리다 모르다 마닐라 여행 가격 대비 가족 좋다 친구 모녀 부부 끼리 가도 좋다 아쉽다 숙소 가격 이쯤 차다 마틴 패키지 구상 거기 좋다 진행 연락 줄다 친구 가보 렵니
