country,cleaned_sentences
미동부,배움 미동 캐나다 여행 추다 겨울 비수 기르다 크다 기대 저렴하다 비용 가다 여행 많다 배우다 평소 관심 자유 나라 미국 사회주의 가미 카나다 정유진 통해 풍부하다 내용 들다 목적 이루다 여행 되어다 기쁘다 사소하다 질문 재미있다 대답 해주다 귀찮다 정도 질문 쏟다 미안하다 싶다 마음 여러가지 질문 공세 가하다 피곤하다 기색 대답 해주다 운전 더불다 설명 뜨겁다 열정 감사 드리다
미동부,미동 캐나다 여행 여러 여행사 비교 보스튼 경유 개인 좋다 선택 다녀오다 정유진 통해 미국 캐나다 역사 문화 새롭다 배우다 재미있다 유익하다 여행 되어다 만족하다 감사 드리다 기다 일정 운전 열심 주시 서비스 준비 해주다 최고 정유진 감사 드리다
미동부,미동 보스톤 캐나다 우드버리 여행기 185 장신 165 여행기 제나 여행 설레임 대감 생기다 마련 185 신인 아들 165 어머니 여행 다니다 10년 넘다 아버지 어머니 여행 다니다 어머니 챙기다 여행 다니다 되어다 2020년 2월 12일 21일 일정 사진 여행 후기 써다 가보다 에프 케네디 공항 도착 호텔 이동 잠들다 일어나서 호텔 로비 기다리다 정유진 여성 알다 남성 반전 버스 인원 적다 20 인승 버스 오다 알다 55 인승 대형 버스 와이파이 터지다 버스 와우 시작 신나다 부러 소리 지르다 호텔 로비 출발 어머니 사진 워싱턴 고고 메릴랜드 고고 정유진 설명 짱짱 위트 짱짱 날쌘돌이 고객 원하다 파악 눈치 빠르다 어머니 더불다 어머님 여러 가족 일행 칭찬 끝내주다 국회의사당 이동 근처 행정시 가지 모이다 백악관 찍다 살짝 이동 스파이더맨 프롬 피터 파커 워싱턴 기념 엘레베이터 갇히다 친구 촬영 인증샷 외할아버지 625 참전용사 화랑 무공훈장 태극 무공훈장 갖다 계시다 국가 유공 자이시 기도 항상 시골 갈다 마자 625 전쟁 얘기 듣다 다가 미국 오다 김영삼 태동 미국 방문 맞다 만들다 국전 참전용사 기념비 경례 올리다 토머스 제퍼슨 기념관 가다 링컨 기념관 가다 링컨 기념관 파르테논 신전 본뜨다 만들다 똑똑하다 미국 위대하다 토머스 제퍼슨 기념관 인증샷 미국 오다 박물관 구경 스미다 소니 박물관 자연사 박물관 인상 코끼리 곰돌이 친한척 2일 일정 완료 3일 나이아가라 이동 미국 경과 캐나다 국경 나이아가라 폭포 겨울 미국 개장 캐나다 서다 일정 헬기 투어 15분 절경 담기다 최고 일부 계시다 일정 재미없다 물이 튀어 얼다 얼음 알갱이 생기다 보이시 나유 굉장하다 장갑 모자 포기 멋지다 사진 노력 대자연 모습 훌륭하다 저녁 그렉 마술 훌륭하다 정유진 인상 마술사 50 대다 80 되어다 웁스 대단하다 정정 3일 계속 열량 음식 호텔 헬스장 들리다 4일 정이 나이아가라 워풀 들어가다 겨울 아쉬움 사진 남기다 달짝 지근 화이트 와인 음미 해보다 사탕 먹다 사고 싶다 건강 보조 식품 사기 참다 점심 스카 이론 나이아가라 폭포 보이다 타워 스테이크 연어 스테이크 좋다 좋다 가다 맛있다 먹다 아이맥스 영화관 피라미드 생기다 춥다 몸녹 영상 가다 한국인 어머니 재다 기분 좋다 토론토 이동 토론토 류현진 선수 이적 토론토 명물 타워 토론토 야구 경기장 어머니 케미 훌륭하다 10년 아들 어무이 여행 경력 나오다 사진 타워 나가다 찍다 재활용 거리 들다 춥다 보이시 씩씩하다 장갑 모자 여유 브이 해보다 캐나다 유명하다 김씨 편의점 포스터 찾다 신분 라면 사진 찍다 의미 대표 사진 삭제 사진 설명 입력 뭉치다 산다 나오다 토론토 간판 스케이트장 변하다 겨울 모습 로움 느끼다 5일 몬트리올 관광 시가지 꺼지다 불꽃 인증샷 대표 사진 삭제 사진 설명 입력 장애 딛다 마라톤 완주 기념비 리얼리티 살리다 노트르담 대성당 웨딩 채플 별칭 가지 랜드마크 끄다 카르 광장 이동 다리 차다 기다 고객 185 랍스터 먹다 크다 맛있다 거리 이쁘다 심취 만세 외치다 6일 일정 퀘벡 이동 이동 추다 동네 이동 해보다 막히다 마지막 퀘벡 윈터 페스티벌 마지막 일정 걸리다 행복하다 구경 정이 몽브랑시 폭포 케이블카 타지 여기다 에피소드 잇다 일찍 오다 일정 들어오다 차문 열리다 나가다 차문 열리다 노부 부의 차갑다 들어오다 유진 뛰다 협조 순간 기지 수능 경험 느끼다 나가다 캐나다 부부 따다 외침 윈터 페스티벌 관련 샤토 프론트 호텔 사진 올리다 드라마 도깨비 촬영 장소 유명하다 365일 내내 크리스마스 도깨비 보신 알다 퀘벡 윈터 페스티벌 마스코트 눈사람 쁘띠 샹플랭 거리 부러지다 계단 유명하다 도깨비 김고은 공유 7일 보스톤 돌아오다 퀸시 마켓 프리덤 트레일 일정 시작 하버드 대학교 동상 신발 만지다 하버드 졸업생 하버드 졸업 교회 나름 졸업사진 찍다 학사모 아쉽다 우드버리 아울렛 가다 발사이즈 300 미국 좋다 나라 로포 슈즈 청바지 선물 동전지갑 어머님 코치 가방 짧다 훌륭하다 미션 수행 저녁 미국 서다 처음 먹다 맥도날드 햄버거 햄버거 세트 한국 야경 구경 설명 필요하다 사진 띄우다 락펠러 센터 다소곳하다 락펠러 광장 만국기 태극기 싸이 말춤 추다 타임스 케어 매년 재야 종소리 겁나다 몰리다 뉴욕 타임스 케어 어느새다 마지막 일정 뉴욕 심장 황소 다해 찍다 자유 여신 맨하탄 사진 덧붙이다 점심 먹다 엠파이어 스테이 빌딩 가다 대표 사진 삭제 사진 설명 입력 어머님 킹콩 붙잡다 맨하탄 한눈 유엔본부 여행객 대표 등록 붙다 사진 대표 인증 진입 40 여행객 유엔본부 들어가다 넬슨 만델라 동상 흑인 관광객 당당하다 사진 찍다 유엔본부 건물 인증샷 홀로 나오다 호텔 프라자 호텔 이영화 자다 찾아보다 케빈 호텔 내부 프론트 물어보다 장면 거기 알다 트럼프 대통령 인생 나오다 뿌듯하다 거리 거닐다 마이크로 소프트 한국 돌아가다 에프 케네디 공항 여행 후기 마무리 지다 만나다 여행 지식 공부 나라 정취 문화 배우다 훌륭하다 정유진 만나다 여행 막히다 다니다 뿌듯하다 더불다 다니다 일행 매너 엄수 싫다 소리 어울리다 좋다 특별하다 정유진 반장 정도 형님 주다 길다 버스 이동 거리 000 대장정 가다 모르다 대화 여행 다니다 좋다 기회 여름철 따뜻하다 기후 오다 덥다 미국 남다 후기 마무리 지다 사진 업로드 써다 사진 보이다 상황 발생 하단 블로그 링크 221824106256 궁금하다 신분 클릭 해주다
미동부,미동 캐나다 여행기 어느덧다 여행 다녀오다 지다 벌써 일주일 흐르다 시차 적응 일상생활 돌아가다 후기 작성 늦다 되어다 후기 작성 이유 11일 추억 잊다 싶다 여행 일행 추억 공유 싶다 2020년 1월 20일 2020년 1월 30일 11일 일정 미동 캐나다 패키지 여행 전역 기념 다녀오다 많다 여행 다니다 미국 캐나다 워낙 넓다 자유여행 들다 패키지 통해 가기 결정 많다 여행사 선택 이유 회사 차별 일정 마음 들다 예약 고객 수가 많다 믿다 갈다 들다 여행 가다 솔직하다 기대 걱정 되어다 불구 공항 고객 픽업 호텔 데리다 유익하다 얘기 해주시 친절하다 민경 해박 지식 브루클린 뉴욕 투어 드라이빙 자다 이끌다 정유진 뉴욕 시내 투어 해주다 정진현 열정 해주다 감사하다 워싱턴 일정 원래 되어다 부득이 사정 인하다 장호 맡다 되어다 장호 재치 유머 수많다 에피소드 호탕 웃음소리 시종일관 웃음 끊다 매일 고객 제공 해주다 분한 건강 챙기다 아프다 고객 상비약 제공 해주다 캐나다 휴게소 호튼 커피 돌리시 랍스터 식사 와인 제공 48 명의 인원 케어 고생 많다 열정 진심 느껴지다 여행 다니다 처음 패키지 여행 다니다 느끼다 중요하다 좋다 일행 만나다 연휴 거치다 10일 정도 마흔 깊다 재미있다 여행 만들다 감사하다 모르다 서울 가족 용인 가족 분당 가족 부산 가족 모든 오다 챙기다 예쁘다 사진 찍다 감사하다 인원 워낙 많다 얘기 나누다 친해지다 부족하다 미국 날짜 한국 돌아가다 날짜 서로 다르다 부득이 인사 드리다 연락처 교환 떠나다 속상하다 좋다 인연 모이다 서로 선하다 영향력 끼치다 깊다 여행 새해 받다 좋다 일만 가득하다 좋다 건강하다 행복하다 바람 아름답다 추억 만들다 일행 인연 뵙다 싶다 훗날 일행 좋다 회상 거리 바람 카톡 아이디 2007 연락 주다 좋다 인연 만들다 나가다 좋다 모든 감사하다
미동부,미동 캐나다 프랭크 테리 우스 진짜 진짜 추하다 교육 좋다 초등 학년 매년 2회 해외 패키지 여행 동남아시아 일본 중국 지역 서유럽 동유럽 북유럽 섭렵 다니다 올해 군대 앞두다 되어다 미동 캐나다 짧다 역사 자원 풍부 인하다 성장 해오다 자본주의 나라 느끼다 싶다 가게 되어다 평소 패키지 여행 다니다 느끼다 자다 만나다 여행 성공하다 수십 번의 들다 만남 직업 만남 헤어지다 당연하다 관계 지나다 여행 인솔 미국 도착 해보다 오신 16 현지 첫날 만난 정진현 차분하다 차도 미니 베다 여행 조용하다 삼일 먼저 오신 들다 합류 51 56 인승 대형 버스 타고 다니다 여행 헐다 많다 인원 여유 좌석 놀란 여행 196 버스 좌석 앉다 분도 힘들다 와중 프랭크 테리 우스 호웅 바뀌다 많다 인원 불편하다 알다 버스 여행 이분 성적 안내 박학 다식 역사 재미있다 유머 인하다 즐거움 웃음 가득하다 카아 1월 현지 여행 생일 오신 3분 케잌 사각 커다랗다 케잌 다가 잔치 해주시 일일이 가정 신경 써주다 모습 친척 오빠 동생 모습 직업 정신 인하다 만남 가족 신경 써주다 모습 느끼다 짧다 솜씨 나마 칭찬 써다 겠다 마음 가지 되어다 프랭크 테리 우스 많다 하버드 대학 일정 진짜 대단하다 나르다 알다 궁금하다 신분 여행 일정 만나다 추천 추천 드리다 마지막 먼저 국가 16 명팀 하루 한국 가다 프랭크 테리 우스 전날 타임스퀘어 마지막 아쉽다 작별인사 헤어지다 공항 멋지다 모습 프랭크 테리 우스 배웅 오다 마지막 감동 주다 가족 느끼다 감사하다 여행 적다 멋지다 프랭크 테리 우스 새해 받다 자다 바라다
미동부,미동 캐나다 일주 장호 덕분 즐겁다 추억 쌓다 미동 부와 캐나다 패키지 상품 다녀오다 짜릿하다 나이아가라 폭포 뉴욕 타임스 퀘워 추억 한국 도착 생생하다 기억 남다 장호 친절하다 설명 해주다 항상 손님 편의 주야장천 고생 덕분 방문 싶다 들다 미동 부와 캐나다 방문 예정 불다 장호 적극 추천 해드리다 멀다 타지 장호 항상 건강하다 행복하다 바라다
미동부,짱짱맨 최영 즐겁다 미동 캐나다 여행 10월 27일 미동 캐나다 10일 여행 떠나다 최영 하루 나오다 힘드다 기색 전혀 해주다 자다 지내다 계시다 포토 스팟 일행 사진 찍다 설명 재밌다 해주시 버스 무겁다 싣다 내리다 귀국 피곤하다 일행 보안 검색 통과 바라보다 계시다 최영 좋다 미국 캐나다 풍경 기억 남다 한국 오시 만나다
미동부,미동 캐나다 10일 최고 여행 이드 최고 여행 날씨 좌우 맞다 2019 10 10 17 멤버 좋다 날씨 오다 일정 소화 그치다 좋다 이드 유머 역사 설명 똑소리 나다 여행지 안내 도착 화장실 아내 미리 미리 알다 좋다 56 인승 버스 39 하니 자리 여유 좋다 미국 캐나다 나이아가라 폭포 맨하탄 아름답다 엠파이어스테이트 빌딩 유엔본부 메트로폴리탄 미술관 밉다 의사당 백악관 직접 경험 인생 크다 즐거움 일정 마음 마음 들다 친절하다 순이 정효 만나다 여행 더욱 즐겁다 좋다 만날 기대하다 여행 최고 록펠러 센터 캐나다 모습
미동부,미동 캐나다 여행 좋다 이드 최고 미동 캐나다 여행 최고 이드 최고 많다 여행 여행사 통해 다니다 이유 믿음 가다 여행 2019년 10월 8일 17일 미동 캐나다 여행 신청 출발 좋다 만나다 날씨 좋다 즐겁다 여행 어떻다 만나다 궁금하다 날씨 검색 결과 구름 오다 나오다 아내 무척 걱정 뉴욕공항 도착 인사 나누다 여자 기대 맞다 예쁘다 상냥하다 힘차다 솔톤 목소리 인사 나누다 관광지 돌다 지역 안내 역사 상세 유모 가미 맛깔나다 설명 해주다 많다 노력 공부 모습 보이다 식사 관광객 합류 빠르다 식사 직접 써다 해주다 불편 도와주다 모습 여행 다니다 자다 보지 광경 여행 좋다 만나다 즐겁다 보람 여행 되어다 이드 멋지다 역활 우려 날씨 쾌청하다 얼굴 트러블 생기다 열정 다해 주신 이드 칭찬 수고 감사 드리다 화이팅 전망대 바라보다 캐나다 나이아가라 폭포
미동부,만족하다 밉다 서부 미동 캐나다 여행 9월 27일 10월 13일 15 17일 캐나다 동부 미동 서부 여행 길다 일정 여행 즐거움 행복감 만족 웠습 여행 다니다 이민욱 친절하다 처음 여행 내내 손님 제공 주다 받다 고맙다 제공 해주다 처음 캐나다 동부 행시 이민욱 동행 여행 재미 감동 더하다 주다 관광지 포인트 손님 개개인 사진 찍다 세심 감동 유명 관광 일시 몰리다 사진 찍기 전쟁 수준 포인트 모르다 나서다 사진 찍다 이민욱 사진 일일이 찍다 주시 수고 스럽다 여행 끝나다 가지 해주다 귀국 사진 사진 자다 나오다 좋다 이민욱 감사 드리다 광주시 상구 정영균 대표 여행 출발 끝나다 나서다 세심 배려 감사 드리다 내년 여행 계획 잡히다 이용
미동부,미동 캐나다 10일 이민욱 가족 즐겁다 여행 미동 캐나다 10일 이민욱 일정 부모님 즐겁다 추억 만들다 돌아오다 태풍 링링 영향 출발 지연 되어다 12시 뉴욕 도착 바람 새벽 숙소 도착 못자다 피곤하다 상태 여행 시작 멋지다 이민욱 덕분 알차다 재밌다 여행 워싱턴 나이아가라 폭포 토론토 몬트리올 퀘벡 보스턴 뉴욕 나이아가라 무지개 크다 감동 자연 에너지 얻다 굉장하다 경험 마지막 뉴욕 야경 투어 뉴욕 야경 보름달 예쁘다 잇다 지역 7일 버스 길다 힘들다 자연 관광지 맞추다 틀어주다 노래 영화 베테 다운 이민욱 깔끔하다 진행 즐겁다 다니다 숙소 식사 대체로 만족스럽다 부모님 부로 가다 이민욱 감사 드리다 말씀 드리다
미동부,미동 캐나다 패키지 여행 후기 감사 드리다 10월 3일 12일 10일 뉴욕주 뉴욕 맨하탄 워신턴 나이아가라 폭포 몬트리올 토론토 보스턴 패키지 여행 다녀오다 아들 가다 가족 여행 챙기다 많다 걱정 많다 좋다 일행 만나다 즐겁다 여행 다녀오다 숙소 뉴욕 제외 해리스버그 나이아가라 트로이 리베 콩코드 호텔 편안하다 조식 좋다 뉴욕 숙소 조식 호텔 식사 담당 직원 친절하다 아쉽다 중식 석식 지식 특식 진행 되어다 분위기 괜찮다 대체로 좋다 여행 좋다 여행 방문 마다 전통 역사 문화 자세하다 설명 주다 좋다 설명 덕분 첼시 마켓 뉴욕 대학 월스트리트 본부 백악관 국회의사당 제퍼슨 기념 링컨 기념 국전 참전용사 기념비 재미있다 알차다 다녀오다 마지막 진행 뉴욕 야경 멋있다 화려하다 서울 가다 일자 미루다 싶다 첼시 마켓 식료품 판매 현지 분위기 물씬 자유 여신 유람선 승선 끝없다 호수 바다 어우러지다 브릿지 건물 멋지다 미국 국회의사당 워싱턴 기념비 중심 백악관 미국 국회의사당 제퍼슨 기념 링컨기념관 십자가 모양 배치 되어다 역대 훌륭하다 명의 대통령 국회의사당 백악관 항상 지키다 설명 워싱턴 위엄 느껴지다 나이아가라 폭포 세계 대다 폭포 세계 대다 폭포 절경 영화 장면 제트 보트 헬기 투어 탑승 재미 강추 토론토 타워 토론토 시청 유럽 시청 오페라 하우스 조화롭다 어울림 휴식 공간 볼트 경의 아름답다 슬프다 러브스토리 커다랗다 아름답다 볼트 개집 작다 장모 푸다 도깨비 촬영 이자 가다 유럽 프랑스 건물 아름답다 1년 내내 크리스마스 용품 팔다 상점 강추 보스턴 대학 건물 하버드 대학 세계 최초 기계 계산기 우드버리 프리미엄 아울렛 자유 쇼핑 리버 코치 폴로 구매 70 할인 와우 갈다 10 뉴욕 야경 뉴욕 명품 야경 뉴저지 뉴욕 화려하다 타임스퀘어 네오 사인 광고 여행 정리 미동 캐나다 10일 구성 알차다 좋다 하루하루 기억 남다 비행기 왕복 2일 소요 버스 많다 여행 패키지 선택 내심 걱정 많다 버스 사전 방문 지다 전통 역사 문화 설명 주다 지루하다 뉴욕 위싱턴 나이아가라 토론토 몬트리올 보스턴 우드버리 뉴욕 이어지다 미동 캐나다 여행 알차다 구성 되어다 여행 내내 가족 즐겁다 항상 자다 챙기다 배려 주신 감사 드리다 여행 가야 벌써 고민
미동부,김대 미동 여행 김대 세심 배려 관심 넘다 행복하다 부부 여행 김대 부다 우산도 서다 내다 주시 모습 차다 멋지다 좋다 여행 되어다 더욱 기억 남다 배우다 깊다 여행 엇습 10월 2일 10월 11일 동행 감사하다 김대 고맙다 감사하다
미동부,김대 45 일행 미동 캐나다 10일 2019년 9월 25일 10월 4일 10 미동 캐나다 여행 다녀오다 나이아가라 폭포 뉴욕 벗어나다 패키지 여행 라면 못지않다 여기저기 다니다 밉다 동부 캐나다 베스트 오브 베스트 볼거리 풍부하다 음식 자다 맞다 날씨 적합하다 일행 차다 좋다 패키지 여행 중요하다 여행 여행지 선정 날씨 이렇다 정해지다 56 버스 가득 정도 많다 일행 불평 불만 서로 배려 칭찬 열흘 보내다 장거리 이동 적절하다 틀어주다 음악 선곡 프로그램 해박 지식 적절하다 험담 김대 빼놓다 10 꼬맹이 80 대다 할아버지 다양하다 연령 아우르다 능력 챙기다 일정 조율 자리 선정 사진사 역할 수고 많다 말씀 해주다 추억 페이지 장식 포토북 만들다 가다 정표 홈페이지 나오다 매일 여행 기록 남기다 여행가 참고 마지막 일행 건강하다 즐겁다 여행 만들다 이드 좋다 인연 만나다 결혼 골인 첫날 마지막 정진현 멋지다 여친 만나다 기원
