country,cleaned_sentences
베트남,060308 060312 베트남 하롱베이 석회동굴 060308 060312 하롱베이 석회동굴 3월 10일 아름답다 항구 도시 한눈 내다 보이다 하롱베이 호텔 아침 늘다 시작 되어다 오늘 어제 먼저 아침 열다 새롭다 호기심 항구 도시 부두 가다 위치 호텔 새벽 바삐 움직이다 뱃고동 소리 설치다 오늘 아침 먹다 간편하다 먹다 나오다 3000 여개 이루어지다 그림 하롱베이 주변 두르다 선상 푸드 제주 잡히다 귀하다 다금바리 회로 점심 식사 일행 17 호텔 5분 거리 안되다 부두 유람선 타고 9시 30분 정도 하롱만 출발 아름답다 바다 여행 나서다 멀리 눈안 들다 오다 포폭 그림 정경 들이다 오늘 안개 깔다 아름답다 풍경 카메라 담다 아쉽다 영화 인도차이나 촬영 지역 최대 아름답다 자연 경관 자랑 크다 작다 두르다 쌓이다 호수 잔잔하다 바다 달리다 괴석 이루어지다 도착 엄청나다 크기 석회동굴 들다 가다 삼척 울진 나라 동굴 내부 공간 높다 웅장 일차 석회동굴 관람 만들다 하롱베이 여행 이어지다 편도 사진 정리 올리다
베트남,베트남 하롱베이 계원
베트남,잊다 베트남 여행기 12월 22일 짜오 벌써 마지막 흘러가다 하루 즐겁다 재다 놀수 아쉬움 남다 호텔 아침식사 9시 탑승 오늘 젤루 기대하다 기대하다 마사지 받다 해외 여행 가다 대부분 마사지 추천 도대체 어떻다 좋다 오늘 느끼다 보리 맛사지 들어서다 반바지 갈아입다 눕다 젊다 남자 들어오다 주무르다 맛사지 마지막 맛사지 민망하다 언니 와나 동생 웃음 차다 맛사지 받다 2시간 내내 서로 얼굴 쳐다보다 웃다 받다 개운하다 맛사지 점심 먹다 요리 전문점 가다 먹다 요리 알다 우리나라 뷔페 베트남 갖다 음식 놓다 고르다 먹다 되어다 곳도 비싸다 베트남 잘살다 오다 먹다 마지막 시도 해보다 실망하다 시도 해보다 맛있다 어느덧다 모든 여행 막바지 하노이 가다 버스 노래 자랑 열리다 빼다 들다 자다 놓다 하노이 도착 마지막 코스 수상 인형극 가다 물속 인형 가지 인형극 벌이다 유치하다 알다 재다 즐겁다 일정 끝나다 아쉽다 공항 이동 달리 좋다 만나다 기억 남다 여행 여행 평생 잊다 여행 22분 모든 진심 감사 드리다 책임지다 김회강 비롯 과장 운전기사 깊다 감사 드리다 좋다 추억 남기다 주다 2006년 더욱 발전
베트남,잊다 베트남 여행기 12월 19일 짜오 동생 사촌언니 모처럼 맞다 여행 떠나다 갈다 한참 헤매다 찿은곳 베트남 북부 하노이 하롱베이 여행 부풀다 가슴 안고 인천공항 도착 티켓 받다 7시 35분 베트남 4시간 기다 여정 도착 하노이 바이 국제공항 공항 도착 여행 인사 22 많다 여행 또래 나이 정도 들다 들이다 여행 별루 없어지다 먼저 머리 스치다 숙소 가기 타고 30 40분 정도 이동 5일 일정 베트남 정보 말씀 주시 숙소 도착 정리 내일 우린 꿈나라
베트남,잊다 베트남 여행기 12월 20일 짜오 오전 7시 모닝콜 듣다 일어나서 씻다 먹다 가다 호텔 먹다 걱정 웬일 빵외 도저히 특이하다 식료 냄새 차마 먹다 나름 먹을껄 고생 적다 베트남 기전 한국 베트남 전통 음식 쌀국수 정도 먹다 먹다 때우다 9시 닌빈 지역 크다 가다 베트남 우리나라 나라 자체 기다 이동 걸리다 차로 이동 크다 탑승 도착 1조 는걸 알다 태우다 거리 곳곳 누비 운전 아저씨 설명 해주다 한국말 자다 들다 자다 말씀 1시간 크다 탑승 끝내다 따다 지역 이동 삼판 가다 베트남 여행 기억 남다 삼판 1조 되어다 삼판 타고 수중 동굴 석등 구경 넓다 바다 조각배 띄우다 세상 모든 근심 걱정 털다 버리다 자심 돌아보다 순박하다 베트남 아줌마 사진 곳도 알다 좋다 구경 위험하다 마다 아줌마 덕분 좋다 사진 말다 찍다 기분 날아가다 삼판 타고 돌아다니다 어느덧다 점심시간 되어다 한국 젤루 좋아하다 베트남 오늘 어떻다 걱정 먼저 앞서다 점심 지식 돼지고기 비롯 닭고기 만두 상이 부러지다 정도 자다 차리다 먹다 가지 불과하다 테이블 아저씨 아줌마 들다 지인 착각 정도 점심식사 맞다 친후 호치민 영묘 생가 들르다 죽다 태우다 무덤 세우다 묻다 마련 호치민 냉동 상태 얼리다 보존 직접 실제 솔직하다 자다 모르다 하루 어떻다 지나가다 모르다 정도 재다 하루 우려 재다 재다 바뀌다 비롯 현지 기사 과장 22 명의 모든 여행객 좋다 들이다 모든 일정 차로 4시 달다 하롱베이 도착 저녁 그리다 한정식 삼겹살 터지다 먹다 늦다 사촌언니 동생 야시장 들르다 한국 기다리다 사랑 친구 가족 선물 가지 베트남어 배우다 물건 사고 유용하다 써다 먹다 덕분 물건 싸다 사고 어느덧다 11시 넘어서다 우린 하루 일정 마감 꿈나라 내일 많다 비밀
베트남,잊다 베트남 여행기 12월 21일 짜오 항상 아침 똑같다 7시 기상 호텔 먹다 9시 모이다 오늘 타고 이동 타고 영화 인도차이나 파다 은신 아름답다 경치 3000 여개 이루어지다 그림 하롱베이 주변 구경 9시 20분 탑승 8시간 선상 여행 모터보트 크루즈 여행 떠나다 좋다 한적 많다 오늘 소원 풀다 유람선 일행 22 태우다 선착장 나서다 과일 먹다 꺼리다 상상 끈질기다 따르다 붙다 유람선 뱃고동 울리다 하롱만 빠져나가다 바다 솟아오르다 크다 고작 전시장 착각 불러일으키다 자연 만들다 내다 조각품 극찬 자연 빠지다 배다 다듬다 비롯 새우 가재 온갖 해물 주다 나오다 한마음 되어다 한잔 기울다 선상 여행 만끽 한국 비싸다 어보 먹다 먹다 한참 이동 항공사 촬영 도착 450 정도 계단 따르다 올라가다 전망대 나오다 전망대 올라서다 카메라 셧터 누르다 바쁘다 사진 찍기 올리다 가다 곳곳 진짜 아름답다 감탄사 절로 나오다 멋지다 8시간 기다 흘러가다 구석구석 구경 아쉽다 글자 기약 아름답다 하롱베이 선상 여행 마치다 저녁 먹다 난후 분수 관람 야시장 돌다 12시 넘어서다 들다
베트남,마지막 베트남 하노이 2005년 10월 11일 오늘 7시 집합 부지런하다 가보다 호텔 무지 많다 일행 나타나다 손짓 난리 못난이 목걸이 나오다 들이다 살기 노력 모습 아름답다 하노이 가다 기다 하노이 가다 노래 자랑 하자 돌아가다 부르다 안부 수도 중간 휴게소 들리다 키플링 가방 이쁘다 아오자이 깨다 도마뱀 더불다 짝퉁 시계 휴게소 이렇다 놓다 아가씨 차다 많다 하노이 도착 점심 먹기 식당 가다 돼지고기 두루치기 메뉴 먹다 차다 맛있다 가다 맛있다 큰일 소수민족 박물관 가보다 건물 들어가다 커다랗다 솟대 모양 구조 물이 보이다 건물 내용 빈약하다 나오다 전통 가옥 부계 사회인 다나 모계 사회인 데족 설명 줍다 집의 길이 45 민망하다 나무 만들다 조각상 아슬아슬하다 계단 올라가다 살다 들어가다 대나무 만들다 무지 시원하다 나름 지혜 보이다 전통 의상 입다 흥미 진진 아쉽다 아쉽다 마음 박물관 쉬다 망고 주스 한잔 주다 시원하다 아쉽다 마음 가다 응옥 써다 사당 이동 가다 도중 레얼 장군 거북이 얽히다 전설 재미나 듣다 도착 건너다 저리 오토바이 피해 건너다 건너 돌문 지나다 홍교 나타나다 돌문 지나다 정자 사당 거북이 표구 호안끼엠 호수 거북이 사당 이쁘다 자리 잡고 크다 1달러 일률 걷다 끼리 달라 떼쓰다 싸우다 일행 서다 크다 부대 나타나다 크다 앉다 움직이다 시작 36 통로 구석구석 재미 오토바이 뿜는 매연 장난 오토바이 차갑다 바싹 붙다 겁나다 처음 신나다 자전거 페달 밟다 느리다 지다 안쓰럽다 사진 모자 상가 팔다 모자 장식품 알다 모자 많다 쓰다 다니다 호치민 능묘 가다 아오자이 입다 아가씨 기념 촬영 한장 찍다 포즈 해주다 인물 별로 베트남 군인 뭐라다 소리치다 다가오다 난감하다 기분 자리 버스 오다 버스 서다 베트남 우리말 쓸다 차량 한국 증명 비싸다 믿다 말다 구경 맛사지 가다 원하다 여행 피로 가시다 베트남 맛사지 푸켓 마사지 중국 맛사지 혼합 만족 호수 한국 식당 저녁 맛있다 먹다 공항 가다 한국 갈다 일만 남다 일행 명의 비행기 티켓 여행사 가지 만나다 되어다 비행기 남아 난감하다 참으로 여행 공항 식은땀 나다 이렇다 사연 안고 구경 무사하다 한국 돌아오다
베트남,세번 베트남 하롱베이 2005년 10월 10일 오늘 하노이 하롱베이 떠나다 7시 집합 오늘 일행 부지런하다 나오다 정시 일찍 떠나다 오늘 어제 마찬가지 분과 현지 여행사 부장 분과 하노이 직원 2분 나오다 많다 나오다 애매하다 어쨓 작년 11월 마찬가지 하노이 오토바이 자전거 물결 가득 차다 죽다 경적 울리다 오토바이 자전거 치의 양보 가다 차갑다 움직 켜다 서로 싸우다 교통 경찰 나타나다 이내 정리 40 여분 가다 홍강 나타나다 이름 강물 흙탕물 붉다 교외 나가다 너른 황금 벌판 펼쳐지다 추수 가운데 비석 부모님 돌아가다 부모님 그립다 가운데 매장 살다 지난번 오다 가운데 바리 케이트 치다 행세 받다 톨게이트 왕복 차선 도로 행세 받다 가다 건축 식이 길쭉하다 페이트 내버리다 두다 들어서다 낭비 거지 하롱베이 가다 점심식사 푸드 금발 묻다 해물 알러지 친구 사양 먹다 하니 일행 얼굴빛 별로 좋다 12시 넘어서다 하롱베이 호텔 도착 호텔 과일 가게 일행 과일 사다 무지 싸다 출발 하롱베이 가기 부두 가다 부두 타고 가지 탄성 나오다 수많다 바다 보석 뜨다 배위 올라가다 무지 따갑다 가두리 양식 대다 상어 생기다 고기 무지 많다 해물 금발 산다 어떻다 아저씨 크다 물고기 잡다 하니 양식 1달러 밧줄 던지다 잡다 밧줄 던지다 물보라 무지 나다 물고기 먹이 퍼덕거리다 밧줄 잡다 위로 올라가다 사진 찍다 여기저기 둘러보다 금강산 후경 슬슬 고프다 슬슬 해물 요리 나오다 푸다 맥주 더불다 먹다 흐뭇하다 점심 먹다 친해지다 일행 통성명 즐겁다 어떻다 더덕 박다 고추장 가지 오다 나누다 일품 멀리 섬위 정자 보이다 지난번 오다 궁금하다 띠톱섬 해변 모래사장 해수욕 즐기다 기도 바나나보트 타고 즐겁다 꼭대기 정자 올라가다 계단 무지 많다 15분 올라가다 하롱베이 보이다 하롱베이 모습 식히다 사진 찍다 내려가다 주변 무지 시끄럽다 중국사람 해변 도착 하노이 여행사 부장 모터보트 잡다 끄다 영문 모르다 모터보트 선착장 땡볕 20 여분 기다리다 오지 받다 가보다 오냐 막히다 분과 부장 티걱태걱 옵션 분위기 배다 떠나다 천궁 동굴 이동 동굴 설명 벌써 훨훨 날다 벌써 나가다 동굴 우리나라 동굴 이쁘다 부두 돌아가다 슬슬 석양 넘어가다 구경 부두 도착 호텔 가기 버스 늘다 차창 넘다 슬슬 서산 넘어가다 호텔 씻다 식당 가기 씻다 기분 무지 좋아지다 식당 도착 오늘 메뉴 삼겹살 푸다 지다 먹다 과일 나오다 과일 파티 호텔 오다 일행 힘들다 얘기 옵션 달라 진심 사정 얘기 하니 진심 전해지다 우리나라 마음 약하다 호텔 돌아오다 호텔 달려오다 진주 목걸이 사라 못난이 지다 만원 못난이 만원 내일 아침 만원 참고 기다리다
베트남,베트남 가족 여행사진 여행자 거리 숙소
베트남,베트남 길거리 이발사 거거 글쎄 사진 찍다 가위 위협 부라리다 안면 몰수 한장
