country,cleaned_sentences
북유럽,아시아나 직항 크루즈 항공 북유럽 여행기 아시아나 비즈니스 타고 떠나다 취항 북유럽 다녀오다 핀란드 노르웨이 스웨덴 덴마크 북유럽 비싸다 물가 크루즈 보내다 일정 엄청나다 크다 크루즈 잊다 세심 배려 해주다 현지 오다 인솔 진심 감사 드리다 유럽 비싸다 여행가 좋다 선지 바뀌다 상세 설명 해주다 현지 북유럽 생활 새삼 느끼다 현재 통해 터키 북유럽 동유럽 다니다 오다 고객 응대 상당하다 친절하다 3월 29일 동유럽 체코 헝가리 오스트리아 독일 가기 예약금 넣다 대기 계속 이용 나다 홈피 새롭다 상품 검색 적극 추천
북유럽,성장 북유럽 여행 2005년 업무 들르다 스웨덴 노르웨이 인상 좋다 북유럽 가보다 아내 여행 나서다 북유럽 패키지 가성 좋다 소문 들다 확인 직접 여행사 상품 비교 결론 찍다 디카 사진 2천 짜다 사진 프레임 명암 조정 추억 새다 추다 앨범 만들다 단상 덧붙이다 번거롭다 들다 작업 여행 통해 느끼다 되살리다 그만하다 사진 장면 떠오르다 분위기 소리 냄새 바람 품다 보이다 떠나다 경험 갖다 아내 느끼다 공유 더욱 좋다 풍부하다 소유 풍요롭 존재 하라 법정스님 말씀 여행 풍요롭 존재 최고 수단 아내 여행 좋아하다 여행 길다 느끼다 늘다 평소 확실하다 느끼다 깊이 공감 주다 차다 기쁘다 법정스님 문집 제목 모든 순간 생애 번의 모든 만남 인연 모든 순간 소중하다 나이 들다 더욱 절감 실천 여행 일행 여행지 만남 좋다 들이다 다양하다 만나다 얘기 돌아보다 우린 소중하다 대다 만남 대상 사물 풍경 포함 만난 도시 자연도 아름답다 모습 만나다 주다 차다 고맙다 유미영 인솔 훌륭하다 어떻다 분야 명의 갖다 차다 존경 스럽다 매력 세심 빈틈 공감 능력 탁월하다 리더십 칭했다 행복하다 행복하다 북유럽 일정 빡세 체력 부담 크다 인솔 신경 쓸다 많다 체력 정신 한참 요구 당연하다 유미영 처음 완벽하다 마음 쓰다 깊다 고마움 많다 행복 나누다 바라다 여행 통해 아내 스스로 성장하다 느끼다 나다 읽다 일행 더욱 유미영 행복 기원 북유럽
북유럽,북유럽 여행 인솔 김희선 본인 적극 열성 모습 좋다 모든 진행 팩트 덕분 일정 내내 원만하다 여행 덕분 즐겁다 북유럽 환갑 여행 보내다 추억 간직 하곘어 김희선 총총
북유럽,북유럽 좋다 12일 일정 북유럽 여행 다니다 오다 노르웨이 자연 경관 장관 최승자 장님 인솔 12일 즐겁다 여행 선택 호텔 인지 자연 경관 어우르다 지다 편하다 헐다 아프다 들다 건강하다 여행 마찰 감사하다 기억 남다 피오르드 식사 만족 스럽다 자연 경관 넘다 아름답다 항상 이용 만족스럽다 주변 지인 추천 계속 좋다 상품 만들다 줄다
북유럽,북유럽 진행 북유럽 개국 패키지 여행 사랑 어머님 모시 맡기다 12일 짧다 개국 투어 힐링 오다 짧다 느껴지다 투어 오다 인솔 해주다 백성준 고생
북유럽,멋지다 알차다 행복하다 북유럽 러시아 여행 작년 12월 패키지 부부 라오스 시간여행 다녀오다 달이 지니 역마살 발동 무작정 떠나다 욕망 달리기 시작 웬만하다 다녀오다 가보다 중심 여기저기 뒤지다 최소 이동 북유럽 러시아 10 12일 상품 들다 오다 부부 고희 나이 지나다 장거리 장기간 여행 일정 주저 주저 늦다 안되다 용기 내다 12 23 패키지 3월 확정 예약 버리다 어리다 그리다 동화 나라 덴마크 나라 노르웨이 노벨상 스웨덴 시벨리우스 낳다 음악 나라 란드 세계 제패 자타 공인 역사 문화 예술 나라 러시아 진주 신생 에스토니아 돌다 가슴 조이다 출발 기다리다 시작 출발 확정 12일 출발 오전 9시 30분 설레다 마음 인천공항 터미널 장소 도착 20 여분 일행 인솔 싶다 훤출 남자 계시다 고령자 내심 걱정 다행하다 부부 모녀 모자 친구 가족 외톨이 21 일행 고령자 80 가족 할머님 최연 소자 모녀 22 여대생 다행 인원 적당하다 연령 분포도 좋다 분위기 기대하다 여행 내내 서로 배려 양보 훌륭하다 들이다 탑승 모스코바 거치다 오슬로 공항 도착 투어 일정 시작 라르겐 가다 툰드라 지대 설경 송네피오르 빙하 곳곳 펼쳐지다 절경 피요르드 산위 바라보다 오슬로 항구 절경 덴마크 코펜하겐 항구 인어공주 스웨덴 스톡홀름 노벨상 시상식 회장 인형 아름답다 어린이 모델 청춘 남녀 스톡홀름 증후군 생기다 이해 가다 도착 헬싱키 시벨리우스 공원 자연 아름답다 시벨리우스 교향시 피다 디아 바이올린 협주곡 좋아하다 내다 감회 새롭다 탈린 거치다 트페 테스 르그 도착 제정러시아 시절 투르 대제 계획 건설 도시 자다 짜이다 당시 건설 왕복 차선 도로 경이 자체 대륙 기질 표본 이삭 성당 겨울 궁전 웅장 규모 아름답다 감탄사 연발 세계대전 레닌그라드 트페 테스 르그 이름 독일군 치열하다 전투 치르다 선조 문화 유산 지키다 도망가다 군인 민간인 이천오백 명의 희생 내다 슬프다 역사 간직 마음 아프다 러시아 항공 타고 마지막 도착 모스코바 대통령 집무 크레물린 궁전 붉다 광장 세계 대학 모스코바 대학 웅장 젊음 거리 아르 바트 거리 국영 백화점 두르다 경제정책 실패 1만 달러 주저 앉다 러시아 아픔 곳곳 묻다 나다 시내 곳곳 보이다 삼성 현대 기아 엘지 자랑스럽다 광고 사무실 감동 자부심 느끼다 건국 동이 동갑 내기 부부 국민소득 600달러 시대 태어나다 전쟁 혹독하다 빈곤 시대 지나 국민소득 3만 달러 세계 기적 발전 이루다 시대 감사하다 고맙다 부족함 젊다 세대 마음 이해해 주다 모스코바 시내 관광 마치다 인천 러시아 항공 250 귀국 비행기 감다 열흘 여정 마등 스치다 지나 가다 백성준 인솔 탁월하다 전문성 인문학 식견 해박 지식 타의 추종 불허 타이밍 절묘하다 해설 분위기 조성은 여행 백미 자리 빌어 진심 감사 드리다 취월 기원 4월 23일 오전 11시 인천공항 아무렇다 사고 전원 무사하다 도착 일행 밝다 건강하다 모습 도착 분도 먼저 떠나다 기다리다 감사 인사 서로 나누다 헤어지다 멋지다 매너 보여주다 마지막 차다 흐믓 훌륭하다 여행 상품 거품 착하다 가격 마련 해주다 관계자 감사 드리다 애용 약속 여행 후기 마무리
북유럽,그림 북유럽 여행 다녀오다 평소 아이슬란드 가보다 싶다 갈수 기회 국적 기인 아시아나 항공 전세기 이용 아이슬란드 동네 북유럽 여행 다녀오다 비지니스석 패키지 여행 가다 째다 중국 우루무치 인도 갠지스강 베트남 다낭 필리핀 마닐라 미얀마 북유럽 여행 단체 부부 커플 구성 20 되어다 구성원 끼리 별로 재미 얌점 더욱이 즐기다 내다 재미없다 구성원 들이다 북유럽 풍경 충분하다 만회 주다 숙소 식사 일정 신경 쓸다 9일 일정 신경 쓰다 고생 김은주 감사 드리다 김은주 덕분 여행 즐겁다 여행 되어다 김은주 앞날 기원 더욱이 김은주 계획 남극 여행 즐겁다 안전하다 여행 바라다 주위 북유럽 여행 적극 추천 주다 싶다 여행
북유럽,북유럽 일주 젠틀맨 종현 인솔 8월 9일 8월 16일 8일 가족 북유럽 다녀오다 올해 덥다 날씨 북유럽 예년 덥다 뉴스 꾸리다 고민 만들다 즈음 가을 날씨 맞다 준비 종현 인솔 자세하다 안내 문자 전화 오다 고민 덜다 북유럽 지역 유적지 자연환경 여행 머리 시원하다 힐링 모든 자연 모습 아름답다 노르웨이 트롤 스티 요정 길이 최고 자연 웅장 원시 아름답다 솜씨 표현 플롬 산악 열차 타고 빨간색 요정 깜짝 퍼포먼스 잊혀지다 숙박시설 좋다 개인 비올 호텔 좋다 흡사 산장 정성 맛있다 식사 깔끔하다 주변 경치 시골 여행 기분 한층 높다 주다 식사 전반 괜찮다 지식 먹다 싶다 즈음 칼스타드 만나다 식당 가게 되어다 따뜻하다 정갈하다 반찬 신선하다 어회 차다 맛있다 고맙다 크루즈 괜찮다 부부 멀미 평소 멀미 멀미 해드리다 바이킹 라인 면세점 잡다하다 많다 현지 주다 헬싱키 해피 바이러스 제일 기억 남다 여행 지치다 명랑하다 목소리 서비스 별명 해피 바이러스 퍼뜨려 주다 감사하다 여행 처음 주다 종현 인솔 수고 많다 패키지 여행 한국 도착 공항 나가다 지키다 체크 인솔 처음 행동 젠틀 여행 팀원 어렵다 자다 해결 주다 편안하다 즐겁다 여행 되어다 여행지 알맞다 음악 영화 틀어주다 아름답다 추억 되어다 고품격 여행 처음 종현 인솔 뵈다 여행 갈다 건강하다 행복하다 바라다 아버님 건강하다 무병장수
북유럽,충전 북유럽 21 29 백성준 열정 덕분 즐겁다 여행 감사 드리다 여행 뵈다
북유럽,북유럽 자연 경이 로움 크루즈 안락하다 14 남편 올해 계획 일련 여행 패키지 마지막 북유럽 다녀오다 러시아 비롯 국가 도시 둘러보다 즐거움 하일 라이트 게이 에르 제각각 특색 가지다 피료르드들 끝없다 고원지대 맑은 호수 노르웨이 경이 자연 경관 낭만 크루즈 박다 북구 백야 만끽 코펜하겐 오슬로 크루즈 11시 노을 백미 강추 드리다 지난 추석 연휴 터키 여행 식사 좋다 내심 걱정 식사 훌륭하다 이나 체중 늘어서다 돌아오다 패키지 폐단 쇼핑 부담 전혀 느끼다 편안하다 여행 20 대다 남편 대학 후배 70 대다 어르신 그룹 다양하다 연령 대의 30 명의 패키지 식구 12일 생활 즐거움 교수 부부 세대 공감 어르신 들다 힘드다 일정 불구 식사 약주 자다 일정 즐겁다 어르신 그룹 남편 나이 먹다 가면 좋다 지루하다 이동 라틴 게르만 역사 유럽 바이킹 역사 차분하다 설명 인솔 문현정 넘치다 차분하다 진행 여행 품격 높이다 도움 되어다 릴리 메르 엘리베이터 호텔 묵다 되어다 무겁다 캐리어 들다 올라가다 작다 해프닝 인솔 원만하다 처신 어르신 비롯 패키지 식구 배려 자다 이해 수습 되어다 향후 일정 패키지 식구 간의 정이 더욱 돈독하다 계기 되어다 인천 헤어지다 서로 아쉽다 되어다 몇몇 어르신 모습 선하다 여행 끝내다 일상 돌아가다 북유럽 여행 기억 크루즈 여행 계획 패키지 식구 감사 말씀
