country,cleaned_sentences
세부,세부 여행기 여행 목적 비행기 처음 기대 즐겁다 보내다 개인 아쉬움 남고 찾다 세부 여행 여러 경로 감안 여행사 비다 저렴하다 금액 즐기다 첫날 세부 태풍 영향 강풍 동반 보슬비 내리다 친구 비다 수영장 즐겁다 즐겁다 우울하다 저녁 반전 되어다 민속 공연 식사 좋다 이기다 친구 현지 소녀 나가다 대나무 짝데기 추기 카지노 포함 나이트 투어 즐겁다 카지노 따다 되어다 쎄다 부르다 버리다 고민 동행 여행 한잔 그날 뻘쭘 오빠 동생 형제 되어다 아영 루씨 손님 대하 동네 오빠 배려 주시 여행자 입장 진심 여행 즐기다 주다 고맙다 날씨 좋다 호핑 투어 체험 다이빙 예정 즐겁다 호핑 가다 세다 파도 헤치다 돌아오다 기억 생생하다 애기 멀쩡하다 아빠 엄마 멀미 가족 기억 다이빙 평소 싶다 기회 되어다 좋다 초보자 쉬다 끌리다 다니다 늘다 라이센스 따다 마지막 시티투어 공항 헤어 지기 아쉽다 돌아오다 여행 조합 좋다 루씨 손님 성향 자다 파악 즐겁다 코스 자다 짜다 주다 넘다 넘다 감사 드리다 놀다 가면 줄다 볼때 건강하다
세부,멋지다 알차다 세부 여행 수기 출발 많다 바가지 심하다 살짝 걱정 7년 경력 능숙하다 박정아 언니 덕분 즐겁다 행복하다 여행 솔직하다 출발 여행 후기 칭찬 많다 짜다 싶다 쓰다 호호 이슬라 리조트 이용 출발 인터넷 자료 별루 걱정 몰디브 수상 가옥 이용 해봤다 벌레 걱정 가다 새롭다 지다 건물 깨끗하다 벌레 전혀 한국인 사장 인지 한국인 배려 보이다 아담하다 조용하다 깨끗하다 놀다 좋다 크다 관리 안되다 월씬 나다 직원 친절하다 그리다 조식 잘나오다 덕분 가다 김치 컵라면 먹다 날씨 파랗다 일링 아쉽다 나름 멋지다 여름 휴가 호핑 투어 강추 멋지다 비치 기대하다 불다 세부 추천 세부 멋지다 비치다 리조트 딸리다 이용 내다 이용 나머지 비치다 정돈 돼다 멋지다 모습 덕분 어메이징 좋다 자리 앉다 멋지다 분덕 즐겁다 어메이징 건강하다 멋지다 여름 휴가 감사하다 검색 가수 행복하다
세부,필리핀 세부 무희 대나무 사이 발짝 옴기 추다 진과 대나무 사이 돌다 가면 추다 무희 정열 추다 관광객 무희 어우러지다 추다
세부,하늘 아름답다 필리핀 세부 7월 27일 5일 필리핀 세부 다녀오다 여행 다니다 패키지 처음 기대 여행 가늘다 중요하다 여행 즐거움 중요하다 역할 엄마 동생 휴가 즐기다 급하다 결정 세부 좋다 미구엘 만나다 되어다 즐겁다 일정 세심 챙기다 감사하다 마음 고객 대다 여행 내내 기분 좋다 마지막 필리핀 역사 유익하다 보너스 얻다 기분 이슬라 리조트 감동 오픈 한지 안되다 파리 미끄러지다 정도 깨끗하다 직원 친절하다 하루 인사 번은 받다 저녁 밴드 공연 분위기 끝내주다 청곡 해주시 테이블 직접 노래 주시 리조트 수영장 수영 색다르다 기분 가다 밴드 라이브 노래 들다 수영 로맨틱 좋다 투어 호피 투어 좋다 마리 잡다 바다낚시 재다 마사지 세다 받다 받다 살살 받다 좋다 필리핀 빈민 거리 표정 즐겁다 보이다 물질 부족하다 행복하다 가하다 드네 아름답다 필리핀 세부 즐겁다 미구엘 감사하다 좋다 만나다
세부,필리핀 세부 마주 앉다 대나무 가지 붙이다 대나무 사이 걸음 들다 뛰다 대나무 사이 걸다 필리핀 고유 밉다 추다 대나무 직전 민속 대나무 끝나다 대나무 죽봉 들다 추다
세부,필리핀 세부 세부 중국 들이다 지은 사찰 멀리 고급 주택 푸른 바다 망하다 알다 사찰 이름 기억 나다 기와집 판이 보이다 사진 오른쪽 나무 하야 매달리다 노니 나무 열매 우리나라 과수원 종이 봉지 감싸다 노니 열매 종이 봉지 감싸다 하야 보이다 00 많다 중국인 거주 고급 주택지 고급 주택 지다 중국인 상징 만들다 놓다 보통 발가락 만들다 발가락 만들다 중국 진짜
세부,필리핀 세부 레드 코코 무희 민속 00 남녀 무희 밉다 추다
세부,필리핀 세부 레드 코코 민속 공연 넘다 무희 민속 무희 민속
세부,세부 여행 대략 만족 4일 세부 여행 다녀오다 장염 5일 고생 정신차리다 올리다 음식 먹다 건지다 단순하다 갈이 인지 모르다 장염 걸리다 여행기 시달리다 시기 신종인플루엔자 걸리다 공포 마음 불안하다 여행 즐겁다 호핑 투어 재밌다 배고프다 먹다 푸드 맛있다 모르다 음식 가다 들다 선택 관광 스톤 마사지 선택 강하다 약하다 약하다 추천 마사지 무조건 강하다 좋다 참고 신랑 강하다 어깨 들다 숙소 아구스 가다 저렴하다 감안 중간 정도 만족하다 크다 깨끗하다 붐비다 타월 주다 튜브 빌리다 도대체 빌리다 주다 건지다 아구 아침식사 대다 정도 컵라면 싸다 마지막 시내 관광 조촐하다 쇼핑 군데 정도 가다 루시 자유롭다 구매 배려 해주다 루시 코코넛오일 먹거리 몇개 사다 라텍스 도저히 비싸다 엄두 내다 오일 트러블 자다 쓰다 선물 좋다 써다 내려가다 가다 싶다 세부 추천 해드리다 관광지 가보다 신분 가보다 루시 항상 건강하다
세부,필리핀 세부 엄마 세부 여행 필리핀 나라 크다 기대 실망하다 편안하다 다니다 오심 만족하다 먼저 항공기 저가 정책 항공기 기내 서비스 필요하다 챙기다 간식 거리 담요 간식 필요하다 가져가다 짧다 비행 힘들다 음악 가져가다 읽다 가져가다 금방 4시간 담다 호텔 알프 하임 빌라 빌라 넘다 기대 말다 빌라 치다 넘다 싸다 장점 개인 수영장 욕실 넓다 방도 적당하다 부대 시설 아침 블랙 커피 아쉽다 워터파크 이렇다 프라이 공간 좋다 객실 수도 많다 사람과 마주치다 피곤하다 나름 개인 수영장 깨끗하다 관리 해주다 저녁 별보 수영 넘다 좋다 담다 선택 관광 루씨 친절하다 요구사항 적절하다 응대 해주다 넘다 좋다 감사 선택 관광 스파 스톤 마사지 만족하다 가격 비싸다 받다 만족하다 마사지 최악 마사지 좋아하다 전신 말다 스파 스톤 가지 선택 최악 최상 나머지 어메이징 알카 크다 아기자기 재미있다 호핑 바다 넘다 아름답다 만족 전체 여행 만족하다 호텔 서비스 고객 입장 준비 개인 수영장 파라솔 오다 여러 기념품 가게 유쾌하다 식사 엄마 괜찮다 여행사 세부 만족하다 처음 직원 세심 배려 여행지 만족
세부,필리핀 세부 사진 오른쪽 요새 사진 축소 만들다
세부,필리핀 세부 식사 민속 공연 펼치다 레드 코코 민속 공연장 전경 촬영 원통 식사 테이블 사진 보이다 설계 되어다 중앙 무대 무희 공연 펼치다 관광객 테이블 식사 밉다 감상 공연 후미 민속 끝나다 우리나라 원더걸스 노바디 우리나라 음악 맞추다 신나다 추다 관광객 추다 어우르다 한바탕 추다 공연 마감 레드 코코 민속 공연장 날씨 지니 관광객 한나 모여들다 관광객 우리나라 레드 코코 남녀 단원 음악 맞추다 민속 추다
세부,세부 여행 실망하다 세부 많다 기대 가지 출발 공항 도착 세부퍼시픽 항공 비행기 비행기 좌석 한국 한국어 안내 해주다 언어 나이 들다 입장 답답하다 비행기 출발 기내식 저녁 먹다 고프다 비행기 팔다 컵라면 먹다 주문 컵라면 3달러 한국 500원 단팥빵 3달러 안되다 소린 황당하다 주문 취소 2달러 음료수 사다 먹다 비행기 출발 3시간 지나다 비행기 요동 흔들리다 시작 탑승객 무섭다 모르다 기내 서도 한국어 방송 비행기 이렇다 서비스 처음 필리핀 한국 무시 들다 막탄 공항 도착 시설 엉망 기대 한순간 무너지다 린다 숙소 도착 덥다 샤워 물이 장난 생수 마무리 안되다 아침 일어나다 식사 가다 1조 토스트 1조 아침식사 관광 음식 시설 들다 하늘 바다 빼다 세부 여행 계획 신분 참고 푸트 레드 코코 맞다 아일랜드 호핑 투어 어메이징 선택 관광 기대하다 말다 가시다 좋다 가시다 먹다 충분하다 준비 가세
세부,필리핀 세부 마리 바고 불루 워터 리조트 비치 이름 파랏 맑은 물의 비치 비치
세부,필리핀 세부 호핑 투어 즐기다 잡고 쉬다 호핑 투어 나오다 방카 호핑 투어 나오다 방카 들다 일렬 정박
세부,필리핀 세부 리조트 비치 풍경 리조트 비치 풍경
세부,필리핀 세부 사진 내부 넓이 10 평이 넘다 스럽다 바닥 대리석 시공 되어다 지다 주방 포함 10 거실 평이 많다 침대 바닥 보이다 높다 설치 되어다 바닥 침대 사이 공간 넓다 은방 우리나라 걸이 가다 걸리다 보이다 욕실 나가다 물다 욕실 나가다 넓다 평정 욕실 나가다 사이 욕조 금보 사진 욕실 사진 욕실 사진 욕조 보이지 부연 설명 사진 욕실 욕조 사진 찍다 욕조 보이지 중앙 거울 오른쪽 옷장 오른쪽 변기 욕실 천정 투명하다 아크릴 되어다 하늘 만들다 놓다 사진 바닥 침대 사이 높다 보이다 리조트 보이다 방이 되어다 물동이 묻다 모래 닦다 들다 간다 리조트 물동이 물다 닦다 들어가다 사진 자세하다 촬영 리조트 레스토랑 뷔페 식사 뷔페 식사 레스토랑 뷔페 저녁식사 리조트 방앞 물동이 반대편 탁자 의자 다정하다 앉다 말다 되어다
세부,필리핀 세부 마라바 불루 워터 리조트 단층 진과 객실 지다 지붕 갈대 역다 지붕 만들다 우리나라 초가 지붕 연상 사진 물동이 비치 수영장 맨발 다니다 들어가다 묻다 모래 물동이 물다 닦다 들어가다 항상 물동이 물이 가득하다 전날 물동이 올리다 방과 올리다
세부,필리핀 세부 마리 바고 불루 워터 리조트 방앞 물동이 물이 가득 비치 수영장 수영 묻다 모래 씻다 들어가다 올라서다 동이 물다 닦다 들어가다
세부,필리핀 세부 호핑투어 해상 레스토랑 점심식사
