country,cleaned_sentences
스페인,최승 9일 스페인 여행 주변 지인 추천 유럽 여행지 선택 스페인 출국 일주 일전 갑작스럽다 결정 여행 출발 여행 스페인 매력 충분하다 느끼다 국적 건물 일상 여유 즐기다 유럽 잊다 스페인 풍경 현지 버스 기사 친절하다 운전 장시간 이동해 야하다 불편하다 편안하다 갈다 일정 꼼꼼하다 설명 해주다 스페인 지역 역사 명소 자다 여행 성당 관람 많다 설명 통해 구석구석 자다 개인 선택 관광 맹고 관람 기억 남다 스페인 정열 댄서 몸짓 느끼다 패키지 여행 장점 단점 충분하다 여유 즐기다 가시다 스페인 충분하다 즐기다 시기 바라다 9일 인솔 해주다 최승 감사하다 수고 많다 여행 뵈다 좋다
스페인,스페인 8일 패키지 백경 박현 인솔 글자 제한 고객 리뷰 아쉽다 적다 바람 의도 부정 평가 내리다 돼다 평점 돌발 상황 일부 미비 아쉽다 만점 드리다 경우 바람 전체 평점 내려가다 고객 리뷰 평점 수정 조정 해주다 고맙다 전체 여행 좋다 평소 라틴 음악 즐기다 듣다 가우디 피카소 달리 전시 찾아다니다 가다 싶다 스페인 코로나 시국 해외 여행 가능하다 싶다 천만 다행 성사 돼다 자유 여행 선호 안전 패키지 여행 고르다 편의 안전 부단하다 고민 노력 인솔 현지 기사 들다 깊이 감사 드리다 한님 쾌활하다 박현 차분하다 인내심 배려 30 챙기다 코로나 규제 강화 돼다 바뀌다 와중 보여주다 애쓰다 보이다 서든 든든하다 문화 역사 여행 선호 톨레도 코르도바 그라나다 바르셀로나 좋다 제약 찬찬하다 둘러보다 마드리드 박물관 미술관 둘러보다 차다 좋다 우기다 여행 기간 내내 악천후 영향 받다 기적 코로나 시국 인원 여행 조심스럽다 최대한 편하다 코로나 검사 받다 조치 해주다 여행사 배려 감사 드리다 이의 등장 불안하다 여행 발동 걸리다 방랑 조만간 통해 해소 기대하다
스페인,가족 행복하다 스페인 포르투칼 여행 여행 가족 여러 의미 결혼 20 주년 아들 대학 입학 회사 입사 25 주년 여러가지 기념 유럽 여행 가게 되어다 년전 일본 자유여행 다니다 적다 주일 휴가 내다 다녀오다 여행 처음 스페인 자유여행 엄두 나다 패키지 여행 선택 좋다 추천 드리다 싶다 코스 인솔 자다 만나다 정해준 인솔 김신 안내 주다 재미있다 의미 여행 되어다 후기 길다 쓰다 자꾸 에러 나서다 핵심 올리다 여행 1일 마드리드 똘레도 콘수 마드리드 궁전 지하 주차장 김신 만난 제일 중요하다 만나다 마자 시내 츄러스 사주다 초콜릿 찍다 먹다 기억 남다 마드리드 광장 상등 즐겁다 가지다 프라 미술관 똘레도 관람 똘레도 외곽 똘레도 시내 전망 똘레도 관광 친후 콘수 가다 풍차 마을 관람 여기다 석양 아름답다 여행 2일 아빌라 파티마 2일 성곽도시 아빌라 관광 대학도시 살라망카 거치다 포르투칼 카톨릭 중심 도시 파티마 가다 버스 김신 스페인 포르투칼 역사 자세하다 설명 주다 세계사 정리 기회 되어다 고속도로 휴게소 먹다 커피 맛있다 주로 까페 아메리카노 아구 아메리카노 여행 3일 끄다 로카 리스본 세비야 끄다 깔다 이베리아 반도 서쪽 땅끝 마을 5시 출발 일찍 출발 끄다 끄다 일출 좋다 사진 많다 리스본 시내 이동 에그타르트 먹다 툭툭 전동 오토바이 타고 구경 여행 4일 세비야 론다 세비야 스페인 광장 대성당 유명하다 고도 우리나라 치면 경주 느낌 받다 광장 자유시간 가지 커피 한잔 5일 자유여행 느낌 다니다 정팀 장님 과장 배려 덕분 귀족 마차 타고 세비야 대성당 이동 대성당 과장 찍다 가족 사진 멋지다 찍다 주다 감사하다 세비야 대성당 많다 유적 콜롬부스 뜨다 묘지 제일 기억 남다 대성당 나오다 론다 도시 이동 론다 누에 다리 유명하다 도시 자유시간 가지 할배 다녀가다 까페 커피 한잔 점심식사 맛있다 지식 주로 구성 야채 샐러드 올리브오일 발사믹 뿌리다 들다 좋다 메뉴 고기 감자 생선 후식 과일 오렌지 사진 오른쪽 보이다 노랗다 이전 헤밍웨이 살다 사진 뒤쪽 할배 카페 커피 맛있다 여행 5일 미하 프리 리아나 5일 자유여행 느끼다 스페인 남부 도시 가다 도시 예쁘다 미하 미자 프리 리아나 포카리스웨트 유명하다 하얗다 도시 점심 먹다 식당 도시 전망 예쁘다 점심 식사 치킨 요리 나오다 맛있다 2시간 정도 자유시간 가지 자유롭다 관광 저녁때 그라나다 이동 6일 관람 알함브라 궁전 야경 먼저 여행 6일 그라나다 6일 알함브라 궁전 관람 안타깝다 되어다 스페인 포르투칼 재미있다 안내 해주다 김신 이별 남자 헤어지다 아쉽다 기다 처음 과장 가시다 상황 가족사진 찍다 감사하다 아쉽다 이별 마지막 목적지 바르셀로나 기다 여정 떠나다 여행 7일 바르셀로나 마지막 바르셀로나 관광 핵심 가우디 가우디 설계 대성당 공원 방문 대학 입학 아들 전공 건축학 아들 대학 기간 알바 오다 사진 아침 들르다 몬세라트 수도원 안개 끼다 아쉽다 바르셀로나 이동 1992년 바르셀로나 올림픽 금메달 황영조 기념 보이다 가우디 설계 건물 가우디 성당 세로 찍다 사진 공원 좋다 가족 10일 기다 길다 짧다 짧다 여행 마무리 되어다 좋다 일정 숙박 호텔 식사 인솔 완벽하다 여행 정해준 장님 김신 감사하다 말씀 전하 여행 후기 마무리 감사하다
스페인,스페인 로컬 후안 좋다 스페인 여행 여행 가다 오다 여행기 차분하다 적다 가다 정리 문득 여행 질문 스스로 해보다 나름 정의 내다 좋다 여행 좋다 장소 좋다 사람과 의미 보내다 좋다 알다 널리 알리다 미덕 옳다 쓰다 돼다 어머니 예약 인솔 나오다 자다 고르다 알다 대금 결제 상태 되돌리다 가다 추가 코로나바이러스 미국 이란 갈등 이슈 복합 마음 불안하다 강행 후안 만나다 모의 노래 살떄 피아노 치다 천재 가사 후안 살때 스페인 살다 상품 인솔 지인 후안 어떻다 사진 찍다 잘나오다 어떻다 좋다 시간대 들이다 어떻다 감정 느끼다 걸리다 예측 지인 스페인 여행 간다 주저 후안 만나다 보라 배낭여행 스페인 여행 찾아보다 후안 찾아보다 스페인 심장 느끼다 해주다 무교 후안 만나다 해주다 신의 은혜 감사
스페인,박율 스페인 여행 즐겁다 10일 일정 친구 스페인 포루투칼 10일 여행 기대 설레다 여행 숙소 음식 실망 박율 버스 여행지 도착 지식 설명 여행지 열정 설명 즐겁다 여행 되어다 자다 분배 자유시간 주시 알함브라 궁전 나자렛 궁전 열정 주다 즐겁다 여행 되어다 박율 보내다 하루 나오다 힘들다 텐데 열정 해주다 감사하다 덕분 즐겁다 안전하다 좋다 추억 만들다 오다 감사하다
스페인,스페인 조재호 칭찬 새롭다 알다 좋아하다 조재호 박식하다 폭넓다 깊이 설명 더불다 재치 입담 피곤하다 모르다 빠져들다 역사 종교 재개 부족함 버스 내내 쉬다 해내다 역사 배경 셜명 지식 여행지 전반 이해 크다 도움 되어다 성당 박물 관등 내부 자세하다 설명 여행 더욱 높이다 크다 역할 해주다 요행 마다 최고 포토 안내 해주다 직접 사진 찍다 많다 인생샷 추억 선사 주다 조재호 최고 베스트 오브 베스트 호텔 열악하다 난방 자다 여행 내내 감기 고생 항공 비즈니스 상품 자체 향상 필요하다 보이다 최고 스페인 포르투갈 여행 소중하다 추억 해주다 진심 감사 드리다
스페인,스토리 스페인 포르투갈 여행 조재호 감사하다 유명하다 관광 티켓 기도 어렵다 서다 패키지 장점 그룹 대기 입장 전문 설명 들다 역사 유래 익히다 사진 찍기 좋다 장소 선정 주다 허비 알차다 일정 소화 스페인 유명 관장 포함 상품 경험 많다 조재호 만나다 즐겁다 안전하다 여행 마치다 감사하다 라면 일부 호텔 난방 안되다 감기 걸리다 바꾸다 늦다 힘들다 친절하다 일일이 난방 상태 확인 바꾸다 주시 새벽 질문 응대 주다 감사하다 전체 빡빡 일정 버스 편하다 쉬다 이동 개인 별로 상당하다 타이트 스케줄 진행 많다 상품 70 대다 어르신 자다 적응하다 스페인 가기 아쉽다 좋다 선택
스페인,8일 딸램 스페인 여행 중학교 졸업 딸램 단둘 스페인 여행 설레다 예민하다 사춘기 딸램 패키지 숙박 컨디션 식사 출발 걱정 되어다 문의 가격 대비 식사 좋다 제일 걱정 숙박 컨디션 최상 만족스럽다 펴다 심준규 인솔 김지희 호세 기사 날씨 최고 기회 심준규 인솔 인솔 여행 싶다 마지막 진심 다해 인솔 주다 감사 드리다
스페인,인솔 덕분 즐겁다 8일 스페인 여행 여행 다니다 심준규 인솔 친절하다 훌륭하다 인솔 처음 덕분 안전하다 즐겁다 여행 세심 챙기다 배려 해주다 감사하다 항상 건강하다 행복하다 최고 대성
스페인,직원 후기 아름답다 스페인 일주 8일 출장 후기 아름답다 스페인 일주 8일 오전 추다 도착 최적 일정 지역 스페인 기간 2019년 11월 09일 2019년 11월 16일 8일 항공 핀에어 인솔 이봉 인솔 1일 2019 11 09 인천 헬싱키 마드리드 08 00 인솔 미팅 샌딩백 수신기 지급 개별 수속 11 05 042 인천 출발 헬싱키 향발 탑승 10시간 소요 좌석 배열 한국인 승무원 탑승 기내 와이파이 유료 가능하다 쿠션 담요 이어폰 무료 제공 이륙 1시간 기내식 불고기 해산물 제공 착륙 2시간 간단하다 기내식 소고기 볶음 제공 되어다 14 20 헬싱키 도착 환승 한국 여권 심사 나오다 마드리드 탑승 자유시간 저녁 식사 북유럽 물가 비싸다 버거킹 면세 점등 다양하다 거리 17 00 1654 헬싱키 출발 마드리드 향발 탑승 4시간 30분 소요 배열 좌석 별도 기내식 제공 주스 무료 제공 간식 거리 별도 판매 좌석 간격 넓다 힘들다 20 50 마드리드 공항 도착 호텔 이동 차량 30분 소요 버스 탑승 인솔 스페인 간단하다 소개 앞뒤 버스 1유로 판매 21 30 호텔 도착 1일 호텔 체인 호텔 컨디션 좋다 펴다 유일하다 호텔 와이파이 자다 이용 드라이기 커피포트 준비 되어다 샴푸 바디 시도 2일 2019 11 10 마드리드 똘레도 마드리드 07 00 기상 08 00 조식 다양하다 종류 주스 얼음 정수기 시원하다 음료 말다 치즈 시리얼 요거트 종류 다양 09 30 프라 미술관 차량 30분 소요 미술관 현지 김범 희다 만나다 검사 입장 내부 사진 촬영 불가 적발 단체 쫓기다 날수 관광지 경우 로컬 필수 동행 세계 대다 미술관 많다 그림 전시 되어다 12 00 마요르 광장 관광 비아 거리 관광 도보 이동 30분 소요 마드리드 번화가 비아 거리 관광 시장 방문 많다 관광객 시장 다양하다 먹거리 많다 시장 우리나라 재래시장 우리나라 푸드코트 12 30 쇼핑 센터 방문 가죽 제품 브랜드 신발 잡화 판매 가죽 제품 명품 브랜드 판매 아기자기하다 제품 많다 선물 구매 좋다 13 00 중식 한식 쇼핑 센터 도보 20분 거리 메뉴 불고기 순두부 찌개 반찬 리필 가능 테이블 제공 되어다 가시 구매 후식 오렌지 제공 되어다 14 30 똘레도 도착 차량 1시간 30분 소요 15 00 선택 관광 똘레도 꼬마 기차 30 꼬마 기차 탑승 똘레도 시가지 관광 진행 되어다 무료 이어폰 제공 채널 13 맞추다 한국어 설명 중간 5분 하차 사진 찍다 주어지다 기도 16 00 똘레도 대성당 산토 토메 교회 관광 산토 토메 교회 경우 내부 사진촬영 불가 17 30 석식 지식 테이블 제공 돼다 식전 샐러드 소고기 튀김 식사 제공 되어다 소고기 튀김 소스 나오다 전반 짜다 펴다 19 00 호텔 도착 차량 1시간 소요 2일 호텔 첫날 동일하다 호텔 숙박 이전 사용 수건 욕조 넣다 놓다 수건 교체 해주다 룸청소 해주다 3일 2019 11 11 마드리드 콘수 코르도바 세비야 06 00 기상 07 00 조식 메뉴 동일하다 치즈 주스 다양하다 준비 되어다 조식 빨르다 기다리다 스페인 식사 정확하다 이뤄지다 09 00 콘수 차량 2시간 소요 풍차 내부 기념품 판매 유료 사진 촬영 가능 관광 바람 심하다 불어 따뜻하다 입다 가시다 추천 드리다 09 50 푸다 에르 토라 피다 일정 화장실 휴게 방문 돈키호테 실제 이용 여관 배경 30분 정도 자유시간 주어지다 13 45 중식 중식 차량 4시간 소요 다양하다 반찬 따뜻하다 국물 제공 되어다 중국 차도 준비 되어다 후식 오렌지 주다 개별 식사 오신 계시다 14 30 유대인 거리 꽃길 도보 20분 소요 유대인 거리 사원 주변 골목 20분 정도 자유시간 진행 되어다 14 50 메스키타 사원 도보 10분 소요 메스 사원 이슬람 양식 대규모 사원 스페인 코르도바 점령 카를로스 사원 성당 지다 이슬람 가톨릭 문화 공존 장소 되어다 사원 내부 빨강 하양 아치 색깔 벽돌 만들다 건축 기술 감탄 18 30 세비야 도착 차량 2시간 소요 19 00 선택 관광 맹고 공연 관람 70 공연 개별 사진 찍다 구매 원하다 10유로 판매 샹그리 레몬 맥주 탄산 제공 개인 올리다 사진 동영상 촬영 가능 맹고 유래 카르멘 설명 덕분 공연 더욱 즐기다 21 00 호텔 도착 차량 30분 소요 3일 호텔 호텔 기대하다 침대 물컹거려 불편하다 와이파이 약하다 잡히다 방음 약하다 냉장고 물이 챙기다 오다 무료 21 30 석식 호텔 선택 관광 호텔 2시간 정도 대기 저녁식사 식사 늦다 먹기 부담 4일 2019 11 12 세비야 론다 미하 그라나다 06 30 기상 07 30 조식 메뉴 치즈 다양 중국인 많다 시끄럽다 09 30 스페인 광장 차량 30분 소요 행사 통제 문제 관광 아름답다 광장 실감 나다 10 00 선택 관광 세비야 마차 투어 50 마차 탑승 타고 마리 루이스 공원 관광 밉다 참여 고객 인솔 걸다 세비야 성당 만나다 11 00 세비야 대성당 도보 10분 대다 성당 세비야 성당 11시 오픈 미리 서다 늦다 버리다 성당 바퀴 두르다 줄이다 길어지다 11 50 중식 중국 도보 10분 이동 반찬 전반 괜찮다 딱딱하다 후식 오렌지 14 30 론다 차량 2시간 이동 누에 다리 헤밍웨이 산책로 거닐다 자유시간 30분 정도 주어지다 60 센트 내다 유료 화장실 이용 해보다 17 30 미하 차량 2시간 이동 마을 마스코트 당나귀 동상 미하 전경 관광 자유시간 20분 주어지다 높다 지대 바람 불다 산토리니 연상 기대하다 정도 19 30 호텔 도착 차량 2시간 소요 4일 호텔 샤워 부스 드라이기 구비 되어다 들어가다 냉기 돌다 히터 켜다 와이파이 유료 진행 되어다 5유로 19 40 석식 호텔 과일 종류 많다 전반 음식 컨디션 좋다 요플레 경우 우리나라 수준 젤리 숟가락 먹다 20 50 선택 관광 그라나다 야경 투어 50 석식 차량 30분 정도 이동 야경 투어 가보다 알람브라 궁전 미리 야경 투어 로컬 동행 야경 투어 맥주 오징어 감자칩 간단하다 거리 호텔 가다 23 00 호텔 도착 취침 5일 2019 11 13 그라나다 발렌시아 06 30 기상 07 30 조식 5일 계란 요리 나오다 치즈 요거트 시리얼 다양하다 종류 삶다 계란 09 00 알람브라 궁전 차량 20분 이동 그나 상징 이자 이슬람 문화 최고 걸작 붉다 용지 사이즈 티켓 개별 주어 입장 제시 궁전 티켓 10 줄다 들다 제한 일부 관광 문제 궁전 관광 12 00 중식 지식 차량 40분 이동 감자 요리 나오다 우리나라 백숙 싱겁다 느껴지다 후식 사과 제공 되어다 식사 마드리드 분과 마지막 인사 식사 쇼핑 센터 방문 올리브오일 발사믹 식초 아르 오일 판매 19 00 호텔 도착 차량 5시간 이동 5일 호텔 금고 와이파이 로비 가능 느리다 세면대 높다 펴다 욕조 물이 튀다 별도 20 30 석식 호텔 호텔 컨디션 좋다 테이블 와인 제공 직원 운영 접시 잔반 개별 처리 6일 2019 11 14 발렌시아 몬세라트 바르셀로나 05 00 기상 조식 도시락 06 30 출발 바르셀로나 가기 기상 조식 사과 나오다 빵안 살라미 들다 입맛 맞다 11 30 몬세라트 도착 선택 관광 몬세라트 왕복 케이블카 30 차량 4시간 30분 소요 가우디 예술 영감 몬세라트 관광 바르셀로나 미팅 올라가다 방법 도보 차량 케이블카 산악 열차 가지 케이블카 타고 올라가다 편도 7분 소요 돼다 정상 베네딕트 수도원 검은색 마리아 동상 많다 검다 마리아 동상 서서 기다리다 기도 13 00 올림픽 경기장 차량 1시간 소요 10분 올림픽 경기장 관광 황영조 선수 동상 태극기 한글 반갑다 뿌듯하다 13 40 중식 지식 차량 10분 소요 한국인 먹기 편하다 짜다 익히다 빠에야 해산물 들어가다 비리 느껴지다 먹다 괜찮다 먹다 속이다 불편하다 아코디언 연주 해주다 계시다 요구 14 30 가족 성당 도보 20분 소요 천재 건축가 가우디 최후 작품 가족 성당 관광 내부 완성 되어다 외부 현재 공사 천주교 성가족성당 멋있다 느껴지다 외부 공사 끝나다 방문 해보다 싶다 14 00 공원 차량 30분 소요 지중해 내다 보이다 언덕 위치 공원 방문 공원 가우디 건축 공원 5만 정도 공원 가우디 가우디 비서 가우디 후원자 17 30 석식 한식 차량 20분 소요 현지 먹다 마지막 저녁 식사 개인 제일 맛있다 패키지 개인 식사 오기 18 10 카탈 루나 광장 차량 10분 소요 최근 바르셀로나 시위 이루어지다 카탈 루나 광장 가다 대학 주변 천막 치다 시위 우리나라 명동 연상 30분 정도 자유시간 주어지다 쇼핑몰 많다 19 30 호텔 도착 차량 30분 소요 6일 호텔 무색 컨디션 제일 좋다 호텔 근처 엘리베이터 명정 정원 초과 작다 커피포트 드라이기 무료 먹다 커피 준비 되어다 7일 2019 11 15 바르셀로나 헬싱키 06 00 기상 06 30 조식 도시락 도시락 전날 동일하다 받다 다행하다 메뉴 머핀 초콜릿 사과 복숭아 주스 07 30 공항 도착 50분 소요 체크 면세점 이용 자유시간 1시간 주어지다 사먹다 7시간 먹다 버거킹 이용 10 15 1654 바르셀로나 출발 헬싱키 향발 탑승 3시간 30분 소요 비행기 흔들리다 주스 제공 되어다 15 10 헬싱키 도착 공항 대기 인천 비행기 탑승 오버 부킹 인하다 300유로 받다 홍콩 경유 갈다 승객 찾다 모습 17 30 041 헬싱키 출발 인천 향발 탑승 9시간 소요 연착 되어다 기내 대기 기체 문제 알다 다행하다 이륙 1시간 기내식 미트볼 요리 제공 되어다 심하다 기류 인하다 2시간 기내식 제공 되어다 착륙 1시간 30분 간단하다 아침 감자 계란 요리 제공 되어다 초콜릿 주다 8일 2019 11 16 인천 도착 10 00 인천공항 도착 연착 인하다 예상 1시간 정도 늦다 도착 별도 미팅 개별 찾다 해산 후기 짧다 기간 스페인 주요 관광지 두르다 좋다 바르셀로나 일정 짧다 느껴지다 자유시간 좋다 들다 식사 호텔 컨디션 좋다 얘기 많다 걱정 체적 좋다 펴다 인솔 해박 지식 관광지 마다 자세하다 안내 들다 버스 지루하다 스페인 역사 문화 안내 해주다 짧다 기간 일행 친해지다 헤어지다 아쉽다 최고 여행
