country,cleaned_sentences
싱가포르,바가지요금 씌우다 상점 방문 싱가포르 일정 싱가포르 일정 건강 식품 잡화 파틑 상점 방문 여행 고르다 쿠키 초코 기르다 미국달러 35달러 105 지급 마지막 세다 토사 가다 거기 선물 똑같다 상품 유통 기한 1년 기다 제품 19 싱가포르 달러 판매 구입 싱가포르 달러 59 50 745 구입 미국달러 105 122 850원 구입 쿠키 구입 72 105원 지급 되어다 멀다 라이언 공원 싱가포르 달러 19달러 안되다 판매 선택 상점 선택 상점 모르다 패키지 여행객 호구 알다 믿다 다시다 여행가 싶다 지인 간다 말리 싶다
싱가포르,싱가포르 바탐 조호바루 여행 재밌다 원래 일정 여행 상품 예약 인원 미달 가게 여행 미리 여행 후기 읽다 최악 어떻다 많다 걱정 가게 여행 막상 가보다 알차다 재밌다 여행 개국 자다 만나다 들다 저녁 처음 만나다 말레이시아 방실이 편안하다 포근하다 인상 편안하다 호텔 데리다 주다 한국말 서툴다 진심 느껴지다 호텔 편안하다 좋다 조호바루 일정 사원 마을 돌아보다 조호바루 일정 짧다 아쉽다 두번째 나라 바탐 바탐 홍길동 칭찬 순수하다 시골 총각 유머러스하다 한국인 싶다 정도 놀랍다 패키지 여행 해봤다 사라 사주다 싶다 좋다 쇼핑 일정 부담스럽다 어딘가 사라지다 강매 물건 사지 아무렇다 간섭 여행 후기 읽다 가슴 오다 만난 개국 필요없다 사지 말다 쇼핑 미리 알다 마음 편하다 해주다 바탐 숙소 리조트 풍경 원주민 마을 바탐 리조트 수영 쉬다 갈다 좋다 원주민 마을 가다 미니 발리 가다 휴양지 느끼다 원주민 마을 좋다 기억 남다 마지막 일일이 옮기다 건강하다 좋다 보내다 진심 다해 덕담 건네주다 홍길동 마지막 모르다 이렇다 정도 재밌다 순수하다 편안하다 해주다 최고 이렇다 좋다 사라 믿다 한국인 정도 한국말 멘붕 빠트렸던 싱가포르 가든 바이 베이 랩소디 클락 풍경 마지막 싱가폴 싱가폴 최고 관광지 싱가폴 패키지 여행 해봤다 따분하다 똑같다 코스 1년 건데 싱가폴 일정 재밌다 줄리아 줄리아 단순하다 한국인 문화 사절단 부르다 정신 상태 다잡다 교육 멋지다 놓치다 설명 해주다 실수 부분 들어가다 해주다 의무 설명 경험 우러나온 리얼 설명 짜임새 코스 편안하다 해주다 일정 변경 부분 오해 동의 얻다 변경 되어다 싱가폴 여행 전적 여행사 오다 비교 되어다 상치 들다 종합 해보다 여행 말레이시아 국경 넘다 들다 바탐 가기 서다 페리 오다 가다 일정 국경 넘다 개국 오다 가다 경험 해보다 싱가폴 여행 따분하다 조호바루 바탐 일정 더욱 비교 좋다 여행 나르다 나라 문화 느끼다 가다 서비스 받다 편안하다 여행 가다 나라 음식 먹다 문화재 탐색 해보다 관광지 돌아보다 즐겁다 보내다 비행기표 금액 숙소 가격 정도 패키지 여행 오다 최고 서비스 받다 패키지 여행 말다 무리하다 요구 관광지 오다 우리나라 비교 불평 토로 여행 여행 동행 개국 평생 잊다 마지막 칭찬 이렇다 유지 듭니
싱가포르,싱가포르 여행 후기 10 4일 금요일 출발 싱가포르 여행 첫날 저녁 비행기 시작 대부분 비행기 진동 못자다 싱가포르 도착 기다리다 여행지 연속 다니다 첫날 여행지 겉핡기 빠르다 넘어가다 힘들다 힘들다 저녁 인도네시아 바탐 이동 현지 저녁 식사 호텔 가다 호텔 만족하다 바탐 일정 보내다 바탐 친절하다 농담 자주 해주시 친절하다 모든 일정 만족하다 돌아가다 싱가포르 가다 싱가포르 선택 관광 일정 비교 만족하다 선택 일정 스카이 파크 선택 관광 기본 가다 스카이 파크 나머지 공원 야간 보트 들다 재미있다 놀다 호텔 가다 싱가포르 호텔 콘센트 좋다 욕조 불편하다 좋다 아침 맛있다 여행 바탐 싱가포르 도착 바탐 인도네시아 란것 되어다 현지 친절하다 설명 해주시 분위기 띄다 제일 재밌다
싱가포르,직원 후기 부산 직항 떠나다 싱가포르 여행 후기 2019년 실크에어 싱가포르 여행 후기 지역 싱가포르 항공 실크에어 기간 2019 06 30 2019 07 04 5일 출장 목적 부산 출발 싱가폴 직항 탑승 경험 싱가폴 상품 개발 07 00 김해 공항 미팅 탑승 수속 08 00 김해 출발 항공 875 비행 6시간 30분 기내식 중식 1회 간식 2회 머핀 스낵 14 30분 싱가포르 공항 도착 입국심사 호텔 체크 차드 거리 중심부 위치 최근 모델링 굉장하다 깨끗하다 모던 호텔 석식 싱가포르 비첸향 육포 브랜드 유명하다 비첸향 그리다 늘다 싱가포르 유일하다 육포 들어가다 음식 먹다 식당 육포 굽다 진공 포장 다양하다 경험 공간 나이트 사파리 관광 야행성 동물 관람 세계 최초 야간 동물원 100만 관람객 다녀가다 싱가포르 대표 관광 명소 트램 타고 구역 동물 구경 이어폰 한국어 음성 지원 가능 레인 포레스트 루미 싱가폴 동물원 관람 가능하다 열대우림 컨셉 정원 곳곳 동물 모양 레이저 나오다 어린이 호응 좋다 2일 조식 데뷰 호텔 투어 호텔 차드 거리 중심부 위치 쇼핑 관광 접근성 뛰어나다 아이언 차드 푸드 헤리티지 트레일 차드 쇼핑몰 하루 무료 제공 쇼핑몰 투어 사전 예약 필수 유명하다 상점 갤러리 푸드코트 쇼핑몰 투어 만다린 차드 호텔 투어 호텔 한국인 좋아하다 대리석 로비 객실 분위기 세련되다 창문 보이다 아이언 차드 야경 굉장하다 멋지다 만다린 차드 호텔 중식 치킨라이스 싱가폴 라면 락사 유명하다 식당 호텔 식당 가격 높다 관광 싱가포르 디자이너 신상 브랜드 상품 모이다 편집 투어 부띠 끄다 호텔 위치 파가 중심부 도보 10분 거리 크다 센터 쇼핑몰 위치 석식 중국 퓨전 음식 식당 딤섬 가지 볶음 야채 볶음 볶음 한국인 좋아하다 음식 많다 가든 바이 베이 관광 마리나 베이 위치 공원 세계 관광명소 손꼽다 장소 세계 최대 온실 클라우드 포레스트 플라워 3일 조식 센토 이동 루지 번지점프 성인 아동 놀수 놀이터 티비 체험 투어 그룹 호텔 중국인 굉장하다 찾다 호텔 투어 투어 그룹 호텔 쥬얼 느낌 호텔 한국인 찾다 호텔 객실 바닥 카펫 부분 특징 적임 어드벤쳐 코브 워터파크 센토 유일하다 워터파크 스노 쿨링 수영장 유수풀 파도 풀등 가족 위로 찾다 관광명소 투어 수천 해양 생물 세계 최대 길이 자랑 터널 수족관 유니버셜 스튜디오 싱가포르 투어 센토 놀이 공원 영화 애니메이션 좋아하다 방문 장소 24 편의 영화 테마 바탕 어트랙션 구성 돼다 개다 유니버셜 스튜디오 싱가포르 즐기다 석식 싱가포르 고급 식당 칠리 크랩 페퍼 크랩 새우 튀김 새우 볶음밥 싱가포르 지식 한국인 입맛 맞다 즐기다 4일 호텔 조식 투어 센토 최근 오픈 호텔 유니버셜 스튜디오 실론 비치 굉장하다 가깝다 파묵칼레 모티브 만들다 수영장 엄청나다 인상 깊다 호텔 투어 빌리다 호텔 센토 사오다 수영장 공유 쓰다 루프 탑바 수영장 오픈 예정 소아 숙박 성인 전용 호텔 조용하다 분위기 호텔 객실 부대 시설 투어 싱가포르 상징 랜드마크 호텔 57 이루어지다 옥상 세계 크다 유명하다 루프 인피니트 풀이 루프 인피니트 쥬얼 쇼핑몰 투어 공항 대형 복합 쇼핑몰 오픈 싱가폴 유명하다 맛집 디자이너 브랜드 모이다 얼리다 체크 가능 가든 바이 베이 연상 시세이도 포레스트 폭포 인상 쥬얼 이의 캐다 파크 인공 조성 공원 유료 입장 가능 석식 쥬얼 위치 싱가포르 유명하다 맥주 타이거 비어 기업 운영 현지 식당 23 15 싱가포르 출발 항공 876 비행 6시간 30분 기내식 조식 1회 부산 직항 항공 이용 싱가포르 다녀오다 감회 새롭다 왕복 항공기 만석 리턴 싱가포르 70 싱가포르 계속 에코 투어 중점 관광지 만들다 습하다 기후 덕분 다양하다 식물 분포 이용 관광지 관광 사업 투자 많다 관광객 찾다 계속 색다르다 도전 싱가포르 매력 패키지 손님 자유 여행객 편안하다 여행 편리하다 대중교통 만족하다 인프라 갖추다 나라
싱가포르,설명 연휴 맞이 싱가포르 말레이시아 5일 가족 여행 가족 설명 연휴 맞이 싱가포르 말레이시아 5일 여행 말레이시아 기대 박대 열정 모습 친절하다 설명 통해 새롭다 말레이시아 싶다 넘다 행복하다 역쉬 패키지 여행 위상 중요하다 느끼다 박대 대박 진심 말레이시아 가보다 싶다 나라 만들다 진심 감사 드리다 박대 열대과일 자다 먹다 싱가포르 싱가포르 제일 예쁘다 송은주 부장 일명 부장 만나다 행운 짧다 2일 일정 부장 편안하다 즐겁다 싱가포르 명소 재미있다 관광 오다 싱가포르 정도 짧다 알차다 신나다 관광 주다 관광 도중 관광버스 설명 해주다 싱가포르 역사 명소 에피소드 가족 차다 유익하다 싱가포르 문화 역사 부장 통해 들다 흥미롭다 여행 진짜 힐링 느낌 더욱 감사 드리다 가면 좋다 먹다 좋다 작다 자다 챙기다 들다 항상 건강하다 화이팅 말레이시아 박대 싱가포르 송은주 부장 일명 부장 진심 감사 드리다 관계자 감사 드리다 여행 역쉬
싱가포르,중학교 학년 추억 떠나다 싱가포르 여행 만난 백년 지나가다 추억 떠나다 더욱 감사하다 여행 기럭지 우수하다 유전자 다리 뻗다 수도 좁다 의자 앉다 여행 비지니스석 다짐 지치다 들여다보다 허다 술함 건강하다 나라 싱가포르 출입국 과정 불편하다 감수 떠나다 바탐 지리 들다 기억 가르치다 설명 갖다 지도책 찾아보다 안보 인도네시아 바탐 힐링 주다 원시림 순박하다 바다 바다 바다 자다 교육 순박하다 성실하다 바탐 현지 박찬호 이름 기다 기억 밝다 깔다 최선 다해 이선아 줄이다 여행 지치다 나오다 사랑 친구 비타민 여행
싱가포르,싱가포르 바탐 5일 여행 다녀오다 1년 계획 싱가포르 바탐 여행 자다 다녀오다 친구 다녀오다 싱가포르 화려하다 깨끗하다 멋지다 싱가포르 이선아 줄리아 수고 20 인지 진행 자다 해주다 아쉬움 사무 버스 설명 주다 관광지 설명 질문 2회 질문 하니 답답하다 불편하다 친절하다 자세하다 안내 더육 좋다 바탐 김보성 늘다 친절하다 재미있다 성실하다 자다 안내 해주다 바탐 여행 행복하다 즐겁다 친구 건강하다 문제 여행 오다 감사하다
싱가포르,로얄 캐리비안 보이저 떠나다 특별하다 싱가포르 크루즈 여행 싱가포르 페낭 푸켓 크루즈 패키지 여행 일정 2018 05 06 05 11 6일 로얄 캐리비안 크루즈 140 000 보이저 출항 크루즈 여행 예약 특별하다 시댁 부모님 생신 맞이 여행 예약 보내다 드리다 여행 상품 알아보다 직접 가다 여행 부모님 보내다 드리다 여행 이기 신중하다 알아보다 자다 적응하다 즐겁다 여행 꼼꼼하다 검색 해보다 크루즈 여행 특성 여행 출발 여행사 경우 예약 안되다 취소 기도 연합 상품 경우 상품 담당자 여행 상품 모르다 기다리다 경우 다행하다 홍영란 담당자 상품 문의 되어다 예약 자세하다 친절하다 설명 해주다 최종 아무렇다 걱정 믿다 예약 되어다 여행 준비 이렇다 세심 서비스 신뢰 쌓이다 크루즈 여행 담당 건지다 모르다 기회 홍영란 담다 예약 정도 여행객 많다 일대일 친절하다 응대 해주다 홍영란 담당자 감사 드리다 크루즈 여행 전담 인솔 일전 전화 서다 간략하다 설명 해주다 홍영란 담당자 직접 하루 전날 부모님 전화통화 크루즈 여행 필요하다 멀미 교통 안내 해주다 꼼꼼하다 준비 실제 상치 당일 도로 혼잡하다 유용하다 정보 여행 후기 부모님 다녀오다 실제 후기 크루즈 여행 준비 시작 정찬 때입 세미 정장 준비 입다 수영복 가지 가다 수영장 사용 쓰다 10 부부 커플 패키지 여행 되어다 15 상이 인솔 기항지 투어 가능하다 다행하다 인솔 분도 배정 기항지 관광 추가 신청 크루즈 제공 기항지 관광 영어 진행 되어다 이용 여행사 패키지 인원 별도 한국인 진행 해주다 인솔 일전 전화 미리 설명 해주다 실제 여행 내내 친절하다 해주다 다니다 처음 크루즈 탑승 안전교육 단체 받다 인솔 시설 어떻다 이용 자세하다 설명 해주다 크루즈 종일 조식 자유롭다 먹다 오후 개별 구경 크루즈 곳곳 살펴보다 질문 사항 인솔 전화하다 안내 해주다 전화통화 안되다 메세지 남다 전화 해주다 선상 신문 매일 자세하다 일정 적다 알다 자다 이용 선상 신문 적다 주신 많다 일부분 후기 사진 올리다 일출 일몰 알다 꼼꼼하다 적다 싹싹하다 즐겁다 안내 해주다 인솔 감사하다 크루즈 전시 보이저 모형 인솔 정성 작성 해주다 선상 신문 크루즈 시설 로얄 캐리비언 보이저 승무원 수만 천오백 정도 승객 여명 타고 출발 보이저 항해 처음 들어가다 낡다 분위기 나다 많다 이용 알다 살짝 오래되다 느낌 동남아 여행 크루즈 인원 중국인 일본인 동남아 많다 한국인 10 정도 서다 기념품 가게 거리 명품시계 가방 가다 쇼핑 판매원 한국어 전혀 영어 의사소통 크루즈 옥상 수영 간단하다 조깅 트랙 걸다 다니다 크루즈 서다 객실 와이파이 전혀 안되다 부분 아쉽다 와이파이 사용 비싸다 들다 이용 기항지 와이파이 사용 가끔 가족 문자 로만 연락 주고받다 인터넷 용해 야하다 미리 문의 확인 부분 크루즈 15 이루어지다 조식 11 부페 이용 저녁 정찬 차려입다 먹다 생일 기념 여행 미리 담당자 카드 케잌 신청 해주다 서다 직원 테이블 축하 해주다 감동 이벤 트이다 크루즈 음식 뷔페 무난 호텔 조식 느끼다 정찬 코스 요리 만족하다 크루즈 전경 크루즈 작다 공연 기념일 축하 해주다 크루즈 승무원 크루즈 메인 로드 전경 크루즈 매일 먹다 조식 크루즈 객실 발코니 객실 사용 크루즈 여행 경험 많다 객실 계속 나가다 즐기다 경우 사용 괜찮다 개인 객실 발코니 여유롭다 바다 바라보다 발코니 객실 추가 비용 내다 업그레이드 만족하다 발코니 앉다 뜨다 지다 열다 환기 기도 크루즈 밤새 싱가폴 태국 말레이시아 계속 운항 앉다 집중 살짝 움직이다 느낌 들다 워낙 크다 민감하다 움직이다 느끼다 정도 멀미 비상 시로 준비 가다 다행하다 먹다 보이저 발코니 객실 객실 바라보다 바다 기항지 관광 출발 싱가포르 페낭 푸켓 도시 관광 기항지 관광 미리 신청 한국인 별도 준비 편하다 관광 현지 살다 생생하다 현지 듣다 즐기다 싱가포르 깨끗하다 범죄 설명 들다 아예 살다 도시 푸켓 돌고래 멋있다 마지막 알차다 싱가포르 케이블카 타고 풍경 만족하다 패키지 관광 경우 이동 챙기다 새벽 6시 출발 하루 종일 걸다 다니다 경우 힘들다 크루즈 밤새 편하다 타고 서다 크루즈 조식 먹다 여유롭다 도시 관광 시작 크루즈 관광 제일 크다 장점 기항지 관광 돌고래 기항지 관광 싱가포르 케이블카 타고 풍경 여행 느낌 크루즈 관광 생소하다 기도 정보 걱정 통해 다녀오다 만족스럽다 즐겁다 여행 넓다 바다 마음껏 개국 도시 편안하다 이동해 구경 패키지 여행 크루즈 개인 즐기다 크루즈 여행 매력 예약 해주다 홍영란 담당자 인솔 좋다 만나다 즐겁다 여행 마무리 크루즈 여행 망설이다 추천
싱가포르,공원 도시 싱가포르 휴양 도시 바탐 다녀오다 선진국 들다 실제 싱가포르 다녀오다 가다 싶다 들다 도심 곳곳이 자연 어우르다 질서 정직하다 도시 다니다 심하다 좋다 면세 인지 명품 좋다 물건 세금 구입 좋다 기회 캐리어 크다 가다 오다 야하다 스팀 보트 칠리 크랩 진행 되어다 맛있다 형님 외국 나가다 식사 맛있다 먹다 형님 예약 하라 현지 민정희 부장 최고 베테 필요하다 궁금하다 물어보다 척척 해결 주다 짧다 알차다 쇼핑 좋다 인도네시아 우리나라 근대 해리스 리조트 좋다 수영장 제일 좋다 저녁 9시 수영 사오다 망고 먹다 서비스 해주다 인도네시아 수영 현지 인도네시아 김우빈 반지 우리나라 배우다 가다 일행 자다 줄다 마음 읽히다 떠나다 척척 올려주다 재미있다
싱가포르,싱가포르 바탐 5일 여행 싱가포르 인도네시아 바탐 꽉차다 5일 일정 비행 실질 4일 일정 국제공항 입국 카야 토스트 삶다 달걀 간단하다 끼니 채우다 공원 관람 우리나라 수목원 느낌 운동 많다 굉장하다 공기 맑다 한적하다 여유 모습 인상 공원 버스 타고 싱가포르 시내 전반 둘러보다 가지다 공원 들다 많다 귀엽다 펭귄 관람 관람차 타고 크게 바퀴 전반 상태 확인 귀엽다 펭귄 많다 재롱 웃기 멋있다 모습 바라보다 간단하다 아랍 거리 살펴보다 마리나 베이 샌즈 시내 살펴보다 되어다 부분 야경 아름답다 일정 페리 타고 인도네시아 바탐 이동해 하루 마무리 차다 아쉽다 부분 싣다 도착 찾다 질서 찾아보다 비행기 화물 보내다 직접 찾다 상황 우리나라 나라 관광객 무질서 인하다 한국인 찾다 마지막 치이다 찾다 나오다 부분 아쉽다 바탐 중국사 원주민 마을 들다 관광 진행 관광객 발견 쫒다 모습 많다 관광객 상대 방법 터득 구나 들다 칠리 크랩 먹다 숙소 쉬다 마사지 저녁식사 하루 마무리 되어다 현지 키노 손수 노래 불다 재미있다 유머 즐겁다 보내다 페리 타고 싱가포르 돌아오다 차이나타운 센토 사르다 관람 일정 진행 되어다 저녁 타고 야경 구경 진행 되어다 스콜 인하다 계속 오다 그치다 반복 지속 차다 다행 들다 마지막 싱가포르 행시 필수 코스 머라이언 공원 가다 한국 출발 일정 마무리 되어다 4일 일정 2분 애쓰다 즐겁다 안전하다 다녀오다 산드라 키노 감사 인사 드리다 가게 여행 기대 해보다
