country,cleaned_sentences
싱가폴,덕분 싱가폴 뿌시 오다 상호 여행 후기 여름 휴가 기간 변하다 해외 나가다 재미 어떻다 즐거움 비교 수가 여행 정보 가성 여행사 비교 결정 짜릿하다 기분 경험 느끼다 보지 결론 여행 후기 만족 예약 출발 준비 사항 친절하다 상담 갈다 민영 담당자 분과 싱가폴 현지 자칭 이옥경 부장 불다 세심 배려 덥다 날씨 추억 사진 촬영 감사 거듭 전하 노랗다 승승장구 기원
싱가폴,우아하다 나라 싱가폴 판타스틱 싱가폴 여행 동남아 많다 나라 깨끗하다 안전하다 소문나다 나라 싱가폴 가다 싶다 취향 나라 싱가폴 가게 되어다 6시간 장시간 비행 힘들다 기다 참다 설레다 크다 12시 되어다 도착 싱가폴 공항 막상 싱가폴 도착 설레다 두려움 살짝 몰려오다 늦다 많다 여행객 입국심사 받다 기다리다 공항 기다리다 생기 발랄하다 젊다 여성 이수민 만나다 호텔 이동 일정 마무리 진짜 싱가폴 도착 아침 시작 싱가폴 투어 둘째 가든 공원 버스 시티 투어 플라이 가든 바이 베이 플라워 클라우드 포레스트 마리나 베이 새다 스카이 파크 둘러보다 가든 바이 베이 슈퍼 트리 랩소디 관람 가든 가든 도심 오아시스 역할 싱가포르 최대 식물원 싱가포르 건국 아버지 이자 자연주의자 스탬 포드 플스 경이 조성 정원 둘러보다 규모 대단하다 감탄 공원 돌아다니다 운동복 차림 운동 강아지 데리 산책 도심 이렇다 정원 가지 싱가포르 국민 새삼 부럽다 순간 공원 공원 000 마리 서식 세계 최대 규모 공원 많다 감탄 자아내다 공원 하이라이트 정도 똑똑하다 공연 여행 프로그램 직접 기대 멋지다 공연 정도 조련 걸리다 걸다 내내 감탄 시티 투어 버스 싱가폴 여행 제일 마음 잡다 아이러니 싱가폴 아름답다 유니크 건물 시티 투어 버스 타고 도심 둘러보다 좋다 오픈 버스 뜨겁다 태양열 힘들다 펼쳐지다 멋지다 풍경 덥다 날씨 정도 크다 문제 도시 계획 조화 중요시 싱가폴 디자인 건물 허가 나다 건물 모양 다르다 예술 작품 멋있다 도대체 이렇다 건물 어떻다 지다 수가 감탄 자아내다 건물 즐비하다 관광객 건축 조경 공부 학생 싱가폴 오다 이유 예술 아름답다 거대하다 위용 자랑 싱가폴 많다 건물 단연 독보 마리나 베이 새다 우리나라 지은 건물 하니 뿌듯하다 느낌 건가 플라이 대관람차 플라이 타고 바라보다 싱가폴 도심 풍경 장관 곳도 어색하다 어긋나다 조화롭다 어울리다 그림 싱가폴 이렇다 멋지다 오다 이렇다 풍경 감사하다 뿌듯하다 고소공포증 망설이다 플라이 탑승 걱정 웃기 들다 앉다 듯이 편안하다 하늘 바라보다 아름답다 전망 잃다 가든 바이 베이 멀다 라이언 공원 사자상 싱가포르 그니 치다 가든 바이 베이 세계 최대 규모 식물원 작다 나라 그리다 세계 최대 많다 건지다 서울 크다 도시 국가 싱가포르 넓다 아름답다 식물원 가든 바이 베이 입구 슈퍼 트리 시작 싱가폴 여행 내내 들다 싱가폴 참으로 머리 좋다 어떻다 해내다 구현 해내다 이렇다 슈퍼 트리 10 넘다 이건 시작 불과 슈퍼 트리 들어가다 플라워 클라우드 포레스트 판타스틱 플라워 가득 채우다 많다 아름답다 신기하다 많다 플라워 이름 톡톡하다 플라워 지나 만나다 클라우드 포레스트 폭포 마주치다 순간 오다 나다 모르다 튀어나오다 자연 생기다 실외 멋지다 거대하다 폭포 만들다 놓다 한참 잃다 바라보다 폭포 내부 들어가다 엘리베이터 타고 도착 엘리베이터 가다 걸다 올라가다 다리 따르다 구경 내려오다 내려오다 이름 클라우드 포레스트 붙이다 알다 구름 걷다 기분 뿜어내다 작다 물방울 안개 만들다 구름 싸이다 느낌 들다 싱가폴 가게 오다 가든 바이 베이 슈퍼 트리 일명 랩소디 공연 7시 45분 시작 좋다 자리 차지 가든 바이 베이 입구 붐비다 7시 도착 가득 안내 좋다 자리 차지 앉다 공연 시작 기다리다 공연 시작 아름답다 음악 슈퍼 트리 형형색색 들어오다 순간 탄성 들려오다 아름답다 뭐라다 표현 형형색색 들이다 음악 따르다 움직 슈퍼 트리 추다 현란하다 이용 우아하다 만들다 수가 건지다 넘다 감동 느껴지다 여러 신기하다 슈퍼 트리 직접 감동 일견 실감 순간 세계 오다 가다 모르다 슈퍼 트리 빠지다 앉다 일어난다 여행 아쉽다 순간 많다 관광객 빠지다 나오다 1시간 교통 정체 감수 일찍 나오다 달라 안내 일어나다 나오다 고개 자꾸만 돌아가다 1초 싶다 아쉬움 쾌적하다 여행 포기 둘째 투어 마무리 센토 유니버설 스튜디오 유니버설 스튜디오 유니버설 스튜디오 싱가포르 유니버설 스튜디오 놀이 공원 하나로 싱가포르 센토 아시아 일본 싱가포르 유니버설 스튜디오 싱가포르 유니버설 스튜디오 규모 그리다 크다 데리 두르다 적당하다 덥다 날씨 뜨겁다 내리쬐다 강렬하다 햇빛 힘들다 기다 다양하다 테마 아기자기 꾸미다 유니버설 스튜디오 모습 신기하다 가지 어트랙션 만족 유니버설 스튜디오 싱가포르 그니 치다 워터월드 공연 착각 계획 지연 들다 기다 워터월드 공연 순간 힘드다 녹다 사라지다 리얼 영화 실사 느낌 엄청나다 스케일 배우 자연스럽다 익살스럽다 연기 어떻다 가다 모르다 빠져들다 넷째 멀다 라이언 파크 에스 플레 이드 차이나 타운 불다 센토 케이블카 센토 아빠 멀다 라이언 클락 리버 크루즈 멀다 라이언 파크 싱가포르 가보다 가보다 떠올리다 멀다 라이언 멀다 라이언 파크 멀다 라이언 싱가포르 들다 멀다 라이언 내뿜는 포즈 인상 적다 주변 마리나 베이 새다 플라이 다양하다 건물 어울리다 멀다 라이언 파크 한층 품격 우아하다 만들다 싱가포르 여행 남기다 인증샷 되어다 버리다 멀다 라이언 받다 받다 받다 받다 다나 힘들다 포즈 받다 엄마 멀다 라이언 받다 뒤쪽 아기 멀다 라이언 만나다 덥다 화창하다 날씨 주변 멋지다 어울리다 인상 멀다 라이언 파크 나오다 싫다 정도 센토 케이블카 센토 나오다 케이블카 바라보다 싱가폴 전경 플라이 스카이 파크 감동 아름답다 느낌 넘어서다 비현실적 느껴지다 풍경 그림 엽서 들어오다 기분 끄다 우리나라 세계 나라 명소 가든 아름답다 풍경 싱가폴 풍경 차분하다 정돈 느낌 서든 느껴지다 특별하다 들다 며칠 싱가폴 빠지다 한국 케이블카 여러 멀미 심하다 케이블카 촌스럽다 멀미 센토 타고 나오다 케이블카 전혀 멋지다 빠지다 멀미 잊어버리다 끄다 케이블카 탑승 유창하다 영어실력 파워 이용 탑승 정원 10 인승 케이블카 가족 단위 탑승 배려 해주다 좋다 되어다 이수민 클락 싱가폴 야경 리버 보트 리버 크루즈 불리다 코스 싱가폴 여행 야하다 코스 리버 보트 선착장 클락 넘치다 낭만 가득하다 거리 레스토랑 술집 늘어서다 거리 어수선하다 자유롭다 정돈 느낌 가운데 두다 비치 대형 쇼핑몰 마주 강변 멋지다 노을 감상 수가 클락 싱카폴 이탈리아 직접 가보다 이탈리아 베니스 느낌 들다 추천 해주다 아보카도 바나나 쥬스 말다 맛있다 노을 구경 리버 보트 기다리다 클락 리버 크루즈 와우 며칠 싱가폴 투어 달려오다 싶다 아름답다 싱가폴 야경 리버 보트 타고 바라보다 싱가폴 야경 말로 형용 정도 판타스틱 어메이징 광경 조화롭다 정돈 깔끔하다 빌딩 화려하다 불빛 갈아입다 세상 느낌 들다 형형색색 불빛 뿜어내다 많다 건물 화려하다 현란하다 품격 느껴지다 확실하다 느끼다 싱가폴 우아하다 나라 는걸 8시 출발 리버 보트 마리나 베이 새다 지나다 레이져 탑승 지연 인지 부분 아쉽다 30 여분 리버 크루즈 끝나다 보트 아쉽다 들리다 30분 3분 지나가다 느낌 3시간 바라보다 지루하다 아름답다 풍경 아쉬움 안고 내리다 넷째 싱가폴 투어 마무리 5일 간의 싱가폴 패키지 여행 환상 여행 막연하다 싱가폴 나라 직접 가보다 아름답다 나르다 보여주다 관광지 명소 가꾸다 놓다 느낌 가다 들다 모든 싱가포르 일상 녹다 들다 유지 느낌 조화 게다 경제 부유하다 가지 정신과 문화 부유하다 느낌 곳곳 들다 이끌다 싱가폴 우아하다 나라 패키지 여행 어떻다 만나다 따르다 차이 어리다 조카 여행 자유여행 패키지 선택 좋다 상냥하다 친절하다 시작 끝나다 가이딩 해주다 좋다 좋다 일행 만나다 편안하다 즐겁다 여행 이수민 감사하다 덕분 잊다 멋지다 여행 되어다 감사하다 칭찬 올리다 해주다 일행 감사 드리다 가보다 싶다 나라 싱가폴 자유여행 다녀오다 싱가폴 구석구석 기회
싱가폴,아저씨 여행기 싱가폴 바탐 조호바루 짧다 기간 개국 오가다 말레이시아 조호바루 인도네시아 바탐 싱가폴 여행 색다르다 여행 육로 이용 국경 출입국 바다 이용 출입국 체험 항공 이용 출입국 체험 각기 또른 여행 백미 여행 경험 중요하다 직접 체험 짧다 기간 체험 여행 색다르다 체험 직접 경험 싱가폴 박선영 차장 또박 또박 목소리 여행기 내내 안내 주다 감사하다 카야 센토 체험 여행기 2017 10 07 2017 10 11
싱가폴,싱가폴 여행 후기 상품 여행 날짜 2017 11 저녁 인천공항 출발 15 아침 인천공항 도착 여행 조건 아시아나 왕복 키드 호텔 메인 인터파크 여행박사 연합 행사 진행 여행 인원 가족 70 대다 노모 초등학생 포함 전체 16 가족 할머니 가족 여행 비용 상품 가격 059 000원 기사 40 선택 관광 160 130만원 1일 자유여행 10 20만원 140 150만원 상품 선택 싱가포르 인도네시아 말레이지아 바탐 조호바루 리조트 박하다 싱가폴 박하다 개국 상품 많다 싱가폴 좁다 나라 숙박 비싸다 도해 구성 가격 저렴하다 개국 홈쇼핑 주로 상품 판매 리조트 딱하다 관심 싱가폴 집중 싶다 경우 싱가폴 상품 좋다 일정 구성 자잘하다 크게 신경 쓰기 싫다 준비 자유여행 부담스럽다 부담 가족 끼리 편하다 다녀오다 적당하다 상품 선택 관광 공원 플라이 되어다 거리 문제 플라이 선택 경우 많다 외곽 동물원 리버 사파리 나이트 사파리 고원 과학관 제외 시내 중심 일정 상품 여행사 일정 동일하다 단독 진행 특별하다 상품 크게 고민 부분 여행 비용 상품 가격 크게 여행 날짜 항공기 따르다 좌우 1월 중순 아시아나 항공 직항 가격 106만원 옵션 비용 더하다 130만원 짜다 상품 좋다 선택 관광 미화 기준 120 160 차이다 가든 바이 베이 포함 제일 이쁘다 제외 어렵다 160 선택 싱가폴 선택 관광 일정 중간 중간 포함 되어다 제외 그대 기다리다 이외 딱하다 곤란하다 고민 말다 상품 포함 가시다 편하다 호텔 후기 키드 호텔 키드 호텔 더블 오다 싱글 가다 여유 들다 화장실 넓다 쾌적하다 로비 좁다 복잡하다 개인 여행 오다 머무르다 비싸다 호텔 넓다 한국 채널 정도 뉴스 드라마 나오다 호텔 도보 2분 늦다 과일 가게 24시간 운영 마트 간식 거리 사기 좋다 차이나 타운 도보 20분 정도 거리 하루 일정 끝나다 저녁 1시간 2시간 정도 걸다 다니다 아쉽다 와이파이 유료 싱가폴 가든 무료 인터넷 무료 전화 가능하다 휴대폰 비치 놓다 여행 구글지도 길찾기 관광지 할인 쿠폰 다운 편리하다 자다 사용 부시다 실시 50만원 변상 한국 단체 관광객 많다 한국 착각 경우 자주 상당하다 많다 직원 번호 간단하다 한국말 알아듣다 데스크 한국 직원 많다 수영장 별로 사용 원하다 기분 좋다 독점 조식 계란 소세지 음료 과일 전형 조식 부페 형태 나오다 아침 적당하다 하루 자유 일정 유니버셜 스튜디오 후기 유니버셜 스튜디오 입장권 기본 제공 익스 프레 고민 들다 언리미티드 기준 목요일 50 금요일 70 주말 많다 평일도 금요일 비싸다 자유 정이 금요일 제외 평일 여행 일정 잡다 좋다 싱가폴 학교 1월 초순 개학 개학 싱가폴 학생 비교 한가하다 익스 프레 구매 많다 트랜스포머 인기 놀이기구 대부분 5분 기다리다 입장 반면 익스 프레 트랜스포머 1시간 베틀 스타 40분 미이라 20분 정도 대기 오후 3시 관광객 빠지다 나서다 제일 인기 트랜스포머 일반 5분 그날 그날 달라 예상 불가능하다 편차 심하다 비용 대비 효율 추구 붐비다 익스 프레 9시 미리 나오다 입구 줄스 입장 오른쪽 트랜스 포머 달려가다 줄스 대기 10 20분 안쪽 트랜스포머 번은 놀이기구 만족도 정리 트랜스포머 대박 안타 후회 트랜스 포머 영화 주인공 기분 즐기다 워터월드 무대 일부 무너지다 비행기 나르다 대의 오다 가다 성인 멋있다 초반 분위기 띄우다 관객 마구 뿌리다 앉다 각오 연후 주인공 포토 타임 배틀 스타 갤럭 티카 휴먼 이언 좀더 회전 많다 속이다 울렁거리다 미이라 실내 깜깜 한가운데 롤러코스터 짜다 돌리다 그닥 매력 모르다 코스터 좋아하다 강추 쥬라기 월드 우리나라 에버랜드 아마존 익스 프레 재밌다 스릴 빙빙 돌기 고맙다 아쉽다 싱가폴 시민 거주 현지 성재 감사 드리다 남자 이름 중년 여성 여행 시작 공항 떠나다 비행기 탈때 완벽하다 자다 챙기다 주다 출발 당황 스럽다 여행사 알다 출발 3시간 공항 나가다 만석 자리 기다리다 더니 가족 4조 쪼개다 6시간 넘다 가다 인터넷 미리 좌석 잡다 발권 정보 알다 수기 일찍 나오다 이렇다 여행사 가지 이렇다 들다 아쉽다 자유 정이 들다 상품 이면 이동 호텔 위치 확인 필수 출발 틀다 확정 빠듯 며칠 알다
싱가폴,싱가폴 가족 여행 아시아나 항공도 만족하다 일정 만족하다 싱가폴 여행 좋다 말레이시아 빈탄 싱가폴 돌아다니다 일정 빡빡 힘들다 만족하다 빈탄 좋다
싱가폴,싱가폴 인도네시아 상품 인도네시아 기억 남아 싱가폴 국가고시 채용 수준 높다 세련되다 매너 화법 센스 유럽 투잡 아르바이트 태국 랜드 확실하다 다르다 쇼핑 옵션 강요 열다 나오다 항상 의자 앉다 먼저 나오다 체크 눈치 주다 식당 피크 시간대 피해 단독 조용하다 가운데 한국인 중국 마주치다 식사 싱가폴 현지 최복순 실장 그레이스 바탐 현지 은지원 레피 프로 좋다 추천 싱가폴 수기 110 150 170 정도 들다 모으다 유럽 발리 인도네시아 자녀 오다 싱가폴 서울 도쿄 출장 가보다 장거리 행시 지로 부적절하다 드네 바탐 탁월하다 선택 화이팅 여행 계획 이신 참고
싱가폴,싱가폴 최상욱 인도네시아 마당 감사하다 싱가폴 바탐 말레이 직장 싱가폴 말레이시아 바탐 개국 여행 다녀오다 힘들다 예상 여행 판다 스틱 변하다 여행지 좋다 해주시 중요하다 여행 통해 되어다 싱가폴 최상욱 인도네시아 마당 센스 위트 넘치다 다니다 여행 내내 웃음 끊다 즐겁다 여행 뻘뻘 흘리다 뛰다 저리 뛰다 모습 잊다 여행 한국어 유창하다 마당 어렵다 요청 힘드다 내색 웃다 모습 선하다 인도네시아 바탐 가면 좋다 수영 맛있다 음식 먹다 인도네시아 문화 체험 되어다 좋다 싱가폴 어렵다 정속 힘쓰다 감사하다 주신 예쁘다 사진 찍다 추억 남기다 주변 소개 가든 공원 가든 바이 베이 차이나타운 리버 크루즈 마리나 베이 새다 호텔 야경 머라이언 공원 전통 시장 열대과일 시티 버스 유럽 아름답다 아시아 다이아몬드 잊다 싱가폴 말레이시아 바탐 인도네시아 여행 추천 가다 가보다
싱가폴,싱가폴 조호바루 바탐 5일 굿모닝 바탐 우연 연속 삶다 다가서다 가슴 따뜻하다 멀리 바다 그립다 지게 인생 행복하다 간직 부자 되어다 싱카폴 말레이시아 인도네시아 옮기다 나라 모습 눈빛 담다 설레임 발견 만남 여정 가슴 따뜻하다 행복하다 웃음 덥다 지근 날씨 흔들리다 밉다 풀다 주다 벌써 그립다 바탐 인도네시아 현실 부족하다 국민 인도네시아 기억 사랑 달라 나라 사랑 마음 이쁘다 지역 지역 발전 상과 변화 되어다 가다 작다 마을 다가서다 관광 의미 마음 열다 대화 생소하다 단어 배우다 기록 모습 더욱 진취 었다 하이 굿모닝 이름 한국 돌다 서민 다가서다 미소 여행 후기 나타나다 기억 여운 그립다 스스로 다가서다 인도네시아 모습 아름답다 관광 대국 보이다 시작 건강하다 자다 멀다 흔들다 굿바이 바탐
싱가폴,싱가폴 여행 재미있다 3일 개국 다니다 걱정 크게 힘들다 첫날 공항 늦다 도착 숙소 새벽 2시 도착 아침 6시 기상 힘들다 친절하다 덕분 알차다 여행 싱가폴 브랜드 친절하다 안내 상세 설명 들다 모르다 많다 알다 아름답다 싱가폴 야경 흠뻑 취하 오다 말레이시아 자고 지라 별로 인도네시아 리조트 좋다 식사 맛있다 여러가지 즐겁다 여행
싱가폴,친구 떠나다 싱가폴 여행기 여러 여행사 알아보다 처음 되어다 친구 처음 가다 여행 알아보다 궁금하다 많다 동남아 싱가폴 상담 많다 통화 귀찮다 귀찮다 친절하다 상담 해주다 견적 내다 메일 보내다 결정 꼼꼼하다 챙기다 덕분 여행 완벽하다 끝내다 오다 싱가폴 여행 여운 남아 가다 자유여행 걱정 크다 가이드북 입장권 챙기다 힘들다 5일 자다 놀다 오다 후기 작성 여행 가게 되어다 한치 망설이다 들어오다 들어오다 살펴보다 후기 작성 은감 작성 서유럽 알아보다 자유여행 패키지 고민 많다 자세하다 설명 받다 후회 여행 되어다 실망 고민 이신 고민 말다 좋다 추억 좋다 여행
