country,cleaned_sentences
아프리카,아프리카 개국 여행 14 귀국 다리 개인 코끼리 오늘 아프리카 여행 고국 아침 비다 보슬 보슬 내리다 빅토리아 폭포 마을 가다 호텔 돌아오다 일행 만나다 구경 합류 어제 가다 토산물 가계 찾다 가기 다행 여럿 모이다 찾다 갈다 가다 어제 받다 서비스 주기 물건 팔다 가계 가다 가계 주인 나오다 주인 물다 동생 전화 해주다 연락 되어다 찾다 가라 가지 오다 목각 제품 사고 오다 쓰다 다행 호텔 도착 근처 악어 농장 친구 악어 농장 가지 연락 워낙 통신 시설 안되다 가계 되어다 오늘 아프리카 여행 맞다 나라 한국 가다 아침 일찍 일어나다 어제 물건 사다 가다 가다 가다 싶다 어제 달라 하니 주인 었다 몇개 사고 나오다 숙소 오다 꾸리 나서다 기다리다 10시 30분 끄다 1500년 정도 되어다 나무 보이다 주다 가다 가다 도중 다리 달리다 코키리 먹이 먹다 코끼리 가다 1500년 정도 나무 포즈 사진 찍다 덥다 나오다 빅토리아 호텔 가다 150 번지 점프 토리아 공항 가다 출국 수속 더불다 비행기 아프리카 안녕 가야 1시간 30분 정도 비행기 나르다 요하네스버그 공항 도착 환승 13시간 비행기 비행기 자고 일어나다 먹다 음료수 말다 나니 어느덧다 홍콩 공항 도착 환승 인천 국제공항 도착 안녕 인사 가족 많다 사진
아프리카,아프리카 개국 여행 스페셜 잠베지강 선셋 길이 700 위대하다 잠베지 앙골라 잠비아 보츠와나 짐바브웨 말라위 모잠비크 통해 인도양 흐르다 남부 아프리카 최대 잠비아 짐바브웨 국경 강의 급류 이용 대규모 수력 발전소 카리바 건설 되어다 잠베지 빼놓다 아프리카 아름답다 일몰 선셋 크루즈 주변 코끼리 악어 하마
아프리카,아프리카 개국 여행 13 짐바브웨 보츠와나 아프리카 여행 13일 오늘 아침 6시 30분 기상 호텔 나가다 시내 구경 살다 라면 슈퍼 미장원 가계 많다 가계 즐비 살다 생활 사진 담다 호텔 돌아오다 아침 먹다 8시 30분 차량 이용 보츠와나 가다 짐바브웨 출입국 관리소 출국 신고 보츠와나 출입국 관리소 입국 수속 마치다 보츠와나 이용 베다 강가 가다 보트 사파리 즐기다 거기 일행 코키리 하마 악어 버팔로 많다 야생동물 돌아오다 모습 감추다 사자 멀리 보이다 아프리카 여행 나타나다 사자 카메라 고장 관계 안되다 감상 사자 나타나다 근처 동물 슬금 슬금 멀리 달아나다 시작 사자 근처 동물 보이다 지다 점심식사 나서다 보츠와나 출입국 관리소 출국 신고 짐바브웨 출입국 관리소 입국 수속 나서다 짐바브웨 빅토리아 폭포 구경 아침 차량 타자 마자 내리다 비다 보츠와나 출입국 도착 그치다 적다 오다 지나가다 불편 돌아오다 국경선 넘다 마자 검다 구름 끼다 오기 시작 토리아 관광 오다 물보라 지장 주지 빅토리아 폭포 관광 마치다 짐바브웨 노천 시장 필요하다 목각 제품 만들다 제품 구입 나라 싸다 호텔 돌아오다 점리 동시 호텔 저녁 먹다 나서다 오늘 일과 마치다 내일 아프리카 여행 나라 대한민국 가기 정리 잠자리 들다 많다 사진
아프리카,아프리카 개국 여행가이드 12 요하네스버그 잠비아 아프리카 여행 12일 아침 일찍 일어나다 일행 호텔 제공 아침 먹다 요하네스 공항 출발 요하 공항 도착 출국 수속 맞다 치다 10시 40분 출발 리빙스톤 비행기 요하네스버그 리빙스톤 1시간 40분 소요 짐바브웨 빅토리아 공항 착륙 승객 일부 내리다 잠비아 리빈 스톤 가다 승객 태운 리빙스톤 리빙스톤 도착 14 00 경이 되어다 여행사 통해 관광 오신 한국 관광객 만날 원래 12 30분 리빙스톤 도착 예정 빅토리아 공항 착륙 바람 늦다 리빙스톤 도착 현지 팬말 들다 서다 한영 짜다 빼다 영합 쓰이다 일행 볼펜 자르다 써주다 리빙스톤 도착 비자 받다 비자 50 내다 입국 수속 잠비아 입국 잠비아 빅토리아 폭포 관광 잠비아 출국 신고 짐바브웨 국경 도착 짐바브웨 입국 수속 45 주다 입국 수속 마치다 레인보우 호텔 도착 늦다 점심 먹다 잠베 아강 보트 사파리 잠베 강가 관광 주민 노래 불다 주다 일행 추다 즐겁다 코끼리 경과 하마 가족 잠베 아강 해지 관경 만끽 호텔 돌아오다 저녁 8시 늦다 저녁 식사 호텔 나오다 시내 중국 저녁 먹다 호텔 돌아오다 오늘 하루 일과 마감 무료 인터 사용 가능하다 속도 느리다 인내 갖다 많다 사진
아프리카,아프리카 개국 여행 11 유하 네스 버그 시티 아프리카 여행 11일 내리다 비다 새벽 더욱 세차 린다 날씨 우리나라 소나기 옆집 비다 맑은 하늘 보이다 어제 저녁 천둥 번개 시작 비다 아침 계속 아침 6시 30분 기상 7시 아침 먹다 8시 30분 신시티 이동 이동 대형 사고 터지다 신시티 20 전방 달리다 차량 운전 좌석 유리창 인지 유리창 지다 원인 알다 추축 내다 유리창 자다 고정 안되다 멀리 새총 던지다 유리창 박살 나다 다행 강화 유리창 관계 다치다 거기 관광객 유리 온몸 뒤지다 써다 차다 사고 지점 500 정도 덥다 멈쳐섰다 나쁘다 던지다 멈추다 나쁘다 짖다 일행 차로 신시티 가다 돌리다 보내다 오다 신시티 시내 구경 걸다 유명하다 호텔 입구 가다 사진 찍기 무료 입장 시켯느데 일인 받다 호텔 내부 구경 멀리 입구 사진 찍다 일부 미련 잭판 당기다 선수 박솔자 잭판 많다 코인 싸이다 시작 가지 떨리다 말다 다행 이간 부부 110 환전 보턴 부지런하다 눌런는 다행 320 수익 얻다 어기 두다 계속 깡통 차기 환전 돌아오다 돌아오다 여행 마지막 한식 식사 가든 한식 가다 김치 나오다 가지 무치다 호박 무치다 된장 찌게 불고기 저녁 먹다 후식 나라 도저히 먹다 한국 식해 나오다 얼음 뜨다 식해 한국 명절 이외 자다 먹다 슈퍼 깡통 들다 많다 저녁 먹다 호텔 들어오다 샤워 오늘 하루 마감 호텔 인터넷 사용 10분 25 랜드 지불 시티 옛날 고도 문명 가지다 유목민 요하네스버그 멀다 풍요롭 짜다 천지 진동 지진 일어나다 찬란하다 문화 땅속 사라지다 전설 남다 되어다 시티 1992년 전설 기본 새다 되어다 시티 카지노 형극 들어서다 종합 오락 중심 호텔 팰리스 스케 이드 메인 카바 니스 골프 코스 워터 피크 갖추다 아프리카 최고 매머드 리조트 되어다 리조트 실물 크기 동물 동상 호화롭다 장식품 들다 구경 인공 파도 서핑 수영 즐기다 마다 꺼지다 굉음 지진 재현 아찔하다 느끼다 많다 사진
아프리카,아프리카 개국 여행 10 남아프리카 유하 네스 버그 오늘 케이프 타운 요하네스버그 이동 아침 30분 일찍 모닝콜 6시 물리다 7시 아침식사 8시 호텔 나오다 비행장 가야 케이프타운 공항 9시 50분 출발 요하네스버그 2시간 정도 소요 요하네스버그 공항 11시 50분 도착 요하네스버그 공항 도착 출국 수속 가깝다 남아프리카 공화국 대통령 사시 가다 거기 과거 남아프리카 우리나라 도운 관계 우리나라 명패 많다 사진
아프리카,아프리카 개국 여행 남아프리카공화국 케이프타운 오늘 아침 6시 30분 기상 7시 30분 아침 식사 8시 30분 이프 리카 케이프 타운 관광 대서양 인도양 만나다 희망봉 시작 물개 산다 물개 이동 물개 호텔 귀환 휴식 취했다 물개 떠나다 항구 도착 일행 구입 승선 바람 불다 파도 그리다 높다 항해 물개 도착 선장 좌우 방향 바꾸다 관광객 모든 물개 놀다 모습 보이다 주다 새다 원주민 달멋 늘다 검은색 항구 입구 물개 많다 물개 가다 재미 구경 물개 구경 맞다 일행 선착장 기념 구입 기회 가다 몇몇 기념품 구입 물개 구경 끝내다 아프리카 팽킨 사나 확인 팽킨 여사 팽킨 군락 지로 이동 2만 마리 팽긴 숫자 줄다 2000 마리 기후 변화 인간 의심 만가 거기 대책 구경만 안타 서다 팽긴 서식 작다 집도 지다 먹이다 절대로 안주 가다 자연 순리 번식 원칙 가다 팽긴 구경 맞다 20분 거리 식당 이동 중국 점심 먹다 스프 된장국 나오다 간단하다 덥다 김밥 덩어리 생선회 먹다 나니 바닷가 나오다 일인 마리 나오다 바닷가 제의 즐기다 개다 타조 가죽 만들다 가죽 제품 팔고 기념품 팔고 중국인 나라 장사 관광 물품 구입 전적 특산 이외 물건 가전제품 삼성 엘지 점령 전자제품 우리나라 제품 체워 지다 물건 점심 맞다 차로 오늘 최대 목적지 희망봉 가다 희망봉 바닷가 벌써 많다 관광객 오다 중국인 들이다 많다 한국 여행 무리다 보이다 가다 많다 남아프리카 국화 만발 때마침 나오다 자연 상태 살아가다 건지다 모르다 타조 마리 길가 먹이 먹다 새우다 사진 담다 내다 사진기 타조 모습 담다 항구 관광 마치다 일행 등대 가기 버스 등대 입구 많다 관광객 모이다 모노 래일 티켓 구입 노래 일로 정상 갈수 모노 래일 내리다 일행 걸다 20 정도 등대 가다 구경 내려오다 길다 모노 래일 안타 걸다 내다 오기 서서히 서로 만나다 사진 찍다 버스 오다 관광 상품 팔다 가게 물품 구입 가다 저녁 식사 케이프 타운 항하 도중 건물 화려하다 칠하다 살다 주택가 항하 모습 사진 담다 다행 사시 주민 덕분 일행 들어가다 살다 모습 가다 저녁 먹기 성북 한국 교민 운용 식당 가다 모처럼 메뉴 김치 찌게 반찬 김치 비롯 연어 무치다 콩나물 나오다 한국 먹기 힘드다 다이야 몬드 갈치 구이 불고기 나오다 테이블 토막 나오다 테이블 이기 토막 3등 먹다 저녁 저녁 먹다 나오다 일행 성북 설명 주인 들다 수가 성북 정자 통체 가지 오다 정자 지다 간판 식당 걸다 나다 나라 운용 식당 오다 한국 관광객 적다 나라 상대로 여지 먹다 한식 최고 가다 많다 벌다 많다 관광객 오다 대서양 인도양 만나다 희망봉 희망봉 1497년 항해 스코다 가마 의하다 발견 되어다 남아프리카 남서쪽 남위 21분 일반 이프 리카 대륙 남쪽 알다 지다 실제 1488년 디아스 발견 처음 폭풍 불리다 포르투갈 명령 의하다 현재 이름 바뀌다 신기하다 희망봉 바라보다 인도양 대서양 색깔 달라 연하다 구분 되어다 보이다 한류 난류 마주치다 짙다 안개 발생 항해 어렵다 알려지다 남쪽 5000 떨어지다 지점 남극 물개 케이프 타운 아름답다 항구 후트 베이 늘다 남아공 호화 보트 정작 유명하다 유람선 15분 정도 항해 바다 맑은 바다 수천 마리 물개 서식 바람 파도 치면 갈다 많다 사진
아프리카,아프리카 개국 여행 남아프리카공화국 케이프타운 남아프리카 공화국 케리 프타 하루 아침 6시 기상 6시 30분 아침 먹기 시작 8시 30분 호텔 나오다 케이프 타운 관광 시작 테이블 마운틴 이동 케이블카 타고 정상 올라가다 날씨 바람 심하다 오다 케이블카 운행 중지 모처럼 관광 오신 잘못 올라가다 케이 불카 올라가다 내려가다 360 회전 하므다 창가 양옆 다행 케이블카 정상 구름 많다 정상 바라보다 다행 케이블카 타고 정상 올라가다 테이블 마운틴 케이프 타운 뒷쪽 솟다 1875 작다 이름 모양 테이블 각형 정상 케이블카 되어다 바라보다 대서양 인도양 운치 대양 한눈 바라다 전망 유명하다 일행 이불 마운틴 내려오다 포도주 농장 포도주 농장 가지 포도주 받다 가지 포도주 다르다 먹다 앃어 포도주 마사 현장 조주 팔고 30 다양하다 달라 받다 카드 현지 화페 가능하다 나오다 본인 마심 선물 가져가다 새다 포장 일행 선물 주어 가지 가다 점심 먹기 타조 농장 타조 농장 도착 점심 타조고기 먹다 타조고기 바싹 익히다 익히다 가지 구분 나오다 소스 들다 먹다 먹다 먹다 먹다 아쉬움 타조 농장 구경 타조 가죽 재품 타조 털다 만들다 공예품 공예품 구경 구입 원하다 현장 구입 타조 털다 만들다 구입 자세하다 한국 타조 농장 마무리 깨끗하다 가격 한국 훨신 싸다 한국 구입 30 000원 주다 김포 타조 농장 구입 해변 가로 이동 남태평양 바라보다 사진 찍다 바람 말다 휴식 취한 쇼핑 세다 타로 이동 본인 취향 맞다 쇼핑 여기다 따르다 받다 카드 현지 페로 사용 가능하다 저녁 먹기 중국집 가다 중국음식 저녁 먹다 저녁 먹다 호텔 돌아오다 오늘 마무리 남아프리카 공화국 만델라 고향 남아프리카 공화국 상식 후진국 아프리카 나라 케나다 벤쿠버 호주 시드니 비교 녹색 전원 도시 그림 해안선 프른 숲속 아름답다 선진 산업 기반시설 이렇다 아프리카 느낌 받다 지고 모르다 이렇다 아프리카 공화국 아름답다 자연 문화 문명 자다 조화 나라 아프리카 공화국 국토 독립국 레소토 스와질랜드 가다 애국가 백인 통치 부르다 오다 만델라 집권 체택된 가다 주로 나뉘다 아프리카 대륙 영향력 가지 남아프리카 공화국 강하다 나라 아프리카 심장 역할 수도 프레토리아 행정 케이프타운 입법 불룸폰테 사법 구분 면적 125 500 평방 남북 2000 동서로 1500 남한 12 정도 크기 인구 3800만 91년 통계 정도 2900만 아프리카인 500만 백인 300만 인과 100만 인디안 구성 되어다 언어 용어 영어 아프리카 쓰이다 종교 인구 대부분 기독교 희다 교도 부분 차지 에니미즘 믿다 많다 기후 대서양 연안 케이프 타운 평균 15 도씨 정도 지중해 기후 나타내다 요하네스 16 도씨 정도 지방 교차 크다 겨울 11월 4월 많다 유명하다 지대 오기 시차 한국 7시간 늦다 통화 200원 전압 220 230 50 답타 220 블러 그로 사용 쇼핑 다이야 몬드 토산품 목각 제품 유명하다 포터 경우 50 정도 룸메 이드 정도 적당하다 레스토랑 보통 10 정도 무난 지형 기후 남아프리카 북부 남부 2000 서부 동부 1500 정도 크다 나라 크게 지역 나눠지다 수도 요하네스버그 기후 대체로 건조하다 맑다 기후 주요 영향 위도 지형 주변 둘러싸다 해양 요하네스버그 포함 동부 지역 겨울 최고 20 도시 올라가다 도씨 끄다 지다 내려가다 건조하다 맑은 기후 가지 10월 4월 사이 오후 늦다 천둥 번개 동반 소나기 오다 지역 덥다 기후 유지 남서쪽 지역 여름 26 도씨 올라가다 건조하다 기후 겨울 평균 최소 기온 도씨 내려가다 춥다 높다 꼭대기 지역 오다 북쪽 위치 해안 지역 건조하다 덥다 날씨 인구 38 백만 명의 인구 29 백만 흑인 백만 백인 백만 나라 인종 백만 인도인 구성 되어다 60 정도 아프리카 나머지 영어 사용 대부분 기독교인 아프리카 원주민 교회 인종차별 교회 크다 다양 보이 500만 흑인 전통 종교 따르다 나머지 대부분 기독교 연합 믿다 언어 현행 제도 영어 아프리카 공동 사용 팜플렛 시간표 도로 표지판 언어 표기 되어다 아프리카 구사 백만 영어 유창하다 구사 아프리카 언어 평균 사용 오다 오다 노동자 사용 오다 언어 바자 관광 비자 30일 필요하다
아프리카,아프리카 개국 여행 나이로비 요하네스버그 케이프타운 새해 받다 금년 알차다 여행 계획 세운 신분 이용 감사하다 호텔 아침 먹다 모든 들다 오늘 로비 요하네스버그 거처 케이프 타운 비행기 가다 아침 먹다 나서다 오른 아우 오브 아프리카 설다 유명하다 소설 저자 카렌 브릭스 기념관 관광 가기 가다 당시 커피 농장 유명하다 커피나무 대신 골프장 사용 당시 생활 유품 현지 자세하다 들다 기념 사진 찍다 나서다 나이로비 공항 항공 티켓 받다 부치다 16 00 비행기 요하네스버그 공항 19 15분 도착 남아프리카 국내선 갈아타다 21 00 네스 공항 출발 23 10 케이프타운 도착 출국 수속 맞다 공항 나오다 현지 만나다 차량 호텔 가다 오늘 하루 마감 중남미 아프리카 여행 비행기 여행 비행기 경우 그날 관광 걸다 오늘 카렌 블릭센 박물관 구경 단체 기념 사진 찍다 알차다 하루 보내다 카렌 브릭스 기념관 카렌 브릭 기념관 아름답다 정원 유명하다 아우 오브 아프리카 소설 저자 덴마크 카렌 브릭 여사 생존 커피 농장 경작 살다 살림 도구 보존 전시 당시 주민 생활 남아프리카 공화국 만델라 고향 남아프리카 공화국 상식 후진국 아프리카 나라 케나다 벤쿠버 호주 시드니 비교 녹색 전원 도시 그림 해안선 프른 숲속 아름답다 선진 산업 기반시설 이렇다 아프리카 느낌 받다 지고 모르다 이렇다 아프리카 공화국 아름답다 자연 문화 문명 자다 조화 나라 아프리카 공화국 국토 독립국 레소토 스와질랜드 가다 애국가 백인 통치 부르다 오다 만델라 집권 체택된 가다 주로 나뉘다 아프리카 대륙 영향력 가지 남아프리카 공화국 강하다 나라 아프리카 심장 역할 수도 프레토리아 행정 케이프타운 입법 불룸폰테 사법 구분 면적 125 500 평방 남북 2000 동서로 1500 남한 12 정도 크기 인구 3800만 91년 통계 정도 2900만 아프리카인 500만 백인 300만 인과 100만 인디안 구성 되어다 언어 용어 영어 아프리카 쓰이다 종교 인구 대부분 기독교 희다 교도 부분 차지 에니미즘 믿다 많다 기후 대서양 연안 케이프 타운 평균 15 도씨 정도 지중해 기후 나타내다 요하네스버그 16 도씨 정도 지방 교차 크다 겨울 11월 4월 많다 유명하다 지대 오기 시차 한국 7시간 늦다 통화 200원 전압 220 230 50 쇼핑 다이야 몬드 토산품 목각 제품 유명하다 포터 경우 50 정도 룸메 이드 정도 적당하다 레스토랑 보통 10 정도 무난 지형 기후 남아프리카 북부 남부 2000 서부 동부 1500 정도 크다 나라 크게 지역 나눠지다 수도 요하네스버그 기후 대체로 건조하다 맑다 기후 주요 영향 위도 지형 주변 둘러싸다 해양 요하네스버그 포함 동부 지역 겨울 최고 20 도시 올라가다 도씨 내려가다 건조하다 맑은 기후 가지 10월 4월 사이 오후 늦다 천둥 번개 동반 소나기 오다 지역 덥다 기후 유지 남서쪽 지역 여름 26 도씨 올라가다 건조하다 기후 겨울 평균 최소 기온 도씨 내려가다 춥다 높다 꼭대기 지역 오다 북쪽 위치 해안 지역 건조하다 덥다 날씨 인구 38 백만 명의 인구 29 백만 흑인 백만 백인 백만 나라 인종 백만 인도인 구성 되어다 60 정도 아프리카 나머지 영어 사용 대부분 기독교인 아프리카 원주민 교회 인종차별 교회 크다 다양성 보이 500만 흑인 전통 종교 따르다 나머지 대부분 기독교 연합 믿다 언어 현행 제도 영어 아프리카 공동 사용 팜플렛 시간표 도로 표지판 언어 표기 되어다 아프리카 구사 백만 영어 유창하다 구사 아프리카 언어 평균 사용 오다 오다 노동자 사용 오다 언어 바자 관광 비자 30일 필요하다 카메라 고장 더불다 분실 사진 올리다 드리다 양해 바라다
아프리카,아프리카 개국 여행 케냐 마사이 마르다 나이로비 아침 일찍 일어나다 많다 먹이 먹다 속담 듣다 새벽 아침 먹다 새벽 동물 사냥 다기 모습 6시 게임 드라이브 차량 차량 3분 되어다 사진 차량 차량 중도 차량 이름 지다 새벽 달리다 차량 무언가 땐데 재일 먼저 뜨이다 하이에나 하이에나 주로 잡다 고기 뺏다 먹다 동물 근처 사자 동물 안나 유심 사자 보이다 사자 종물 사진 찍다 호텔 돌아오다 아침 먹다 멀다 떠나다 도로 포장 되어다 가다 리지 말다 항텐데 인솔 행운 바랄쁜 오늘 날씨 오다 더욱 초조하다 기다리다 지다 마찬 가지 포장 도로 진흙 30 가야 다행 방울 떨어지다 피고 차량 아스팔트 되어다 도로 나오다 도로 달리다 오다 오다 억수 퍼붓다 운전기사 걱정 모양 진흙탕 길다 나이로비 가다 어제 들리다 기념품 가계 로찌 싸다 점심 먹다 점심 닭고기 음료수 가지 들다 오다 긴장 되어다 많다 자다 먹다 먹다 기념품 가계 전달 나이로비 로비 멀다 나이로비 도착 저녁 좋아하다 삼겹살 한식 반찬 저녁 먹다 나서다 숙소 숙소 처음 묵다 숙소 마끼 가다 찾다 하루 지내다 많다 사진
