country,cleaned_sentences
이집트,허다 태범 유형 담당자 환상 콜라 보이다 이집트 여행 14 출발 이집트 패키지 다녀오다 모녀 인원 적지 기억 모르다 환갑 앞두다 엄마 모시 기념 삼다 가다 여행 여행 예약 당시 차다 고민 많다 이렇다 질문 차다 유형 담당자 처음 질문 참고 설명 꼼꼼하다 해주다 여행 코스 고르다 수월하다 싶다 후기 빌어 유형 담당자 감사하다 말씀 드리다 싶다 역사 이집트 크다 기대 안고 떠나다 여행 불구 기대 여행 만족하다 최고 여행 당당하다 만족감 느끼다 해주다 허다 태범 님께 크다 감사 말씀 드리다 싶다 데리 다니다 31 인원 세심 케어 해주다 섬세하다 일행 성함 친근하다 불다 오다 웃다 해주다 목소리 선하다 여행 가시 평소 패키지 자유여행 가리다 여행 차다 다니다 여행 마음 손님 세심 신경 쓰다 배려 계시다 들다 허다 태범 처음 이자 마지막 싶다 인원 많다 약속 늦다 경로 이탈 분위기 나빠지다 늦다 웃다 박수 치다 자고 여행 코스 내내 지루하다 이집트 문화 역사 인문학 다방면 오다 가다 보지 술술 풀다 감동 자체 인성 실력 센스 다방면 겸비 행업 존재 계시다 크다 강점 작용 싶다 정도 좋다 말씀 드리다 싶다 서비스업 종사 흔하다 일절 순간 진심 대하 언행 직장인 사회생활 본받다 겠다 들다 인격 배우다 여행 현지 운용 어떻다 해주다 따르다 여행 차다 달라지다 여행 처음 행복하다 기억 남다 3천 사진 기쁨 더하다 코로나 여파 출국 결심 차다 자다 듭니 말씀드리다 싶다 섬세하다 유형 담당자 상담 모든 완벽하다 허다 태범 이집트 여행 행복하다 마치다 도와주다 감사하다 코로나 여파 힘들다 이렇다 좋다 직원 계시다 크다 문제 지나가다 싶다 감사하다
이집트,허다 태범 레레 이집트 이집트 역사 문화 기행 안녕하다 지난 14 출발 이집트 일주 9일 여행 다녀오다 모녀 엄마 번은 가다 싶다 이집트 여행 버킷리스트 여행 이집트 전문가 허다 태범 행복하다 인성 실력 겸비 여행 이렇다 여행 번은 해보다 마음 오래오래 행복하다 여행 누비 마을 아랍어 누비 어르다 배우다 선생님 100 맞다 순간 재밌다 기억 남다 이집트 여행 당황 점도 궁금하다 점도 많다 자다 설명 해주다 여행 내내 편안하다 즐겁다 자다 다녀오다 여행 가지 포인트 요약 해보다 이집트 여행 앞두다 여행자 들다 도움 바라다 역사 문화 지리 강좌 신비하다 이집트 잡학 사전 역사 탐방 지도 생소하다 복잡하다 이름 혼란 스럽다 덜다 지명 지도 여행 신전 관람 포인트 상징 방향성 정면 색상 까먹다 모르다 의미 들이다 의미 사연 느끼다 계기 산자 나일강 사자 나일강 서안 나일강 동쪽 서쪽 자연환경 대비 태양신 파라오 숭배 이집트인 사상 느끼다 정복 건축 람세스 카드 전투 청동기 이집트 철기 명의 힛타이트 세계 최초 전투 오다 세계 최초 평화조약 원본 터키 고고학 박물관 사본 유엔 사무 총장 보관 힘없다 어리석다 백성 서러움 투탕카멘 슬프다 일대기 왕가 근친혼 인하다 유전 폐해 배신 역사 쿠프왕 대피라미드 피라미드 불가사의 미이라 유물 벽화 입구 크다 석관 현대 기술 건축 불가능하다 엄청나다 크기 안정 과거 현재 공존 느끼다 카이로 아스완 840 열차 이집트 현재 모습 카이로 열차 매달리다 가다 과거 우리나라 지하철 출퇴근 시절 모습 세계 최대 록필댐 아스완 하이 이집트인 전력 수급 상황 1억 넘다 인구 전력 수요 50 커버 화력발전 의존 상황 비다 부러 누비 아스완 전통 마을 학교 기다 나무 의자 칠판 부족하다 빛바 남루하다 학교 헤나 타투 그리다 낙타 즐비하다 거리 악어 키우다 미이라 만들다 베두인 발라 쿠나 사막 마을 사막 태양 나라 이집트 사막 일몰 불빛 사막 밤하늘 밤하늘 오래되다 신의 룩소르 마차 타고 룩소르 시내 풍경 삼성 간판 유명 페스트 푸드 명품 보이 옛날 시골 시장 풍경 1달러 일상 가난 철철 흐르다 넘치다 남한 면적 10 국토 95 사막 나머지 인구 95 거주 국민소득 우리나라 10분 현실 목숨 뻘뻘 흘리다 저으 작다 보드 타고 뱃전 다가오다 익숙하다 멜로디 노래 목청껏 외치다 소년 거품 물다 화장실 유적지 마다 외치다 광고 테마 음악 방송 아스완 아부심벨 288 룩소르 후루가 313 후루가다 카이로 464 지루하다 버스 여행 활력소 람세스 노래 익숙하다 소수민족 애환 서린 김용임 조용필 양희은 노래 사연 마지막 여행 출발 상품 고르다 과정 상세 상담 해주다 유형 담당자 감사 말씀 전하 여행 관련 궁금하다 사항 말씀 연락 드리다 자다 상담 부탁드리다
이집트,9일 이집트 여행 명절 연휴 연차 내다 크다 먹다 신청 여행 평생 버킷리스트 크다 기대 다녀오다 만족하다 기존 패키지 여행 쇼핑 옵션 강행 불만 스럽다 여행 중간 3일 크루즈 타고 나일강 떠다니다 유람 자유롭다 쉬다 충전 차다 좋다 기다 버스 타고 이동해 버스 불편하다 힘들다 여행 정상 부분 이해 여행 가다 여파 커서 3일 직장 퇴근 자다 여행 책임지다 주신 재일 지식 넓다 풍부하다 험담 노련하다 여행 일정 내내 자다 이끌다 감사하다 이집트 관심 역사 개념 희박하다 여행 가다 정도 되어다 사진 찍다 좋다 아쉽다 한식 정도 들어가다 좋다 만족하다 여행 평생 잊다
이집트,허다 태범 감동 환상 이집트 여행 허다 태범 감동 환상 이집트 여행 허다 태범 2020년 1월 17일 25일 9일 이집트 여행 다녀오다 처음 나이 어리다 보이다 가이딩 자다 걱정 여행 첫날 세심 배려 해박 이집트 역사 지식 신뢰 가다 하루 하루 여행 진행 허다 태범 여러가지 매력 흠뻑 빠지다 여행객 세심 배려 주시 매사 성실하다 열정 해주시 모습 감동 허다 태범 모든 열정 가지 나이 어리다 배우다 많다 성실하다 젊다 노력 최선 다해 살아오다 다양하다 취미 생활 휴게소 들다 피아노 연주 많다 감동 주기 충분하다 피아노 치다 모습 아름답다 피아노 실력 허다 태범 음악캠프 늘다 부와 부로 이틀 걸치다 진행 음악 방송 디제이 모습 해박 음악 지식 멋지다 음악 선택 아름답다 추억 여행 데리다 주다 좋다 일정 마무리 당일 여행 정리 주다 여행 시작 여행 전날 여행 설명 해주다 여행 잊다 기억 주다 마지막 여행 처음 코스 마지막 정리 해주다 스스로 이집트 여행 잊다 깊이 마음 나누다 이집트 왕조 칼라 프린트 이집트 이해 많다 도움 되어다 다양하다 능력 가지다 허다 태범 차다 많다 여행사 해외여행 자주 애용 신뢰 여행사 믿음 이집트 여행 허다 태범 되어다 개인 행운 허다 태범 행복하다 좋다 여행 허다 태범 싶다 허다 태범 건강 행복 기원 미정
이집트,이집트 여행 김성민 대박 이집트 여행 김성민 한국 일정 동행 안전하다 즐겁다 경유 비행기 환승 불안하다 실수 크다 실수 수도 아시아나 전세기 한국 출발 일정 귀국 안전하다 즐겁다 이집트 문화 역사 지리 지식 해박 친절하다 끊임없다 설명 주다 친절하다 설명 주다 좋다 질문 모조리 해주다 차다 감사하다 감사 드리다
이집트,멋지다 이집트 강민정 장님 환상 이집트 식사 아쉽다 강민정 장님 만나다
이집트,강민정 상상 이집트 여행 여행 어렵다 이집트 간다 하니 주변 걱정 좋다 좋다 날씨 좋다 인솔 만난 행복하다 여행 일정 좋다 음식 비교 입맛 맞다 볼거리 먹다 거리 체험 거리 풍부하다 여행 다녀오다 10 차례 패키지 여행 만족스럽다 강민정 인솔 유럽 공부 유학 다방면 뛰어나다 소질 가지다 이렇다 인솔 만난 행운 부드럽다 카리스마 37 명의 인원 자다 이끌다 나가다 해박 지식 알다 쉬다 설명 주다 여행 일어나다 크다 작다 문제 풍부하다 경험 처리 믿다 여행 사진작가 꿈꾸다 강민정 직접 찍다 사진 인생샷 덕분 여고 시절 꿈꾸다 오다 이집트 여행 만족 끝나다 되어다 행복하다 후르가다 스노 쿨링 해보다 회사 보내다 메시지 수정 사항 날씨 초가을 늦가을 고요 수신기 사용 사이즈 건전 필요없다 준비 카이로 공항 검색 뺏다 기다
이집트,이집트 여행 후기 성미 수고 나서다 평소 가다 싶다 그리스 산토리니 이집트 산토리니 맞다 일정 이집트 가게 되어다 하나투어 비다 기차 국내선 아스완 이동 마음 들다 아침 일찍 출발 야간 쉬다 일정 마음 들다 이집트 여행 역사 배경 지식 무더기 보이다 딱이다 미리 역사 공부 다큐 가다 이해 힘드다 부분 성미 강의 가깝다 안내 설명 하루하루 재미있다 보람 나날 행전 드리다 전세기 단체 항공권 24시간 항공기 체크 발권 가능하다 경우 12월 13일 11 20 출발 전날 저녁 22시 넘다 인천공항 항공기 체크 발권 숙소 가다 지방 올라오다 전날 체크 미리 좋다 비행기 좌석 좌석 이루어지다 장기간 비행 화장실 갈다 고려 좋다 창가 중간 앉다 화장실 가다 일어나다 불편하다 행전 여행사 단체 문자 오다 자다 준비 첫날 장시간 비행 차로 이동 기간 나이 비위 약하다 멀미 준비 추천 타이레놀 위장 반창고 필수 약과 썬글라스 자외선 차단 크림 카이로 룩소르 공기 좋다 기다 스카프 마스크 챙기다 권하다 출국 검사 통과 환전 가능하다 원화 현금 입출 출국 검사 들어가다 필요하다 환전 권하다 옵션 관광 유로 선물 달러 준비 좋다 옵션 관광 왠만하다 추천 쿠푸 피라미드 필수 네페르타리 무덤 문화재 보호 10 명당 10분 정도 무덤 달리 내부 채색 완벽하다 남아 아름답다 후루가와 사막 사파리 일몰 배경 사진 찍기 좋다 고가 팀원 많다 대화 나누다 좋다 룩소르 마차 투어 정상 이시스 신전 빛과 소리 그리다 추천 투탕카멘 무덤 내부 보물 카이로 박물관 무덤 내부 관람 투탕카멘 미이라 일정 바뀌다 이집트 테러 위협 치안 문제 항공기 기차 자주 시간대 늦어지다 따르다 일정 나누다 타이트 일정 후르가다 하루 쉬다 오후 사막 사파리 가다 리조트 오후 즐기다 리조트 쉬다 수영복 준비 좋다 사막 사파리 가다 발등 발앞 가리다 슬리퍼 샌들 가지 가다 추천 여행 후기 패키지 여행 반입 이집트 여행 경우 많다 유적 채색 남아 배경 지식 무더기 보이다 딱이다 안내 필수 일정 빡센 부분 어르신 많다 패키지 여행 특성 인솔 물르다 강경하다 안되다 줄타기 잘해야 부분 성미 만점 주다 싶다 공부 설명 막히다 거기 원칙 곱다 적절하다 융통성 뚝심 여행 내내 칭찬 감탄 음식 솔직하다 크다 기대 좋다 호텔 크루즈 지식 비슷 뷔페 식이 많다 나오다 음식 비슷 이집트 음식 짜다 달짜 고추장 라면 간식 준비 좋다 이집트 식이 입맛 맞다 챙기다 간식 먹다 전체 일정 카이로 아스 완행 항공기 연착 일정 꼬이다 버리다 아스완 다니다 가깝다 괜찮다 6일 하루 에드푸 호루스 신전 룩소르 이동해 왕가 계곡 하르셉 수트 장제 왕비 계곡 카르 신전 돌다 나니 새벽 4시 후르가다 이동 출발 일정 이렇다 다니다 참고 좋다 이건 여행사 마찬가지 하루 일정 패키지 여행 단점 전체 일정 촘촘 유적지 가다 따라다니다 설명 듣다 나다 개인 별로 대략 36 정도 사진 동영상 찍다 오다 부족하다 여기저기 뛰어다니다 다행하다 카르 신전 하트셉수트 부조 가르치다 지나치다 감사하다 치안 물가 가다 경찰 군인 배치 되어다 관광객 치안 신경 쓰다 모습 보이다 크루즈 나가다 알콜 스텔라 맥주 안주 사기 치안 관해 그리다 문제 느끼다 적다 이집트 노점상 호객 몇번 상대 요령 터득 코튼 셔츠 30달러 3달러 내려가다 가격 모르다 아줌마 물어보다 좋다 노점상 가제 상점 정가 주다 사다 노점 최저 가로 바지 5달러 목걸이 작다 악세사리 1달러 스카프 싸다 2달러 비싸다 10달러 정도 물가 싸다 편입 옷가지 바느질 터지다 부분 옷감 문제 자다 야하다 돌아오다 와이프 혼나다 선물 모르다 후르가다 잡화 들르다 거기 대추야자 히비스커스 사시 추천 종합 후기 영화 이집트 여행 아름답다 수많다 유적 둘러보다 대인 듣다 좋다 좋다 만나다 나누다 좋다 나일강 아스완 해질녁 나일강 아름답다 풍경 해질녘 햇빛 받다 황금 빛나다 보랏빛 푸른 어둡다 변하다 나일강 사진 담다 내다 맥주 한잔 풍경 덥다 나일강 고대 이집트인 나름 행복하다 살다 들다 기다 후기 읽다 감사하다 떠나다 카이로 공항
이집트,이집트 여행 9일 일정 친구 여행 어린이 연세 많다 계시다 아들 자다 맞추다 진행 모습 믿음직하다 이집트 신화 역사 재미있다 알다 주어 이집트 문화 역사 좀더 생동감 느끼다 오다 이동 일정 쇼핑 구매 노하우 주의 점등 알다 일정 효과 대응 실속 쇼핑 도움 되어다 처음 이용 좋다 만나다 이용 싶다 김기석 유럽 갈다 만나다 바라다
이집트,직원 후기 이집트 일주 이집트 일주 9일 지역 아프리카 이집트 일정 인천 이스탄불 경유 카이로 야간 열차 아스완 아부심벨 크루즈 콤옴보 에드푸 크루즈 룩소 크루즈 후르가다 카이로 멤피스 사카 카이로 이스탄불 경유 인천 이집트 9일 일주 행사 담당자 일정 진행 식사 호텔 사항 점검 출장 다녀오다 이집트 세계 대다 문명 발상 유구 역사 자랑 나라 고대 믿다 정도 정교하다 지다 다양하다 건축물 화려하다 장신구 상형문자 벽화 다양하다 볼거리 제공 수도 카이로 비롯 고대 수도 멤피스 노천 박물관 불리다 룩소르 이집트 최대 휴양지 후르가다 많다 관광지 존재 통해 관광 대국 자리 잡다 나라 출발 터키 항공 그룹 티켓 경우 출발 24시간 온라인 체크 가능하다 모바일 가능하다 터키 항공 어플리케이션 다운로드 진행 그룹 티켓 경우 아시아나 항공 마일리지 적립 불가능하다 1일 인천 공항 미팅 출발 3시간 전인 오후 8시 30분 인천 공항 카운터 인솔 미팅 지퍼 네임택 정표 전달 받다 체크 카운터 이동 사전 체크 진행 탑승객 대다 서기 짧다 연착 정시 출발 좌석 구조 배열 되어다 기내식 2회 제공 돼다 탑승 직후 비빔밥 구구이 가지 선택 먹다 이스탄불 도착 직전 오믈렛 익히다 감자 토마토 먹다 기내 한국인 승무원 한국말 가능하다 터키 승무원 탑승 편의 오다 한국 말로 안내 방송 진행 70 정도 아들 2일 이스탄불 아타튀르크 공항 환승 게이트 인솔 미팅 1회 진행 휴식 카이로 비행기 탑승 연착 정시 출발 좌석 구조 배열 되어다 깨다 감자 토마토 구성 기내식 1회 제공 돼다 오전 8시 40분 카이로 공항 도착 이집트 단체 구매 여권 붙이 심사 통과 수화물 대기 찾다 미팅 진행 되어다 개인 수신기 전달 받다 버스 탑승 이집트 고고학 박물관 이동 30분 정도 걸리다 이집트 고고학 박물관 도착 동반 박물관 투어 시작 해주다 모종 30년 째다 이집트 거주 이집트 역사 해박 지식 갖다 계시다 박물관 관광 더욱 알차다 느껴지다 대부분 수집 사진 촬영 가능하다 투탕카멘 황금 마스크 투탕카멘 황금관 보관 사진 촬영 금지 되어다 각생 인상 동물 미라 인상 박물관 관광 버스 탑승 중식 이동 중식 나일강 위치 현지 식당 진행 되어다 강변 위치 전망 좋다 메뉴 지식 뷔페 전통 소고기 미트볼 버섯 볶음 볶음밥 구성 되어다 나일 강변 잠시간 포토 타임 버스 탑승 구카이 지역 이동 카이로 아기 예수 피난 교회 모세 기념 교회 기독교 성지 곳곳 위치 유료 관광 좁다 골목 따르다 주변 관광 관광객 지나다 잡상인 호객 행위 마주 구카이 지역 모종 자세하다 설명 통해 알차다 관광 이집트 일정 하이라이트 피라미드 스핑크스 마지막 좋다 의견 주시 충분하다 설명 8일 일정 2일 일정 바꾸다 진행 릴리 전통 시장 방문 기념품 구매 먼저 가지다 저렴하다 가격 다양하다 기념품 구매 기념품 구매 야간 열차 탑승 카이로 기차역 이동 열차 15분 정도 지연 도착 객실 구성 되어다 침대 변형 가능하다 의자 침대 세면대 거울 탑승 30분 열차 저녁식사 제공 메뉴 삶다 소고기 스튜 오렌지 구성 되어다 세면대 수압 약하다 양치 정도 가능하다 3일 오전 8시 과일 간단하다 아침식사 제공 오전 10시 아스완 도착 내리다 선로 이동 가능하다 건널목 짐꾼 선로 가로지르다 옮기다 발생 버스 탑승 점심식사 도시락 받다 점심식사 30분 버스 이동 아스완 미완성 오벨리스크 관광 진행 되어다 이집트 유일하다 화강암 지대 아스완 이집트 모든 신전 오벨리스크 사용 화강암 채석 미완성 오벨리스크 관광 버스 탑승 아스완 하이 이동 영국 러시아 도움 받다 완성 아스완 하이 세계 최대 규모 록필 저수지 길이 500 아스완 하이 관광 버스 탑승 3시간 정도 아부심벨 이동 람세스 신전 파르 신전 관광 압도 위용 감탄 아스완 하이 건설 인하다 아부심벨 신전 위치 이동 유네스코 중심 되어다 신전 이전 덥다 날씨 일본인 중국인 유럽 관광객 아부심벨 관광 3시간 가량 버스 이동 아스완 나일 크루즈 탑승 지하 지상 구성 되어다 식당 지하 뷔페 절반 객실 나머지 절반 옥상 구성 되어다 저녁식사 3일 일정 종료 4일 6시 30분 모닝 7시 30분 아침식사 진행 되어다 아침식사 요리사 나오다 오믈렛 계란 라이 즉석 들어주다 웨이터 돌아다니다 커피 따르다 줍다 크루즈 콤옴보 악어 신전 정박 8시 30분 콤옴보 악어 신전 관광 시작 돼다 세기 걸치다 만들어지다 악어 신전 중구 되어다 세베크 호루스 바치다 신전 건축물 자체 아름답다 많다 벽화 보존 되어다 볼거리 성하다 악어 신전 관광 크루즈 돌아오다 휴식 크루즈 휴식 점심식사 진행 돼다 점심식사 잠시간 휴식 에드푸 도착 호루스 신전 관광 크루즈 내다 마차 타고 호루스 신전 이동 왕복 발생 보존 되어다 볼거리 성하다 완벽하다 이집트 신화 설명 더욱 좋다 크루즈 귀환 티타임 환영 칵테일 행사 갈라 비아 파티 진행 돼다 디럭스 크루즈 다양하다 행사 진행 되어다 탑승객 즐겁다 해주다 5일 5시 30분 모닝 6시 30분 아침식사 진행 되어다 8시 30분 이집트 일주 일정 하이라이트 불리다 룩소 관광 진행 되어다 오전 시작 계곡 세다 슈트 장제 멤논 거상 루카 탑승 진행 크루즈 돌아오다 점심식사 오후 카르 신전 룩소 신전 관광 계곡 투탕카멘 람세스 바위 파서 만들다 굴묘 도굴 도굴 상당하다 깊다 무덤 위치 이집트 18 왕조 파라오 세다 슈트 여왕 지은 세다 슈트 장제 완벽하다 좌우 대칭 유명하다 장제 펼쳐지다 돌산 병풍 처렴 펼쳐지다 펠루카 이집트 전통 무동 동력 바람 움직이다 시원하다 강바람 맞다 여유 가지다 카르 신전 이집트 많다 신전 최대 규모 자랑 신전 현재 전체 10 발굴 상태 100 발굴 카르 신전 규모 대단하다 기대 카르 신전 아문 무트 메다 명의 바치다 신전 나뉘어지다 거대하다 규모 자다 보존 오벨리스크 룩소 신전 카르 신전 비다 규모 훌륭하다 추다 고대 이집트 주신 아몬 섬기다 신전 룩소 야경 마차 투어 옵션 1조 마차 타고 룩소 시내 야경 시장 골목 돌아다니다 구경 옵션 생생하다 이집트 모습 가까이 크루즈 귀환 벨리댄스 수피 댄스 관람 벨리댄스 여자 수피 댄스 남자 추다 추다 공연 관람 휴식 6일 6시 30분 모닝콜 7시 30분 아침식사 진행 돼다 8시 30분 객실 내의 모든 빼다 버스 탑승 4시간 가량 후르가다 이동 후루가다 이용 리조트 수영장 실내 카페테리아 야외 카페테리아 옥외 무대 다양하다 시설 구성 되어다 한국인 찾아보다 러시아 포함 유럽 많다 점심식사 자유시간 주어지다 후루가 글라스 보트 옵션 신청 옵션 진행 버스 타고 40분 정도 바닷가 이동 글라스 보트 탑승 유리창 통해 많다 물고기 산호 구경 원하다 무료 스노클링 장비 받다 스노클링 체험 7일 오전 자유 기상 자유롭다 실내 카페테리아 아침 식사 객실 해변 가다 리조트 수영장 자유 보내다 점심식사 직전 체크아웃 점심식사 시내 나가다 해산물 전문 식당 진행 돼다 새우 해산물 튀김 조개 스튜 코스 제공 돼다 점심식사 6시간 30분 정도 버스 타고 카이로 이동 카이로 시내 한식당 들다 생선 구이 된장국 한식 저녁식사 호텔 체크 8일 6시 30분 모닝 7시 30분 아침식사 진행 돼다 아침식사 8시 30분 출발 버스 1시간 정도 이동 멤피스 도착 멤피스 고대 이집트 수도 알라바 스타 스핑크스 비롯 다양하다 조각 관람 멤피스 일정 버스 30분 정도 이동 카라 도착 카라 최초 피라미드 알려지다 세르 계단 파라 미드 지식 닭고기 양고기 구이 점심식사 대망 피라미드 이동 기자 지역 이동 쿠푸 피라미드 카프레 피라미드 메다 카우라 피라미드 차례 크다 규모 자랑 쿠푸 피라미드 밑변 길이 230 높다 147 거대 피라미드 내내 웅장 압도 되어다 피라미드 관람 스핑크스 관람 모든 일정 마치다 한식당 김치찌개 불고기 저녁식사 공항 이동 현지 도움 받다 출국 수속 귀국 9일 이스탄불 인천 90 3시간 정도 연착 되어다 아타튀르크 공항 체류 인천 도착 예정 2시간 늦다 8시 30분 안전하다 귀가 소감 찬란하다 역사 흔적 고스 간직 이집트 신화 성경 등장 직접 여행 모종 해박 묻다 설명 박숙현 인솔 꼼꼼하다 인솔 더하다 고민 필요 이집트 관광 집중 야간 열차 시설 열악하다 아쉽다 현지 열차 사정 별다르다 방법 만족스럽다 여행
