country,cleaned_sentences
인도,뉴질랜드 남섬 가슴 인도 주신 헬렌 쉬다 가보다 여행 괜찮다 시작 뉴질랜드 여행 북섬 남섬 대자연 걱정 날다 버리다 여행자 일치 의견 여행 묘미 정적 모습 승화 주다 운치 조화롭다 더하다 극치 끌다 내다 경륜 타국 인생 복기 리얼리티 보여주다 정성 설명 보이다 주다 쓸다 헬렌 여행자 웃다 마음 여행기 쓸다 기억 특정 발생 여행 돌발 변수 고생 스트레스 온화하다 미소 바꾸다 주시 여행자 평화 유도 주다 헬렌 드라이버 찬미 여행자 감동 고마움 임팩트 드리다 코바 사태 여행사 현지 들다 타격 안기다 드리다 슬기 로움 자다 극복 줄다 기원 특별하다 헬렌 내다 자매 크다 누님 싶다
인도,즐겁다 연말 터키 인도 해주다 이해 감사하다 가족 여행 떠나다 터키 나라 생소하다 원활하다 여행 패키지 여행 신청 인솔 해주다 이해 덕분 좋다 날씨 패키지 일정 소화 담당 지역 지형 역사 지식 해박 설명 일정 내내 끊다 이해 제일 감명 깊다 부분 스케줄 관련 최대 맞추다 굉장하다 노력 해주다 부분 겨울 날씨 좋다 상황 패키지 일정 소화 일정 유기 변동 최종 모든 일정 소화 이동 끊임없다 일정 고민 풀리다 일정 속상하다 여행 일정 신경 쓰다 나르다 느끼다 기일 일정 신경 써주다 안되다 계속 노력 해주다 이해 감사하다 패키지 일정 되어다 이해 만나다
인도,좋다 멋지다 북인도 여행 형님 내외 분과 내외 달다 준비 해오다 여행 우애 곡절 여행사 통헤 북인도 9일 여행 다녀오다 최소 출발 인원 예정 상품 계획 여행 최소 출발 인원 충족 20만원 80만원 추가 부담 내면 출발 조건 출발 예정일 개월 앞서서 예약 감치 여행 경비 완납 보름 정도 남기다 두다 시점 최소 출발 원인 넘기다 80만원 환불 받다 인도 도착 비자 받다 야하다 걱정 떠나다 그리다 어렵다 비자 받다 음식 강하다 주일 버티다 우려 식사 대부분 호텔 음식 질도 만족스럽다 인터넷 여행 안내 한국 별도 준비 먹다 식성 별로 까탈 맛있다 인도 음식 즐기다 거리 나서다 복잡하다 교통 문화 크게 충격 받다 거리 곳곳 가족 단위 노숙자 쉬다 이렇다 불편하다 인도 가볍다 평가 안되다 일간 인도 머물다 느끼다 인도 대단하다 나라 대한민국 인도사람 행복하다 물음 계속 가난 한자 부유하다 학생 다양하다 복장 힌두교 불교 이스 람교 다람쥐 비둘기 앵무새 돼지 원숭이 낙타 다양하다 부류 다양하다 동물 서로 불편하다 자다 섞이다 돌아가다 사회 대한민국 평생 살아오다 나로 서다 도저히 이해 사회 인도 남아 찬란하다 문화유산 직접 감탄 말로 표현 어렵다 여행 행자 상대 배려 마음 크다 신분 여행 내내 즐겁다 이모 크다 누님 부산 여행 오신 74 여사 인생 좋다 본보기 되어다 주다 감사하다 한국 개월 어학 연수 다녀오다 현지 산욕 순수하다 착하다 심성 진심 가이딩 최선 느끼다 여행 더욱 즐겁다 좋다 한국어 유창하다 좋다 빈곳 미음 채우다 여행 준비 좋다 여행 일정 만들다 여행사 감사 드리다
인도,힌두교 인도 배우다 북인도 여행 서유럽 동유럽 발칸 터키 두바이 베트남 캄보디아 싱가폴 홍콩 여행 여행 루트 인도 빠지다 다녀오다 마음 먹다 되어다 마침 에어인디아 직항 취항 기념 싸다 가격 패키지 나오다 주저 신청 다녀오다 한국어 완벽하다 인도인 현지 여러 설명 해주다 13억 인구 가지다 인도 여러가지 배우다 인도 소고기 아예 먹다 상류층 먹다 인도 불교 발생 정작 불교 믿다 별로 이유 부모 믿다 종교 자다 바꾸다 습성 여러 재미있다 해주다 이슬람 제국 무굴제국 기독교 국가 영국 지배 받다 힌두교 살아나다 이유 자다 되어다 꾸다 뜨다 밉다 나르다 역사 유물 인생샷 건지다 여러 기념품 자다 구입 무니 높다 부르다 깎다 깎다 피곤하다 들다 스노우 공장 찍어내다 흔들다 터지다 두다 짜다 스노 처음 20 부르다 흥정 시작 사기꾼 많다 문화유산 여러 볼거리 많다 일반 생활 굉장하다 열악하다 버스 차창 구경 안타깝다 정도 구해오 물이 호텔 조심하다
인도,퍼팩트 인도 디루 고맙다 좋다 만나다 인도 여행 한층 재미있다 행복하다 즐겁다 여행 인생 페이지 좋다 추억 거리 만들다 주다 감사하다 전하 싶다 여행 일정 날씨 따르다 중간 중간 오기 추억 저장 만들다 디루 고맙다 여행 가기 모르다 역할 크다 모르다 인도 가다 한국 오다 시차 적응 필요없다 체력 소중하다 추억 나누다 13 일행 인솔 자도 운전기사 여행 정도 더불다 날씨 여행사 고르다 선택 다녀오다 백배 자다 후회 선택 여행 후기 써다 본적 디루 서다 후기 작성 나이 젊다 패기 모든 연령 아우 룰수 위트 재미 융합 괜찮다 만나다 디루 만나다 해주다 감사 드리다 이렇다 만나다 즐겁다 여행 행복하다 여행 디루 감사하다 감사하다
인도,인도 최고 사다 통해 마음 깊이 간직 인도 여행 아들 출근 앞두다 급하다 계획 아들 다녀오다 인도 3월 16일 9일 북인도 다녀오다 출발 여행사 상품 비교 망설이다 출발 인원 수도 많다 원하다 일치 되어다 여행 시작 여행 거듭 여행지 마주치다 선택 싶다 북인도 여행 코스 상품 상품 흔하다 가지 말다 오다 가게 되어다 낙타 사파리 체험 아름답다 시골 마을 직접 돌아다니다 따라다니다 마을 어리다 친구 되어다 즐겁다 넓다 지역 나라 거리 기다 무척 걱정 기차 버스 비행기 다양하다 수단 국적 도로 풍경 감상 이동 그리다 지루하다 느낌 비교 자다 이동 인도 유명하다 갠지스강 위엄 타의 추종 불허 진짜 인도 매력 빠지다 들이다 살짝 걱정 호텔 좋다 마지막 호텔 업그레이드 호텔 만족 팀원 좋다 가족 자다 어울리다 다니다 즐겁다 여행 패키지 여행 어떻다 만나다 가다 여행 판가름 나다 좋다 만나다 행복하다 여행 되어다 능숙하다 한국어 구사 한국 구석구석 한국 역사 비교 설명 감탄 자아내다 수준 깔끔하다 매너 고급 여행 해주다 인도 첫인상 인하다 좋다 시작 되어다 인도 나라 친근하다 나라 다가오다 해주다 감사 드리다 최고 여행 연결하다 감사 드리다
인도,인도 아비 감사 드리다 인도 여행 걱정 대반 떠나다 아비 만나다 인도 여행 재밌다 알차다 돌아오다 버스 이동 장소 이동 지루하다 인도 역사 문화 현장 해설 상세 해주다 알차다 여행 되어다 항상 유머 웃음 여행자 마음 편안하다 해주다 한국인 유머 이끌다 모습 인상 동부 남부 서부 여행 기회 생기다 아비 여행 싶다 아쉽다 카주라호 기차 모자라다 돌아보다
인도,유럽 인도 인도 쵝오 인도 인도 더럽다 인도 위험하다 인도 가지 여행 가보다 동의 되어다 비위생적 불편하다 위험하다 수도 통해 다니다 절대 절대 위험하다 감수 고서 인도 다녀오다 가치 아름답다 찬란하다 역사 날다 현재 문화 공존 매력 모든 들다 크다 이유 한국인 한국 역사 문화 자다 인도 비교 설명 쏙쏙 들어오다 인도 애정도 열정 성의 부족함 인솔 자다 여행 가도 만날 싶다 여운 가시 인도 유럽 인도 갈다 인도 인도
인도,모자 여행 인도 여행기 여행 동기 18년 저물다 가다 18년 연차 쓰다 일만 19년 1월 10일 휴가 생기다 원래 계획 아들 12 가깝다 따뜻하다 남쪽 다녀오다 계획 어머님께 이렇다 던지다 직장인 일생 수도 방학 쓰다 어떻다 여행지 알아보다 결과 열흘 남지 인도 여행 덜컥 예약 버리다 되어다 싱글 차지 조인 넘다 어머니 마흔 중반 두다 쉬다 여행 떠나다 되어다 여행 일정 일정 델리 바라나시 카주라호 아그라 자이푸르 나머지 인도 자다 모르다 북인도 대부분 가지 일정 구성 되어다 북인도 핵심 골든 트라이앵글 델리 아그라 자이푸르 6일 인도 네팔 골든 트라이앵글 네팔 7일 9일 북인도 일주 델리 바라나시 카주라호 아그라 자이푸르 델리 역순 9일 10일 북인도 일주 네팔 10일 여행 계획 되어다 생기다 휴가 최대한 사용 9일 상품 예약 과거 젊다 교수 인도 지스 말씀 기억 바라나시 가다 무조건 포함 일정 고려 여행기 1일 델리 도착 숙소 이동 숙소 수도 델리 외곽 허름 호텔 숙박 2일 조식 간단 건강 건강 계속 되어다 자미 마스지드 방문 중식 무굴 레스토랑 지나 한식 1회 제외 중식 진정하다 오후 꾸다 뜨다 밉다 나르다 핵심 로마 포로 로마노 연상 호텔 복귀 석식 자유시간 근처 나가다 필요 내일 기상 3일 조식 어제 조식 국내선 이동 바라나시 프로 팰러 탑승 보라카이 처음 중요 국내선 공항 리큐어 들다 투숙 모든 호텔 근처 가게 주류 판매 한국 가져가다 알콜 추가 알콜 기회 바라나시 도착 호텔 이동 중식 나트 관람 붙다 설명 자다 들다 유적 설명 파다 영어 읽다 패스 금요일 박물관 아쉽다 석식 1조 릭샤 갠지스강 이동 곡예 자전거 타라 마스크 귀마개 착용 권장 지스 도착 의식 소원 띄우기 화장 릭샤 호텔 복귀 아깝다 적다 많다 오르막 길이 계속 다리 아프다 얘기 릭샤 불만 4일 진정하다 새벽 기상 갠지스강 일출로 출발 어제 인파 지나 흔적 곳곳 날씨 따르다 안개 인하다 일출 복불복 정상 일출 마찬가지 달리 나르다 돌아보다 힌두교 법륜 윤회 크다 샤나 떠올리다 종교 인생관 많다 해주다 호텔 복귀 조식 12시간 대장정 버스 라이딩 남다 조식 컨트롤 필요 9시 이전 호텔 출발 이동 자다 고원지대 휴게소 지붕 공터 점심 도시락 취식 마찬가지 식사량 조절 필요 인도 화장실 상황 고려 결과 화장실 열악하다 둘째 여성 남성 화장실 사용 하므다 우리네 남성은 무조건 들판 풀숲 작다 크다 무조건 해진 기계 마사지 연상 포장 지나 카주라호 호텔 도착 석식 민속 관람 인도 민속 아시아 국가 다르다 여정 실신 상태 5일 사원 카주라호 핵심 조각 조각 설명 뿥어 가리키다 사진 자이나교 사원 이동 여기다 사원 할애 필요 이동 카주라호 침대 탑승 아그라 9시간 기차 오후 2시 정차 자다 많다 인파 2시 밀리다 피로 풀기 리핑 도시락 2시 먹다 아그라 도착 북적 북적 아그라 도착 호텔 이동 석식 달다 인도 호텔 식사 프랜차이즈 거기 거기 락토베지들 6일 오전 대망 명불허전 인도 여행 백미 필요하다 오후 아그라 유폐 샤자 몰입 아그라 석식 휴식 호텔 근처 나가다 엄두 별로 호텔 마사지 만족도 별로 인도 마사지 7일 이동 자이푸르 중간 계단 우물 과일 리어커 좋다 석류 오렌지 1달러 외국인 가격 뭐던 한국 10 10 부족하다 핑크 도시 자이푸르 저녁 저녁 호텔 휴식 8일 바람 궁전 하와 별로 짧다 일부러 버스 내리다 필요없다 버스 편하다 암베르 성은 의외 볼거리 선사 안전 문제 코끼리 탑승 불가하다 재개 되어다 좋다 대신 구동 지프 괜찮다 꼬끼리 암베르 주다 들어오다 장관 타르 타르 천문대 과거 발전 자연과학 설명 뜨다 가능 연등 나하 가르다 포트 선택 일몰 맥주 와우 자이푸르 전망 석양 끝내다 맥주 대부분 초등 중등 선생님 이루다 인도 여행 장기 일반 직장인 어머니 모시 의도 효자 코스프레 되어다 창피 맥주 녹두 튀기다 과자 맛있다 호텔 돌아오다 몰래 빠져나가다 근처 작다 슈퍼 쓸다 당연하다 팀원 사이즈 대다 돌리다 몇개 몇개 한국 가지 오다 후회 9일 델리 이동 휴게소 식사 선물가게 들르다 기념품 사고 개인 취향 사면 저녁 한식당 포식 공항 이동 리큐어 마지막 보이다 선물가게 근처 사다 한국 돌아오다 과자 한국 오니 가격 온라인 유통 되어다 살걸 여행 후기 괜찮다 여행 일정 압박 살짝 최대한 휴가 활용 출발 선택 여행 내내 흔하다 맥주 냄새 맡다 석식 500 8달러 내다 호텔 말다 한국 이슬 준비 가다 면세점 위스키 보드카 와인 살다 방법 로컬 과일 리어커 석류 로컬 푸드 버스 이동 기차 좋다 향후 상품 구성 바라나시 카주라호 늘다 주간 야간 관계 기차 이동 더하다 나위
인도,나름 즐겁다 인도 여행 여행 종착 지라 불리다 인도 진짜 아무렇다 준비 정보 무작정 엄마 떠나다 예전 인도 가다 싶다 엄마 인도 위험하다 소문 듣다 걱정 되어다 따르다 나서다 비자 발급 많다 걸리다 짜증 나다 델리 공항 나름 깨끗하다 나쁘다 길거리 흔하다 동물 원숭이 나쁘다 더럽다 자연 어우러지다 살아가다 모습 좋다 보이다 주의 마스크 필수 도로포장 자다 안되다 먼지 우리나라 심하다 공기 안좋다 기관지 안좋다 조심하다 야하다 일행 들다 재미있다 좋다 착하다 구걸 많다 마음 약하다 적선 10 루피 바꾸다 좋다 호텔 매일 옮기다 1달러 필요하다 아그라 꾸뚭미나르 멋있다 갠지스강 갠지스강 모이 던지다 재미 나다 엄마 가기 여행 즐거움 남다 깔끔하다 비추다 나름 더럽다 차다 즐기다 알다 가보다 좋다
