country,cleaned_sentences
중국,연말 중국 샤먼 부부 여행 즐겁다 해주다 이명호 감사 드리다 2019년 마무리 한해 수고 보상 차원 선물 부부 여행 중국 하문 샤먼 4일 다녀오다 이왕이면 추위 피하 가보다 가보다 하문 선택 빡빡 일정 들다 1일 5시 하문 공항 도착 조안 거리 이명호 망고 사주다 전과 문어 다리 맛보다 2일 고랑 이동 화원 일광 피아노 박물관 호리 포대 남보 중산 둘러보다 3일 자유 일정 나름 계획 옵션 토루투어 월곡 온천 전신 마사지 민남 가무 크루즈 야경 호텔 화릭스호텔 박하다 불구 넓다 답답하다 전망 좋다 중국 가보다 공연 웅장 온천 와이프 만족하다 야경 좋다 마지막 토루투어 희망 보여주다 되어다 죄송하다 저녁식사 한잔 사주다 이명호 따님 자랑 이렇다 얘기 서로 나누다 여행 편안함 만끽 여행 안전하다 알차다 통해 친절하다 이명호 만나다 행운 감사하다 여행 가볍다 걱정 떠나다 여행 계획 실행
중국,힐링 중국 계림 여행 동반 김동욱 쵝오 오우 케이 넘다 감사하다 중국 계림 여행 김동욱 웃다 모습 오늘 선하다 보이다 훌쩍 떠나다 시작 여행 저렴하다 패키지 가깝다 훌쩍 기대 외로 넘다 즐겁다 여행기 쓰다 수가 여행사 가성 최고 여행 일정 숙소 음식 고객 만족 상품 제시 저렴하다 가격 최고 여행 친절하다 세심 유머러스하다 똑똑하다 책임감 상냥하다 미소 얼굴 설명 모습 모든 자질 갖추다 미남 김동욱 마지막 공항 선물 주시 흔들다 주시 여행 마무리 여행자 열리다 마음 긍정 마인드 명의 어르신 들다 쇼핑 즐겁다 여행 즐겁다 짝짝 박자 덕분 완벽하다 행복하다 여행 되어다 뵈다 중국 계림 여행 2019년 12월 15일 20일
중국,중국 만리장성 좋다 추억 2019 14 17 대다 특식 여행 처음 가족 해외여행 사소하다 참고 넘어가다 현지 불성실하다 안내 음식 장소 기분 나쁘다 여행사 안내 추가 옵션 포함 150 정도 들다 가다 가다 현지 강압 250 인력거 타고 근처 구경 20 명왕 자석 해주다 추가 옵션 강요 50 20 만리장성 달령 케이블카 모노레일 일정 변경 티켓 발권 기다리다 입구 티켓 40 여분 기다리다 40 정상 식사 본인 기분 따르다 아예 음식 대체 북경 오리 구이 변경 일인 오리 구이 먹다 정도 오리가 맞다 모르다 천식 요리 아예 구경 송이버섯 가다 모름 기분 나쁘다 여행
중국,중국 대륙 중심 떠나다 중국 국가 발생 지인 서안 수도 북경 천도 역사 숨쉬다 농부 의하다 병마용 발견 역사 가치 중요하다 지역 자리 충분하다 지역 여행 컨셉 고대 중국 중심 떠나다 마음 예약 직장 동료 4일 일정 오다 계획 6월 예약 8월 다녀오다 중국 여행 도시 북경 상해 장가계 많다 도시 고대 중국 명목 충분하다 느끼다 싶다 여행 상품 추천 싶다 서안 상품 화산 가지 상품 선택 상품 화산 다니다 오다 상품 선택 추가 옵션 선택 다니다 오다 다니다 오지 많다 중국 기개 발전 진정하다 중국 과거 모습 느끼다 싶다 서안 화산 다니다 오다 좋다 건강 크다 무리 화산 곤돌라 이용 정상 부근 가다 오다 걱정 좋다 싶다 안내 해주다 조선족 출신 중국 여러 도시 경험 유머 동행 편안하다 안내 주다 자리 빌다 감사 말씀 드리다 지인 선물 면세점 좋다 현지 농산물 구입 마음 표시 좋다 여행 상품 되어다 좋다 지인 여행 되어다 좋다 기회 좋다 여행 상품 만나다 기대하다
중국,중국 북경 여행 최송 별다르다 기대 떠나다 중국 북경 여행 일견 실감 정도 뉴스 중국 직접 중국 다르다 아름답다 자금성 견고하다 자랑 만리장성 수묵화 자연 머무르다 용경협 어마어마하다 쏟아내다 진가 보여주다 왕조 모든 대단하다 대륙 스케일 보여주다 모든 일정 최송 문화재 더하다 지식 다해 설명 주다 4일 빠르다 지나가다 버리다 모든 일정 좋다 최송 중국 북경 추하다
중국,중국 장가계 여행 중국 여행 패키지 선택 안영 덕분 40 가깝다 무더위 무색 하리 즐겁다 행복하다 여행 300일 오다 장가계 맞다 여행 내내 장관 구경 여행 9분 안영 덕분 덥다 날씨 서서 기다리다 힘들다 안전하다 기다리다 놓다 매표소 흘리다 뛰다 모습 스럽다 걷기 힘드다 안전 건강 챙기다 세심 덕분 자다 자다 먹다 편하다 여행 되어다 힘들다 적재적소 아이스크림 제공 돋다 장가계 해박 지식 여행자 궁금 점도 친절하다 자세하다 설명 해주다 장가계 여행 장가계 여행 안영 싶다 감사 드리다
중국,중국 장가계 김명 감사 드리다 중국 장가계 여행 인상 깊다 풍경 풍경 겸손하다 자다 섬기다 최선 김명 감사 드리다 싶다 덥다 날씨 여행 자다 인솔 흘리다 모든 코스 완주 해박 지식 문화 설명 부담 주지 섬기다 모습 마음 즐겁다 행복하다 여행 부담 불친절하다 여행 기분 김명 모든 부분 주다 싶다 좋다 불다 감사 드리다
중국,중국 청도 김화 즐겁다 여행 가깝다 청도 여행 다녀오다 패키지 이용 많다 만나다 청도 김화 밝다 친절하다 처음 덕분 즐겁다 행복하다 여행 보내다 무사하다 일상 돌아오다 김화 행복하다
중국,직원 후기 2019 05 24 05 28 중국 북경 내몽고 출장 후기 지역 중국 북경 내몽고 일정 북경 적봉 치하 목장 옥룡사호 북경 5일 항공 아시아나 항공 313 314 1일 5월 24일 금요일 06시 김해 공항 미팅 08 30분 김해 공항 출발 09 55분 북경공항 도착 도착 찾다 공항 나오니 12시 미팅 진행 차럅 탑승 20분 버스 이동 지식 식당 도착 1시간 식사 2시간 승덕 이동 피서산장 도착 청나라 황제 여름 오다 자금성 넓다 피서산장 열하일기 제목 열다 추가 비용 지불 뱃놀이 카트 탑승 관광 진행 가능하다 적봉 3시간 이동 중간 휴게소 방문 도착 석식 양고기 샤브샤브 식당 적봉 시내 깔끔하다 샤브샤브 개별 그릇 식사 양고기 전혀 거부 석식 국제 호텔 이동 40 50분 호텔 늦다 운영 편의점 2일 5월 25일 토요일 아침 조식 7시 30분 호텔 청산 출발 청산 이동 2시간 30분 청산 도착 도보 평지 관광 1시간 5분 버스 탑승 리프트 탑승 이동 리프트 탑승 10분 등산 리프트 탑승 10 15분 소요 한여름 덥다 올라가다 시원하다 바람 계속 불어 덥다 느낌 받다 리프트 도착 계단 높다 돌산 10분 걸다 청산 제일 높다 정상 도착 손님 청산 정상 평지 탑승 선탠 관광 3만원 진행 청산 하산 경봉 1시간 버스 이동 중식 중식 치하 목장 이동 2시간 치하 목장 이동 양쪽 초원 곳곳 뜯다 먹다 초원 도착 하니 날씨 초겨울 정도 날씨 치하 목장 방문 몽고 전통 우유 접대 몽고 씨름 체험 전통 복장 체험 마상 관람 여러가지 체험 진행 서다 선택 관광 초원 지프 진행 지프 타고 왕복 1시간 코스 진행 초원 제일 높다 등선 도착 개별 사진 찍다 주다 초원 한눈 8월 초록색 초원 게르 이동 2시간 30분 3시간 정도 버스 이동 게르 도착 버스 내리다 전통주 한잔 따르다 마시다 방배 정이 완료 저녁 7시 30분 게르 바베큐 파티 진행 무대 진행 공연 식사 식사 전통주 따르다 주다 식사 마무리 캠프파이어 진행 꺼지다 계속 진행 3일 5월 26일 일요일 오다 게르 공기 차갑다 이불 두껍다 운지 모르다 숙면 게르 화장실 개별 샤워 가능하다 수건 세면 도구 준비 되어다 조식 시로 지역 이동 2시간 도착 중식 식사 진행 내몽고 특색 살리다 삼겹살 진행 중식 옥룡사호 이동 3시간 소요 옥룡사호 사막 가운데 펼쳐지다 사막 중국 관광지 사막 사막 초원 크다 호수 옥룡사호 짚차 체험 낙타 체험 꼬마 열차 체험 진행 꼬마 열차 체험 낙타 체험 불가능하다 짚차 체험 경우 임산부 노약 진행 불가능하다 왕복 15분 진행 제일 높다 사구 올라가다 개인 사진 주어지다 옥룡사호 사막 입구 용곡 레이크 홀리데이 호텔 호텔 운영 컨테이너 박스 숙박 일정 테라스 베드 눕다 크다 호수 사구 한눈 보이다 호텔 본관 개별룸 떨어지다 석식 조식 먹기 꼬마 기차 탑승 호텔 진행 노천 사막 온천 사막 천수 올라오다 수영복 수영모 지다 차다 여야 입장 가능하다 준비 어렵다 인포 메이 작다 수영복 판매 구입 가능하다 수영복 대략 금액 중국 99위안 150위안 구매 가능하다 옥룡사호 온천 사진 석식 호텔 본관 식당 진행 날씨 좋다 석식 호텔 옥상 천문대 관측 가능하다 4일 5월 27일 월요일 호텔 조식 적봉시 박물관 이동 2시간 적봉시 박물관 역사 문화 유물 전시 박물관 건문 적봉시 도서관 운영 박물관 월요일 입구 입장 가능하다 적봉 북경 금산 이동 간단하다 식사 진행 중식 북경 금산 이동 이동 4시간 소요 기존 만리 장선 관광지 거용관 달령 많다 관광 힘들다 금산 경우 전혀 여유 관광 가능하다 케이블카 탑승 느리다 관계 편도 20분 탑승 탑승 손님 금산 여유롭다 2시간 자유시간 주어지다 금산 입구 간단하다 기념품 커피숍 여유롭다 진행 가능하다 북경 시내 이동 북한 식당 옥류관 석식 진행 북경 시내 차갑다 막히다 금산 북경 시내 3시간 소요 옥류관 경우 7시 입장 석식 먹다 북한 무대 식사 진행 평일 방문 방문 만석 대부분 한국 관광객 들이다 석식 금조 옥마 국제 호텔 호텔 이동 1시간 소요 여태 숙박 호텔 비교 오래되다 건물 이기다 욕실 넓다 5일 5월 28일 화요일 아침 조식 식사 북경 시내 798 예술 거리 이동 1시간 1시간 30 소요 798 예술 거리 1시간 1시간 30분 자유시간 주다 북경 관광 느낌 느끼다 거리 곳곳 기념품 가게 조형 물들다 커피숍 브런치 가게 보이다 거리 관광 마무리 30분 버스 이동 북경 마지막 점심식사 삼겹살 무제한 식사 진행 식사 진행 1시간 버스 이동 공항 이동 5일 투어 일정 마무리 5일 하루 버스 매일 8시간 이동 지루하다 힘드다 부분 내몽고 초원 사막 체험 순간 힘드다 과정 잊다 팸투어 고객 들다 필요하다 선택 관광 진행 호응 좋다 직접 느끼다 부분 6월 시작 내몽고 수기 맞서다 일정 부족하다 부분 보강 상품 주력 판매 진행 예정
중국,베이징 중국 5월 22일 4일 가족 베이징 다녀오다 베이징 휴양지 문화 관광지 걷다 코스 많다 가족 무난 다니다 최재원 중국 문화 해설 들다 다니다 어느새다 모든 일정 마치다 여행 후기 읽다 음식 맞다 불평 많다 나라 서하 맛집 여행 먹다 돼다 가족 중국 여행 통해 말로 듣다 만리장성 자금성 여러가지 즐겁다 여행 되어다 참고 호텔 넓다 깨끗하다
