country,cleaned_sentences
중남미,중남미 핵심 일주 개국 후기 중남미 핵심 일주 개국 후기 6월 5일 출발 17일 돌아오다 중남미 핵심 일주 개국 13일 상품 가격 대비 실속 상품 교통 음식 잠자리 현지 성실하다 행사 진행 만족스럽다 인천 공항 일행 26 인솔 이진숙 인솔 감사 드리다 짧다 일정 매일 크다 작다 사건 차다 많다 가지 들다 휴대폰 분실 하루 찾다 사건 오전 분실 여권 오후 찾다 사건 아르헨티나 국내선 수화물 칠레 갈다 번하다 사건 순간 순간 긴장 만들다 사건 들이다 이진숙 인솔 침착하다 현명하다 대처 해결 여행 마치다 휴대폰 분실 가족 감사 드리다 중남미 핵심 일주 개국 여행 마디 라면 백미 연속 간략하다 살펴보다 해발 430 높이 정도 아름답다 절경 배경 건설 마추픽추 잉카 제국 석조 기술 마음껏 뽐내다 신비 하늘 도시 세계 대다 밉다 아름답다 리우데자네이루 세계 대다 기적 높이 38 양팔 길이 28 무게 145 코르 코바 도의 구원 예수 상이 여행자 시선 사로자다 세계 대다 폭포 장대 이과수 폭포 혼돈 혼미 세계 자체 당나라 시인 이백 여산 폭포 물줄기 내리다 쏟다 길이 삼천 하늘 은하수 쏟아지다 감탄 이과수 무어 읊었을까 자못 궁금하다 지다 멕시코 북동쪽 52 떨어지다 테오티우아칸 유적 기원전 세기 건설 시작 기원 세기 세기 전성기 맞다 테오티우아칸 유적 압권 태양 피라미드 높이 70 한쪽 길이 230 세계 규모 피라미드 정면 225 계단 정상 연결 되어다 장대 테오티우아칸 유적 망하다 멕시코 테페약 언덕 자리 과달루페 성당 포르투갈 파티마 프랑스 루르드 더불다 세계 대다 성모 발현 성지 성모 발현 많다 관광객 찾다 성지 순례 틸마 새기다 성모 모습 45 피부색 인디오 거무스름 갈색 머리카락 검은색 일반 성모 외양 전혀 모습 경탄 금치 경관 연속 쿠스코 아르마스 광장 아련하다 떠오르다 역사 아이러니 대자연 순응 순리 살다 잉카 의하다 무참 무너지다 버리다 역사 아르마스 보여주다 이겠다 콘도 파사 애잔하다 음률 후기 접다 중남미 핵심 일주 개국 여행 시험 대비 요약 좋다 상품 여행 모든 건강 행복 기원
중남미,가보다 마음먹다 중남미 여행 벼르 별렀던 중남미 여행 축복 22 포함 무사하다 여행 귀국 감사 연세 들이다 감기 몸살 피부병 고산 여러가지 증상 나타나다 체력 강인하다 보여주다 박진 의사 선생님 의료 봉사 신분 환자 챙기다 주심 감사 드리다 확인 해보다 싶다 마추픽추 이과수폭포 대미 리오데자네이로 해오다 피라미드 놓다 싶다 중남미 문화유산 스스로 여행 선택 기분 나르다 행복하다 주변 가보 추천 일견 20일 21 그룹 이끌다 마음 힘들다 김소희 수고 많다 힘차다 앞날 펼치다 화이팅
중남미,길다 기다 20일 중남미 여행 노랗다 여행사 패키지 2월 1일 상품 다녀오다 후기 남기다 지혜 헌신 김소희 인솔 만난 가족 크다 행운 장자 많다 그룹 김소희 인솔 자다 이끌다 감사하다 여러 감기 매스 복통 힘들다 신경 써주다 김소희 인상 적다 쿠스코 고산병 시달리다 마추피추 사막 투어 즐겁다 마침 의사 선생님 내외 동행 아프다 마다 치료 해주다 감사하다 아르헨티나 탱고 브라질 이과수 폭포 멕시코 치첸 이사 감탄 감탄 더하다 아른거리다 고생 값지다 여행 마지막 정이 멕시코 시티투어 현지 선생님 상의 피라미드 일정 첫날 당기다 신의 덕분 투어 마지막 현지 라이프 느낌 마켓 독립 기념 추가 느긋하다 한식 먹다 행복하다 여행객 코스 바꾸다 추천 마지막 식구 건강하다 행복하다
중남미,그리다 환상 중남미 개국 여행 25일 브라질 이과수폭포 중남미 투어 나름 감명 깊다 탄성 자아내다 여행지 군데 여정 순서대로 되새기다 멕시코 칸쿤 초록 바다 환상 해변 휴양지 칸쿤 마야 최대 유적지 치첸 사의 91 계단 피라미드 페루 쿠스코 마추피추 우루밤바 파라 카스 나스카 쿠스코 고대 잉카 유적지 답사 산토도밍고 성당 보마 차이 푸카푸카 사이 요새 켄코 60년 잃어버리다 공중 도시 마추피추 답사 콘돌 신전 계단 경작지 창문 신전 해시계 잉카 유적지 관광 파라 카스 모터보트 타고 환상 물개 투어 물개 무지 많다 오다 까치 오아시스 샌드카 사막 투어 나스 끄다 경비행기 탑승 나스카 들판 그려지다 수수께끼 지상 그림 감상 원숭이 고래 우주인 나무 콘돌 브라질 리오데자네이로 이과수 리오 코르 코바 언덕 해발 710 절벽 꼭대기 위치 예수 세계 대다 밉다 리오 한눈 슈가 로프 케이블카 등정 이과수 폭포 브라질 웅장 거대하다 소름 끼치다 정도 감동 주다 환상 폭포 평균 낙차 70 꾸다 보트 투어 폭포 웅장 가까이 물줄기 온몸 맞다 스릴 만끽 투어 감동 탄성 연발 아르헨티나 이과수 부에노스아이레스 이과수폭포 아르헨티나 남미 아름답다 관광지 악마 목구멍 폭포 관광 영화 마션 촬영 감동 탄성 연발 탱고 발상 지인 보카 지구 방문 설치 거리 미술 주택 관광 칠레 산티 에고 아름답다 해변 도시 마르 아르마스 광장 관광 멕시코 멕시코시티 레오 와칸 피라미드 관광 해오다 피라미드 아즈텍 문명 유적지 관광 광장 메트로폴리탄 대성당 실속 품격 중남미 투어 제공 해주다 강추 강추 감사하다
중남미,최고 여행지 중남미 브라질 아르헨티나 페루 많다 나라 가보다 최고 여행지 중남미 잃어버리다 공중 도시 페루 마츄 피츄 유적지 웅장 공포 스럽다 이과수 폭포 여행 내내 흥얼거리다 탱고 선율 들다 아르헨티나 노스 레스 거대 예수 상과 슈가 로프 브라질 리오 전경 멋있다 항공 중남미 11일 여행 떠나다 3월 날씨 알리다 듯이 따뜻하다 인천 아틀란타 상파울로 항공 이동 상파울로 리오 국내선 탑승 30시간 멋지다 중남미 감수 설레다 항공 비지니스 모습 일자 눕다 의자 맛있다 식사 브라질 리오 도챡 리오데자네이로 멋지다 시내 관광 영화 자주 등장 백사 해변 꼬빠까바 해변 리오 모습 즐기다 이쁘다 네마 해변 아름답다 스테인드 글라스 유명하다 중앙 성당 코르 코바 언덕 거대 예수 슈가 로프 관광 슈가 로프 늘다 설탕 모양 닮다 붙이다 이름 케이블카 1912년 설치 이용 승객 4천만 해발 396 높이 솟아오르다 꼭대기 케이블카 타고 올라가다 리오 아름답다 전경 감상 리오 대표 음식 라스 소고기 여러가지 부위 요리사 직접 자르다 주다 뷔페 야채 초밥 곁들이다 먹다 브라질 이과수 국립공원 1100 산책로 따르다 이동 2700 자랑 이과수 폭포 감상 이과수 폭포 마꾸꼬 사파리 보트 탑승 오픈카 정글 탐험 이과수 폭포 주위 생활 스트레스 줄이다 즐겁다 모터보트 타고 이과수 폭포 흠뻑 젖다 우비 여벌 가져가다 아르헨티나 이과수 국립공원 이과수 폭포 하일 라이트 악마 목구멍 뚫리다 구멍 물이 잇다 빨다 들어가다 모양 장관 아르헨티나 높다 산책로 물이 떨어지다 전체 웅장 즐기다 기차 타고 이과수 폭포 흐르다 산책로 지나 이과수 악마 목구멍 도착 아르헨티나 부에노스아이레스 도착 5월 광장 대통령궁 시청 대성당 국회의사당 7월 레꼴레타 묘지 관광 레꼴레타 묘지 국회의사당 로댕 조각상 탱고 발상 보카 지구 탱고 정도 감상 아름답다 선율 멋지다 동작 놓다 잉카 유적지 남다 페루 꾸스꼬 도착 산토 도밍 성당 수도원 쿠스코 동쪽 지키다 요새 사이 보마 차이 푸카푸카 잃어버리다 공중 도시 마츄 피츄 마추피추 도착 현지 전용 버스 아슬아슬하다 계곡 아름답다 풍경 감상 지구 60년 잃어버리다 공중 도시 마추피추 답사 태양 신전 해시계 콘돌 신전 계단 경작지 유적지 관광 기차 타고 따다 보역 돌아오다 우루밤바 이동 모든 여행 꾸스꼬 리마 아틀란타 나리타 인천 경유 돌아오다 좋다 중남미 추억 여행 기억 머리 맴돌다
중남미,중남미 개국 여행 20 여행 후기 여행 읽다 주신 대하 감사 드리다 여행 돌아오다 구제역 온나라 난리 죄송 따름 관계 귀국 나서다 계속 서울 거주 축산 농가 도움 고자 중남미 개국 여행 해병대 유격 훈련 먹다 해병대 장병 이글 웃기 여행 일원 평균 나이 65 감안 갈겄 처음 인천공항 안개 인하다 지연 출발 크다 시련 격었다 자연 공항 입국 수속 년말 테러 철저하다 경계 이해 내용 이렇다 수럭 모든 여행객 들다 참을성 기다리다 주다 여행 성과 비행기 무료 14 일찍 일어나다 매일 멀다 떠나다 많다 통계 못내 비행기 거리 버스 거리 동남아 여행 10 가다 가다 준비 나열 여권 장가 가다 배다 갈수 가능하다 여권 좋다 비자 미국 비자 가지다 가지 가야 여권 소지 여행사 14 이면 등록 해주다 미국 환승 입국 수속 우의 우산 오다 이과 폭포 타고 갈다 입지 크다 도움 되어다 가다 가다 1회 가볍다 가져가다 괜찬다 전화 흔하다 인천 공항 로밍 가다 전화 잘알다 지역 자다 가지 갈다 전원 멕시코 100 사용 나라 220 사용 둥그런 구멍 우리나라 작다 충전기 드라이 들어가다 만능 탑타 가계 구입 좋다 모기향 덥다 지방 잠자리 필요하다 스프레이 올라가다 모기 물리 가려움 심하다 가깝다 약방 정도 구입 요긴 쓰이다 칫솔 정도 필요하다 센드백 넣다 가지 다니다 칫솔질 가능하다 화장실 처리 나오다 식당 이불 나오다 절대로 안되다 밑반찬 가능하다 만들다 가다 좋다 현지 먹다 현지 나누다 주다 어떻다 한국 음식 좋다 카메라 가능하다 정도 어떻다 비바람 모래바람 잘못 고장 어렵다 여행 사진 찍다 도르다 오다 컴퓨터 넷북 작다 좋다 여행 처음 시도 핸드폰 로밍 가다 좋다 관광지 접속 곤란 공항 탑승 기다리다 숙소 전화 편리하다 좋다 무선 인터넷 원효로 상가 360 000원 주다 제품 구입 여행 본전 뽑다 서울 가입 수신 번호 구입 발신 선불 20 000원 정도 지불 여행 사용 사이트 수신 번호 주기 비싸다 굳이 수신 번호 필요 숙소 인터넷 접속 안내 받다 안내 데스크 물어보다 아이디 비번 가르치다 주다 가방 크다 가방 좋다 크다 곤란하다 가방 싸다 나서다 23 넘다 옭겨 늘다 무리 가다 제한 실예 가방 26 공항 작다 구입 쇼핑 관심 끄다 부분 여행 쇼핑 브라질 보석 상과 리마 종합 매장 정도 여행 쇼핑 관심 많다 사회 물의 많다 품다 한국 제일 싸다 현지 기념품 정도 어떻다 멕시코 해오다 관계 작다 기념품 쿠바 시가 미국 입국 주의 브라질 커피 보석 많다 보석 자다 야하다 페루 알다 관련 제품 카파 모르다 진짜 카파 화학 제품 섞이다 모르다 섬유 카파 늘다 싸다 여행지 가격 천지 만발 사다 10 잘못 30 카파 확실하다 걱정 안해 가능하다 헐렁하다 짜다 쫑쫑하 짜다 좋다 좀더 믿다 상점 안내 커다랗다 쇼핑 세다 구입 확실하다 라벨 배비 알파카 쓰이다 이건 어리다 알파카 가다 알파카 짜다 의류
중남미,중남미 개국 여행 19 숙박 음식 중남미 여행 묵다 숙소 음식 여행 제일 중요하다 숙소 현지 먹다 음식 자다 여행 즐겁다 음식 자다 먹다 되어다 관광 흔하다 노랗다 숙소 음식 여행사 비다 뜨다 지다 많다 비용 주다 비싸다 호텔 비싸다 음식 재공 주머니 향상 넉넉하다 여행 느끼다 여행사 좋다 호텔 맞다 음식 제공 여행사 가격 저렴하다 느끼다 여행사 뒤지다 좋다 여행 달다 여행 참조 바라다 부족하다 음식 출국 만들다 가면 좋다 가다 아시아나 기내식 2회 제공 제공 사진 찍다 멕시코시티 아침 식사 공항 늦다 출발 숙소 들리다 아침 식당 가다 식사 멕시코 시티 점심식사
중남미,중남미 개국 여행 18 공항 리마 공항 아침 오전 1시 5분 많다 추억 리마 공항 떠나다 수많다 여행지 수많다 여행 여행객 맞이 안내 관광객 듣다 사진 찍다 분주 어느덧다 비행기 나르다 공항 도착 마찬가지 미극 입국 수속 지난번 입국 혼나다 가슴 떨리다 가다 입국 수속 순조 되어다 검사 많다 수모 당하다 브라질 커피 세관 확인 밀수 장사 조회 나서다 되어다 쿠스코 마약 성분 숙소 가져오다 나가다 쿠바 구입 시가 문제 되어다 쿠바 여행 여권 출국 도장 찍다 담배 들다 오다 난감 미국 입국 검사 방해 담당자 해결 미국 입국 지향 처리 돼다 미국 입국 어렵다 본인 환승 보내다 출국 입국 수속 아시아나 승무원 만나다 한시름 놓이다
중남미,중남미 개국 여행 17 나스카 숙소 7시 나오다 나스카 면모 경비행기 가다 오전 비행기 시야 좋다 바람 잔잔하다 경비행기 탑승 무척 끄다 롭다 일일이 승객 무게 재고 나서다 균형 맞다 좌석 배분 부부 경우 갈라 대비 비행사 선택 비행기 타고 하늘 올라가다 신기하다 모습 보이다 지다 그림 비행사 기울다 보이다 일일이 설명 해주다 영어 바람 내용 많다 그림 모르다 수수 끄다 남아 풀리다 신비 나스카 라인 잉카 나스카 계곡 중간 자리 잡고 넓다 평야 인간 그리다 거대하다 규모 그림 치다 나스카 라인 부르다 그림 땅위 절대로 비행기 타고 높다 하늘 서다 리마 7시간 소요 마일 37 마일 길이 뻗다 모습 선명하다 주변 위로 가로 지르다 기하학 모형 사다리꼴 원형 나선형 스파이더 콘도르 보이다 그림 그려지다 하늘 동물 그림 스파이더 벌새 원숭이 1000 피트 길이 펠리칸 70 정도 외계인 우주선 착륙 대인 우주 움직임 그리다 놓다 나스카 라인 가지 학설 어떻다 만들다 확실하다 밝혀지다 더욱 신기하다 느껴지다 비행기 관광 맞힌 일행 고국 떠나다 가까이 오다 리마 시내 들어오다 전통 시장 방문 리마 현지 오전 1시 05분
중남미,중남미 개국 여행 16 페루 빠르다 나스카 오늘 평상시 8시 호텔 나오다 버스 오늘 유럽 여행 덜하다 버스 타고 가야 거리 450 정도 교통 도로 어떻다 알다 준비 가야 버스 리마 시내 벗어나다 고속도로 달리 오른쪽 남태평양 보이 사막 이루 곱다 가다 군대 군대 많다 모이다 모래 언덕 판자집 지다 놓다 우리나라 김선 달이 대동강 먹다 김선 페루 모래 먹다 선달 많다 모래 주다 좋다 모래 모래 파면 황금 귀하다 자갈 나오다 우리나라 자갈 고갈 되어다 자갈 대신 커다랗다 자갈 만하 사용 경제성장 많다 건물 짖다 부수 걸다 버스 가다 도중 정도 쉬다 가다 빠르다 도착 쾌속 보드 무인도 물개 가다 많다 물개 어떻다 부르다 많다 가다 과거 나폴레옹 프랑스 군대 동원 나폴레옹 세다 유행 투이터러 많다 물개 동원 즐겁다 주다 구경 실컨 부두 오니 점심 되어다 점심 먹다 여행 최대 오점 대형 사고 터지다 말다 고산병 더불다 여행 서로 이해 자다 조절 안되다 모양 관광객 드리다 여행 어르다 많다 참다 안되다 한국 멀다 편리하다 해주다 노력 참어 주시 참다 부당하다 요구 절대로 여행객 점심 먹다 나서다 오다 까치 오아시스 가다 사막 면모 불수 샌드카 타고 사막 달다 스노우 보드 사막 꼭대기 타고 내려오다 여행 마지막 장식 가다 숙소 가다 열대과일 대명사 망고 사서 먹기 20 걷기 많다 10 많다 가다 걷기 모으다 18 되어다 우리나라 길가 농산물 팔다 대형 마트 사자 대형 마트 주차 일부 들어가다 망고 구입 망고 18 어치 무료 대형 봉투 되어다 20 걷다 사다 들다 나오다 뻔하다 일인 나누다 이나 돌다 가다 숙소 오니 이렇다 사막 이렇다 숙소 차체 마을 저녁 닭고기 돼지고기 인대 닭고기 대하 페루 3년 기르다 3년 기르다 가다 기르다 걱정 조루 독감 먹기 거북하다 닭기슴살 서다 닭다리 연하다 맞이 좋다
