country,cleaned_sentences
캄보디아,캄보디아 김성용 베트남 창열 덕분 즐겁다 보람 여행 11월 7일 11월 12일 6일 캄보디아 앙코르왓 오다 베트남 하롱베이 다녀오다 부부 친구 솔로 16 명의 구성 되어다 차다 즐겁다 유익하다 여행 특별하다 베테 지식 갖추다 프로 들다 만나다 더욱 좋다 여행 되어다 캄보디아 김성용 베트남 창열 훌륭하다 캄보디아 김성용 보이 유물 유적 역사 해박 지식 자다 설명 주어 캄보디아 이해 크다 도움 되어다 지도자 자다 만나다 그나 국민 힘들다 가르다 절실 느끼다 되어다 베트남 창열 베트남 해박 지식 국제 정세 곁들이다 설명 지루하다 자다 설명 해주다 베트남 이해 크다 도움 되어다 여행객 불편하다 최대한 배려 아끼다 과일 맛있다 사주다 서비스 제공 주다 해외 겪다 제일 수준 높다 들이다 고가 물건 쇼핑 구입 경우 서로 민망하다 경우 생기다 경우 경우 기체 결함 5시간 늦다 출발 되어다 캄보디아 내다 일행 가방 나타나다 몹시 당황 다행하다 아침 도착 아쉬움 남다 한편 해보다 기체 결함 생기다 하루 넘기다 무사하다 출발 가방 분실 되어다 아침 도척 어떻다 더욱 기억 남다 추억 저렴하다 가격 좋다 들다 보내다 주어 즐겁다 유익하다 여행 해주다 여행사 감사 드리다
캄보디아,알짜 배기 코스 캄보디아 앙코르와트 베트남 하노이 하롱베이 보통 베트남 캄보디아 나누다 가다 알다 나라 연결 갈다 상품 좋다 캄보디아 야하다 멋지다 인류 문화유산 베트남 다낭 좋다 휴양지 007 찍다 장소 하롱베이 베트남 수도 하노이 가다 코스 만족스럽다 날씨 5월 덥다 4월 아예 캄보디아 패키지 여행 5월 좋다 여하튼 코스 좋다 문화유산 기억 남고 인생샷 여러 멋지다 기념품 자다 가지다 선상 해산물 파티 좋다 음식점 좋다 일행 점잖다 어르신 들이다 좋다 쇼핑 상황버섯 이렇다 부담스럽다 사라 눈치 주시 막판 비행기 티켓 비행기 티켓 호텔 비용 비용 버스 비용 커버 저렴하다 가격 패키지 정도 선택 관광 쇼핑 감수 부분 필요하다 위주 가지 구입 싶다 부분 본사 말씀드리다 시정 여하튼 많다 여행 적극 추천 싶다
캄보디아,기대 캄보디아 여행 더위 댕기열 예약 놓다 망설이다 캄보디아 8월 여행 좋다 차다 더위 적당하다 내다 여행 그리다 힘들다 날씨 황금 뽑다 누에 통방 만들다 섬세하다 실크 직조 기술 신기하다 감탄 멈추다 실크 파다 만들다 믿다 거대하다 바라이 호수 신기하다 박쥐 공원 캄보디아 전통 민속촌 그림 실제 구분 감탄사 나오다 파노라마 말로 표현 정도 이롭다 앙코르와트 사원 눈물 정도 여러 가지 감정 들다 평양 냉면 음식 공연 손대다 순수 자연 평온하다 느끼다 톤레샵 호수 맹그로브 신나다 아트 박스 가슴 아프다 역사 닮다 왓트 마이 사원 자유 로움 느끼다 야간 시티투어 추천 주신 옵션 여행 처음 이해 가다 가기 싫다 가다 후회 정도 좋다 캄보디아 자연 여행지 캄보디아 맑은 미소 감동 여행 마지막 캄보디아 역사 장소 유적지 가다 자세하다 재미있다 설명 주신 김동완 감사 드리다 덕분 알차다 유익하다 여행 중간 중간 간식 기념품 사서 쥐다 주시 진짜 삼촌 친근하다 주신 덕분 가리다 즐겁다 여행 내리다 예상 멀리 뛰어가다 우산 빌리다 주다 맞다 주신 센스 넘치다 로컬 뽄록님 감사 드리다 사원 뻘뽈 흘리다 사진 예쁘다 찍다 주신 사진 기사 환하다 미소 아름답다 계속 기억 남다 가다 싶다 캄보디아 여행 싶다 김동완 캄보디아 여행 깊다 여운 빠지다 나오다
캄보디아,직원 후기 2019 03 14 2019 03 18 베트남 하노이 캄보디아 씨엡립 출장 후기 1일 08 00 김해 국제공항 출발 비엣젯 항공 981 기내식 유상 판매 사전 구매 기내 구매 11 05 하노이 국제공항 도착 오전 출발 공항 붐비다 펴다 공항 이용 박항서 대표팀 감독 광고 판이 걸리다 베트남 현지 박항서 감독 위치 간접 3월 하노이 날씨 우리나라 6월 여행 좋다 기온 아침 저녁 우천 기온 내려가다 대비 여벌 가져가다 여행 도움 프로그램 박항서 감독 이승기 출연 유명하다 감독 자주 설명 한국인 지인 인기 많다 식당 음식 비싸다 항상 문전 시르다 이루다 바딘 광장 호치민 생가 기둥 사원 바딘 광장 한국 광화문 광장 호치민 국회의사당 위치 호치민 묘지 안치 되어다 호치민 시신 직접 관광객 몰리다 5분 1시간 30분 기다리다 야하다 2월 북미 정상회담 영향 보안 검색 대가 설치 되어다 서양 관광객 중국 관광객 크게 증가 되어다 호치민 생가 호치민 지내다 물건 보존 관광 굉장하다 검소 베트남 국민 존경 받다 인물 한눈 계기 되어다 통킨쇼 하노이 시내 차량 40분 50분 정도 떨어지다 위치 물위 인형극 무용 보여주다 형태 진행 굉장하다 크다 스케일 공연 대사 동작 음악 공연 진행 야외 진행 날씨 영향 받다 기피 필수 챙기다 2일 요셉 성당 요셉 성당 하노이 중심부 위치 기다 한국인 자다 알려지다 카페 위치 많다 관광객 방문 16 30 하노이 국제공항 출발 18 15 씨엠립 국제공항 도착 씨엠립 공항 크다 내부 리노 베이 깔끔하다 모습 보이다 공항 문재인 대통령 부부 환영 사진 활주로 한눈 보이다 정도 크게 붙다 석식 3일 앙코르 유적지 앙코르왓 사원 관광 캄보디아 대표 관광지 이자 유네스코 지정 불교 성지인 앙코르왓 사원 패키지 여행객 전세계 자유 여행객 1년 내내 찾다 따다 프롬 사원 바이욘 사원 앙코르와트 사원 많다 사원 밀집 되어다 사진 매표소 티켓팅 먼저 사원 이동 입구 항상 티켓 확인 굉장하다 덥다 날씨 죽다 가치 들다 웅장 신비하다 모습 보이 정상 사원 보지 기회 방문 일정 치다 멀다 타국 우리나라 대통령 가까이 뵈다 기회 석식 씨엠립 위치 북한 식당 식사 패키지 여행객 식당 가득 차다 북한 운영 식당 20 대다 초반 여직원 구성 되어다 우리나라 대학생 실습 3년 근무 북한 돌아가다 업무 무대 공연 공연 구성 다양하다 흥미롭다 공연 여행자 거리 4일 톤레삽 호수 수상 마을 동양 최대 호수 불리다 우기 크기 경상 북도 합치다 정도 엄청나다 크기 호수 호수 물위 형성 되어다 수상 마을 모터보트 타고 수상 마을 선착장 이동 쪽배 타고 수상 마을 관람 베트남전 전쟁 피해 캄보디아 피난 베트남인 모이다 형성 되어다 베트남 캄보디아 국가 국민 받아들이다 호수 마을 형성 되어다 중식 쇼핑 센터 방문 상황버섯 잡화 퍼시픽 호텔 나누어지다 호텔 새롭다 리노 베이 호텔 굉장하다 깔끔하다 느낌 주다 왓트 마이 사원 작다 킬링필드 불리다 사원 킬링필드 사건 당시 학살 유골 리기 지워지다 사원 작다 당시 우물 발견 되어다 유골 육안 확인 당시 학살 장면 표현 그림 전시관 19 05 씨엠립 국제공항 출발 20 50 하노이 국제공항 도착 01 00 출발 하노이 부산 하노이 공항 도착 많다 승객 입국심사 받다 이동 승객 경우 입국심사대 맞은편 왼쪽 사진 탑승수속 실시 표지판 오른쪽 사진 이동해 수하물 검사 받다 야하다 탑승수속 씨엡립 하노이 구간 탑승권 확인 하니 소지 07 00 김해 국제공항 도착 짧다 기간 개국 개다 실속 기회 되어다 깊다 국내선 비행 나라 개성 매력 캄보디아 처음 방문 해보다 옛날 꾸준하다 보존 20 세기 최악 사건 킬링필드 인하다 성장 멈추다 모습 캄보디아 나라 해보다 계기 되어다 패키지 여행 일정 짜이다 안내 따르다 움직이다 수도 가다 지역 장소 어떻다 역사 행전 공부 간다 보이 느껴지다 의미 여행 출장
캄보디아,떠나다 하롱베이 캄보디아 여행 떠나다 베트남 캄보디아 여행 즐겁다 많다 인원 나름 즐겁다 캄보디아 만난 크다 흥겹다 박식하다 좋다 여행 만남 만남 의미 깊다 고생 여행 배우다 진실 가슴 고온
캄보디아,캄보디아 앙코르왓 여행 국제선 나오다 윤영 차장 상세 설명 씨엠립 공항 비자 입출국 수속 쉬다 감사 씨엠립 도착 현지 차상현 부장 만나다 호텔 이동 첫날 보내다 2일 여행 진행 좋다 날씨 덥다 자유시간 5시간 지루하다 자유 앙코르왓 좀더 주다 여행 덥드 구경 더하다 돌아오다 호텔 머물다 길다 난감 11시 오후 덥다 구경 어려움 현지 식사 만족하다 먹다 오다 여행 많다 알아듣다 설명 코코넛 망고 사주다 맛있다 먹다 오다 마시다 생수 부족함 충분하다 주신 부장 감사
캄보디아,볼거리 많다 캄보디아 앙코리왓트 여행 첫날 인천공항 안내 받다 씨엠립 공항 도착 비자 발급 받다 과정 황당하다 힘들다 기내 비자 신청서 출입국 카드 세관 신고 종이 주다 기내 받다 공항 도착 받다 하니 불친절하다 용지 상황 여기저기 뛰다 다니다 용지 어렵다 얻다 나오다 이렇다 용지 사전 나누다 좋다 여행사 통해 가시다 들다 용지 가지 비자 신청 캄보디아 직원 불친절 극치 덥다 의자 앉다 의자 다리 올려놓다 눕다 다시피 앉다 묻다 한쪽 뜨다 대답 감다 버리다 막히다 캄보디아 여행 기내 용지 안주 달라 가지 갈다 고생 공항 나오니 김민규 밝다 미소 반기다 주다 여행 내내 동선 스케줄 조정 주시 배려 캄보디아 역사 박식하다 여러가지 구경 많다 역사 공부 먹다 만족스럽다 한가지 아쉽다 쇼핑 상황버섯 판매 불쾌하다 캄보디아 군장 장인 이사 안내 버섯 강매 사다 하니 얼굴 완전하다 변하다 행동 무례하다 사오다 다시다 가다 아들 친절하다 해주다
캄보디아,캄보디아 앙코르왓 이동주 이사 즐겁다 여행 이동주 이사 박학 다식 설명 덕분 앙코르왓 자세하다 되어다 감사하다 즐겁다 여행 만족스럽다 포도 준비 5년 방문 싶다
캄보디아,김종훈 차장 떠나다 캄보디아 앙코르 와트 앙코르 유적 활짝 웃다 설명 김종훈 차장 2018년 여름 휴가 고대 떠나다 고민 일생 가보다 캄보디아 왓트 결정 여행 좋아하다 부부 50 대다 후반 베낭 메다 자유롭다 떠나다 자유여행 좋아하다 캄보디아 씨엠립 교통 불편하다 치안유지 자다 안되다 선입견 패키지 가기 결심 여행사 싸이트 살펴보다 헐다 대박 5일 상품 485 000원 여름 수기 가격 저가 항공 일지 왕복 항공권 가격 믿다 여행사 상품 대체로 60만원 후반 비교 시작 항공권 호텔 식사 관광 서비스 비교 느껴지다 가격 200 000원 싸다니다 예약 결재 단행 곧바로 본사 동남아 박꽃초롱 문자 전화 예약 안내 받다 친절하다 똘망 서비스 더욱 대감 솟다 나다 한편 싸다 비지 이란 쇼핑 선택 관광 강요 여행 기분 망치 내심 걱정 불안하다 공존 인천공항 에어 서울 항공기 타고 출발 와우 대한항공 아시아나 좌석 앞뒤 넓다 편하다 쾌적하다 씨엠립 도착 씨엠립 공항 빠지다 나오다 팻말 들다 김종훈 차장 반갑다 맞다 주다 서글서글하다 미소 듬직하다 구가 좋다 인상 주다 호텔 이동 여행객 입장 자다 고려 일정 조정 진행 안내 세계 유적지 출발 시작 한지 안되다 캄보디아 역사 앙코르 신화 유창하다 재미있다 열정 설명 짧다 기간 공부 들다 일행 여성 배탈 나서다 고생 부랴부랴 구해 주다 식당 미리 미리 전화 특별하다 준비 놓다 관람 걷기 힘들다 기사 동원 편안하다 쉬다 공간 마련 주다 모습 의무 진심 어리다 배다 감동 가다 유적지 현지 관리인 만나다 듯이 인사 외치다 현지 함부로 따뜻하다 해주 모습 좋다 젊다 여성 중심 구성 되어다 대부분 쇼핑 선택 관광 외다 관심 갖다 그로 인하다 인상 찌푸리다 미소 잃다 본분 쇼핑 선택 관광 권면 전혀 감정 상하 자연 동조 만들다 진정하다 프로 어느새다 마지막 저녁 식사 진하다 아쉬움 남다 공항 버스 마지막 인사말 더욱 사랑 해달라다 모시 장님 멋지다 훌륭하다 신분 칭찬 맺다 좋다 보이다 며칠 카페 생애 캄보디아 오다 기회 무색 친구 캄보디아 골프 치르다 오다 차장 어느새다 기다리다 하나투어 모두투어 롯데 관광 여러 차례 패키지 여행 다녀오다 여행 후기 쓰다 싶다 정도 감명 깊다 여행 처음 쓰다 여행 후기 휴가 여행 가다 오늘 인천공항 도착 회사 출근 밀리다 일도 많다 노트북 꺼내다 여행 후기 적다 적다 비용 멋지다 여행 마련 해주다 김종훈 차장 고맙다 감사하다 마음 전하 싶다 간절하다
캄보디아,캄보디아 불쾌하다 여행 되어다 조훈 캄보디아 5일 일정 여행 1일 좋다 유적지 설명 유익하다 좋다 가지 불쾌하다 적다 이틀 오전 나이 많다 고객 계심 불구 무리하다 하루 몰다 유적지 답사 궁금하다 마지막 툴레 카누 체험 라텍스 보석 상황버섯 잡화 군데 쇼핑 센터 방문 하루 끝나다 힘들다 답사 쇼핑 적절하다 분배 필요하다 수상 가옥 들어가다 고객 방향 앉다 기울다 세월호 양쪽 발언 경솔하다 반복 실수 충격 재미있다 에피소드 말씀 이전 고객 병력 사연 우스갯소리 만들다 의문 듭니 본인 듣다 기분 상해 일부러 멀다 고르다 걸어오다 유적지 개인 프라이버시 재미있다 에피소드 소비 되어다 안되다 여행 우습다 에피소드 소비 몹시 불쾌하다 본인 의견 분리 말씀 주다 좋다 들다 반복 역사 중요성 말씀 본인 견해 중간 중간 섞다 말씀 자칫 자다 모르다 의견 수용 우려 들다 말씀 올바르다 역사 따르다 본인 의견 갖다 중요하다 마지막 선택 관광 가다 싶다 아예 제시 선택 여지 벌다 즐겁다 여행 말씀 그리다 기분 좋다 고객 개별 지불 쇼핑 센터 필요하다 물건 사지 고객 문제 여행사 구조 문제 궁금하다 캄보디아 가다 내용 참고 좋다
