country,cleaned_sentences
코타키나발루,코타키나발루 여행 좋다 5일 여행 일정 내내 날씨 쾌청하다 친절하다 열정 킹콩 만나다 안전하다 재미있다 관광 마치다 되어다 고맙다 당당하다 체구 품다 나오다 우렁찬 목소리 좋다 챙기다 식사 동분서주 모습 프로 기운 느끼다 데리 다녀오다 싶다
코타키나발루,코타키나발루 김재훈 감사하다 수기 비싸다 가격 망설이다 가족 여행 끝내주다 풍경 날씨 멋지다 리조트 알차다 선택 관광 행복하다 보내다 김재훈 친절하다 설명 꼼꼼하다 정운영 멋지다 사진 찍다 세심 더욱 즐겁다 여행 되어다 여러 가족 팀별 일정 챙기다 시어머니 의미 투어 추천 해주다 좋다 항상 건강하다 가족 추억 계시다 항상 건강하다 행복하다
코타키나발루,김재훈 즐겁다 코타키나발루 여행 찍다 베스트 일정 압둘라 해양 공원 스노 쿨링 워킹 선택 관광 반딧불 투어 따르다 안전하다 이동 사고 재미있다 스노 쿨링 해수욕 반딧불 투어 인상 투어 타고 맹그로브 지나가다 비추다 불빛 따르다 이쁘다 반딧불 동화 오다 황홀하다 광경 나발 루산 국립공원 선택 관광 나이트 투어 선택 관광 바다 실컷 놀다 나발 루산 국립공원 맑은 공기 말다 아름답다 경치 사주다 파인애플 달콤하다 맛있다 원안 유황 온천 휴식 취하 족욕 피로 좋다 세계 아름답다 코타 발루 멋지다 사진 남다 멋지다 공연 저녁식사 서비스 사주다 새우 잊다 숙소 들리다 기전 피다 피다 마켓 맛있다 한잔 서비스 시내 관광 쇼핑 센터 방문 비주 청사 들르다 코타키나발루 멋지다 건물 순간 자연 관광 도시 모습 보여주다 아름답다 들다 쇼핑 센터 방문 좋다 인식 갖다 기회 통해 처음 쇼핑 자다 들다 절대 강요 해당 제품 간략하다 설명 소개 통해 제품 이해 도와주다 필요하다 물건 좋다 호텔 식사 퍼시픽 마젤란 들어가다 위치 굉장하다 조용하다 아름답다 풍경 갖다 호텔 고급스럽다 주변 수영장 시설 좋다 호텔 식사 친절하다 호텔 직원 덕분 항상 기분 좋다 아침 시작 한식 완벽하다 식사 종류 다양하다 정성 식사 느낌 들다 정도 괜찮다
코타키나발루,최고 코타키나발루 여행 세계 대다 석양 코타키나발루 가다 싶다 통해 즐겁다 다녀오다 호핑 투어 반딧불 투어 시티투어 일정 좋다 스카이 관광객 많다 힘들다 열정 모습 좋다 이동 들려주다 살아가다 살이 말레이시아 관심 생기 되어다 쿠알라룸푸르 도전 해보다 패키지 가족 단위 많다 명의 20 대다 여성 자다 챙기다 두다 감동 가다 좋다 친구 좋다 제일 즐겁다 기억 남다 여행 패키지 이용 이용 귀국 해피 오다 감동 받다 사진 찍다 감사하다 행복하다 한해 보내다 2020년 출발 행복하다 만들다 감사하다
코타키나발루,코타키나발루 이윤재 감사하다 5일 일정 코타키나발루 다녀오다 엄마 세자매 이서 처음 여행 떠나다 이윤재 일정 진행 해주다 기억 남다 코타키나발루 써다 유명하다 이쁘다 써다 배경 사진 찍다 굉장하다 기대하다 가다 손수 준비 해오다 소품 들다 포즈 구도 짚다 이쁘다 사진 예쁘다 찍다 좋다 사진 전문 갈다 모든 신경 써다 찍다 대단하다 그리다 반딧불 투어 반딧불 직접 불다 아프다 투어 내내 휘저 불다 덕분 반딧불 투어 깜깜 반딧불 이의 불빛 예쁘다 쇼핑 자유 정이 포함 되어다 유명하다 쇼핑 좋다 가보다 좋다 직접 추천 해주다 한국어 명소 표시 지도 보내다 자유 정도 알차다 보내다 니당다 마사지 받다 싶다 코타키나발루 호객 행위 심하다 부탁드리다 검증 좋다 예약 주다 만족 자다 받다 오다 특별하다 신경 써주다 자다 챙기다 좋다 버스 이동 시티투어 쉬다 재밌다 얘기 설명 해주다 입담 장난 빵빵 터지다 덕분 재밌다 여행 되어다 넘다 감사 드리다
코타키나발루,잊다 코타키나발루 레시아 여행 세라 덕분 편안하다 즐겁다 설명 재미나 즐겁다 스케줄 프리 넘다 편하다 보내다 우기 유명하다 선셋 아쉽다 가다 유쾌 상쾌 통쾌 세라 감사하다
코타키나발루,김재훈 덕분 넘다 행복하다 코타키나발루 여행 코타키나발루 힐링 여행 계획 세우다 처음 가다 패키지 데이빗 배정 넘다 넘다 다행 여행 서다 위축 느낌 아침 픽업 오다 자다 먹다 자다 자다 물어 감사하다 니당다 이동 마다 재치 설명 해주다 다양하다 지식 알다 일정 소화 능력 짱짱 편하다 일정 소화 니당다 역사 선생님 패키지 여행 데이빗 행복하다 니당다
코타키나발루,코타키나발루 좋다 다니엘 코타키나발루 환상 느끼다 호핑투어 자체 좋다 바다색 하늘색 멋지다 마무 가다 얕다 물고기 많다 물고기 나타나다 바닥 곰치 물고기 스쿠버다이빙 처음 수영 스쿠버 알다 친절하다 설명 해주다 덕분 안전하다 재미있다 속도 오다 오다 반딧불 움직임 적다 다니엘 반딧불 유혹 내내 계속 움직이다 대단하다 편하다 앉다 감상 날씨 따르다 그림 선셋 마지막 다니엘 사진 끝장 나다 찍다 선셋 사진 화보 찍다 주다 진짜 화보 찍다 주심 개그 심리테스트 과정 쉬다 계속 심심하다 얘기 해주다 패키지 따르다 다니엘 다니엘 다니엘 수고 많다 지인 1월 코타키나발루 가다 난리 나다
코타키나발루,코타키나발루 여행 코타키나발루 여행 시작 좋다 비행기표 좋다 비상구 좌석 편하다 출발 넥서스 리조트 첫날 침대 배드 첫날 자고 바꾸다 달라 더니 옮기다 깨끗하다 좋다 시설 오래되다 직원 친절하다 조식 괜찮다 리조트 수영장 주변 경관 바닷가 수영 즐겁다 보내다 이틋날 산호섬 구경 해산물 바베큐 맛있다 자다 먹다 선택 관광 오다 맹그로브 가성 비다 제공 식사 비빔밥 한식 부폐 별로 반딧불 체험 어린시절 돌아가다 기분 여행 전반 즐겁다 자다 다니다 오다 감사하다
코타키나발루,코타키나발루 가족 여행 안전하다 행복하다 아들 코타키나발루 여행 전체 성인 아들 10월 13일 17일 5일 다녀오다 검다 휴일 가게 여행 크게 자다 다니다 오다 1일 10월 13일 출발 밍가 호텔 도착 1일 가다 비행기 타고 목적지 코타키나발루 밍가 호텔 도착 인천공항 들뜨다 가족 들다 먹다 비행기 타고 코타키나발루 고고씽 2일 10월 14일 호핑 투어 시작 오후 자유시간 배타 이동해 들어가다 위치 특색 설명 안전하다 호핑할 사이먼 자리 지키다 물건 분실 편하다 물고기 만나다 해양 티비 워킹 우려 달리 안전하다 재미있다 체험 자랑거리 추가 막내 작다 수중 헬멧 덮다 현지 스쿠버다이버 안전하다 붙다 서리 즐겁다 체험 많다 물고기 많다 니모 좋다 체험 2일 오후 자유시간 이마 몰다 탐방 3일 오전 자유시간 시내 고고씽 2일 오후 택시 타고 인원 선택 이마 쇼핑몰 가다 민속 공연 저녁 울드 아웃 식당 식사 쇼핑몰 걷다 다리 파서 쉬엄쉬엄 돌아다니다 크다 쇼핑몰 택시 밍가든 링깃 2700원 할증 안전하다 이동 좋다 3일 10월 15일 오전 시내 투어 오후 선셋 반딧불 투어 투어 택시 불다 고고씽 가격 링깃 유명하다 수집 찾다 헐다 쉬다 날인 사정 건지다 닫다 옆옆 맛집 고고씽 맛있다 추천 받다 주문 가운데 보이다 인분 점원 추가 무시 가족 가지 먹다 남기다 어마 무시 먹방 찍다 맛있다 3일 오후 선셋 반딧불 투어 시작 선셋 투어 배타 이동 구명조끼 필수 석양 포인트 찾아가다 인생 찍다 직접 찍다 사진 대포 사진기 가져오다 신분 부르다 정도 아름답다 장소 좋다 우기 날씨 막히다 화창하다 좋다 반딧불 사진촬영 금지 되어다 반딧불 마음속 저장 4일 시내 투어 중국사 구청 야시장 구경 마지막 우기 만나다 오다 모스크 사원 가까이 가다 차안 중국사 가다 설명 들다 화교 말레이시아 영향력 설명 듣다 되어다 오든 신나다 우기다 비다 길다 1시간 끝나다 야시장 사이먼 제공 해주다 얼음 망고 주스 말다 야시장 투어 시작 와이프 맛사지 받다 가다 큰아들 한국 가면 공부 석양 잡다 항상 이동 사이먼 안전 강조 꼼꼼하다 모습 차다 좋다 일행 좋다 안전하다 행복하다 여행 되어다 말레이시아 태형 제도 납치 음식 가지 장난 걸리다 크다 받다 제도 우리나라 필요하다 더더 안전하다 다니다 사이먼 공항 가다 스타벅스 맥도날드 가다 무조건 자리 잡고 쉬다 들어가다 명언 명불허전 코타키나발루 공항 출입국 통과 쉬다 단점 최대한 쉬다 들어가다 루트 새롭다 루트 도전 해보다 싶다 가족 여행 최고 선택 감사하다 세번 가족 여행 기다리다 원사 형제 아빠
