country,cleaned_sentences
터키,터키 가슴 담다 여행 후기 9일 상편 터키 9일 일정 끝내다 돌아오다 하루 정도 지난 아침 10 운전 차도 어색하다 느낌 들다 늦다 오다 쓰다 아침 피곤하다 몰려오다 여행 이렇다 아침 출근 새삼 느끼다 마음속 담다 가지 나르다 똑같다 상속 빠져들다 허락 달라지다 모닝커피 한잔 터키 나누다 싶다 소감 적다 진영 터키 담다 나이 32 결혼 아빠 주말 부부 생활 여행 친구 후배 여행 일반 와이프 두다 친구 여행 간다 현주소 불가능 가깝다 함수 관계 공식 결론 여행 갈다 결과 나오다 가다 마냥 즐겁다 와이프 배려 먼저 서두 감사 전하 싶다 11시간 부화 과정 통해 이스탄불 깨어나다 마음속 터키 품다 달다 머리 이스탄불 제국 수도 서양 문화 교류 중심지 어리다 가지 놀다 블루마블 게임 노란색 싸다 도시 기억 먼저 스치다 지나가다 이름 느껴지다 국적 신비하다 매력 높다 싸늘하다 아침공기 말다 술탄 흐메드 사원 차안 이스탄불 도시 거대하다 느끼다 충분하다 수많다 붉다 은색 지붕 가득 보스 해협 유럽 아시아 가르다 터키 도시 거대하다 모스크 버티고 오벨리스크 술탄 흐메드 사원 하물 저장 카프 궁전 그랜드 바자 이어지다 오스만제국 역사 한눈 2005년 10월 라마단 기간 차도르 여자 자주 생소하다 모습 종교 신념 지키다 나가다 익숙하다 터키 종교 관심 가지 여행 개인 종교 종교 가치 서다 높이 평가 99 정도 이슬람 종교 가지 나라 터키 가입 준비 터키 존재 가입 고민 거리 경제 뭉치다 종교 이슬람 역사 오스만제국 경험 배제 제일 가치 지난 끼리 전쟁 통해 느끼다 들다 반성 공동 번영 노력 해보다 유럽인 의지 해답 역사 경험 찾다 앙카라 터키 수도 면서 무스타파 케말 아타튀르크 영묘 터키 국민 지키다 나가다 국부 케말 가치 터키 정도 세계 전쟁 오스만제국 몰락 자칫 그리스 빼앗기다 뻔하다 일부 영토 회복하다 터키 공화국 세운 스타 케말 이기 크다 업적 가지 원칙 문자 개혁 개혁 주의 노선 주의 따르다 정교분리 원칙 정교하다 원칙 이슬람 깨뜨리다 터키 칼리프 이슬람 최고 지도자 위상 버리다 반대 진압 주의 이슬람 사회 충격 불다 오다 오늘날 사회 지향 사회 되어다 혼란 시기 독재자 가능하다 터키 국민 아타튀르크 국부 칭호 부르다 10월 터키 가을 인지 카파도키아 가을 단풍 들다 괴석 신비하다 가을 단풍 정취 매력 느끼다 충분하다 하므다 느긋하다 풀다 구경 어색하다 싸늘하다 날씨 4일 자다 지내다 친구 나다 밤새다 아팟다 닥터피쉬 가다 되어다 회복 시점 끼리 숙소 마을 윌깁 배회 거리 학생 신기하다 외국 여행 느끼다 구경 꺼리다 느낌 색다르다 계획 근처 여행사 들어가다 손발 서투르다 영어 40분 정도 상의 코스 선택 가게 되어다 어제 가다 데리다 구유 지하 도시 가보다 계곡 가게 되어다 계곡 단풍 절경 시냇물소리 탄압 받다 기독교인 생활 교회 벽화 비둘기 종교 가치 마음속 지키다 나가다 이렇다 구도 과정 걸다 교인 고난 행군 감동 이기 종교 신념 끊다 기독교 들다 이교도 어떻다 이교도 세력 종교 부분 역사 아이러니 느끼다 해주다 어떻다 종교 처음 시작 이단 나오다 종교 비종 교인 정도 상대 인정 용이 필요하다 카파도키아 안탈랴 가다 길다 감동 가을 겨울 여름 수가 단풍 물든 한가롭다 치다 목동 무리 광활하다 벌판 덮이다 아침 출발 오후 늦다 되어다 안턀랴 도착 지중해 깊다 푸른 빛깔 바다 매혹 지중해 기후 유럽인 최고 휴양지 해주다 바다 하늘 색깔 로만 따다 우리나라 홍도 앞서다 마지막 이스탄불 고대 문명 유적지 이어지다 리디아 문명 히에라폴리스 파물 깔다 레온 아르테미스 신전 에페소 트로이 이어지다 터키 여행 최고 거중 유적지 크다 적음 실망하다 역사 현장 직접 자체 의미 천년 바다 육지 화려하다 문명 땅속 들어가다 만들다 놓다 깨어지다 동상 무너지다 기둥 역사 문명 장기 버스 여행 벌써 완독 두껍다 역사 읽다 넉넉하다 음미 앉다 즉석 만들다 시원하다 오렌지 쥬스 한잔 말다 아들 크다 데려오다 역사 공부 직접 가르치다 들다 여행 후반 부로 접다 들다 중얼거리다 따르다 해봤다 터키어 떨어지다 되어다 여러 번하다 터키인 자다 안되다 테쉐퀴르 데리다 감사하다 날때 버스 외우다 두다 직접 현지 상황 맞다 말로 최대한 터키 사람인 들다 먹다 피곤하다 버스 탈때 현지 부귄 오늘 피곤하다 덥다 에페소 유적지 생뚱맞 두껍다 입다 땀낼 스작 스작 덥다 사진 취미 사진 찍다 사진 찍다 포토 흐르다 피다 케빌리 밉다 사진 찍다 포토 흐르다 프므 체키빌리르 미시 늘다 30 40 번은 외우다 잊어버리다 외우다 우랄 알타이 언어 방법 우리나라 특징 아침 나이 메르 하바 익숙하다 만하 이스탄불 마지막 먹다 케밥 먹다 케밥 찾다 먹다 음식 먹다 좋다 딜리셔스 석양 등지 이스탄불 가로 크루즈 상념 빠지다 터키 역사 민족 출발 가능성 높다 형제 나라 우린 남하 정착 농경 문화 중국 직접 영향 받다 터키 투르크족 중국 경쟁 안좋다 말로 불리다 유목 국가 흉노 돌궐 나라 서쪽 이동 민족 융합 모습 서구 변화 되어다 서쪽 서유럽 국가 경쟁 서유럽 훈족 셀주크 투르크 오스만투르크 성장하다 공포 경쟁 대상 되어다 나라 터키 현주소 중국 서유럽 역사 강력하다 압박당하다 터키 역사 축소 왜곡 견제 대상 어리다 학교 중요하다 다루다 나라 터키 터키 자체 가슴 뛰다 기분 들다 기도 반갑다 느낌 들다 돌다 역사 소리 들다 수가 심장 핏속 작다 울림 모르다 활기차다 가득 이스탄불 중심 거리 비행기 아쉽다 오다 싶다 나라 터키 터키 여행 수고 해주다 태권 현지 베이 운전사 알리 노랗다 인솔 문현정 깊다 감사 드리다 여행 후기 말로 적다 여행 실상 진영 만들다 40 이하 비교 젊다 끼리 맥주 한잔 고맙다 아줌마 재밋 지내다 물건 자다 주다 감사하다 배우다 자세 살다 사진 상편 기대 해주다
터키,터키 가슴 담다 여행 후기 9일 하편 전체 화면 좋다 여행 1500 여장 정도 찍다 여행 느낌 살리다 사진 150 여장 추다 편집 해봤다 이쁘다 영상 주소 초과 경우 주소 복사 주소창 넣다 클릭 해주다 21 24 2005
터키,이스탄불 로맨스 터키 9일 10 16 10 24 이스탄불 로맨스 낚시꾼 여유 매력 도시 이스탄불 마지막
터키,트로이 몇개 지역 터키 9일 10 16 10 24 아시아 대륙 유럽 건너오다 여유 식사 기다리다
터키,지중해 안턀랴 터키 9일 10 16 10 24 안턀야 하룻밤 자고 아침 일찍 일어나서 지중해 일출 찍다 태양 낚으려 낚시꾼 걸리다
터키,파묵깔레 온천 지역 터키 9일 10 16 10 24 세계 석회 용암 대의 온천 부족 초라하다 보이다
터키,터키 터키 9일 10 16 10 24 지하 동굴 인형 파다 할머니 인형 몇개 파시 좋아하다 갈다 흔들다 할머니
터키,카라반 쉬다 실크로드 앙카라 터키 9일 10 16 10 24 카라반 대상 쉬다 40 마다
터키,이스탄불 블루 모스크 터키 9일 10 16 10 24 블루 모스크 웅장 자체
터키,이스탄불 블루 모스크 주변 관광 터키 9일 10 16 10 24 하물 장고 메두사 머리 아름답다 모습 가슴 아프다
