country,cleaned_sentences
필리핀,인하다 최악 최악 기억 보라카이 여행 일행 회사 동료 사이 패키지 여행 부풀다 마음 안고 보라카이 허다 인하다 최악 스트레스 받다 돌아오다 첫날 비행기 계속 레이 바람 보라카이 칼리 새벽 1시 15분 도착 예정 현지 4시 30분 도착 계속 연착 인하다 피곤하다 지치다 지치다 상황 선착장 2시간 버스 타고 가야 상황 얼른 버스 탑승 붙다 싶다 심정 일행 입국심사 걸리다 다모 이기 걸리다 다행하다 나오다 출발 대형 패키지 여행사 여행자 개인 정의 여행자 공항 떠나다 꺼지다 버스 오도 가도 상황 발생 설명 30분 아무렇다 설명 패키지 일행 방치 기다리다 지치다 부부 일행 대체 출발 버스 오다 물어보다 서다 인상 찌푸리다 보라카이 버스 직원 사람과 대화 나서다 설명 1시간 10분 어둠 의자 버스 탑승 공터 방치 되어다 버스 오다 서다 피곤하다 이끌다 버스 탑승 버스 서다 오기 버스 드라이버 빵꾸 내다 이렇다 답변 들다 아무렇다 양해 사과 보라카이 여행 환상 산산조각 나다 버스 탑승 잘못 리알 이상하다 약속 보라카이 패키지 일정 내내 망고 먹다 만해 망고 사주다 망고 실컷 먹다 맥주 계속 사주다 먹다 가다 맥주 계속 달라 고해 무제한 주다 이또 지키다 망고 먹기 커녕 구경 맥주 먹다 가다 맥주 돼다 꺼내다 무섭다 눈치 주다 먹다 말씀 놓다 40 살이 넘다 일행 20 초반 30 초반 어리다 보이다 반말 불친절하다 언행 서슴다 선택 일정 강요 최악 첫날 일정 피곤하다 선택 일정 어떻다 서약 주다 거기 선택 패키지 식사 거나 소규모 업체 마사지 패키지 상품 패키지 포함 되어다 마사지 식사 서약 가다 모르다 선택 일정 들다 선택 연착 인하다 피곤하다 마사지 풀다 솔직하다 싶다 말씀 드리다 계속 묵살 되어다 끝내다 선택 일정 매너 배려 마지막 일정 선택 일정 100달러 마사지 할인 해주다 이건 매너 끈질기다 강요 계속 강압 강요 지치다 지치다 할인 받다 두발 들다 2일 일정 저녁 석식 포함 날다 일정 내내 그날 하루 스케줄 충분하다 설명 듣다 포함 스케줄 두리 뭉실 넘기다 선택 일정 강요 웃기다 선택 일정 일행 차별 이유 어떠하다 관심 보라카이 설명 해주다 일정 포함 되어다 석식 해주다 포함 안되다 저녁 먹다 맛있다 먹다 간다 석식 포함 안되다 알다 포함 일정 물다 저녁 어떡하다 물어보다 저녁 포함 되어다 안되다 서다 오늘 저녁 포함 되어다 들다 먹다 맛있다 먹다 간다 강요 귀찮다 먹다 반말 말씀 그러하다 태도 화가 석식 포함 된거 먹다 패키지 비용 포함 되어다 서다 먹다 먹다 러시 그거 먹다 철판 볶음밥 백프로 저녁 석식 아예 일정 황당하다 듣다 석식 자유시간 기분 나쁘다 석식 먹다 이해 안되다 서약 서다 분명 식사 다르다 안되다 선택 일정 안해 업체 가다 마사지 받다 포합 되어다 저녁 석식 식사 알다 는걸 밀고 나가다 이건 먹다 일정 반말 섞이다 귀찮다 식당 맥주 먹다 눈치 주다 반말 팁팁팁 여행 내내 기분 안좋다 선택 일정 일행 가족 망고 희다 무관심 반말 맞다 싶다 정도 막히다 선택 일정 마사지 금액 일행 제각각 일행 늘다 100 프로 일행 늘다 할인 해주다 살살 꼬들기 이건 매너 이건 저격 기분 나쁘다 언행 일행 일행 여행사 들다 제각각 명목 강요 강요 선택 일정 강요 다시다 보라카이 가다 패키지 여행 패키지 여행 모든 여행자 위합 여행자 마지막 공항 도착 갈다 일행 챙기다 보라카이 애정 해주다 묻다 싶다 정도 칼라 공항 도착 쇼핑 센터 가야 무심하다 눈길 안주 무관심 다가오다 친절하다 설명 사라 사다 나가다 눈치 줍다 주다 강요 마지막 비행기 기전 저녁 먹다 먹다 디저트 먹다 가다 사다 팔다 상점 들어가다 사다 사다 가차 알다 마지막 사주다 보답 해주다 보답 해주다 비행 라운지 일행 포함 일행 모이다 처음 자리 서로 되어다 일행 똑같다 마사지 100달러 일행 70달러 현지 3일 가족 일행 10달러 가족 일행 20달러 10달러 40달러 받다 호구 덕분 안주 삼다 일행 서다 소주 한잔 만행 되어다 보라카이 여행 강요 강압 무시 나다
필리핀,해외 보라카이 여행 루크 준준 좋다 써다 해외여행 걱정 많다 걱정 걱정 재미있다 놀다 써다 날씨 좋다 좋다 좋다 루크 준준 처음 만날 친절하다 자다 케어 해주다 5일 후다닥 지나 가버리다 넘다 아쉽다 행복하다 여행 쏘다 체고 체고 보라카이 가게 루크 준준 포용
필리핀,친하다 찾다 보라카이 루크 준준 2년 찾다 보라카이 여기다 친한친구 놀다 오다 오다 마음먹다 2년 찾다 패키지 복불복 믿다 따르다 친구 오다 동생 도착 마음 펴다 이상하다 어떡하다 일행 맞다 어떡하다 계속 오다 어떡하다 항상 미소 가득하다 찡그리다 루크 원래 알다 사이 자다 어울리다 일행 적당하다 시원하다 날씨 무늬 어울리다 미소천사 현지 준가 이드 준준 걱정 걱정 마지막 달리 달리 달리 오다 루크 스캐줄 자다 짜다 무리 갈아입다 좋다 안좋다 비상 연락 루크 패키지 몇번 가보다 처음 처음 어벙벙 일행 멀미 멀미 준비 해오다 차다 멋지다 신분 여행 다니다 가다 여행 보라카이 여행 간다 루크 준가 이드 만나다 개구쟁이 인방 힘들다 감사 말씀드리다 에픽 달다
필리핀,행복하다 꾸다 보라카이 여행 루크 준준 보라카이 가보다 친구 동생 떠나다 보라카이 여행 행복하다 끝내다 도와주다 루크 준가 이드 고맙다 만나다 일행 만나다 걱정 날씨 좋다 보라카이 무척 먹다 도착 처음 짜증 웃다 얼굴 자다 인솔 해주다 도와주다 루크 준준 준준 감사하다 마지막 듣다 여행 날씨 일행 좋다 여행 보라카이 가게 만나다
필리핀,보라카이 가족 여행 후기 해초 홍콩 여행 진정 힐링 여행 가족 여행 11월 대구 직항 대구 깔리다 공항 보라카이 다녀오다 다녀오다 기대 좋다 와이프 얘기 나오다 가족 만족스럽다 여행 보라카이 떠오르다 바다 자체 로드 충분하다 멋지다 아름답다 기억 남다 선상 즐기다 파티 멋지다 무도회 남다 사진 인생 사진 다시다 건지다 사진 말룬 파티 늘다 숲속 다이빙 튜브 래프팅 음료 맘껏 즐기다 화려하다 축제 기억 휴양 즐거움 4일 실컷 즐기다 여행 도와주다 세다 오다 케빈 현지 가능하다 진정 감사 전하 싶다 여행가 싶다 욕심 벌써 생기다 사비 사다 셀리 감사하다 진정 즐겁다
필리핀,직원 후기 대구 출발 보라카이 4일 출장 후기 출장 지역 필리핀 보라카이 2019년 10월 28일 10월 31일 4일 이용 항공 티웨이항공 139 09 00 12 20 13 20 18 35 출장 인원 13 출장 목적 대구 출발 신규 취항 보라카이 상품 판매 사전 조사 호텔 견학 1일 07 00 대구 공항 집결 09 00 대구 국제공항 출발 4시간 20분 소요 되어다 12 20 칼리 공항 도착 도착 입국심사 수화물 찾다 1시간 정도 소요 되어다 칼리 공항 작고 노후 공항 공항 입장 불가 수화물 찾다 나오다 피켓 들다 공항 한식당 점심식사 끄다 크다 선착장 버스 2시간 소요 되어다 끄다 크다 선착장 보라카이 15분 소요 오후 5시 보라카이 도착 끄다 멜라 리조트 도착 1일 저녁식사 몽골리안 비비큐 진행 되어다 몽골리안 비비큐 본인 원하다 재료 넣다 철판 볶다 음식 여러 동남아 지역 대표 진행 저녁 식사 몰다 관광 몰다 걸다 유명하다 음식점 상점 설명 해주다 마사지 패키지 일정 1회 1일 마무리 되어다 2일 오전 9시 집결 2일 오전 일정 호핑투어 진행 되어다 화이트 비치 타고 바다 중간 나가다 스노 쿨링 배다 요트 업그레이드 되어다 작다 요트 갈아타다 스노 쿨링 진행 뷔페 중식 진행 다양하다 음식 디저트 만족하다 식사 일링 보트 진행 일링 보트 무동 가다 보트 보통 석양 질때 진행 일정 경우 진행 만족도 높다 오후 호텔 휴식 재정 저녁식사 바비큐 진행 개별 선택 관광 마사지 진행 되어다 3일 오전 10시 집결 오전 지프니 타고 아일랜드 투어 진행 광고 촬영 지로 유명하다 푸카 비치 보라카이 안쪽 지프니 타고 설명 들다 투어 3일 중식 지식 한국인 입맛 맞다 요리 야채 비비큐 나오다 오후 호텔 견학 진행 리츠 호텔 몰다 위치 최적 위치 유럽 스타일 객실 이루어지다 신규 호텔 헤난 크리스탈 새다 리조트 헤난 계열 선호 높다 리조트 인피니티 수영장 객실 컨디션 트렌디 만족스럽다 리조트 헤난 리젠 리조트 헤난 계열 제일 처음 오픈 되어다 크리스탈 새다 달다 오래되다 느낌 리조트 다운 컨디션 가지 헤난 가든 리조트 스테이션 위치 넓다 수영장 다양하다 객실 타입 가족 단위 적합하다 리조트 헤난 리조트 헤난 가든 다르다 모든 객실 발코니 객실 풀뷰 헤난 팜비치 리조트 2018년 오픈 신규 리조트 스테이션 사이 위치 몰다 거리 트렌디 인피니티 객실 크리스탈 새다 끄다 멜라 리조트 숙박 끄다 멜라 리조트 구관 신관 나누어지다 스테이션 좋다 위치 객실 컨디션 노후 되어다 실속 상품 원하다 고객 추천 리조트 저녁식사 삼겹살 진행 되어다 저녁식사 자유시간 개별 일정 4일 공항 이동 개별 조식 오전 07 30 집결 선착장 이동 공항 이동 칼리 도착 공항 이동 쇼핑 센터 2회 방문 오후 18 35 대구 공항 도착 해산 4일 보라카이 다녀오다 칼리 공항 보라카이 들어가다 소요 기다 맑은 비치 다양하다 음식점 많다 리조트 일정 타이 휴양 기기 최고 지역 들다 출장 다녀오다 10 27일 신규 취항 대구 칼리 노선 고객 현실 진솔하다 판매 들다 부족하다 부분 개선 만족하다 상품 판매 주력
필리핀,여행 설레다 간직 떠나다 보라카이 만난 소중하다 인연 여행 이자 패키지 여행 걱정 많다 설레다 새다 워낙 좋다 만나다 어렵다 대반 걱정 보라카이 비행기 도착 한국 이름 티셔츠 입다 빌리다 마이클 되어다 환하다 웃다 반기다 빌리다 마이클 잊다 걱정 빌리다 마이클 대기 장소 친절하다 안내 해주다 장소 보라 쿨하다 밝다 성격 여행 일정 즐겁다 들다 보라 이름 보라카이 맞다 이름 보라카이 싸다 4일 패키지 여행 잊다 추억 남다 빌리다 마이클 보라 진짜 최고 실속 정보 무턱 대고 데려가다 보라 알차다 좋다 니당다 달다 들다 건강하다 지내다 만나다 그날 건강하다 행복하다 4일 만들다 고맙다
필리핀,5일 보라카이 힐링 여행 에릭 마이클 최고 2019년 10월 6일 10월 10일 5일 보라카이 여행 여동생 가족 남동생 가족 즐겁다 여행 후기 가다 여행 공항 구경 넉넉하다 면세점 주시 즐기다 주시 먹다 주시 마시다 주시 보라카이 추다 보라카이 4시간 30분 비행 깔리다 공항 도착 2시간 차량 이동해 카티 크다 항구 도착 20분 이동해 크다 타고 10분 리조트 도착 보라카이 7시간 교통 수단 이동 몹시 지치다 새벽 4시 30분 도착 푸다 깨끗하다 쉬다 선호 헤난 크리스탈 새다 리조트 마음 달래다 3년 마주 화이트 비치다 깨끗하다 가슴 뚫리다 정신 음식 사진 빠지다 호핑 투어 가다 끄다 호핑 투어 사진 멀미 쑤다 일행 헬퍼 잘추다 듣다 승리 노래 3년 보라카이 여행 찍다 인생 친정 식구 가게 자유여행 포기 패키지 의하다 즐거움 힐링 좌우 걱정 에릭 세심 디테 챙기다 배려 마이클 최선 다해 최고 챙기다 헬퍼 덕분 가족 짧다 즐겁다 힐링 여행 1시 40분 비행기 한국 비행기 지연 깔리다 공항 3시간 넘다 노숙 5시 15분 비행기 이동 기다 지연 한몫 힘들다 3년 찾다 보라카이 보라카이 월간 폐쇄 재개 보라카이 여행 깨끗해지다 느낌 끄다 확실하다 화이트 비치 깨끗하다 짧다 다녀오다 보라카이 여행 자유여행 보라카이 쉬다 가기 좋다
필리핀,보라카이 자다 다녀오다 여자친구 해외여행 보라카이 5일 일정 다녀오다 여행 설레다 걱정 많다 보라카이 도착 한국인 트리나 현지 칼로 자다 인솔 해주다 걱정 여행 부드럽다 일정 자다 마치다 트리나 편안하다 해주시 즐겁다 해주다 좋다 추억 만들다 감사하다
필리핀,보라카이 최고 최고 많다 시끄럽다 장난 많다 고교 동창생 39 여자친구 이서 보라카이 여행 다녀오다 솔직하다 보라카이 크다 기대 가다 덕분 즐겁다 보내다 오다 많다 시끄럽다 항상 웃다 얼굴 해주 시구 선택 관광 쇼핑 강요 핵심 집다 잘알다 호핑투어 진행 항상 분위기 맞추다 말룸파티 분업 스피커 준비 해주다 환상 말룸파티 보내다 여행 일정 진행중 신발 조리 끊어지다 맨발 다니다 불편하다 상황 급하다 어딘가 달려가다 오다 신발 해오다 눈물나다 감동 받다 지난번 보라카이 경험 모르다 보라카이 마지막 라면 달다 들다 보라카이 여행 가다 제니 추천 드리다 제니 최고 최고
