country,cleaned_sentences
하노이,하노이 나트랑 다낭 여행 김동현 대리 덕분 즐겁다 가족 여행 성탄절 인천공항 도착 일상 돌아오다 정신 차리다 후기 올리다 제목 써다 작년 베트남 처음 하노이 가다 패키지 여행사 노코멘트 때리다 웃음 나오다 패키지 선택 관광 가지 정도 쇼핑 구매 마침 부부 천원 물소 주걱 데리 고간 쇼핑 따다 들다 참다 화가 날다 싸다 패키지 오다 선택 관광 따다 너무하다 하소연 울분 웃픈 상황 이틀 내내 친절하다 3일 마지막 공항 가다 나타나다 않았더랬 베트남 이미지 차다 좋다 음식 가족 맞다 올해 5월 찾다 나트랑 사건 두려움 안고 자유여행 했었더랬 항공 숙소 맛집 맛사지 이주일 걸치다 정보 수집 나름 알차다 여행 택시 어플 되어다 나르다 가깝다 거리 걸다 구글지도 무작정 걷다 정작 여행 건지다 극기훈련 건지다 힘들다 다낭 여행 애초 패키지 작정 여기저기 여행사 상품 찾다 비교 분석 했더랬 다낭 호이안 공통 가다 바나 포함 숙소 꼼꼼하다 따다 따지다 상품 고르다 결정 이유 여행사 상품 보지 맛집 투어 처음 지식 꾸미다 상품 들어서다 보통 패키지 상품 어설프다 한식 김치찌개 무한리필 삼겹살 불고기 먹다 패키지 크다 불만 이었더랬 한식 한국 먹다 나라 오다 맛없다 무늬 한식 먹다 찾다 맛집 투어 늘다 사로자다 중학생 학원 빠지다 싶다 늦다 출발 잡다 일정 늦다 한국 출발 12 21 23 05 현지 도착 12 22 02 00 현지 출발 12 25 03 00 한국 도착 12 25 10 15 하필 탑승 비행기 승객 탑승 기다리다 20분 나니 공항 사정 40분 1시간 출발 늦어지다 도착 늦어지다 들다 피곤하다 이루 다낭 공항 도착 김동현 대리 종이 들다 현지 처음 만나다 착하다 생기다 얼굴 반갑다 맞다 가방 들어주다 첫인상 좋다 들다 아시 공항 우리나라 기다리다 수가 계시다 한국말 자다 버스 타고 호텔 도착 하니 김동현 대리 기다리다 계시다 3시 30분 피곤하다 반갑다 얼굴 피곤하다 고생 웃다 체크 해주시 자유여행 패키지 좋다 이유 이렇다 자유여행 늦다 졸리 피곤하다 죽다 호텔 가다 직접 체크 영어 딸리다 걸리다 아침 약속 잡다 가면 정표 주다 손글씨 정표 살짝 감동 받다 인쇄 종이 무지 친근하다 김동현 대리 경력 개월 짧다 최선 얘기 해주다 더욱 믿음 가다 신혼여행 패키지 최소 10 번은 다니다 경험 경력 많다 손님 느낌 받다 묵다 호텔 리버 호텔 조식 대단하다 만족스럽다 정도 쌀국수 강하다 맛있다 초딩 중딩 충분하다 먹다 종류 첫날 바나 가다 마사지 기본 먼저 받다 새벽 들다 가족 피로 가누다 정도 일정 맛사지 감사하다 지경 맛사지 김동현 대리 서비스 음료 마음껏 고르다 말다 베트남 커피 스무디 즐기다 맛사지 하노이 좋다 나트랑 시원하다 다낭 스타일 좋다 나트랑 직원 끼리 수다 떨다 어수선하다 깔끔하다 고급스럽다 들다 맛사지 호불호 시작 선택 가능하다 마지막 추가 맛사지 받다 이용 추가 맛사지 추천 김동현 대리 조정 자다 출국 마지막 맛사지 개운하다 좋다 맛집 투어 음식 전문식 참고 패키지 식구 모네 구포함 초딩 중딩 학교 동창 모임 여행 오신 언니 연세 보이시 가족 모임 10 24 다행 인원 많다 천만다행 베트남 좋아하다 가족 쌀국수 월남쌈 맛있다 솔직하다 우리나라 먹다 쌀국수 넘다 맛없다 버리다 일부러 찾아오다 거들다 지식 처음 해보다 솔직하다 맛있다 들다 소개 해드리다 음식 컨셉 맞다 지식 베트남 음식 좋아하다 흔하다 패키지 지식 먹다 한식 끼다 패키지 고르다 추천 드리다 컨셉 아예 여행 식사 자다 어르신 덕분 김동현 고생 보이다 바나 골든 브릿지 워낙 유명하다 특별하다 설명 필요 다낭 12월 옷차림 가르치다 드리다 출발 유투브 블러 어마어마하다 찾아보다 베트남 겨울 춥다 얘기 기다 얇다 두껍다 챙기다 가다 김동현 대리 강조 날씨 행운 겨울 우기 특별하다 추다 오지 5일 보내다 여름 반바지 입다 좋다 패키지 일정 움직이다 아침 살짝 가디건 정도 걸치다 버스 두다 오후 입다 바나 갈다 기다 바지 입다 두껍다 바지 필요 기다 바지 입다 올라가다 가디건 바람 점퍼 살짝 걸치다 좋다 온도 오다 두껍다 입다 입구 올라가다 온도 차갑다 크다 구름 뚫다 지나가다 산이 맞다 지식 뷔페 가다 리뷰 좋다 얘기 김동현 서도 그리다 기대다 말다 미리 얘기 해주다 인지 맛있다 식사 입구 코너 치킨 맛있다 어구 새롭다 굴속 감자 크로켓 넘다 맛있다 먹다 첫날 선택 관광 한강 유람선 추천 드리다 주말 저녁 9시 보여주다 불쇼 지상 다리 끝쪽 몰리다 구경 유람선 타고 유유 강바람 맞다 맞추다 자리 잡다 선장 시작 알다 넘다 편하다 일정 끝나다 숙소 쉬다 시원하다 바람 쐬다 우리나라 이벤트 추천 싶다 초딩 중딩 좋아하다 계시다 럭스 테이 호텔 거치다 픽업 해주다 까오다이 사원 가다 처음 들다 새롭다 종교사 차다 앙증맞다 작다 기르다 유명하다 핑크 성당 가다 헐다 정부 지다 들다 입장 금지 대요 성탄절 행사 준비 김동현 전날 미리 공지 해주다 정이 가능하다 아트 센터 들다 정표 어떻다 미리 물어보다 들다 좋다 이동 나라 컨셉 데리 갈다 항상 재밌다 가다 어르신 좋아하다 찍다 에어컨 틀다 실내 메리트 넓다 포인트 많다 마지막 출구 카페 김동현 사주다 코코넛 커피 진짜 맛있다 점심 먹다 짜다 정식 쎄다 베트남 부침개 나오다 개인 제일 좋아하다 음식 좋다 솔직하다 오리 지나다 지식 강하다 한국 입맛 맞추다 까다롭다 초딩 조카 먹다 희다 쌀밥 부탁 한국사 장님 식당 부탁 희다 쌀밥 주다 오다 단무지 들다 다행하다 숯불 고기 들다 입맛 맞다 고기 야채 리필 가능하다 친절하다 오행 가다 동굴 구경 살짝 굴속 덥다 진짜 상상 덥다 후다닥 둘러보다 사진 찍다 버스 돌아오다 미리 말씀 해주다 대리석 산이 동굴 계단 미끄럽다 조심하다 코코넛 마을 바구니 체험 재밌다 체험 트로트 음악 클럽 인양 대고 배우다 어설프다 트로트 따르다 부르다 배위 공연 햇빛 뜨겁다 우산 주시 그늘 들르다 해주시 친절하다 재밌다 바퀴 돌다 들어오다 망고 넉넉하다 사서 준비 주신 맛있다 먹다 코스 작다 도자기 마을 들르다 서서 본인 모양 동물 피리 도자기 선물 받다 그거 들다 항구 기다리다 작다 통통 배타 시원하다 달다 호이안 가다 차다 동창 모임 오신 화기 애애 언니 아오자이 대여 싶다 미리 말씀 알아보다 저렴하다 대여 하루 종일 입다 호텔 반납 일정 조정 챙기다 사진 중딩 조카 아오자이 입다 이쁘다 사진 찍다 호이안 이쁘다 동네 맞다 인터넷 사진빨 알다 작고 복잡하다 이쁘다 사진 찍다 자유시간 길거리 반미 아이스크림 사먹다 등불 많다 찾다 사진 화장실 쓸다 카페 들다 코코넛 커피 말다 짧다 아쉽다 호이안 먹다 지식 저녁식사 피자 음식 먹다 치킨 조림 음식 희다 쌀밥 맛있다 먹다 쎄다 별로 모닝 글로리 야채 볶음 가다 진짜 맛있다 아쉽다 볶음 쌀국수 이상하다 먹다 식사 소원 띄우기 조르다 나누다 타고 아저씨 주시 붙이다 사진 찍다 소원 빌다 강물 띄우다 작다 이벤트 어리다 수학여행 가다 캠프파이어 빌다 초도 생각나다 중딩 조카 나름 좋다 추억 하루 일과 돌아오다 김동현 간단하다 퀴즈 단체 가위바위보 귀엽다 악세사리 선물 주시 즐겁다 숙소 오다 호텔 확실하다 데리다 인사 나누다 가족 택시 불다 롯데 마트 가보다 넓다 가격 저렴하다 볼거리 많다 우리나라 스마트폰 깔다 가다 출발 위치 나오다 도착 간단하다 영어 쓰다 금액 나오다 차갑다 잡히다 정보 뜨다 도착 정시 뜨다 카카오 택시 간단하다 편하다 자다 써다 어플 깔다 방법 사용 방법 인터넷 뒤지다 나오다 40 대다 아줌마 써다 쓸다 끄다 조식 먹다 챙기다 로비 기다리다 김동현 오다 체크아웃 확실하다 해주시 버스 가방 실었어 점심 먹다 푸드 푸드 업그레이드 선택 다금바리 칠리 크랩 사진 다리 나오다 맛있다 식구 사이 식사 최고 즐겁다 들다 들다 좋다 양도 많다 식사 식당 밉다 비치 해변 모래 밟다 사진 찍다 날씨 좋다 사진 이쁘다 나오다 패키지 라면 포함 되어다 쇼핑 돌다 노니 잡화 커피 전문 들르다 제일 좋다 김동현 절대 강요 모습 먼저 써다 하노이 여행 당시 쇼핑 빈손 좋다 얼굴 말투 기억 거들다 부담 들다 커피 전문 들다 가방 가득 구매 롯데 마트 다녀오다 입장 옛날 사다 비싸다 가격 제품 좋다 다낭 마지막 관광 코스 영흥 가다 사진 찍다 마무리 차다 관광지 들어가다 항상 동행 가능하다 들어가다 안내 이쁘다 나오다 포토 가르치다 사진 자다 찍다 별로 찍다 많다 관광객 24 챙기다 사진 자다 나오다 진짜 써주다 고맙다 25 성실하다 건실 청년 선택 추가 맛사지 2시간 편하다 받다 확실하다 1시간 2시간 받다 진정 맛사지 효과 식사 기전 남다 러브 브릿지 안내 해주다 김동현 야경 이쁘다 젊다 쎈스 좋다 하노이 나트랑 겪다 처음 느끼다 보신 베트남 거리 느낌 횡단보도 건너다 절대 차다 오토바이 서지 움직이다 건너다 황당하다 연속 저녁식사 사진 마침 이렇다 샤브샤브 스타일 음식 식구 어르신 맛있다 드리다 짧다 짧다 5일 여행 구경 많다 맛있다 음식 먹다 만족하다 기다 처음 들어가다 일정 빠듯할 상품 결정 바나 빠지다 늘다 코스 잡다 호이안 숙박 일정 찾아보다 싶다 품선 이용 일정 식당 들다 김동현 좋다 좋다 많다 인원 힘드다 내다 챙기다 새벽 3시 비행기 먼저 가다 늦다 신경 써주다 감사 드리다 해주다 현지 고맙다 말씀드리다 싶다 출발 늦다 공항 걱정 벗다 나서다 보관 서비스 찾다 가다 금액 문제 직접 통역 해주다 늦다 영업 루프 빠르다 가르치다 타고 호텔 가다 40 바라보다 다낭 멋지다 야경 즐기다 체크 맞추다 공항 돌아오다 고맙다 인사 김동현 대리 현지 전화 친절하다 상담 여직원 강유 정씨 기억 맞다 모르다 들다 좋다 감사하다 차다 출발 토요일 본사 아예 통화 안되다 살짝 고치다 좋다 해외여행 돌발상황 당직 직원 야하다 길다 항상 대박나다 사진 올리다 방법 자다 찾다 수정 올리다
하노이,10 29 11 하롱베이 하노이 김경 부장 후기 쓰다 싶다 여행 돌아오다 바쁘다 후기 써다 지다 모르다 헤매다 이제야 작성 되어다 10월 29일 하노이 도착 11월 1일 출국 패키지 다녀오다 가족 여행객 부모님 기억 모르다 날씨 좋다 흠잡다 패키지 요런 처음 만나다 덕분 베트남 잘알다 되어다 친근하다 느끼다 어떻다 느끼다 모르다 덕분 공부 기분 어떻다 짧다 박일 정이 알차다 보내다 오다 듭니 기억 남다 하롱베이 선상 투어 직접 준비 해주다 만찬 진짜 잊다 새우 튀김 우럭 다금바리 부모님 먹다 패키지 몇번 다니다 적극 처음 중간 중간 자유시간 담소 나누다 재밌다 차량 이동 베트남 역사 본인 해주시 재밌다 마주치다 모르다 항상 건강하다 여행객 좋다 추억 남기다 남다 부탁드리다 김경 부장 만나다 받다 덕분 좋다 기억 남다 하노이 여행 감사하다
하노이,하노이 하롱베이 여행 하노이 하롱베이 11 11 가족 여행 다녀오다 여행 19 초등 동창생 13 가족 부부 여행 탁월하다 진행 금방 친하다 지내다 가족 편안하다 여행 베트남 역사 세심 먼저 설명 해주다 관광 주어 이해 좋다 덥다 날씨 힘들다 보충 과일 푸다 지다 주어 피로 주다 두번째 이용 박성민 만난 행운 여행자 세심 배려 친절 19 전원 만족하다 여행 박성민 보물
하노이,알짜 배기 코스 캄보디아 앙코르와트 베트남 하노이 하롱베이 보통 베트남 캄보디아 나누다 가다 알다 나라 연결 갈다 상품 좋다 캄보디아 야하다 멋지다 인류 문화유산 베트남 다낭 좋다 휴양지 007 찍다 장소 하롱베이 베트남 수도 하노이 가다 코스 만족스럽다 날씨 5월 덥다 4월 아예 캄보디아 패키지 여행 5월 좋다 여하튼 코스 좋다 문화유산 기억 남고 인생샷 여러 멋지다 기념품 자다 가지다 선상 해산물 파티 좋다 음식점 좋다 일행 점잖다 어르신 들이다 좋다 쇼핑 상황버섯 이렇다 부담스럽다 사라 눈치 주시 막판 비행기 티켓 비행기 티켓 호텔 비용 비용 버스 비용 커버 저렴하다 가격 패키지 정도 선택 관광 쇼핑 감수 부분 필요하다 위주 가지 구입 싶다 부분 본사 말씀드리다 시정 여하튼 많다 여행 적극 추천 싶다
하노이,베트남 수도 하노이 절경 하롱베이 여행 30 대중 여자 솔직 후기 짜오 안녕하다 해외여행 좋아하다 30 대다 중반 여자 번은 갈다 정도 해외여행 좋아하다 잘버는건 시무 갖다 싶다 참고 모으다 여행 가다 미혼 가능 한일 베트남 여행 처음 엄마 5년 남친 가다 특이하다 조합 공항 도착 푯말 들다 현지 찾다 따라가다 버스 황신 계시다 첫날 하노이 호텔 사라 호텔 박하다 깨끗하다 좋다 조식 뷔페 먹다 만해 여행 호텔 식이 맛있다 비밀 9시 로비 일행 만나다 닌빈 이동 일행 명과 40 자매 따님 20 대다 닌빈 쪽배 날씨 흐리다 베트남 모자 비옷 챙기다 가다 물이 차서 계속 퍼내다 여행사 오신 많다 물다 웃다 지나가다 백인 왓더 뭐라다 뭐라다 남자친구 장난 바디 헬미 하니 배다 복불복 세차 리기 시작 비옷 입다 젖다 장관 풍경 펼쳐지다 안개 몽실몽실하다 신비롭다 분위기 산신령 나오다 분위기 불구 가오니 찝찝하다 내리다 이뻣던 닌빈 비만 오다 완벽하다 아쉽다 점심식사 지식 염소고기 먹다 타고 부족하다 보충 하롱베이 도착 선택 관광 설명 해주다 싸다 지라 여행 오다 여행사 남다 선택 관광 심산 다행 트러블 필요 몇개 빼다 제시 210달러 동의 베트남 전통 수상 인형극 재밌다 기대 도하 말다 편안하다 마음 야하다 베트남 전통 공연 하니 마사지 받다 1시간 2시간 주심 마사지 마사지 운명 나뉘다 다행하다 들다 엄지 피로 풀리다 석식 파라다이스 호텔 뷔페 먹다 여행 뷔페 많다 쪗음 엄마 글코 자다 먹다 남친 하롱베이 센트럴 럭셔리 하롱 호텔 묵다 급답 깨끗하다 좋다 호텔 주변 함정 패키지 자유시간 많다 전혀 상관없다 과일 사주다 사주다 마지막 먹다 아깝다 망고 자몽 용다 잭프룻 이름 모르다 과일 생수 항상 두다 계속 주다 마트 번안 가다 꿀잠 자고 여행 하이라이트 하롱베이 구경 좋다 자리 많다 일행 끼리 친해지다 많다 서로 사진 찍다 풍경 예술 유네스코 등재 이기 가보다 만해 시원하다 바람 맞다 사진 실컷 찍다 선택 관광인 동굴 만해 크다 넓다 멋지다 엄마 남친 진심 행복하다 웃음 사진 화기 뽑다 장각 사랑 일행 웅장 동굴 황신 엄마 스피드보트 타고 작다 쪽배 원숭이 바나나 던지다 티톱 전망대 가다 가다 계단 많다 남친 안감 알차다 일정 먹다 다리 어질다 정도 나오다 맛있다 나다 먹다 음식 다나 오다 계속 갖다 국도 나오다 찌다 새우 오징어 데친 피조개 엄청나다 배부르다 먹다 호텔 가다 자유시간 2시간 반정 주다 좋다 일정 도리 해주다 고맙다 엄마 나이 신지 한숨 주무시다 남친 22 수영장 가다 수영 수영장 꼭대기 좋다 사진 찍기 좋다 햇빛 강하다 놀다 한시 간만 놀다 빈둥빈둥 놀다 로비 만나다 하롱 테마 파크 가다 케이블카 타고 대관람차 기네스북 등재 세계 최고 타워 높이 230 명의 인원 탈수 짜다 케이블카 신기 신기 기네스북 등재 싶다 정표 어린이 청룡열차 놀이기구 해주다 덕분 분위기 화기 애애 엄마 무섭다 재다 사악하다 정원 자유시간 짧다 주다 사진 찍다 저녁 삼겹살 먹다 우리나라 삼겹살 맛있다 삼겹살 사랑 싸다 마늘 넣다 야무지다 채우다 호텔 돌아오다 마지막 아쉽다 22 수영장 기억 칵테일 한잔 말다 꿀잠 자다 분위기 장하다 좋다 노래 직접 연주 해주다 분위기 이쁘다 야경 멋지다 칵테일 한잔 7천원 뭐때 문인진 모르다 20 프로 할인 해주다 이서 칵테일 한잔 안주 먹다 2만원 일행 잘맞다 한잔 아쉽다 마지막 쇼핑 센터 가다 호치민 생가 무덤 가다 일행 찻길 첫날 기억 데려가다 점심 짜이다 먹다 아침 먹다 안되다 먹다 마사지 2시간 받다 마사지 각질 제거 해주다 따끈하다 스톤 올려주다 2시간 알차다 무언 갈다 해주다 남자친구 발톱 기다 일행 유일하다 발톱 다른사람 발톱 신기하다 만족도 높다 마사지 엄마 담당 마사지 살다 애가 할머니 살다 본인 기숙사 생활 버는데 개월 아기 하니 마음 무아 파서 달라 덥다 작다 달러 고맙다 나오다 배웅 해주다 나이 작다 27 성숙하다 반성 해보다 저녁 세다 뷔페 복잡하다 뷔페 크다 보이다 지나다 익숙해지다 먹다 많다 보이다 먹다 먹다 먹다 후식 아이스크림 먹다 야간 시티투어 스트릿 놀이 공원 바퀴 생기다 뻥뚤리다 걱정 센스 마스크 타고 호수 바퀴 늘다 시원하다 바람 노랫소리 여행객 흥겹다 분위기 지인 남녀 데이트 모습 신나다 즐겁다 그립다 2일 저녁 내다 배틀 트립 나오다 맥주 거리 데려가다 주말 많다 많다 태어나다 전세계 기와 놓다 싶다 정신 잘못 잃다 따르다 댕김 흥겹다 노래 즐겁다 축제 까페 코코넛 커피 한잔 사주다 커피 먹다 거절 들다 자유시간 간정 가지다 버스 타고 공항 오다 좋다 뱅기 출발 새벽 1시 45분 공항 11시 10분 도착 다리 마지막 알차다 보내다 이공 돌리다 여행 만족도 의하다 좌지우지 어떻다 문제 생기다 대처 정도 무마 여행 오다 다해 가다 아쉬움 안남 해주다 해주다 챙기다 패키지 별로 오다 패키지 만족도 높다 바뀌다 해주다 여행 여행 이쁘다 성격 좋다 여성 세분 고맙다 정이 들어서다 헤어지다 아쉽다 다행 카톡 주고받다 조만간 먹다 계획 좋다 인연 만들다 고마 오늘 출근 쉬는시간 갈다 살펴보다 여행 중독 세계 여행 자다 한페이 읽다 말다 즐겁다 여행 바라다 기다 후기 읽다 감사하다 신깜언
하노이,하노이 하롱베이 옌뜨 5일 베트남 현지 이창수 부장 감사 감사하다 9월 1일 9월 5일 5일 하노이 공항 시작 하노이 하롱베이 옌뜨 여행 행복 가득 채우다 돌아오다 주신 이창수 부장 진심 감사 드리다 안산 출발 인천 이창수 부장 정겨운 마음 씀씀이 오다 해박 지식 베트남 아프다 역사 변국 우리나라 과거 사오다 현재 자세하다 들다 주다 감사하다 어렵다 힘드다 시절 많다 축복 받다 나오다 민족 해보다 소중하다 여행 기다 말로 듣다 하롱베이 티톱섬 아름답다 황홀하다 여행 강추 가보다 싶다 만나다 싶다 감사하다 이창수 부장 스치다 지나가다 여행객 마음 울림 잊다 지지 모습 남기다 이창수 부장 감사 드리다 부장 안녕 행운 빌다 부장 화이팅 감사하다 꾸벅
하노이,힘들다 지치다 하노이 옌뜨 하롱베이 여행 가족 기대하다 마음 달전 베트남 하노이 하롱베이 옌뜨 코스 선택 참고 베트남 여름 비성 수기 덥다 날씨 덥다 호텔 시설 호텔 괜찮다 열악하다 하롱베이 파라다이스 호텔 최악 에어컨 복불복 자다 나오다 자다 나오다 위생 상태 별로 화장실 냄새 심하다 주변 카드 쓸다 달러 현지 사용 가능하다 사고 싶다 달러 내놓다 무섭다 정도 비싸다 베트남 바꾸다 가다 이득 하롱베이 하이라이트 팩키지 힘들다 지치다 보내다 6시간 에어컨 달다 틀어주다 이유 움직이다 에너지 에어컨 움직이다 덥다 배다 세상 창문 닫다 에어컨 많다 싸다 좋다 에어컨 안되다 6시간 타고 가다 걸다 중요 포인트 몰려들다 인하다 부딪히다 위험하다 보이다 헝가리 사건 꺼리다 부딪히다 익숙하다 아무렇다 넘기다 놀래다 주다 해물 먹다 나오다 가짓수 좋다 비리다 더움 지치다 자다 먹다 별로 추천 제발 에어컨 가능하다 이용 해주다 음식 베트남 가다 현지 음식 위주 해주다 희다 한국 음식 먹다 오다 이점 아쉽다 마지막 선택 투어 야간 투어 신청 자전거 앉다 가다 위험하다 사고 날뻔 소리 지르다 난리 베트남 아저씨 진정하다 오토바이 부딪히다 지나가다 매연 가득하다 도로 30분 타고 가다 목도 아프다 덥다 지치다 최악 야간 투어 물건 달다 비싸다 쇼핑 실패 벌어지다 참고 한국 분과 현지 최선 다해 재미 해주다 감사 드리다 현지 힘들다 보이다 현지 한국 벌금 물다 희다 하노이 현지 데리 고생 고생 다니다 쓰다 덥다 어쨋 부분 개선 참으로 추천 드리다 싶다 3000 여개 원숭이 멋지다 수고 많다 좀더 좋다 패키지 만들기 고려 주다 읽다 주다 고맙다
하노이,일상 돌아오다 하롱베이 하노이 여행 감사하다 4일 꾸다 돌아오다 처음 가보다 베트남 아름답다 신비롭다 갈이 음식 맞다 큰일 떠나다 여행 먹다 쉬다 늘어서다 돌아오다 아름답다 여행 길잡이 해주다 감사 드리다 감사 드리다
하노이,하노이 하롱베이 닌빈 5일 이석현 실장 처음 패키지 여행 가보다 챙기다 5일 피곤하다 편하다 여행 이석현 실장 덕분 베트남 가게 만나다 싶다 이석현 실장 잘생기다
하노이,하노이 하롱베이 닌빈 5일 이석현 실장 만족하다 자다 챙기다 고생 이석현 실장 최고
