country,cleaned_sentences
호치민,베트남 호치민 여행 후기 베트남 호치민 여행 처음 다니다 오다 참으로 만족스럽다 정해 주씨 사랑스럽다 말투 행동 편하다 해주다 베트남 역사 문화 설명 자다 해주다 현지 미씨 사랑스럽다 귀엽다 써다 포트 자다 해주다 프로그램 자체 넘다 좋다 사막 짚차 투어 사륜구동 하이라이트 티비 미토 투어 베트남 정취 느끼다 마사지 원하다 자다 피로 풀리다 친구 11 여행 즐겁다 다녀오다 기쁘다 모든 스트레스 날다 보내다 많다 여행 다녀오다 여행 즐겁다 호사 누리다 이글 남기다
호치민,김호 과장 호치민 붕타우 5일 잊다 여행 주다 감사하다 추석 연휴 맞다 호치민 붕타우 5일 여행 행복하다 알뜰살뜰 살피다 김호 과장 감사 드리다 칭찬 쪽배 타고 유니콘 가다 길다 나오다 장면 주인공 되어다 가다 열대과일 먹다 유니콘 도착 세상 처음 먹다 생선 보쌈 말로 표현 안되다 붕타우 해변 카페 세상 제일 맛있다 리얼 천연 과일 스무디 행복하다 화려하다 호텔 진짜 전통 쌀국수 잊다 호치민 라마나 호텔 붕타우 로얄 호텔 선교사 숙소 과분 대접 계단 올라서다 예수님 올라가다 오다 000 계단 가다 오다 맞다 우비 챙기다 단숨 뛰다 오다 친절하다 가슴 뭉클하다 지다 주변 지인 강력 추천 여행지 가보다 싶다 김호 과장 수고 진심 감사 드리다 덥다 건강 유의 기르다 기도 드리다 수고 많다 감사하다
호치민,배트 호치민 붕타우 다녀오다 귀사 무궁 발전 기원 깊다 인연 베트남 월남전 참전 우리나라 근대화 깊다 관련 사돈 나라 베트남 여행 싶다 사이공 알려지다 월남 수도 사이공 호치민 바뀌다 가보다 싶다 붕타우 숙소 해변 위치 한국 운영 숙소 식사 좋다 편하다 친절하다 좋다 구찌 관광 통해 월남전 비참하다 몸소 체험 차다 좋다 2016 12 30 김성열
호치민,16일 베트남 3일 호치민 공원 14년 3월 16일 3일 유명하다 호치민 공원 찾다 일주사 곳도 구경 시내 오토바이 유명하다 곳도 타고 구경 오다 차보 오토바이 많다 빵빵 거리 대단하다 아버지 연세 많다 힘들다 자다 다니다 오다 좋다 항공도 편하다 구경 좋다 주다 식사 자다 호치민 공원 호치민 살다 호치민 생가 노랗다 건물 살다 오다 사다 아버지 구경 계시다 일주사 왼쪽 돌다 오른쪽 돌다 늘다 따르다 아들 낳다 달라 비다 현지 김창완 기념 촬영 자다 만나다 편안하다 재미나 여행 자다 아버지 자다 주다 대단하다 감사하다 나무 뿌리 서다 베트남 시내 온통 오토바이 세상 나다 모든 여행 전통 음식 가득하다 레스토랑 저녁 먹다 가지 수가 엄청나다 음악회 열리다 아버지 모시 형제 구경 오다 김창완 부장 감사 드리다 여행사 감사 드리다 주다 여행 자주 나가다 많다 좋다 여행 만들다 번창 기원
호치민,호치민 매력 빠지다 베트남 여행 호치민 보내다 호치민 매력 빠지다 예상 머물다 베트남 출국 날짜 연장 싶다 정도 관광객 가다 가다 좋다 개인 호치민 차다 매력 추천 기억 남다 매력 여행 만들다 낯선 이국 친절하다 이끌다 지면 감사 말씀 드리다 찾아오다
호치민,2011 08 25 28 베트남 호치민 일주 구찌터널 4일 여행 후기 이렇다 자다 적다 여행 기억 워낙 좋다 경우 여기저기 베낭 여행 제법 다니다 여행사 처음 원래 차다 좋다 여행사 통해 상품 예약 알다 차다 좋다 여행사 한국 활동 현지 서비스 되어다 모양 덥다 여행사 친절하다 인상 좋다 접수 차다 좋다 여행사 직접 서비스 제공 발자취 남기다 호치민 구찌 붕타우 코스 베트남 여행 코스 역사 코스 현지 정은 차장 덕분 역사 공부 지대 오다 베트남 관심 공부 부족하다 정차장 워낙 열정 설명 해주다 해주다 덕분 여러 차다 유익하다 이동 내내 지루하다 마이크로 이렇다 해주다 덕분 지루하다 필요 들다 정도 성적 인간 모습 개인 느끼다 크다 오해 말씀 드리다 알바 고민 걱정 말다 다녀오다 추천 드리다 싶다 역사 부분 멋지다 경치 즐겁다 볼거리 체험 거리 많다 구성 어울리다 무난 코스 가다 부부 가족 연인 친구 다양하다 둘이서 다니다 오다 여행 기억 좋다 여행 안거 곧바로 거치다 다녀오다 차다 정차장 본래 하롱베이 통해 베트남 북부 방문 싶다 주변 여행 고민 가격 저렴하다 내용 좋다 추천 드리다 싶다 유익하다 여행 좋다 추억 값지다 경험 바라다
호치민,추억 앙코르왓 호치민 여행 휴가 맞다 7월 28일 출발 8월 1일 오전 착하다 베트남 항공 연합 상품 캄보디아 다녀오다 휴가 피크 기간 불구 저렴하다 429 000원 책정 돌아오다 베트남 호치민 투어 포함 되어다 가원 상품 주저 결정 다녀오다 예상 싸다 가격 일정 오전 출발 넉넉하다 현지 서다 지나치다 옵션 쇼핑 강요 반신반의 떠나다 한낮 기우 불가하다 읍니 하노이 공항 비행기 갈아타다 씨엠립 공항 베트남 항공 써다 어비스 좋다 읍니 하노이 기내식 훌륭하다 써다 어비스 국적 아시아나 항공 못지않다 써비스 읍니 하노이 공항 비행기 갈아타다 중간 지루하다 우리나라 지방 공항 노바이 국제공항 쌀국수 사먹다 간단하다 기념품 도사 시엠립 비행기 소형 최신기종 320 깔끔하다 내부 타지 쾌적하다 아늑하다 앙증맞다 기내식 주류 음료 제공 기내식 먹다 맥주 한잔 나니 창문 톤레삽 호수 보이다 엄청나다 크기 덥다 우리나라 국적 타고 가면 절대로 국적 기다 밤늦다 도착 장관 감탄 호수 수평선 호수 색깔 황토 탁하다 보이다 고도 힘드다 구경 싶다 서서히 톤레삽 호수 돌다 착륙 하자 우리나라 국제공항 쉬다 경험 힘드다 트랩 내다 오다 사진 찍다 앙증맞다 캄보디아 냄새 물씬 풍기다 공항 배경 사진 찍다 트랩 내다 걸다 들어가다 새롭다 경험 공항 빠져나오다 여행사 합세 가다 이드 미팅 호텔 들어가다 배정 받다 압쌀 공연 부페 식당 가다 식사 맞다 친후 공연 감상 처음 대하 캄보디아 음식 친절하다 안내 맛있다 식사 식사 나름 훌륭하다 읍니 한국 준비 소주 반입 허용 돼다 한잔 주도 꼇들 금상첨화 읍니 식사 맞다 호텔 돌아오다 자유시간 넉넉하다 개인 사람과 공항 만난 지난번 여행 동행 친구 툭툭 빌리다 타고 과일 가게 서다 고스 1달러 마트 서다 앙코르 맥주 사서 호텔 돌아오다 씨엠립 첫날 관광 시작 돼다 앙코르왓 대단하다 읍니 크메르 왕국 시절 찬란하다 문화 감탄 읍니 야하다 문화 유적 추천 싶다 읍니 식사 나오다 한식 먹다 오후 관광 마치다 평양 식당 북한 정식 냉면 저녁 사르다 마치다 북한 접대 공연 호텔 돌아오다 허락 받다 개인 식구 툭툭 빌리다 타고 레드 피아노 안젤리나 졸리 차마 까페 맥주 한잔 나이트 쇼핑 본격 인터넷 캄보디아어 까페 배우다 크메르어 섞다 쇼핑 부르다 시작 물건 면서 제품 가공 악세사리 사면 나다 자유여행 가능하다 자기도취 빠지다 나이트 마켓 구경 치자 대기 툭툭 타고 호텔 무사하다 귀환 일정 잠자리 들다 읍니 째다 선택 관광 상품 툭툭 타고 유적지 앙코르왓 빠져들다 만들다 식사 호텔 부근 고급 부페 식당 서다 훌륭하다 캄보디아 음식 빠져들다 우리나라 돼지갈비 돼지 꼬치 뱃속 개운하다 해주다 쌀국수 국물 잊다 식사 오후 2시간 자유시간 주어 마켓 툭툭 빌리다 타고 오다 사고 날다 걱정 차장 미안하다 어요 동남아시아 살다 경험 인정 허락 해주다 고맙다 어요 가게 한잔 쏘다 마켓 나이트 마켓 근처 관광객 겨냥 보디 재래시장 가격 저렴하다 캄보디아 생활 상도 좋다 아쉬움 올드 마켓 호텔 귀하다 오후 유적지 관광 라텍스 매장 방문 여행 옥에티 발생 과정 직원 불쾌하다 행동 일행 마찰 항의 라택스 매장 직원 사과 일단락 지다 찌다 찌다 라택스구매 소하 매장 나오다 저녁식사 옵션 상품 신마 싸지르다 받다 마켓 들다 앙코르 주다 산뒤 호텔 귀하다 일정 맞추다 싸지르다 받다 인지 피곤 풀리다 자다 아침 기상 일정 킬링필드 사원 방문 암울하다 폴포트 정권 시절 학살 당하다 수많다 캄보디아 지식 죽음 숙연 지면 캄보디아 당시 지식 학살 지지 덥다 살수 나라 되어다 아쉬움 남다 관광지 마다 어리다 조그만 물건 들다 한국말 달라 모습 눈시울 젖다 한참 유치원 서다 재롱 피우다 나이 길거리 물건 팔다 구걸 잊혀지다 점심식사 공항 이동 베트남 호치민시 출발 기내식 샌드위치 먹다 착륙 단장 깔끔하다 누트 공항 빠져나오다 호치민 시내 장관 이루다 오토바이 행렬 벌어지다 거리 가득 메우다 오토바이 행렬 여지 오토바이 씨엠립 맑은 기와 대조 매연 막히다 오락가락 노틀담 성당 중앙 체국 들다 차장 넘다 관광 많다 오토바이 길이 넘다 막히다 짜증 나다 선택 관광 베트남 해군 운영 사이공 유람선 저녁식사 공연 사이공 야경 감상 어느덧다 베트남 떠나다 경험 패키지 여행 험하다 불쾌하다 쇼핑 강요 옵션 훌륭하다 소화 해내다 무리 선택 옵션 추천 해주다 식사 여행 상품 훌륭하다 오전 출발 베트남 유라 일정 여유 추천 상품 무리 소화 해내다 정확하다 성실하다 주신 캄보디아 차장 짧다 재미있다 이끌다 베트남 차장 수고 해주다 읍니 훌륭 상품 만들다 관계자 담당 직원 정주연 님께 감사 드리다 싶다 적극 추천 재날 가다 하노이 공항 비행기 갈아타다 맛보다 쌀국수 피쉬쏘스 들어가다 꼬리 꼬리 냄새 간나 괸찬은것 하노이 씨엠립 베트남 항공 320 기내식 앙증맞다 나오다 맥주 안주 좋다 남자 슈투어드 더갖 인천 하노이 돼지고기 볶음 쌀밥 새우 볶음 볶음밥 고프다 사진 찍다 잊다 먹다 어치 하늘 캄보디아 상공 구름 보이다 착륙 톤레삽 호수 가다 장관 영상 찍다 사진 국제공항 작다 보이다 트랩 이용 내다 걸다 들어오다 비행기 사진 배경 사진 찍다 공항 배경 사진 예쁘다 나오다 압살 공연 식당 바베큐 코너 캄보디아 바베큐 좌측 돼지고기 우측 오리고기 바삭바삭하다 달콤하다 꼬소함 맛있다 압쌀 공연 무희 캄보디아 맨발 생활 여자 무희 들다 상당하다 박하다 보이다 내용 이해 어렵다 이틀 본격 앙코르왓 관광 앙코르왓 사원 옆모습 침략 의하다 머리 잘리다 나가다 석상 안타깝다 치다 뒷문 나무 뿌리 사원 파괴 도하 지키다 타프롬 사원 데스 라이 사원 조각 돌위 믿다 어리다 정도 섬세하다 금방 살다 움직이다 느낌 늘다 감탄 치다 타고 다니다 한국 수출 중고 중형 버스 기아 코스모스 앙코르왓 관광지 메우다 우리나라 중고 버스 위력 감탄 출입문 한글 자동 유리창 청솔 학원 버스 구르다 다니다 새다 캄보디아 택시 일명 툭툭 툭툭 빌리다 타고 시장 다녀오다 호텔 시장 10분 15분 정도 걸리다 요금 대기 포함 받다 부르다 무조건 반값 시작 툭툭 관광 시원하다 새롭다 경험 비다 비닐 커텐 막다 주다 바람 들어오다 무덥다 바이욘 사원 이바 로키 데스 바리 나이트 마켓 레드 피아노 갈다 카메라 호텔 고가 바람 사진 사진 마켓 현지 인과 관광객 이용 재래시장 영어 가능하다 달러 통용 캄보디아 섞다 쇼핑 하니 바가지 안쒸 울다 세공품 거리 목걸이 예쁘다 많다 가격 저렴 실크 스카프 비다 가격 저렴하다 구매 세심 주의 필요 오다 가다 간혹 캄보디아 물건 입시 절대로 교환 반품 해주다 주의 요망 시장 내부 야채 과일 생선 육류 재료 팔고 캄보디아 생활 들다 좋다 북한 친선 평양 식당 접대 접대 써다 빙하 무대 가다 노래 부르다 춤추다 써다 빙하 북한 정식 돼지 갈비찜 파래 나물 바르다 찹쌀 전병 평양 랭면 오다 단맛 인지 동남아 국가 북한 식당 먹다 입맛 맞다 참고 남남 북녀란 실감 날다 작다 킬링필드 불리다 와트 마이 사원 참배 사원 유골 학살 캄보디아 주검 마음 숙연 당시 폴포트 정권 많다 지식인 학살 많다 어리다 장애인 외국 관광객 구걸 연명 작다 호수 바라이 호수 시장 지인 음식 생필품 가게 규모 크다 인지 가격 흥정 어려움 올드마 늘다 장사 느낌 받다 우리나라 세또래 보이다 사진 간색 바구니 다니다 나이 물어보다 정도 계속 한국말 써다 물건 달다 눈시울 뜨겁다 멀리 부모 장사 관광객 마음 열리다 캄보디아 현실 시엠립 호치민 나오다 간단하다 기내식 비행 1시간 간단하다 스낵 나오다 참고 호치민 인천 새벽 5시 자다 승객 깨우다 먹다 안이 깔깔하다 먹다 메뉴 돼지고기 생선 국적 새벽 기내 식다 로나 오다 녹차 호박죽 오믈렛 주다 11시 50분 출발 출발 주다 국적 기보 써다 어비스 차이 나다 베트남 항공 관계자 이글 참고 해주다 감사 수많다 오토바이 차량 막히다 사이 크다 싣다 유유 걸어가다 베트남 우리나라 어떻다 욕찌 거리 나오다 오토바이 차량 범벅 크락숀 울리다 빠져나가다 늘다 베트남 운전기사 들다 훌륭하다 파리 노틀담 성당 본뜨다 지다 호치민시 노틀담 성당 입구 000 주다 서다 예수님 기도 년전 실제 눈물 나오다 성모마리아 딸아이 배우다 얼굴 작다 보이 찍다 포즈 중앙 우체국 호치민 사진 중앙 우체국 화장실 찾다 안내 아가씨 나가다 우측 블럭 우회 하란 화장실 가다 아줌마 돈내 다행하다 주머니 000 주다 오케이 년전 명동 충무로 지하상가 유료 화장실 나다 야식 거리 팔다 노점상 아저씨 숯불 돼지갈비 냄새 덥다 인분 리나 음식점 나오다 20 000 동이 벳남 1달러 달라 국말 우리나라 돼지갈비 야채 달라 오이랑 토마토 써다 푸다 지다 주다 나다 시식 파다 비도 오다 예약 사이공 유람선 식사 남아 들다 현대 백화점 물가 장안 한국 물가 따라잡다 맛있다 베트남 커피 남다 몽땅 사오다 커피 울다 커피 반하다 갖다 베트남 커피 사르다 간다 베트남 해군 운영 유람선 레스토랑 벳남 여군 벳트남 여군 예쁘다 군인 민간인 상대로 레스토랑 영업 우리나라 가능하다 이해 가다 벳트남 선상 유람선 레스토랑 한국 노래 한국 노래 넘다 캄보디아 베트남 여행 종착역 기회 가다 싶다 저렴하다 가격 훌륭하다 볼거리 먹거리 경험 해주다 관계자 현지 들다 감사 드리다 뜨다 우리나라 목포시 상공 알다 지루하다 여행기 읽다 애용 들다 감사 드리다 좋다 여행 다니다
호치민,호치민 붕타우 구찌 여행 여행 후기 읽다 항상 나오다 좋다 이드 좋다 여행객 만나다 서로 행복 여행 만난 박부 12 명의 여행객 서로 이해 해주다 모르다 정도 궁합 자다 맞다 동남아 코스 느긋하다 일정 해외 여행 경험 많다 50 대들다 적당하다 코스 식사 마다 여러가지 신경 써다 주다 덕분 식사 불편하다 자다 지내다 항시 검소 나라 백성 월맹 호치민 금괴 갖다 사이공 탈출 월남 구엔반티유 대통령 모습 뜨다
호치민,최악 베트남 호치민 여행 5일 2008년 4월 30 5월 4일 호치민 다녀오다 여행 여기저기 다니다 멀리 가지 가깝다 가보다 호치민 가든 나라 문화 느끼다 휴식 취할수 여행 여행 최악 경험 첫째 볼거리 전혀 전생 아프다 기억 구찌 터털 빼다 볼거리 전혀 둘째 먹거리 전혀 다금바리 40 오다 푸드 30 옵션 40 불로 다금바리 푸드 먹다 해주다 기대 기존 먹다 다금바리 푸드 전혀 비교 형편 다금바리 마리 새우 마리 들다 푸드 처음 황당하다 최악 볼거리 먹거리 수준 해주다 억울하다 평생 들다 보지 정도 농담 음담패설 3일 듣다 귀가 드럽다 가지 베트남 정취 느끼다 크다 무료 탑승 체험 되어다 크다 탈때 2달러 직접 요금 내다 크다 달라 기분 나쁘다 다시다 가다 호치민 더불다 실망 직장인 힘들다 내다 휴가 망치다 상품 없애다 화가 나다
호치민,호치민 호치민 시체 냉동 보관 시원하다 독재자 나라 애국심 공로 대단하다 베트남 존경 받다 관광명소 만들다 각국 관광 오다 국민 호치민 존경 참배 오다 선전 들어가다 서서 모자 벗다 선글라스 쓰다
