country,contents
중남미,"중남미 핵심 일주 5개국 후기 (1):                                                                                        <중남미 핵심 일주 5개국 후기>
    6월 5일 출발하여 17일 돌아온 중남미 핵심 일주 5개국 13일 상품은 가격 대비 매우 실속 있는 상품이었습니다. 교통, 음식, 잠자리, 현지 가이드의 성실한 행사진행 등 모두 만족스러웠습니다.
  특히 인천 공항에서부터 우리 일행 26명을 인솔한 이진숙 인솔자님께 감사드립니다. 짧은 일정이었지만 거의 매일 크고 작은 사건들이 참 많았습니다. 그 중 몇 가지만 예를 들면 휴대폰 분실 후 하루 만에 찾은 사건, 오전에 분실한 여권을 오후에 찾은 사건, 아르헨티나 국내선 수화물이 칠레로 갈 번한 사건 등 순간순간을 긴장하게 만드는 사건들이었습니다. 그러나 이진숙 인솔자님의 침착하고 현명한 대처로 모두 해결하여 무탈하게 여행을 마칠 수 있었습니다. 휴대폰을 분실했던 가족으로서 다시 한 번 감사드립니다.
  그리고 이 번 노랑풍선의 중남미 핵심 일주 5개국 여행을 한 마디로 평하라면 ‘백미의 연속’이었다고 할 수 있습니다. 그 하나하나를 간략하게 살펴보면, 우선 해발 2,430m 높이에 놀라울 정도로 아름다운 절경을 배경으로 건설된 마추픽추는 잉카 제국의 석조 기술을 마음껏 뽐낸 신비의 하늘 도시였습니다.
  세계 3대 미항 중 가장 아름답다고 할 수 있는 리우데자네이루는 신 세계 7대 기적에 속하는 높이 38m, 양팔의 길이 28m, 무게 1,145톤의 코르코바도의 구원의 예수상이 여행자의 시선을 한 번에 사로잡을 만 하였습니다.
  세계 3대 폭포 중 가장 장대한 이과수 폭포는 혼돈과 혼미의 세계 그 자체였습니다. 당나라 때 시인 이백은 그의 시 ‘망여산폭포’에서 “물줄기 내리쏟아 길이 삼천 척,  하늘에서 은하수 쏟아지는가?”라고 감탄하였지만 그가 만약 이과수를 보았다면 과연 무어라고 읊었을까? 자못 궁금해집니다.
  멕시코시에서 북동쪽으로 52km 떨어져 있는 테오티우아칸 유적은 기원전 2세기경 건설되기 시작하여, 기원 후 4세기부터 7세기까지 전성기를 맞았습니다. 테오티우아칸 유적의 압권인 태양의 피라미드는 높이 70m에 한쪽 변의 길이만 230m로 세계 3번째 규모입니다. 피라미드 정면에 225 개의 계단이 정상까지 연결되어 있어 장대한 테오티우아칸 유적을 한 눈에 조망할 수 있습니다.
  멕시코시 테페약 언덕에 자리한 과달루페성당은 포르투갈의 파티마, 프랑스의 루르드와 더불어 세계 3대 성모 발현 성지이며 성모 발현지 중 가장 많은 관광객이 찾는 성지 순례지입니다. 틸마(tilma)에 새겨진 성모님의 모습은 1m 45cm의 키에 피부색은 인디오처럼 거무스름한 황갈색을 띠고 있고, 머리카락도 검은색으로 일반적인 성모님과는 외양적으로 전혀 다른 모습입니다.
  그러나 경탄을 금치 못할 경관의 연속 속에서도 쿠스코의 아르마스 광장이 아련히 떠오름은 역사의 아이러니일까요? 그것은 대자연에 순응하며 순리대로 살고자 했던 잉카인의 꿈이 강자에 의해 무참히 무너져버린 역사를 아르마스가 보여주고 있기 때문이겠지요? 엘 콘도 파사의 애잔한 음률을 뒤로 하고 이만 후기를 접습니다.
  아무튼 노랑풍선의 중남미 핵심 일주 5개국 여행은 시험 대비 요약집 같은 아주 좋은 상품이었습니다. 이번 여행을 함께 한 모든 분들의 건강과 행복을 기원합니다.
 "
중남미,"꼭 가보고말리라 마음먹었던 중남미여행:벼르고 별렀던 중남미 여행을 할수있었음은 하나의 축복인것같고,22명(가이드포함)이 무사히 여행을마치고 귀국할수있어 감사 할뿐입니다.
연세들이있어 감기몸살에 피부병,고산증 여러가지증상들이 나타나기도했지만,모두들 기본체력들이 강인함을보여주는것같았고,박진의사선생님은
의료봉사오신분같이 환자들을 챙겨주심에 감사 드립니다.
눈으로 꼭 확인해보고 싶었던 마추픽추,이과수폭포,3대미항중하나인 리오데자네이로,해와 달의 피라미드 어느것하나 놓히고 싶지않은 중남미의
문화유산들을 보고나니 스스로 여행선택을 잘한것같은 기분은 나를 행복하게하는것 같네요.
주변사람들에게도 꼭 가보라고 추천하고 있어요.백문이 불여일견이라고~
20일동안 21명그룹 이끄느라 몸도 마음도 많이 힘들었을 딸같은 김소희씨! 수고 많았고,힘차게 앞날을 펼쳐나가요~화이팅!"
중남미,"길고 긴 20일여일의 중남미 여행:노란풍선 여행사 패키지 2월 1일 상품을 다녀오고 후기 남깁니다.
지혜롭고 헌신적인 우리 김소희 인솔자님을 만난 것이 저희 가족에게는 큰 행운이었습니다. 
아무래도 저의 팀은 연장자분들이 많으셔서 만만치 않은 그룹이었지만 그럼에도 김소희 인솔자님이 잘 이끌어주셔서 감사합니다.
여러 사람들이 감기, 매스꺼움, 복통에 힘들어 하셨지만 그때마다 신경써주신 김소희쌤이 너무 인상적이였습니다. 
쿠스코에서의 고산병에 시달리면서도 마추피추와 사막투어는 너무 즐거웠습니다. 
마침 의사선생님 내외분이 동행하셔서 아플때 마다 치료해주셔서 감사했습니다. 
아르헨티나의 탱고와 브라질의 이과수 폭포, 멕시코의 치첸이사는 감탄에 감탄을 더할 수 밖에 없었습니다. 아직도 눈에 아른거립니다.
고생이 있었기에 더 값진 여행이었습니다. 
마지막 일정이였던 멕시코 시티투어에서 현지가이드 선생님과 상의하에 피라미드 일정을 첫날로 당겨주신 점은 정말 신의 한 수 이었습니다. 덕분에 투어 마지막 날에는 현지 라이프느낌의 은 마켓과 독립기념탑을 추가적으로 느긋하게 보고 한식까지 먹어서 너무 행복했습니다. 
다음 여행객들에게도 이 코스로 바꿔주시길 추천합니다!
마지막으로, 함께한 우리 식구들에게 건강하시고 행복하시길 기도합니다."
중남미,"꿈에 그리던 환상의 중남미 8개국 여행(4/6-25일) - 2부:                                                                                                                                            ↑브라질 이과수폭포
  다음은 이번 중남미 투어 중 내 나름대로 감명깊고 탄성을 자아냈던 여행지 몇 군데를 여정 순서대로 다시금 되새겨봅니다.
  (1)멕시코/칸쿤
1) 초록바다의 환상적인 해변 휴양지 칸쿤
2) 마야 최대 유적지인 치첸이사의 91계단 피라미드 등
  (2) 페루/ 쿠스코, 마추피추, 우루밤바, 파라카스, 이까, 나스카
1) 쿠스코 고대 잉카유적지 답사
   (산토도밍고 성당, 탐보마차이, 푸카푸카라, 삭사이와만 요새, 켄코 등)
2) 60년동안 잃어버린 공중도시 마추피추 답사
   (콘돌의 신전, 계단식 경작지, 세개의 창문의 신전, 해시계 등 잉카유적지 관광)
3) 파라카스: 모터보트를 타고 환상적인 물개섬 투어 (물개들 무지 많아여 ㅋㅋ)
4) 이까: 와까치나 오아시스 및 샌드카 사막투어
5) 나스까: 경비행기 탑승하여 나스카 들판에 그려진 수수께끼의 지상 그림 감상
   (원숭이, 고래, 손, 우주인, 나무, 콘돌 등)
  (3)브라질/ 리오데자네이로, 이과수
1) 리오: 코르코바도 언덕 (해발 710M 절벽 꼭대기 위치)의 예수상
2) 세계3대 미항 중 하나인 리오항을 한눈에 볼 수 있는 슈가로프산 케이블카 등정
3) 이과수 폭포(브라질편) : 웅장하고 거대함에 소름이 끼칠정도의 감동을 주는 환상적인 폭포(폭2.7M 평균낙차 70M)
4) 마꾸고 보트투어: 폭포의 웅장함을 가장 가까이서 볼 수 있고, 물줄기를 온몸으로 맞으며 스릴을 만끽하는 투어 
★감동과 탄성연발!
  (4)아르헨티나/ 이과수, 부에노스아이레스
1) 이과수폭포(아르헨티나편): 남미의 가장 아름다운 관광지인 악마의 목구멍 폭포관광 (영화'마션'의 촬영지임)
★감동과 탄성연발!
2) 탱고의 발상지인 보카지구를 방문하여 설치거리 한폭의 미술같은 주택관광
  (5)칠레(산티에고): 아름다운 해변도시 비내델마르 및 아르마스 광장 관광
  (6)멕시코(멕시코시티)
1) 레오티와칸 피라미드 관광 (해와 달의 피라미드 등)
2) 아즈텍 문명 유적지 관광 (소칼로광장, 메트로폴리탄 대성당 등)
  -실속있고 품격있는 중남미 투어를 제공해준 노랑풍선 짱! 강추~강추!-
  감사합니다."
중남미,"최고의 여행지 중남미 (브라질,아르헨티나,페루):   
많은 나라를 가봤지만 최고의 여행지가 어디냐고 하면 중남미 였다고 말할 것이다.
잃어버린 공중도시 페루의 마츄피츄 유적지와 웅장하고 공포스럽기까지한 이과수 폭포,
여행 내내 흥얼거리게 한 탱고선율을 들었던 아르헨티나 부에노스 아이레스,
거대 예수상과 슈가로프산에서 본 브라질 리오 전경은 너무 멋있다.
DL항공으로 중남미 11일의 여행을 떠났다. 3월 날씨도 봄을 알리는 듯이 따뜻했다.
    인천 - 아틀란타 - 상파울로를 DL항공으로 이동한 후 상파울로 - 리오 국내선을 또 한번 탑승했다.
약 30시간,, 멋진 중남미를 보기위해 감수할 수 있는 설레이는 시간이다.
    ♣ DL항공의 비지니스 모습 (일자로 눕혀지는 의자와 맛있는 식사)
      드디어 브라질 리오에 도챡!!
리오데자네이로의 멋진 시내를 관광했다.
    ♣ 영화에 자주 등장하는 약 6㎞의 백사 해변 [꼬빠까바나 해변]
      ♣ 활력있는 리오의 모습을 즐길 수 있는 곳 [이빠네마 해변] 
      ♣ 아름다운 스테인드 글라스로 유명한 [중앙 성당] 
        ♣ 코르코바도 언덕의 [거대예수상]
        ♣ [슈가로프 산] 관광
'슈가로프'는 설탕빵 모양을 닮았다고 해서 붙여진 이름이다.
케이블카는 1912년 설치 후 지금까지의 이용 승객이 4천만 명에 달한다고 한다.
해발 396m로 가장 높이 솟아오른 이 산 꼭대기를 케이블카를 타고 올라가
리오의 아름다운 전경을 감상했다.
       
★ 리오의 대표적인 음식 : 슈라스코
- 소고기의 여러가지 부위를 요리사가 직접 잘라준다. 뷔페식으로 야채나 초밥도 있어서 곁들여 먹을 수 있다.
        ♣ [브라질편 이과수 국립공원]
1100m의 산책로를 따라 이동하며 2700m의 폭을 자랑하는 이과수 폭포 감상한다.
이과수 폭포의 마꾸꼬 사파리 보트를 탑승하였다.
오픈카로 정글 탐험과 이과수 폭포 주위를 도는 생활의 스트레스를 줄일 수 있는 즐거운 시간이었다.
모터보트를 타고 이과수 폭포물에 흠뻑 젖기 때문에 우비와 여벌 옷을 가져가야 한다.
     
♣ [아르헨티나 이과수 국립공원]
이과수 폭포의 하일라이트인 악마의 목구멍은 뚫린 구멍 속으로 물이 잇달아 빨려
들어가는 모양이 장관이다.  아르헨티나쪽의 높은 산책로에서는 발 아래에서 물이
떨어지는 것을 보기 때문에 전체적인 조망과 웅장함을 즐길 수 있다.
    기차를 타고 이과수 폭포가 흐르는 산책로를 지나 이과수 악마의 목구멍에 도착했다.
 
아르헨티나 부에노스아이레스 도착!!
  ♣ [5월의 광장], [대통령궁], [시청], [대성당] 
♣ [국회의사당], [7월의 대로], [레꼴레타 묘지] 등 시내관광을 하였다.
                               레꼴레타  묘지                                                          국회의사당 & 로댕 조각상
    ♣ 탱고의 발상지 [보카지구] 
        - 탱고쇼를 한시간 정도 감상하는데 아름다운 선율과 멋진 춤동작에 정말 넋을 놓고 보았다.
      잉카유적지가 남아있는 페루의 꾸스꼬에 도착!! 
  
♣ [산토 도밍고 성당과 수도원] 
      ♣ 쿠스코의 동쪽을 지키는 요새 [삭사이와망] 
      ♣ [탐보마차이], [푸카푸카라] 
        ♣ 잃어버린 공중 도시 [마츄피츄]  
마추피추 도착하여 현지 전용버스로 아슬아슬한 계곡의 아름다운 풍경을 감상하며,
지구상에서 60년 동안 잃어버린 공중 도시 마추피추 답사
- 태양의 신전, 해시계, 콘돌신전, 계단식경작지 등 유적지 관광  
          기차를 타고 오얀따이 탐보역으로 돌아와 우루밤바로 이동했다.
 
모든 여행을 마치고 꾸스꼬에서 리마- 아틀란타 -나리타 - 인천을 경유하여 집으로 돌아왔다.
너무 좋았던 중남미의 추억 여행의 기억이 한동안 머리속에 맴돌것이다.
       "
중남미,"중남미 7개국 여행 -20 ( 여행 후기 ):그동안 저의 여행의 글을 읽어 주신 데 대하여 감사
  드림니다.
  여행에서 돌아오니 구제역으로 온나라가 난리에 그저
  죄송 할 따름입니다.
  그런 관계로 귀국을 하고 나서 계속 서울에만 거주
  하여 축산 농가에 조금이라도 도움이 주고자 하였
  습니다.
  중남미 7개국 여행 정말 해병대 유격 훈련과 거의
  맘먹는다고 한다.
  물론 해병대 장병들이 이글을 보면 웃기네 하겠지
  만 우리여행 일원의 평균나이 65세를 감안하면 이
  해가 갈겄이다.
  처음 인천공항에서의 안개로 인한 지연 출발이 너무
  나 큰 시련을 격었다.
  물론 자연의 힘이라고 하지만 LA 공항에서의 입국 수속
  더군다나 년말의 테러에 철저한 경계망 우리 모두가
  이해 해야할 내용이다.
  이럴때 일 수럭 모든 여행객 들의 참을성 있게 기다려
  주는 것이이번 여행의 성과라고 할 수 있다.
  비행기를 무료 14번이나 타야 하기에 일찍 일어나는
  날은 거의 매일 이고 먼길을 떠나야 하는 날 역시 많다.
  아직 통계는 못내고 있지만 비행기 거리 버스 거리 합하면
  아마도 동남아 여행 10번이나 더 간것 갔다.
  여기서 준비 해야 할 것 을 조금더 나열 하고자 한다.
  여권 : 물론 장가가는 사람이 그것 배놓고 갈수 없지 않나
           가능한 전자 여권으로 하면 좋다.
  비자 : 미국비자를 가진분은 꼭 가지고 가야 한다.
           전자여권을 소지하신 분은 여행사에서 $14이면
           등록해준다.
           미국은 환승이 없다 일단 입국 수속을 해야 한다.
  우의,우산 : 비가 오는 날과 이과주 폭포 아래로 배를 타고
           갈때 입지만 큰 도움이 못되었다 .
           물론 안가져 간것만 못하지만 1회용이라 가벼우니
           가져가는 것도 괜찬다.
  전화 : 흔히 인천 공항에서 로밍을 하고 가는데 전화가 잘안
           되는 지역이 있으므로 잘 생각 하고 가지고 갈것이다.
  전원 : 멕시코는 아직 까지 100V를 사용한다.
           그 밖에 나라는 220V를 사용하는데 둥그런 구멍이
           우리나라 보다 작다.
           따라서 충전기나 해어드라이가 잘안들어가므로 만능
           아탑타를 전자 가계에서 1나 구입 하는것이 좋다.
        전자모기향 : 더운지방이므로 잠자리에 꼭 필요하다.
  모기약스프레이 : 산에 올라가는데 모기에 물리면 가려움이 심하다.
                         가까운 약방에서 1개 정도 구입 하면 요긴하게 쓰임
  칫솔 : 2~3개 정도 필요하다 하나는 한상 센드백에 넣어
           가지고 다니면서 즉시 이를 딱을 수 있도록 한다.
           여기서 칫솔질 할때는 가능한 화장실에서 모든일을
           처리 하고 나와야지 식당의 테이불이나 홀까지 나와서
           하면 절대로 안된다.
  밑반찬 : 가능한 많이 만들어 가는 편이 좋다.
           현지에서 먹는 것보다 나중에 현지의 가이드에게 조금
           씩 나누워 주면 어떨까
           그들은 역시 한국의 음식을 너무 좋아 하고 있다.
  카메라 : 가능한 2개 정도면 어떨까 비바람,모래바람에 잘못하
           면 1개가 고장 날 수 있으니 어렵게 간 여행 사진을 못
           찍고 도라올 일 있나
  컴퓨터 : 넷북 으로 작은 것이 좋다.
           이번 여행에서 처음으로 시도한 일이다.
           핸드폰을 로밍 하고 가는 것보다 훨씬 좋다.
           물론 관광지에서는 접속이 곤란 하지만 공항에서 탑승
           시간을 기다릴때 숙소 에서 집으로 전화를 하고자 할때
           매우 편리하고 좋다.
           물론 무선 인터넷이 있어야 한다.
           원효로 전자상가에서 360,000원 주고 삼성제품을 구입 했다
           아마도 이번여행에서 본전은 뽑은것 같다.
            서울서
            HTTP://imtel.com
            에 가입을 한 후 수신 번호는 구입하지 말고 그냥 발신만 할
            수 있게 한다.
           선불이므로 20,000원 정도 지불하면 여행중 얼마든지 사용
           할 수 있다.
           다른 사이트는 수신 번호를 주기 때문에 조금 비싸다.
           굳이 수신 번호는 필요가 없다.
           숙소에서 인터넷 접속시 가이드의 안내를 받어 안내 데스크
           에 물어보면 아이디와 비번을 가르쳐 준다.
  가방 : 큰가방이면 좋은데 너무 크면 곤란하다.
           가방에 짐을 싸고 나서 23Kg 이 넘지 않어야 한다.
           옭겨 실는데 사람에게 무리가 가므로 제한 하고 있다.
           실예로 나의 가방이 26Kg 이므로 공항에서 작은것 하나 더
           구입 했다.
  쇼핑 : 가장 관심이 끄는 부분이다.
           이번여행에서 쇼핑은 브라질의 보석상과 리마에서의 종합
           매장 정도 이다.
           전에는 여행보다 쇼핑에 관심이 많아 사회적으로 물의를 빚
           은 적이 많지만 전자 재품은 한국이 제일 싸고 현지에서의
           기념품 정도는 어떨까 한다.
           멕시코에서의 해와달에 관계되는 작은 기념품
           쿠바에서의 시가 (미국 입국시 주의해야 한다)
           브라질 역시 커피와 보석 이다.(많은 보석은 잘사야함)
           페루에서의 알까파에 관련된 제품들
           알카파 우리는 잘모른다 진짜 알카파인지 아니면 다른 화학
           제품과 섞여 있는 것인지 잘모른다.
           다만 내가 알고 있는것은 다른 섬유보다 알카파 털이 여기서
           는 더 싸다.
           여행지에서 가격은 천지 만발이다.
           잘사면 10불에 잘못하면 30불 그러나 알카파만은 확실하니
           너무 걱정 안해도 된다.
           가능한 헐렁하게 짠것보다 쫑쫑하게 짠게 좋다.
           또한 좀더 믿을 수 있는 상점 가이드가 안내한 커다란 쇼핑
           센타에서 구입 하면 확실하다.
           여기서 라벨을 보면 배비 알파카라고 쓰여져 있느데 이건
                 어린 알파카가 아니라 가는 알파카 털로 짠 의류를 말하는
           것이다."
중남미,"중남미 7개국 여행 -19 ( 숙박 음식 ):중남미 여행중 우리가 묵었던 숙소 및 음식 입니다.
  우리는 여행에서 제일 중요하 것은 역시 숙소와 현지에서 먹는
  음식이다.
  잠을 잘자야 여행도 즐겁고 음식을 잘 먹어야 힘이되어 관광을
  힐 수 있기 때문입니다.
  흔히 말하기를 노란풍선은 숙소와 음식이 좀 다른 여행사에 비해
  떠러진다고 합니다.
  물론 많은 비용을 주고 비싼 호텔에 비싼 음식을 재공하면 되겠
  지만 우리의 주머니는 향상 넉넉하지 않습니다.
  이번여행에서 느낀게 있으면 이제 노랑풍선 여행사도 좋은 호텔에
  맞있는 음식을 제공 하면서도 타 여행사보다 가격이 저렴함을 느꼈
  으며 이제는 타여행사에 뒤지지 않고 좋은 여행을 핳 수 있다느 것입니다
  혹시 여기에 여행 하실분 참조 바라며 부족한 음식이 있으면
  출국 할때 조금 만들어 가면 좋을 것 갔습니다.
    아시아나 기내식
2회 제공 하였으나 첫번째 제공은 사진을 못찍었음
        멕시코시티 에서의 아침 식사
LA 공항에서 늦게 출발 숙소에 들리지도 못하고 그냥 아침 식당으로 가서
식사를 함
            멕시코 시티에서의 점심식사
                                                   "
중남미,"중남미 7개국 여행 -18 ( LA 공항 ):리마공항에서 다음날 아침 오전 1시 5분 드디어 우리는 많은 추억을
  않고 리마 공항을 떠나야 했다.
  수많은 여행지 수많은 가이드 그들은 여행지는 또다른 여행객을 맞이
  하고 있고 가이드님은 열심히 안내하고 있을테고 관광객들은 하나라도
  더듣고 보고 사진을 찍느라 분주 하겠지요
  어느덧 비행기는 날라 LA 공항에 도착 했다.
  역시 올때와 마찬가지로 미극으로의 입국 수속을 하여야 한다.
  지난번 입국때 혼난 우리집 사람도 가슴이 떨리는 것 갔다.
  입국 수속은 그래도 순조 럽게 되었는데 이번에는 짐검사에서
  많은 수모를 당해야만 했다.
  브라질에서 커피를 산게 있는데 세관원이 이를 확인하고 혹시 밀수
  장사가 아닌가 하고 조회를 하고 나서야 동과 되었다.
  이번에는 다른 분의 짐에서 쿠스코 에서의 마약 성분이 조금 있는
  차를 숙소에서 너무 많이 가져온 게 탈이 였다.
  그러나 아무 탈없이 나가려는데 이번에는 쿠바에서 구입한 시가가
  문제가 되었다.
  쿠바 여행에서 여권에 입,출국 도장도 안찍는데 담배를 들고
  오다니 정말 난감 하다.
  미국에서의 입국 및 짐검사는 누구도 방해를 못한다.
  오직 담당자만이 해결해야만 한다.
  결국 다음부터는 미국 입국을 지향하는 선에서 일처리가 됐는데
  아마도 다음 미국 입국은 좀 어렵지 않나 생각한다.
  우리의 짐은 본인이 짐 환승 으로 보내고 출국을 하고 다시 입국 수속을
  해야 한다.
  이제는 우리의 말이 통하는 아시아나 승무원 과 만나니 한시름 놓인다."
중남미,"중남미 7개국 여행 -17 ( 나스카 ):숙소에서 7시에 나와 우리는 나스카의 진 면모를 보기 위하여 경비행기
  장으로 갔다.
  오전에 비행기를 타야 시야도 좋고 바람도 잔잔하다.
  경비행기는 탑승이 무척 까다 롭다,
  일일이 승객의 몸 무게를 재고 나서 균형에 맞게 좌석을 배분한다.
  그것 뿐만이 아니다. 부부가 같이 온 경우는 갈라서 타야 한다.
  만약을 대비하여 비행사의 선택이다.
  비행기를 타고 하늘로 올라가니 정말로 신기한 모습이 보여 진다.
  그림이 있는 곳은 비행사가 옆으로 기울려 잘보이게 하고 일일이
  설명을 해주는데 영어로 하는 바람에 못들은 내용도 많다.
  누가 언재 여기에 이와 같은 그림을 그렀는지 아무도 모르고 그냥
  수수 꺼끼로 남아 있다.
  풀리지 않는 신비 나스카라인
  잉카와 나스카 계곡의 중간에 자리잡고 있는 넓은 평야에는 인간이
  그렸다고 하기에는 너무나 거대한 규모의 그림과 선들이 펄쳐저 있다.
  이것을 나스카 라인 (Nasca Lines) 이러고 부른다.
  그 그림들은 땅위에서는 절대로 볼 수 없고 비행기를 타고 높은 하늘에
  서만 볼 수 있다.
  리마에서 7시간 소요된다.
  폭 1마일 37마일  길이의 선이 쭉 뻗어있는 모습이 선명하고 그 주변으로
  또는 그 위로 가로 지르는 선 기하학적인 모형과 사다리꼴 원형 나선형
  의 선 그리고 스파이더 콘도르 등으로 보이는 그림들이 그려져 있다.
  하늘에서 불 수 있는 동물 그림은 스파이더 벌새 원숭이 1000피트 길이
  의 펠리칸 등 약 70개 정도 이다.
  외계인의 우주선 착륙지였다고 그리고 고대인이 별과 우주의 움직임을
  그려 놓은 것이라는 등 나스카 라인에 대한 몇가지 학설이 있지만 아직
  까지 누가 왜 어떻게 만들었는지 확실히 밝혀지지 않아 더욱 신기하게만
  느껴진다.
  비행기 관광을 맞힌 우리일행은 이제 고국으로 떠나야 할 시간이 점점
  가까이 오고 있다.
  리마시내로 들어와 약간의 시간이 있어 우리는 전통시장을 방문하였다.
  리마에서 현지 시간 다음날 오전 1시 05분
                                                                                                   "
중남미,"중남미 7개국 여행 -16 ( 페루 빠라까스 나스카 ):오늘은 평상시와 같이 8시에 호텔를 나와 버스에 올랐다.
  오늘은 유럽여행 보다는 덜하지만 그래도 오랫동안 버스를
  타고 가야한다.
  물론 거리는 450Km 정도지만 이곳의 교통과 도로가 어떤지
  알지를 못하기 때문에 준비를 잘하고 가야 한다.
  버스는 리마 시내를 벗어나 고속도로를 향해 달리고 있다.
  오른쪽은 남태평양이 보이고 원쪽에는 사막이 산을 이루 고있다.
  가는 동안 군대군대 많은 사람이 모여 살지만 모래 언덕위에
  판자집을 지어 놓고 살고 있다.
  여기서 우리나라의 봉이 김선달이 있다.
  대동강 물을 팔아 먹은 봉이 김선달
  페루에는 모래를 팔아 먹는 선달이 있다.
  그많은 모래 우리에게 조금이라도 주었으면 얼마나 좋을까
  모래 뿐만 아니라 모래를 조금만 파면 황금보다 더 귀한 자갈이
  나온다 우리나라는 이미 자갈이 고갈되어 자갈대신 커다란 돌을
  자갈 만하게 께서 사용하고 있다.
  경제성장을 너무 많이 한탓일까 아니면 많은 건물을 짖고 부수고
  한 걸까.
  버스는 가는 도중 2번 정도 쉬어 갔다.
  빠라까스에 도착하여 우리는 쾌속정 보드로 무인도인 물개섬으로
  갔다.
  그많은 새와 물개들을 어떻게 불렀는지 새가 많다 가 아니라 그냥 새 밭
  이었다.
  과거 나폴레옹은 프랑스 군대를 동원 했는데
  여기의 나폴레옹 2세는 (나가이드) 요즘유행하는 투이터러 이많은 새와
  물개를 동원 하여 우리를 즐겁게 하여 주었다.
  새구경을 실컨 하고 부두에 오니 점심 시간이 되어 점심을 먹고
  있는데 여기서 이번 여행의 최대 오점이 대형 사고가 터지고 말었다.
  아마도 고산병과 더불어 오랜 여행 탓일까 조금만 서로 이해했으면
  하는데 그개 잘 조절이 안되는 모양이다.
  관광객 여러분에게 한마디 드리겠습니다.
  물론 여행중에 어러운 일이 너무 많습니다.
  조금만 참으면 안될까요
  여기서 가이드 하시는 분들도 모두 우리와 같은 한국 사람 입니다.
  이먼 곳에서 우리에게 조금이라도 편리하게 해줄려고 노력 하고 있는
  분들에게 조금만 참어 주시면 될겄같습니다.
  그렇다고 물론 참으라는 말만은 아님니다.
  할말은 해야지요 부당한 요구는 절대로 다음 여행객을 위하여 하여야
  함니다.
  우리는 그렇게 점심을 먹고 나서 와까치나 오아시스 로 가서 사막의
  면모를 불수 있었습니다.
  우선 샌드카를 타고 사막을 달려보고 스노우 보드로 사막 꼭대기에서
  타고 내려오고 정말 여행의 마지막을 장식하는 것 갔았습니다.
  숙소로 가는 길에 우리는 열대과일의 대명사인 망고를 사서 먹기로 했다.
  우선 1인당 20불씩 걷기로 했는데 누군가가 너무 많다고 하여 다시 10불
  로 하기로 했다
  여기에 나 역시 너무 많은 것 갔아 1인당 1불씩 걷기로 하고 모두 모으니
  18불이 되었다
  여기도 우리나라와 같이 길가에도 농산물을 파는 곳이 있는데 가이드
  이야기가 그냥 대형 마트에서 사자고 하여 우리는 대형마트 앞에 주차를
  하고 일부만 들어가 망고를 구입했다 .
  망고가 18불 어치가 무료 대형봉투 3개나 되었다 .
  만약 20불식 걷어 샀으면 들고 나오지도 못할뻔했다.
  일인당 나누니 한사람에게 5개씩 이나 돌아 갔다.
  숙소에 오니 정말 이런 사막에 이런 숙소가 있는것 차체가 고마을 뿐이다.
  저녁은 닭고기와 돼지고기 인대 여기서 닭고기에 대하여 잠시 한마디 하면
  페루는 우리와 같이 닭을 3년이상 한곳에서 기르지 않습니다.
  3년 기르고 다시 다른 곳으로 가서 기르므로 우리가 걱정하는 조루독감은
  없지요
  우리가 먹기 좀 거북한 닭기슴살 여기서는 닭다리보다도 더 연하고 맞이
  좋습니다.
                                                                                                                                                     "
