title,reviews
060308-060312베트남/하롱베이-석회동굴(2),"060308-060312하롱베이-석회동굴




3월10일 아름다운 항구 도시가 한눈에 내려다 보이는 하롱베이 백당호텔에서의 

또 다른 아침는 시작되었다.

오늘도 어제 처럼 어느 누구보다 먼저 아침을 열었다.

새로운 것에 대한 호기심에서 보다 항구도시 부두가에 위치한 호텔이다 보니

새벽 부터 바삐 움직이는 뱃고동 소리에 잠을 설쳤다.



오늘은 아침을 너무 많이 먹지 말고 간편히 먹고 나오란다.....

3000 여개의 섬으로 이루어진 그림같은 하롱베이 주변섬들을 둘러 보면서

선상에서 씨푸드와 제주에서나 조금씩 잡힌다는 그 귀한 다금바리 회로 

점심 식사를 한단다.



우리 일행 17명은 호텔에서 5분 거리도 안되는 부두에서 유람선을 타고 

9시 30분 정도에 하롱만을 출발 아름다운 바다여행을 나섰다.

멀리서 눈안에 들어 오는 섬들은 한포폭의 그림같은 정경 들이었다.

그러나 오늘도 안개가 너무나 깔려서 그 아름다운 풍경들을 카메라에 

모두 담을수 없음이 너무나 아쉬웠다.



영화""인도차이나"" 촬영지역이며 동양최대의 아름다운 자연경관을 자랑한다는 

크고 작은 섬들로 둘러 쌓인 호수 같이 잔잔한 바다를 얼마를 달렸을까 

기암괴석으로 이루어진 어느섬에 도착 엄청난 크기의 석회동굴 속으로 들어 갔다.

삼척이나 울진에서 보아온 우리 나라의 동굴들 보다는 그 내부 공간이 

훨씬 높고 웅장한것 같았다.

일차 석회동굴 관람후 신이 만들었는 하롱베이의 섬여행은 이어진다.

 ※ 다음편도 사진 정리 되는데로 올려 보겠습니다.
 "
베트남 하롱베이,계원들과함께
잊지 못할 베트남 여행기 4,"12월 22일 (신짜오)



벌써 마지막 날이다.

시간은 어찌나 빨리 흘러가는지........

하루만 더 시간이 있다면 더 즐겁고 더 잼있게 놀수 있을텐데 하는 아쉬움이 남는다.



호텔에서 아침식사후 9시에 차에 탑승....

오늘은 내가 젤루 기대하고 기대하더 전신마사지를 받는날이다....

해외 여행을 갔다온 대부분의 사람들이 전신마사지를 추천을 하는데 도대체 어떻길래 저렇게 좋다하는지 오늘은 내가 꼭 느껴보리라.............



맛사지실로 들어서자마자 반바지로 갈아입고 누웠다......

아니 그런데 이게 왠일 젊은 남자들이 쭉 들어오는것이 아닌가?

팔을 주무르고 발맛사지를 하고 마지막으로 전신맛사지를 했는데 어찌나 민망한지 언니와나 그리고 동생을 웃음을 참을수가 없었다...

아마 맛사지 받는 2시간 내내 서로 얼굴 쳐다보면서 웃은것 같다.

그래도 받고 나니깐 어찌나 개운하지............



맛사지를 끝마치고 점심을 먹으로 궁중 요리 전문점에 갔다..... 말그래도 궁에서 먹는 요리인줄 알았는데 그게 아니라 우리나라 뷔페처럼 베트남의 갖자기 음식들을 놓고 우리가 골라먹을수 있도록 되어 있는곳이었다... 이곳도 비싸서 베트남에 잘사는 사람들만이 와서 먹는곳이라고 했다. 마지막이라 생각하고 이것저것 시도해보구 실망하구 ....시도해보구 맛있어하구.................



어느덧 모든 여행은 막바지에 이르고 하노이로 가는버스안에서 노래자랑이 열리고......누구하나 빼는사람없이 어찌나 다들 잘 노시던지.........



하노이 도착후 마지막 코스인 수상인형극을 보러갔다.

사람이 물속에서 인형을 가지고 인형극을 벌이는건데 유치할줄 알았는데 의외로 잼있고 즐거운 시간이었다.......



모든일정을 이젠 끝났다....

모두들 아쉬우을 뒤로한채 공항으로 이동....................



첨 생각했던거와는 달리 너무 좋은 분들을 만나서 정말 기억에 오래 남을수 있는 여행이었습니다.

이번 여행 평생 잊지 못할꺼 같구요 같이 여행했던 22분 모든 분들께 진심으로 감사드립니다.

그리고 저희를 책임져주신 김회강 가이드님을 비롯해 현지가이드님 그리고 과장님 운전기사님께도 깊은 감사드립니다.

노랑풍선이 저에게 좋은 추억을 남겨준거 같아요........

2006년도에는 더욱 발전하는 노랑 풍선이 되시길......................"
잊지못할 베트남 여행기 1,"12월 19일 (신짜오)



동생과 사촌언니와 모처럼 시간이 맞아서 여행을 떠나기로 했다 어디갈까 한참을 찿아헤매다가 결국 찿은곳은 노랑풍선의 베트남 북부(하노이 하롱베이 )여행이었다.

부푼 가슴을 안고 인천공항에 도착해서 티켓을 받고서 7시 35분 드디어 베트남으로gogogo



4시간의 긴여정끝에 도착한 하노이 노이바이 국제공항 ........공항에 도착해서 가이드와 함께 여행할 사람들과의 인사......



22명이라는 꽤 많은 사람들이 함께 여행을 하는거였는데 우리 또래 2-3명 외에는 모두 나이가 어느정도 드시 분들이었다....이러다가 여행이 별루 잼없어지면 어떻게하나? 라는 생각이 먼저 내 머리를 스쳤다....



숙소로 가기위해 차를 타고 30-40분 정도 이동하는동안 가이드님께서 3박 5일 동안의 일정이나 베트남의 정보등을 말씀해 주시고 어는덧 숙소도착....



짐을 대충 정리하고 내일을 위해서 우린 꿈나라로......................."
잊지 못할 베트남 여행기 2,"12월 20일 (신짜오)

오전 7시에 모닝콜을 듣고 일어나서 씻고 밥을먹으러 갔다......

호텔식이라고 해서 먹는것을 걱정없겠다 생각했는데 이게 웬일인가? 빵외에는 도저히 특이한 향식료 냄새때문에 차마 먹을수가 없었다.



나름대로 먹을껄로 고생한 적은 한번도 없고 베트남 오기전에 한국에서 베트남 전통음식이 쌀국수도 어느정도 먹어봤기에 잘먹을꺼라 생각했었는데...............



빵으로 대충 밥을때우고 9시에 모여서 닌빈지역으로 시클로를 타러 갔다

베트남은 우리나라의 3배라고 한다 그리고 나라자체가 길어서 어디든 이동하려면 꽤 오랜시간이 걸린다.



차로 얼마나 이동했을까? 드디어 시클로 탑승하는곳에 도착했다.

2인1조로 타는걸로 알았는데 한사람이 한사람을 태우고 거리 곳곳을 누비며 또 운전하시는 아저씨께서는 이것저것 설명해주셨다.

한국말을 어찌나 잘 알아들으시고 잘말씀하시던지.......



1시간의 시클로 탑승을 끝내고 땁곱이라는 지역으로 이동후 삼판배를 타러 갔다....

내가 베트남을 여행하면서 가장기억에 남는것중 하나가 삼판배이다.

2인 1조가 되어서 삼판배를 타고 수중동굴과 기암괴석등을 구경하는거였는데 마치 넓은 바다에 조각배를 띄우고 세상 모든 근심걱정을 다 털어버리고 나 자심만을 돌아볼수 있었던 그런 시간이었다......



너무나도 순박한 베트남 아줌마......... 이곳저곳 사진찍을곳도 알려주시고 좋은곳 하나라도 더 구경시켜줄시려고 위험한 것도 마다하지 않으시고............아줌마 덕분에 좋은사진을 마니 찍은것 같아 기분또한 날아간다............



삼판배를 타고 돌아다니니 어느덧 점심시간이 되었다... 한국에선 내가 젤루 좋아하던 시간이었는데 베트남에선 이시간만 되면 오늘은 또 어떻게 하나 라는 걱정이 먼저 앞선다.



점심은 현지식..... 돼지고기를 비롯해서 닭고기 만두 등등 정말 상이 부러질정도로 잘 차려졌지만 우리가 먹을수 있던건 몇가지에 불과했다.... 하지만 옆테이블에 아저씨와 아줌마들은 어찌나 잘드시던지.... 누가보면 아마 현지인으로 착각할정도였다.

ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ



점심식사를 맞친후 호치민 영묘와 생가를 들렀다....

사람이 죽으면 태우거나 무덤을 세워서 묻기 마련인데 호치민은 냉동상태로 얼려서 그대로 보존을 했다고 한다.

직접 눈으로 봤지만 실제인지 아닌지는 솔직히 잘 모르겠다.



하루가 어떻게 지나갔는지 모를정도로 잼나는 하루였다... 첨에 우려했던 잼있을까?도 어는덧 너무 잼있다로 바뀌어 있었고 가이드님을 비롯해 현지 가이드님 기사님 과장님 그리고 22명의 모든 여행객들 모두들 정말 좋은 사람들이었다.....



모든 일정을 마치고 차로 4시을 달려 하롱베이에 도착..........

저녁은 꿈에도 그리던 한정식.....그것도 삼겹살......ㅋㅋㅋㅋㅋㅋㅋ을 배터지도록 먹고 늦은시간 사촌언니와 동생과 함께 야시장을 들렀다.....

한국에서 기다릴 사랑하는 나의 친구들과 가족들의 선물을 사기위해서였다.

가이드님께 몇가지의 베트남어를 배워가서 물건을 사고 깍을때 유용히 써먹고 .....덕분에 물건도 엄청싸게사고.........



어느덧 11시를 넘어서 우린 하루 일정을 마감하며 꿈나라로......(내일을 위해서)

이후로 더 많은 일들은 있지만 그건 비밀이다......."
잊지 못할 베트남 여행기 3,"12월 21일 (신짜오)



항상 아침은 똑같다 .

7시에 기상해서 호텔식을 먹고 9시에 모이는것......

하지만 오늘은 차를 타고 이동을 하는것이 아니라 배를 타고 영화 인도차이나 에서 일담팜이 은신 하였던 아름다운 경치가 있는 3000여개의 섬으로이루어진 그림같은 하롱베이 주변섬들을 구경하는 날이다......



9시 20분배에 탑승해서 8시간의 선상여행...................그리고 모터보트.......

크루즈 여행을 떠나면 정말 좋겠다 라고 생각한적이 많은데 아마도 오늘 그소원을 조금이나마 풀수 있을꺼 같다.......



유람선 1척에 일행 22명만 태우고 선착장을 나서자 과일등 먹을꺼리를 실은 수상상인들이 끈질기게 따라붙는다. 하지만 유람선을 뱃고동을 울리며 하롱만을 빠져나갔다.바다에 볼록볼록 솟아오른 크고작은 섬들은 마치 전시장에 온듯한 착각을 불러일으켰다.



""자연이 만들어 낸 조각품""이라고 극찬할만 한 곳이다.



이렇게 자연에 푹빠져있을때쯤 배안에서 다듬박이를 비롯해서,새우,가재등 온갖 해물이 줄지어 나왔구 모두 한마음이 되어서 소주한잔씩을 기울며 선상 여행을 만끽하고 있었다.



한국에서는 비싸서 어쩌다 한번 못어보는것들은 원없이 먹고 또먹고.........



한참을 이동했을까 모항공사에서 CF를 촬영했던 곳에 도착했다. 450개 정도의 계단을 따라 올라가면 전망대가 나온다. 전망대에 올라서니 모두들 카메라 셧터를 눌러되기 바빴구...나또한 사진찍기에 열을 올리고 있었다.

가는 곳곳마다 ""아 진짜 아름답다""라는 감탄사가 절로 나올만큼 멋진곳이었다.



8시간이랑 꽤 길다고 생각했는데 시간은 어찌나 빨리 흘러가는지 이곳저곳 구석구석 전부 다 구경을 못해 아쉬었지만 다음이라는 두글자를 기약하면 아름다운 하롱베이 선상여행을 마쳤다.



저녁을 먹고난후 분수쇼를 관람하고 .....야시장 또한번 돌아주시고.... 12시가 넘어서야 잠에 들다......"
마지막 : 베트남-하노이,"2005년 10월 11일



오늘도 7시 집합입니다.

부지런히 나가보니 호텔밖에 사람들이 무지 많습니다.

그러더니 우리 일행이 나타나니까 손짓하고 난리가 아닙니다.

못난이 목걸이 팔기위해 나온 사람들입니다.

열심히 살기위해 노력하는 모습은 아름답습니다.







이제 하노이로 갑니다.

긴 하노이로 가는 길

누군가가 노래자랑 하자고 합니다.

돌아가면서 한곡씩 부르는데 안부를 수도 없고 ㅎㅎ



중간에 휴게소에 들립니다.

키플링 가방도 있고 이쁜 아오자이도 있고 깨도 있고 도마뱀 술도 있고

더불어 짝퉁 시계도 있습니다.

휴게소마다 이런 수 놓는 아가씨들이 참 많습니다.











이제 하노이에 도착했습니다.

우선 점심을 먹기위해 식당으로 갑니다.

돼지고기 두루치기를 메뉴로 해서 먹는데 참 맛있습니다.

가는 곳마다 맛있어서 큰일입니다.



이제 소수민족 박물관으로 가봅니다.

건물 안으로 들어가니 아주 커다란 솟대 모양의 구조물이 보입니다.

건물안 내용은 좀 빈약합니다.







밖으로 나와봅니다.

전통 가옥이 서너채 있는데

가이드가 부계사회인 다나족과

모계사회인 에데족의 집을 설명해 줍니다.

집의 길이가 45m라고 합니다.

조금 보기 민망한 나무도 만든 조각상도 있습니다.



아슬아슬한 계단을 올라가 그들이 살았던 집 안으로 들어가 봅니다.

대나무로 만들었는데 무지 시원합니다.

그들 나름대로의 삶의 지혜가 보입니다.



그런데 이곳에 전통 의상을 입은 사람들이 있었다면

아마 너무 흥미 진진했을 것입니다. 좀 아쉽습니다.











그 조금 아쉬운 마음

그곳 박물관 쉼터에서 망고주스 한잔씩 주더군요.

우아!! 시원합니다.

아쉬운 마음 싹 가셨습니다.



이제 응옥썬 사당으로 이동합니다.

가는 도중 레얼러이 장군과 거북이와 칼에 얽힌 전설을 재미나게 듣습니다.

드디어 도착

우리는 길 하나를 건너야하는데

이리 저리 오토바이를 피해 길을 건넙니다.

길을 건너 돌문 3개를 지나니 홍교가 나타납니다.

그리고 다시 돌문을 지나니 정자와 그리고 사당, 거북이 표구한 것이 있습니다.

그리고 호안끼엠호수와 거북이 사당이 이쁘게 자리잡고 있습니다.











이제부터 씨클로를 타야합니다.

팁 1달러를 일률적으로 걷습니다.

아니면 그들끼리 더 달라고 떼쓰거나 싸운다고 합니다.

우리 일행이 길에 서 있으니까 씨클로 부대가 나타납니다.

씨클로에 앉으니 움직이기 시작합니다.

36통로를 구석구석 보는 재미는 있지만

오토바이가 뿜는 매연 장난이 아닙니다.

게다가 오토바이나 차가 바싹 옆에 붙으면 정말 겁납니다.

처음에는 신나게 자전거 페달 밟다가 점점 느려집니다.

안쓰럽습니다.

아래 사진 모자 상가에서 파는 것을 봤는데

그때 이 모자 장식품인줄 알았습니다.^_^ ;;

그런데 이 모자 많은 사람들이 쓰고 다니더군요.



















이제 호치민 능묘로 갑니다.

아오자이 입은 아가씨들이 기념촬영을 하고 있습니다.

한장 찍어도 되냐고하니까 포즈까지 취해줍니다.

ㅎㅎ 인물은 좀 별로입니다.







그런데 베트남 군인 한 사람이 우리쪽으로 뭐라고 소리치면서 다가오고 있습니다.

그래서 난감한 기분으로 그 자리를 피했습니다.



우리 버스 있는 곳으로 와보니 묘한 버스가 하나 서 있습니다.

정말 묘하지요?

베트남에서는 우리말로 쓴 차량을 많이 보는데

이것은 차를 팔때 한국에서 온 것을 증명하는 것으로

비싸게 팔 수 있다고 합니다. 믿거나 말거나입니다.







구경 정말 많이 했습니다.

이제 발맛사지하러 갑니다.

정말 씨원합니다.

여행의 피로가 한꺼번에 가십니다.

베트남 발맛사지는 푸켓마사지와 중국의 발맛사지를 혼합한 것 같습니다.

모두들 대만족이라고 합니다.



호수를 끼고 있는 한국식당에서 저녁을 맛있게 먹고

공항으로 갑니다.



이제 한국으로 갈 일만 남았습니다.

그런데 난데없이 가이드가 우리 일행중 7명의 비행기 티켓이 없다고 합니다.

나중에 알고보니 다른 여행사 가이드가 가지고 있습니다.

그 가이드 못만났으면 어찌 되었을까요?

그 가이드도 비행기 표가 남아서 조금 난감해 있더랍니다.

참으로 이번 여행 공항에서 식은땀 여러번납니다.



이런 저런 사연 안고

우리는 구경 잘하고 무사히 한국으로 돌아왔습니다. *^^*"
세번째 : 베트남-하롱베이,"2005년 10월 10일



오늘은 하노이에서 하롱베이로 떠납니다.

7시 집합 오늘도 우리 일행 부지런히 나오십니다.

예정시간보다 일찍 떠납니다.

그런데 오늘도 어제와 마찬가지로

가이드분과 현지 여행사 부장이라는 분과 하노이 직원 2분이 나와있습니다.

왜 이렇게 많은 분들이 나오는것인지 애매합니다.



어쨓든 작년 11월과 마찬가지로 하노이는 오토바이와 자전거의 물결로 가득찹니다.

역시 차들은 죽어라 경적 울리고요.

오토바이와 자전거들 한 치의 양보도 없습니다.







얼마만큼 갔는데 차가 움직이지 않습니다.

조금 앞에서 차들이 뒤엉켜있고 서로 싸우고 있습니다.

교통 경찰이 잠시후 나타나더니 이내 정리가 됩니다.

40여분쯤 가니 홍강이 나타납니다.

이름 그대로 강물은 흙탕물로 아주 붉습니다.









이제 교외로 나갑니다.

아주 너른 황금빛 벌판이 펼쳐집니다.

추수하느라 아주 열심히 일하고 있습니다.

그리고 논 가운데 비석들이 있는데

이들은 부모님이 돌아가시면 부모님이 그리워 논 가운데에 매장을 한답니다.

아마 이들은 살아계셨을 때에도 잘했겠지요?







지난번 왔을때는 길 가운데 바리케이트 쳐놓고 통행세를 받은 것 같은데

이번엔 톨게이트도 있습니다.

왕복 2차선 도로인데 통행세를 받습니다. ㅠㅠ



길 가에 있는 집들 건축형식이 좀 묘합니다.

길쭉하지요. 그리고 옆은 페이트칠을 하지 않고 내버려둡니다.

다른 집이 들어서면 낭비라 이거지요.







하롱베이 가는길에 점심식사 씨푸드와 다금발이로 할 것이냐고 묻습니다.

해물 알러지 있는 친구는 사양하고

그런데 안먹겠다고 하니 그쪽 가이드 일행들 얼굴빛 별로 안 좋습니다.



12시 조금 넘어서 하롱베이의 호텔에 도착합니다.

호텔앞 과일 가게에서 우리 일행들 과일을 삽니다.

무지 쌉니다.



다시 출발

이제 하롱베이 가기 위해 부두로 갑니다.

부두에서 배를 타고 얼마 가지 않아 탄성이 나옵니다.

수많은 섬들이 바다위에 보석처럼 떠 있습니다.







배위로 올라가보니 해가 무지 따갑습니다.

그런데 배가 가두리 양식장 같은 곳에 배를 댑니다.

우아~ 상어같이 생긴 고기가 무지 많습니다.

이곳에서 해물과 다금발이를 산다고 합니다.







어떤 아저씨 그 큰 물고기 잡아 본다고 하니

양식장에 있는 사람이 1달러 내라고 합니다.

밧줄을 던져서 잡는다고 합니다.

밧줄을 던지니 물보라가 무지 나면서

물고기가 먹이인 줄 알고 퍼덕거리고 밧줄을 입으로 잡으려고 합니다.







이제 배 위로도 올라가보고 사진도 찍고 여기저기 둘러봅니다.

그런데 금강산도 식후경이라고 배가 슬슬 고파옵니다.

슬슬 해물 요리가 나오는데 아주 푸짐합니다.

맥주 한 잔과 더불어 거하게 먹습니다.



흐뭇하게 점심을 먹고 있는데

이제 친해진 우리 일행들 서로서로 통성명해가며 아주 즐겁습니다.

어떤 팀이 더덕박은 고추장을 가지고 와서

조금씩 나누어주는데 정말 맛이 일품입니다.



잠시 쉬고 있는데 저 멀리 섬위에 정자가 있는 것이 보입니다.

지난번 왔을때 궁금했는데 배가 그곳을 향하고 있습니다.

띠톱섬이라고 합니다.

해변에 모래사장도 있어 사람들이 해수욕을 즐기기도 하고

바나나보트를 타고 즐거워합니다.







이제 섬 꼭대기에 있는 정자까지 올라가야합니다.

계단 무지 많습니다.

15분간 열심히 올라가봅니다.

하롱베이가 한 눈에 보입니다.

배에서 본 하롱베이와 또 다른 모습입니다.







땀도 식히고 사진도 찍었으니 이제 내려갑니다.

그런데 주변이 무지 시끄럽습니다.

중국사람들인가 봅니다.



해변에 도착하니

하노이 여행사 부장? 이라는 분이 모터보트 타야한다고 우리를 잡아 이끕니다.

영문도 모르고 모터보트 선착장에서

그것도 거의 땡볕아래서 20여분 기다렸는데 아무도 오지 않습니다.

열받아서 배로 가봅니다.

우리보고 왜 이제 오냐고합니다.

기가막혀..

가이드분과 그곳 부장님 티걱태걱?한 것 같습니다. 옵션때문에

분위기 좀 그렇습니다.







이제 배는 떠나고

천궁동굴을 보기위해 이동합니다.

가이드가 동굴 설명해야하는데

다른분들 벌써 훨훨 날아서 벌써 밖으로 나간것 같습니다.

ㅎㅎ 아무래도 동굴은 우리나라 동굴이 훨씬 이쁩니다.







이제 부두로 돌아가야합니다.

슬슬 해는 석양으로 넘어가고 있습니다.

구경한번 잘했습니다.



부두에 도착

이제 호텔로 가기위해 버스를 탓는데 차창넘어로 해가 슬슬 서산으로 넘어갑니다.







일단 호텔에서 씻고 식당을 가기로 했습니다.

씻고나니 기분 무지 좋아집니다.

식당에 도착하니 오늘 메뉴는 삼겹살이라고 합니다.

정말 푸짐히 먹었습니다.

그리고 이것저것 과일도 나옵니다.

과일 파티까지는 아니구요.



호텔로 오는 길에 가이드분 우리 일행에게 아주 힘들게 얘기합니다.

옵션 좀 생각해 달라는 말을..

진심으로 사정 얘기를하니 그 진심이 우리에게 전해집니다.

우리나라 사람들 마음 약하잖아요..



호텔에 돌아오니

호텔 문 앞에 있던 아이들이 우르르 달려오더니 진주 목걸이 사라고 합니다.

못난이 진주랍니다.

3줄에 만원.. 그야말로 울퉁불퉁 못난이 입니다.

그런데 조금 있으니까 5줄에 만원이 됩니다.

ㅎㅎ 내일 아침이면 7줄에 만원 됩니다.

참고 기다리는 자에게 복이 있습니다."
베트남 가족여행사진,데탐여행자거리 숙소앞에서
베트남의 길거리 이발사아찌,"에거거! 저 아자씨가 글쎄 사진 찍지 말라고 가위들고 위협하며 눈을 막 부라리잖아여!

ㅎㅎ 그래도 안면몰수 하고 깡으로 한장!"
