title,reviews
뉴질랜드 남섬 풍광을 가슴으로 인도 해 주신 손헬렌 가이드님~!!,"쉽게 가보지 못할 것 같은 여행이었고, 과연 괜찮을까를 몇 번이나 되뇌이며 시작한 뉴질랜드 여행이었지만 북섬에 이은 남섬의 대자연을 함께 하면서 그 걱정은 한 방에 날려 버릴 수 있었다. 여행자들의 일치된 의견으로 여행의 묘미는 뭐니뭐니 해도 정적인 모습을 동적으로 승화시켜 주는 가이드님의 운치가 조화롭게 더해져야 그 맛을 극치로 끌어 내는 법~!! 오랜 삶의 경륜과 타국에서의 인생 극복기를 리얼리티로 보여주며 지극정성 설명과 뭐 하나라도 더 보여 주시려 애 쓰셨던 솔헬렌 가이드님~!! 여행자들과 함께 웃고 한 마음으로 여행기를 쓸 수 있었던 그 시간을 기억 합니다. 불특정으로 발생하는 여행 중의 돌발 변수에도 고생 & 스트레스를 온화한 미소로 바꿔 주시어 여행자들의 맘 속 평화를 자연스레 유도해 주셨던 헬렌 가이드님과 드라이버 분께 다시 한 번 맘 속 찬미를 표하며 저희 여행자 모두 감동과 고마움을 임팩트로 표해 드립니다. 코바 사태가 여행사 분들 뿐 아니라 현지 가이드님들에게도 엄청 타격 안겨 드리고 있지만 이 또한 슬기로움으로 잘 극복해 주실 것을 기원 합니다. 모두 홧 팅..특별히 손헬렌 가이드님, 힘 내시구요(세 자매 분 모두 그 중 큰 누님이 더 보고 싶으시다네요)."
즐거운 연말을 터키에서 인도해준 이해범 가이드님 감사합니다~,"오랜만에 가족여행을 떠났는데 터키라는 나라가 생소해서 원활하게 여행을 하기 위해 패키지 여행을 신청했습니다.
저희 팀을 인솔해주신 이해범 가이드님 덕분에 좋지 않은 날씨 속에서도 패키지 전 일정을 모두 소화할수 있었습니다.
일단 가이드로서 담당하고 있는 지역에 대한 지형과 역사에 대한 지식은 해박했습니다. 설명도 일정 내내 끊임이 없었고요.
그런데 이해범 가이드님에게 제일 감명깊었던 부분은 스케줄 관련해서 최대함 맞춰줄려고 굉장히 많이 노력해준 부분이었습니다.
겨울이어서 날씨가 좋지 않은 상황이었는데 패키지 전 일정을 모두 소화하기 위해 일정들을 유기적으로 변동시켜 최종적으로는 모든 일정을 다 소화 할수 있었습니다.
이동중에 끊임없이 일정에 대해 고민하고 안풀릴것 같은 일정에는 속상해 하는것을 보고 저희들의 여행 일정에 신경을 많이 쓰고 있구나라는걸 느낄수 있었습니다.
자기일처럼 저희의 일정을 신경써주고 안되면 될때까지 계속 노력해주신 이해범 가이드님 너무 감사하고, 앞으로 다른 패키지 일정을 하게 되었을때 이해범 가이드님 같은 분을 또 만났으면 합니다~"
좋은사람들 멋진 가이드와 함께한 북인도 여행 (1),"형님내외분과 저희내외가 석달전부터 준비해온 여행이었는데 우애곡절 끝에 노랑풍선여행사를 통헤 북인도 7박9일 여행을 다녀왔습니다.
최소 출발인원이 6명으로 예정된 상품이었지만 오래전 부터 계획했던 여행이라서 최소출발인원을 충족시키지 못하면 1인당 20만원씩 총 80만원의 추가 부담금을 내면 4명으로도 출발할 수 있다는 조건으로 출발예정일보다 2개월이상 앞서서 예약을 했고 일찌감치 여행경비를 완납을 했는데 보름정도 남겨둔 시점에 최소출발인원인 6명을 넘겼다면서 80만원을 환불 받았네요.^^
인도는 도착비자를 받아야해서 약간 걱정을 하고 떠났지만 그리 어렵지 않게 비자를 받을 수 있었고, 음식의 향이 강하다고 해서 1주일을 버틸 수 있을까 라는 우려도 했었지만 식사의 대부분이 호텔식이라서 음식의 질도 만족스러웠습니다. 인터넷이나 여행안내를 보고 한국서 별도로 준비를 해간것들을 한번도 먹지 않았습니다. 식성이 별로 까탈스럽지만 않다면 누구든지 맛있게 인도 음식을 즐길 수 있으리라 생각됩니다.
거리를 나서면 복잡한 교통문화를 보고 크게 충격을 받았습니다. 또한 거리 곳곳에 가족단위의 노숙자들을 쉽게 보게 되는데 이런 불편한 것을 보고 인도를 가볍개 평가하면 안됩니다. 
1주일간 인도에 머물면서 느낀 점은 한마디로 [인도! 정말 대단한 나라다] 입니다. 그리고 [대한민국에 살고 있는 내가 인도사람들 보다 행복한가?]라는 물음을 계속하게 되네요.
가난한자와 부유한자, 학생들과 다양한 복장의 사람들, 힌두교와 불교, 이스람교, 심지어 다람쥐, 비둘기, 앵무새, 개, 소, 말, 돼지, 원숭이, 낙타.....다양한 부류의 사함들과 다양한 동물들이 서로를 불편해하지 않고 잘 섞여 돌아가는 사회. 대한민국에서 평생을 살아온 나로서는 도저히 이해 할 수 없는 사회였습니다. 더구나 인도에 남아 있는 찬란한 문화유산들을 직접 눈으로 보고는 감탄밖에....... 더이상 말로 표현하기가 어렵네요.
여행을 같이한 동행자분들도 상대를 배려하는 마음이 크신분들이라 여행내내 즐거웠고, 그 중에 이모나 큰 누님 같으신 부산에서 혼자 여행을 오신 74세의 여사님도 제 인생의 좋은 본보기가 되어 주셔서 감사합니다.
또한 한국서 6개월 남짓 어학연수를 다녀와서 현지 가이드를 하고 있는 [산욕]의 순수하고 착한 심성이 그리고 진심으로 가이딩에 최선을 다하고 있음을 느낄 수 있어서 이번여행이 더욱 즐겁고 좋았던것 같습니다. 조금만 더 한국어에 유창했으면 훨씬 더 좋았겠지만 그 빈곳을 미음으로 채워준 가이드였어요.
다음에 또 다른 여행을 준비해야겠습니다.
좋은 여행일정을 만들어준 노랑풍선여행사에도 감사드려요.^^"
힌두교와 인도에 대해서 배울 수 있었던 북인도 여행,"서유럽 동유럽 발칸 터키 두바이와 베트남 캄보디아 싱가폴 홍콩 등을 여행했는데, 그러다 보니 제 여행 루트에 인도가 빠진 것을 보고 한번 다녀오기로 마음을 먹게 되었습니다. 마침 에어인디아 직항취항 기념으로 싼 가격에 패키지가 나와있었고, 주저없이 신청해서 다녀왔습니다.
한국어를 거의 완벽하게 하는 인도인 현지 가이드 칸 이 여러 설명을 해주어서 근 13억에 달하는 인구를 가진 인도에 대해 여러가지를 많이 배웠고, 우리가 생각하는 인도에서는 소고기를 아예 안먹는다(상류층들 중에는 먹는 사람들도 있음) 그리고 인도가 불교의 발생지 이지만 정작 불교 믿는 사람들은 별로 없는 이유가 부모가 믿는 종교를 잘 안바꾸는 습성이 있다는 등 여러 이야기를 재미있게 해주어서 이슬람 제국인 무굴제국, 기독교 국가인 영국의 지배를 받고도 힌두교가 살아남은 이유를 잘 알게 되었습니다. 
타지마할과 꾸뜹 미나르 등 역사적인 유물 앞에서 인생샷도 건졌고, 여러 기념품도 잘 구입했는데, 값을 터무니없이 높게 부르니 꼭 값을 깎을 수 있을때까지 깎아야 하는 피곤함이 있었습니다. 예를 들면 스노우 볼을 공장에서 찍어내서, 흔들면 터지는, 다시 말해서 그냥 두어야 하는 1불짜리 스노울 볼을 처음에 20불을 부르면서 흥정을 시작하는 사기꾼들이 꽤 많았습니다. 
단 문화유산이나 여러 볼거리는 많지만 일반인들 생활은 굉장히 열악해보여서 버스 차창으로만 구경했는데도 안타까울 정도였기때문에, 가이드가 구해오는 물이나 호텔에서의 물 아니면 조심해야 하는거 같았습니다. "
퍼팩트한 인도 가이드 '디루' 고마워요 (1),"모두 좋으신 분들만 만나서 나의 첫 인도 네팔여행이 한층 더 재미있고 행복하고 즐거운 여행이였다 ^^&
정말이지 내 인생의 한 페이지에 좋은 추억거리를 만들어 주셔서 너무 감사하다는 말을 꼭 전하고 싶당~（＾Ｏ＾☆♪
우리 여행일정에 날씨 또한 운이 따랐다~ 비가 중간 중간 오기는 했지만 비 또한 추억속으로 저장할 수 있도록 만들어준 '디루'가이드 고마워요,                
여행 가기 전까지 몰랐는데.. 가이드의 역할이 이렇게 까지 클 줄은 몰랐다.
인도 가서도 한국 와서도 시차적응이 필요없던 나의 체력도.. 같이 함께 소중한 추억을 나눈 13명 일행도..
인솔자도.. 가이드도.. 운전기사도.. 여행일정도.. 더불어 날씨까지~!!!
다른 여행사와 노랑풍선 중에 고르고 있었는데.. 노랑풍선으로 선택해서 다녀오길 정말 백배 잘 한것 같다..
어느 하나 후회없는 선택이였다.
한번도 여행후기를 써 본적이 없는 나인데 우리 '디루'가이드에 대해서는 후기를 작성하게 한다.
나이도 젊고 패기있고 모든 연령층을 아우룰수 있고 위트와 재미 그리고 융합까지 정말 괜찮은 가이드를 만났다.
'디루'가이드를 만나게 해준 노랑풍선 다시한번 감사드리고 이런 가이드를 만난다면 언제든지 즐거운 여행
행복한 여행이 될것 같다 '디루'감사해요 노랑풍선 감사합니다~"
인도 최고의 가이드 사켓을 통해 마음 깊이 간직하게 된 인도여행!!,"아들의 첫 출근 앞두고 급하게 계획하여 두 아들들과 함께 다녀온 인도!!
3월16일부터 7박 9일동안 북인도를 다녀왔습니다.
출발 전 다른 여행사의 상품과 비교하며 망설이던 차에 노랑풍선의 출발 인원수도 많지 않고 원하던 것들과 일치가 되어 노랑풍선으로 정하고서 여행을 시작하였습니다.
여행의 날이 거듭되며 여행지에서 다른 팀들과 마주칠 때면 노랑풍선을 선택하기 잘했다 싶었습니다.
북인도 여행 코스는 다른 상품들도 비슷하지만 이 상품은 흔하게 가지 않는 만다와라는 곳을 가게 되어 낙타 사파리 체험과 아름다운 시골마을을 직접 돌아다니며 따라다니는 그 마을 어린 친구들과 함께 하게 되어 더 즐거웠던 것 같습니다.
역시 넓은 지역의 나라이어서 이동거리가 길다고 해서 무척 걱정하였는데 기차,버스,비행기 등 다양한 이동수단으로, 또 이국적인 도로 풍경을 감상하며 이동하여 그리 지루하다는 느낌없이 비교적 잘 이동하였습니다.
인도 하면 유명한 타지마할, 갠지스강의 위엄은 타의 추종을 불허했고요~
진짜 인도의 매력에 푹 빠지는 시간들이었습니다.
살짝 걱정했던 호텔도 생각보다 좋았고 마지막 날 호텔은 업그레이드 된 호텔로 대만족 이었고 팀원들도 너무도 좋아 가족처럼 잘 어울려 다니며 즐거운 여행을 하였습니다.
  무엇보다도 패키지 여행은 어떤 가이드를 만나는냐가 여행의 성공여부가 판가름 나는데 정말 좋은 가이드(SAKET BHARTI )를 만나서 행복한 여행을 하게 되었습니다.
능숙한 한국어 구사와 우리보다 더 많이 알고 있는 한국의 구석구석의 이야기들, 한국역사와 비교하여 설명할 때는 감탄을 자아낼 만한 수준과 깔끔한 매너로 너무도 고급진 여행을 하게 해주셨습니다.
인도의 첫인상이 가이드로 인해 좋게 시작되었고 인도라는 나라도 친근한 나라로 다가오게 되게 해주신 가이드님께 감사드리고, 최고의 여행을 할 수 있게 연결해 준 노랑풍선 감사드립니다."
인도 가이드 아비님께 감사 드림니다. (1),"인도 여행을 걱정반 기대반으로 떠났는데 가이드아비를  만나서 인도여행을 재밌게 알차게 마치고 돌아왔습니다.
버스로 몇시간씩 이동하며 장소를 이동할때 지루한시간을 인도 역사와 문화.각각 현장에서의 해설을 상세히 이야기 해주어 엄청 알찬 여행이
되었습니다. 항상 유머와 웃음으로 여행자들의 마음을 편안히 해주어 한국인보다 더 유머스럽게 이야기를 이끌어가는 모습이 인상적 이었습니다
동부.남부.서부. 여행을 할 기회가 생긴다면 아비가이드와 함께 여행을 하고 싶습니다.
아쉬운점은 카주라호에서 기차시간때문에 모자라서 조금 더 돌아봤으면 하는 점 입니다. 모원여
 "
유럽보다 인도! 인도의 반가이드 쵝오! (1),"인도엔 타지마할이 있다.
인도는  더럽다.
인도는  위험하다.
인도에 대해 3가지만 알고 있던 저에게 이번 여행은 한번도 안가본 사람은 있어도 한번만 간 사람은 없다는
말에 백번 동의하게 되었습니다.
조금은 비위생적이고 그래서 불편한것도 위험할 수도 있지만,
가이드를 통해 다닌다면 절대절대 위험한 일은 없을것 같습니다..또 이모든것을 감수하고서라도 인도는 다녀올 가치가 있는 곳이라 생각합니다. 너무나 아름답고 찬란했던 역사와 날것 그대로의 현재의 문화가 공존하는 매력적인 곳이었습니다.
그리고 이 모든 생각이 들 수 있었던 가장 큰 이유.
가이드 반! 한국인보다 한국역사와 문화를 잘 알고 있어 인도와
비교하며 설명해 하나하나가 귀에 쏙쏙들어오고 인도에 대한 애정도 일에 관한 열정도 사람에 성의도 무엇하나 부족함이 없는 인솔자였어요~ 다시 다른 여행을 가도 반같은 가이드를 또 만날 수 있을까 싶너요..아직도 여운이 가시지않는 인도..유럽과 인도 둘 중 한곳만 다시
갈 수 있다면 인도! 인도의 반 입니다~^^"
[모자여행] 나의 인도여행기 (1),"1. 여행동기
: 18년이 저물어 가는 어느 날, 18년에 연차도 안 쓰고 열심히 일만 했는지 갑자기 19년 1월에
  10일이라는 휴가가 생겼다. 원래 계획은 아들들 (12살, 6살)과 함께 가까운 따뜻한 남쪽나라를 다녀오거나
  할 계획이었으나, 어머님께서 이런 말을 던지셨다.
  "" 직장인으로서 앞으로 일생에 없을 수도 있는 방학이다. 너를 위해 쓰는 건 어떻니? ""
  그리하여 (급) 여행지를 알아보던 결과 열흘도 남지 않은 인도여행을 덜컥 예약해 버리게 되었다.
  싱글차지를 피하기 위하여 갑자기 조인하게된 칠순 넘으신 어머니도......
  마흔 중반의 아이2을 두고 있는 가장으로 쉽지 않은 여행을 떠나게 되었다.
  2. 여행일정
 나의 일정: 델리, 바라나시, 카주라호, 아그라, 자이푸르
  나머지 인도는 잘 모르겠고, 북인도는 대부분 아래 몇 가지의 일정으로 구성이 되었다.
1. 북인도 핵심 :골든 트라이앵글 ( 델리, 아그라. 자이푸르) 5~6일
2. 인도+네팔 ( 골든 트라이앵글 + 네팔) 7일~9일
3. 북인도일주 : 델리->바라나시->카주라호->아그라->자이푸르->델리
                    or 역순  9일~10일
4. 북인도일주+ 네팔 : 10일 이상
  급 여행 계획하게 되어 갑자기 생긴 휴가를 최대한 풀로 사용하기 위해 9일 상품으로 예약하였다.
과거 한 젊은 교수님께서 인도=갠지스 라고 하신 말씀이 기억이 나 '바라나시'가 무조건 포함된 일정을 고려했다.
  3. 여행기
-1일차: 델리 도착 후 숙소로 이동, 숙소는 수도 델리 외곽의 허름한 호텔 바로 숙박
-2일차: 조식(정말 간단 건강식-이 건강식은 앞으로도 계속되었다) 후 자미 마스지드 방문
          중식(무굴식 레스토랑 - 지나보니 한식1회를 제외하면 이 중식이 진정한 특식이었다)
          오후는 꾸뜹미나르가 핵심이었다. 마치 로마의 포로 로마노를  연상케하는 Ruin......
          호텔 복귀 후 석식 후 자유시간, 뭐 근처에 아무것도 없어 나갈 필요도 없다. 어짜피 내일도 이른 기상...
-3일차: 조식(어제 말한 그 조식) 후 국내선으로 이동 (코 앞)하여 바라나시행 프로팰러기 탑승(보라카이 이후 처음)
          (중요) 국내선 공항에서 리큐어샵을 꼭 들러야 함. 앞으로 투숙하는 모든 호텔 근처의 가게에서는 주류를
          판매하지 않으므로 한국에서 가져간 알콜 외 추가 알콜을 살 수 있는 기회는 이 곳 밖에 없음
          바라나시 도착 후 호텔로 이동하여 중식 후 사나트 관람. 가이드 꼭 붙어있어야 설명 잘 들을 수 있다.
          물론 유적 설명 안내판의 영어를 다 읽을 수 있다면 패스~, 금요일은 박물관이 휴관이라 매우 아쉬웠다.
          석식 후 2인1조 릭샤로 갠지스강으로 이동. 이것 곡예다. 자전거 혼자 여기서 타라고 해도 못 탐.
          꼭 마스크와 귀마개 착용하고 타는 것을 권장.
          갠지스 도착 후 의식 및 소원등 띄우기. 화장터 등........ 그 후 다시 그 릭샤로 호텔로 복귀. 아까보다는
          훨씬 사람이 적으나 (그래도 많다) 약간 오르막길이라 계속 다리 아프다고 얘기한다. 그래도 꼭 릭샤당 2불만.
 -4일차: 진정한 새벽기상 후 갠지스강 일출로 출발. 어제의 그 인파가 지나 간 흔적들이 곳곳에 있다.
           날씨에 따라 안개로 인하여 일출을 보는 것은 복불복 (산 정상의 일출과 마찬가지)
           타즈마할과 달리, 나를 돌아보는 시간. 힌두교의 법륜이라는 윤회. 크샤나를 떠올리게 하는 종교 및 인생관
           많은 생각을 하게 해주는 시간이었다.
           호텔 복귀 후 조식 ( 이 후 12시간이라는 대장정의 버스 라이딩이 남아있다. 조식양 컨트롤 필요)
           9시 이전 호텔 출발하여 이동, 자다 보면 고원지대의 휑한 휴게소?? (지붕만 있는 공터에서 점심 도시락 취식)
           마찬가지로 식사량 조절 필요 -> 이것은 인도의 화장실 상황을 고려한 결과이다. 화장실이 열악한 것은
           둘째이고, 팀의 여성분들이 남성화장실까지 사용하므로, 우리네 남성은 무조건 들판으로~~ 풀숲으로~~~
           작던~~~ 크던~~~ 무조건~~~
           해진 후에도 기계마사지를 연상하는 비포장을 지나 카주라호 호텔도착, 석식 후 민속춤 관람
           인도의 민속춤은 타 아시아 국가의 춤과 매우 다르다. 그러나 고된 여정 후에 모두 반 실신 상태
   -5일차: 에로틱 사원(카주라호의 핵심)에서는 가이드 바로 옆에 있어야 한다. 이 조각이 저 조각 같고... 설명할 때 딱 뿥어야
             가리키는 것을 바로 볼 수 있다. 사진은 나중에..... 그 후 자이나교 사원으로 이동 (여긴 그냥..... 차라리 에로틱사원에서 시간할애 필요) 
             또, 이동이다. 카주라호 침대칸 탑승하여 아그라행. 8~9시간 기차이고 오후 2시 경 정차하는 '잔시'에서 많은 인파가 탄다.
            즉 2시까지 밀린 피로 풀기위하여 슬리핑해야 한다는 것 (도시락은 2시 이후에 먹어도 된다). 그 후 아그라 도착 시까지는 북적북적
            아그라 도착 후 호텔로 이동 석식 ( 이 때 깨달았다. 인도 호텔의 식사는 거의 프랜차이즈급으로 거기서 거기, 이놈의 락토베지들..
- 6일차: 오전은 대망의 타즈마할... 명불허전... 인도여행의 백미 무슨 말이 필요할까
           .
           오후는 아그라성 (유폐된 샤자 한에게 몰입하면서 타즈마할을 봐야지 아그라성만으로는 타즈마할 본 뒤 음..........)
           석식 후 휴식 (호텔 근처 나갈 엄두 별로 안 남, 호텔 내 마사지샵도 만족도는 별로라는. 인도는 마사지가 정말 아니다)
 -7일차 : 이동하여 자이푸르로. 중간의 계단식 우물보다는 오히려 밖에 있는 과일 리어커가 더 좋았다.
            석류, 오렌지 모두 5~6개에 1달러. 뭐 외국인가격이던 뭐던 한국에 비해서 1/10이다. 당도는 10% 부족하지만.
            핑크도시 자이푸르의 저녁은 그냥 저녁이다. 호텔에서 휴식
 -8일차: 바람의 궁전? 하와마할? 음... 정말..의외로 별로다. 시간도 짧다. 일부러 버스에서 내릴 필요없이, 버스에서 보는 것이 편함
           암베르성은 의외의 볼거리들을 선사한다. 안전의 문제로 코끼리탑승은 불가하지만 꼭 재개되었으면 좋겠다.
           꿩 대신 닭이라고 4륜구동 지프도 괜찮다. 하지만 꼬끼리가 암베르 성으로 줄지어 들어오는 것 또한 장관이다.
           잔타르만타르 천문대에서 과거 발전했던 자연과학에 대한 설명과 실측(해 떠 있으면 가능)하는 시연등을 보고,
          나하르가르포트(선택) 일몰 맥주.. 와우 자이푸르의 전망과 석양이 끝내준다. 그리고 맥주도 굿~~~
          대부분 초등,중등 선생님들이 주를 이루는 인도여행(장기라 일반 직장인들이 없다)에서 어머니를 모시고 온 나는
          의도치 않은 효자 코스프레를 하게 되었다. ( 많이 창피~~)
                    맥주 안자로 준 Moong Dal (녹두 튀긴 것)과자 너무 맛있어서, 호텔 돌아오는 길에 몰래 빠져나가서 근처 작은 슈퍼에서 싹쓸이 했다.
          당연히 다음날 팀원들에게 小사이즈 대 돌렸다. 그리고 우리도 小 몇개, 大 몇개 한국으로 가지고 왔다. 나중에 후회함.....
 -9일차: 델리로 이동 중 휴게소에서 식사도 하고 선물가게도 들르고, 각종 기념품도 사고 ( 개인취향대로 사면 된다).
           저녁을 한식당에서 포식하고 공항으로 이동. 이놈의 리큐어 샵은 왜 마지막날에 많이 보이는지.
           선물가게 근처의 샵에서 Moong Dal을 더 샀다.
           한국에 돌아와서 안 것은 moong dal 과자가 한국에 오니 거의 7~8배의 가격에 온라인 유통되어 있었다. 더 살걸~~~~~
  4. 여행후기
   정말 괜찮은 여행이나, 일정의 압박이 살짝 있으니 최대한 휴가를 활용하여 출발일을 선택해야 한다.   
   여행 내내 그 흔한 맥주냄새 맡으려면 중,석식 때 500m에 7~8달러 내고 호텔에서 마실 수 밖에 없다.
   한국에서 이슬이를 준비해 가거나, 면세점에서 위스키나 보드카 혹은 와인을 사는 방법이 낫다.
   로컬 과일 리어커에서는 석류가 정말 맛 있었다. 로컬 푸드의 힘...
   버스이동 보다는 기차가 좋았으니, 가급적 향후 상품구성 시 바라나시->카주라호 는 주간/야간 관계없으니 기차로 이동할 수 있었으면
   더할 나위 없겠다.
                            "
나름 즐거운 인도여행~~!! (1),"  여행의 종착지라 불리는 인도!!
진짜 아무런 준비와 정보도 없이 무작정 엄마와 떠났다~~!!
예전부터 인도를 가고 싶다고 했던 엄마를 위해  인도가 위험하다는 소문을 듣고 걱정이 되어 따라나선것~~!!
비자발급때문에 많은 시간이 걸려서 짜증이 났지만 델리공항은 나름 깨끗하고 나쁘지 않았다~~!!
길거리에서 흔하게 볼수있는 각종 동물들(소들, 개들, 원숭이들,새등) 나쁘게 말하면 더럽다고 할수있겠지만
자연과 어우러져 그냥 살아가는 모습이
오히려 좋게 보였다~~!!
주의할점은 마스크 필수 ,,
도로포장이 잘 안되어있어서 먼지가 우리나라보다  심하다.
아무튼 공기가 안좋으니 기관지 안좋으신 분들은 조심하셔야할것~~!!
일행분들도 다들 재미있고 좋았고 가이드도 착했고~~!!
구걸하는 사람이 엄청 많으니 마음 약한 분들은 적선을 위해서 10루피를 많이 바꿔가는게 좋을거 같다,,,
그리고 호텔을 매일 옮기니 1달러도 많이 필요한듯~!!
아그라성이랑 꾸뚭미나르 너무 멋있었고 갠지스강도 볼만했고,,,갠지스강에서 새모이 던져주는게 정말 재미났다~~!
나중에 엄마랑 또 가기로 했다~~!!
나는 아직도 여행의 즐거움이 남아있다`~!!
깔끔하신 분들은 비추 !! 나름 더러운거 좀 참을줄 알고 즐길줄 아는 분들은 가보는게 좋을듯~~!!
 "
