title,reviews
잘생긴 최병현(케빈 최) 가이드와 호주 시드니~~,"여행 후기 작성할 수 있는 코너가 있는 줄도 모르고 이제서야 알게 되어 호주 갔다온 지 1년 지났지만 그래도 올립니다~~
친절한 최병현(케빈 최) 가이드님 덕분에 편하게 여행했습니다~~
특히 완전 가성비 갑이었어요~~
주변 분들이 다 그 가격에 호주를?? 할 정도로 정말 좋은 가격에 알찬 여행 다녀왔습니다~~
노랑풍선 정말 좋아요^^"
"호주 시드니 여행, 김경례 가이드님 감사합니다!!! (2)","아이들이 멀리 여행을 가보고 싶어함이 간절해서 갑자기 무리해서 호주 여행을 떠나게 되었습니다.
여행을 떠나기 전에 책한권 읽지 못하고 준비없이 떠나게 되었는데... 김경례 가이드님 덕분에 너무나 풍요로운 여행이 되었습니다!!!
저희와 함께한 일행분들도 다들 좋은 분들이셨고...하나라도 더 좋은거 보여주시고 느끼게 해주시려는 가이드님의 마음과 열정이 더해져서 더 없이 즐겁고 행복한 시간들이었습니다!!!
현실에서 힘들고 지칠때 가슴 속 깊은 곳에서 꺼내볼 소중한 추억하나가 더해졌습니다...
공항에서 배웅해 주시면서 한동안 손흔들어주시던 모습은 오래 오래 잊지 못할것 같습니다!!!
여유가 생겨 다시 호주에 방문하게 된다면  꼭 또 김경례 가이드님과 함께하고 싶네요!!!
김경례 가이드님, 그리고 일행분들, 오래 오래 건강하고 행복하세요^^
 "
겨울 시드니 4박 6일 여행~! (1),"2019.7월30일~8월4일 (4박6일) 여행
날씨 : 가을 옷 바람막이 정도로 가지고 갔었는데 블루마운틴 1박 일정에서 너무 추웠어요!!
겨울 옷 가지고 가셔야 해요! 시드니 시내는 가을 옷 딱 좋았어요. 아침 저녁에만 쌀쌀하고 낮에는 활동하기 좋아요~
  스케줄 : 빡빡하지 않고 곳곳에서 자유시간을 많이 가질 수 있어요.
포트스테판 가는 날만 이동시간이 길어 지쳤었는데 모래썰매타고 돌핀크루즈 타고 다 잊었어요. 와이너리는 기대 마세요.ㅎㅎ
(아.. 버스가 굉장히 작아요.. 키 크신 분들은 무릎이 앞 좌석에 닿는 정도로 꽉이요... 자리 잘 잡으셔요~^^)
  호텔: 블루마운틴에서 묵은 숙소는 오래된 매력이 있어서 좋았으나 살짝 춥고 화장실에 샤워호스기가 없어 불편한 정도였어요.
시드니 내 숙소는 4성급으로 정말 좋았어요. 꿀잠잠요. 특히 불쾌한 냄새가 전혀 없어 너무 좋았어요.
아! 일회용품은 두 곳 다 없어요. (실내화, 샤워캡, 칫솔, 치약, 물, 샤워가운 없어요. 한국 방송 채널 안나오구요. 두 곳 다 다리미는 있어요!)
두곳 모두 깨끗해요.
  식사: 무난해요. 식사 화려하게 하는 것 좋아하시는 분들에게는 실망스러울 것 같아요. 한접시 안에 있는 것으로 끝나요.
한 접시 안에 있는 것 다 드신 분 못 봤어요. 저도 마찬가지이고.. 호주에서는 자연식으로 먹나 봐요 하하하.
한식은 전부 맛집이었어요. 굿
디너크루즈에서 먹는 식사는 최악이에요. 뷰맛집입니다. 식사 포기하시고 뷰를 즐기세요.
  쇼핑: 3번 갔어요. 모두 한국인 사장님&직원 분들 계세요. 가이드님 강요나 눈치 전혀 없어요.
양모 이불 파는 곳은 양모 관련 이불,토퍼,방석 등 팔아요. 나름 재미있었어요.
약? 파는 곳은 정말 전문 약만 팔아요. 필요한 약? 있으시면 미리 생각해두시면 좋을 듯
인터넷 찾아보면 호주 기념품으로 영양제 등 많이 사시던데 그런건 마트나 공항 면세점 가면 있어요.
잡화점은 양모제품, 캄포도마, 어그슈즈, 가방, 화장품, 인형, 벨트, 등등 있어요.
아니 여기 사장님? 너무 유쾌하셔요. 동영상 찍어놓을걸 후회될 정도에요. 배꼽 빠지게 웃다가 지갑 탈탈 털렸네요. 후회는 안 해요. 
  시드니여행상품: 여유로운 여행, 자연환경 보는 것, 살살 걸어 다니면서 관광 하는 것, 마음의 여유를 느끼고 싶으신 분들께 추천해요.
노옵션이라 좋아요. 블루마운틴, 제놀란동굴, 돌핀크루즈, 시드니야경(야경투어 70불), 포트스테판(모래썰매 꿀잼), 로라마을 다 예쁘고 잊을 수 없어요."
정말 좋았던 시드니와 골드코스트 (1),"시드니와 골드코스트 지역을 여행하였습니다.
다른 것 보다 좋았던 것은 가이드님들이신데, 시드니의 박승섭 가이드님과 골드코스트의 박경수 가이드님은 설명도 잘하시고 정말 좋았던 것 같습니다
호주에 또 가있을 것 같은 느낌이 들더군요ㅋㅋ"
시드니/저비스베이/블루마운틴/울릉공 4박6일 여행후기 - 몇가지 정보 공유,"원래 자유여행으로 가려했으나, 항공권 가격을 생각하면 패키지가 가성비가 좋아 패키지를 택함. 
  1. 패키지 여행에서 제일 중요한 가이드 부분에서 우선 평타 이상을 쳤네요, 담당 가이드님이 최우진님이었는데, 쇼핑에 집착하지 않으시고 신경을 써주시는 모습이 보여서 좋았습니다. 대게 쇼핑가서 물건을 사지 않으면 불쾌한 티를 팍팍내고 여행내내 불편하게 하시는 가이드들이 많아서 되도록이면 패키지 여행은 안다니는 편인데, 이번 여행은 괜찮았네요.
우선 쇼핑을 3번을 합니다. 양모카페 및 침구류(베게7만~, 이불30만~, 카페트100만~200만원선), 건강보조식품(10만 ~ 60만원 선), 잡화(태반크림, 에센스 등으로 3만 ~ 50만원선) 설명을 들으면 탐이나긴 하나 일단 너무 고가라는 생각이 들어서 저는 구입하지는 않았습니다. 물건들은 면세점보다 싸다라는 설명을 해주지만 귀국할때까지 개봉하지 말라는 말에 왠지 썩 믿음이 가지 않았습니다. 세금 관련문제라고는 하는데....글쎄요...
2. 2팀(9명, 아이3, 어른6)이 이동을 해서 10인승 봉고차량으로 이동을 했습니다. 확실히 소규모로 이동하는것이 불필요한 시간을 절약할 수 있어서 좋았습니다.    
3. 날씨는 5월 26일 출발이었는데, 호주가 막 겨울로 접어드는 시즌이라 4계절을 경험했네요, 첫날은 더워서 반팔을 입고 다녔으나, 블루마운틴을 갈때는 너무 추워서 패딩을 입을 정도이며, 눈발도 엄청 날림  /  호주는 건조하기 때문에 햇빛이 뜨거운 낮에도 그늘은 시원합니다.  자외선이 강해서 선크림은 필수요 
4. 저비스베이 해변에서 고래를 보는 배를 탔는데 못보고 왔습니다. 80% 확률로 본다는데 그 80%에 끼지 못함
5. 숙소는 나름 쾌적했음 - 저비스베이1박, 시드니3박을 했는데 저비스베이는 숙소가 조금 오래되긴 했으나, 깔끔하고 방도 넓어서 괜찮았음, 조식은 간편식(씨리얼에 식빵에 과일 3가지 정도), 시드니 노보텔 파라마타도 숙소 깔끔한편인데 조금 추웠음, 주변에 식당가가 있어서 밤마실 다녀오기 좋으나 물가는 조금 비싼편, 인근에 콜스마트 및 BWS(주류샵 - 오후8시면 닫으니 늦게가면 안됨)이 있어서 간식거리 사기 괜찮음, 조식은 식빵5가지정도, 머핀, 씨리얼, 소세지, 베이컨, 샐러드 등이 있으며 가지수가 많지는 않으나 나름 괜찮음(생과일 갈아먹는 기계가 있는데 당근2개+사과1개 갈아드세요 의외로 꿀맛)  
6. 호주는 마트에서 따로 술을 팔지 않고 술파는 샵이 따로 있음 / 생맥주는 진짜 다 맛있으니 꼭 드세요 - 다만 좀 비싼감이 있음(425ml 한잔 7~8천원선)
7. 물가는 한국의 2배정도 되는 듯 합니다.  호주는 공산품을 생산하지 않고 대부분 수입을 한다고 함
8. 일정에 포함된 식사는 나름 괜찮습니다. 한식이 맘에 들었음  - 스테이크는 총 3번을 먹는데 질김, 한국에서 먹는 스테이크 생각하면 오산
9. 야경투어(옵션)는 제가 간 기간이 비비드 빛축제 기간이라 꽤 괜찮았습니다.  
10. 블루마운틴 케이블카 타는곳 중간에 기념품 샵이 있는데, 외각이라 그런가 의외로 가격이 다른 곳보다 저렴한 편임(예:캥거루 키링 6ea - 8불, 공항면세점에서는 10불)
11. 입국심사 시에 아이가 있어서 그런지 까다롭지 않았음, 그냥 입국 심사카드에 아이 상비약이 있다고 신고하니 검사안하고 그냥 패스, 어른만 있었으면 담배, 음식물, 약품 검사를 하기도 한다고 하니 괜히 거짓말해서 걸리지 말고 솔직하게 써서 내는게 좋을 듯함
12. 호텔 내에 따로 슬리퍼가 없어서 기내에서 주는 슬리퍼 가지고 가서 호텔에서 신으면 편합니다. 슬리퍼 따로 챙겨가실거면 제외
13. 일정은 대체적으로 남녀노소 두루 괜찮은 듯함 
14. 베리마을에 가면 아이스크림 가게 말고 베리마을 중간에 디저트 파는 까페 나옴.  그곳 테이블에 앉아서 다른 디저트를 드셔보세요. 생각보다 마을이 작아서 구경할 게 많지는 않음
15. 패키지의 특성상 시간이 많이 부족한게 아쉬움 - 그래도 매 일정마다 자유시간 30분~1시간30분 정도 있음 - 사진찍기 바쁨
  결론 : 10점 만점에 8점 정도   /   패키지는 가이드가 엄청 중요한데 가이드를 잘 만났음.  일정, 숙소, 식사 괜찮은편  
 @ 사진은 비비드 빛축제 기간 "
뉴질랜드 남북섬과 시드니를 다녀와서 (1),"설레는 마음으로 기다렸던 여행이라 기대가 그만큼이나 커다랬습니다
북섬에 도착해서 가이드님을 만났는데 조금 그랬습니다
전문 가이드라기엔 조금 그랬지요.....
그래도 그냥저냥 여행은 순조로왓지만 같이 다니시던 분이 알러지가 났는지 몸에 이상이 생겻지만
가이드분은 별다른 대처를 하시지 않앗습니다
조금 의아했습니다 . 그렇게 진행된 여행은 겉으론 괸찬았지만 솔직히 불편했습니다
그리고  급기야 쇼핑시간엔  너무나 노골적인 권유에 솔직히 너무한다 싶었어요.
패키지라 그런가 했지만 남섬에서 만난 가이드분은 너무나 달랐습니다
세심하게 배려해주시고 챙겨주시는게 너무나 달라서 비교아닌 비교가 되더군요
남섬에서 길고긴 버스 투어에서 지칠때도 가이드님의 재치로 잘 이끌어 주셧서
정말 고마웟답니다
시드니에서는  적절한 날씨가 우리의 여행에 조금더 행복을 선사해 주엇답니다
시드니에서 만난 가이드님도 너무나 젠틀하시고 세심하셧서 즐겁고 행복한 여행이 되었답니다
꼭  북섬에 제대로 된 가이드 분이 계셔야 할 겁니다
그분으로 인해  떨어지는 노랑풍선의 이미지는 말로 하지 않아도 입에서 입으로 이어질듯 해보입니다
여행을 다녀와서 첨 쓰는 후기입니다
타 여행사를 이용하다 처음으로 노랑풍선에서 여행을 다녀와서 아쉬워서 이글을 올려 봅니다"
시드니와 뉴질랜드 남북섬 11일 (1),"이번 패키지 여행은 2월28일부터 3월10일 까지의 시드니와 뉴질랜드 남북섬 11일 여행을 하게되었습니다.
몇년전 터키 여행때 노랑풍선가 인연이 된 후 벌써 4번째(터키, 스페인, 보라카이와 이번여행) 네요, 갈때마다 느끼는 여행이지만 가성비 좋고, 안내 및 가이드 모두 친절하게 잘 해 주었네요.
여행에서 가장 중요한 것 중에 하나인 날씨 였는데 일정내내 날씨가 너무 좋아 만족하였고, 집나오게 되면, 잠자리 걱정을 많이 하지만, 생각외로 숙소는 깨끗하고 좋은 환경에 숙소가 있어 산책 및 관광을 할 수 있게 되어 너무 좋았으며, 먹는 음식도 아주 만족하였습니다. 특히 양고기와 스테이크는 아주 맛있었고, 고급 부페에세 다양한 메뉴의 음식을 맛 볼 수 있어 너무 맛나게 먹었네요.  또한 일행이 모두 좋은 분들과 함께하여 더욱 즐거운 여행이 되었습니다.  내년 북유럽 여행 노랑풍선으로 계획하고 있습니다.   노랑풍선 파이팅 ~~ 무궁한 발전이 있기를 기원합니다."
시드니와 뉴질랜드 남북섬 11일 (1),"여행일정 및 숙소, 음식 모두 만족한 여행 이였으며, 가이드 역시 친절하게 잘 안내 해주어 즐거운 여행이 되었습니다."
호주 시드니/포트스테판/블루마운틴/록스마켓 시내관광투어 6일 솔직한후기*,"처음 패키지 여행을 다녀와서 다른 패키지투어와의 비교는 어려운 점 양해부탁드려요~
전혀 기대를 하고 가지 않았습니다.
또한, 워낙에는 자유일정 1일 포함된 상품을 결제했는데 출발인원 미달로 일주일? 남기고 연락받아서 상품 변경하고 부랴부랴 다녀오게되었어요.
여행일 다가와서.. 취소를 할수는 없었기에 추가금액 50만원을 더 내고 다녀왔네요. 언제 또 직장다니며 시간내서 다녀오겠나 싶어서 말이죠.
조금은 아쉬운부분이었긴 합니다.
여행 이야기로 들어가서
2월의 호주는 한국과 달리 날씨도 따뜻하고, 공기도 맑았습니다.
여행 내내 맑은 날씨였습니다. 낮에는 반팔 반바지 차림을 입어야 할정도로 햇빛이 따가웠고, 썬글라스와 썬크림은 필수였습니다.
아침과 저녁은 쌀쌀한 날씨로 가디건이나 가벼운 바람막이 정도의 옷차림이 필요했습니다.
호주도착하여 1일차 일정 시드니시내 및 동부지역관광
운전해서 다니기에 일정이 왔다갔다 하는 일정이라 가이드님이 첫날과 마지막날을 조금 조정해서 가까운 지역을 묶어서 여행하였습니다.
첫 장소는 시드니 시내 아쿠아리움 관광.. 아이들은 좋아할수있겠지만,,, 어른들에겐 그닥.. 흥미롭진 않았어요. 상어, 가오리.. 뭐 그런 것들 사진찍을만한것도 그다지 많지 않았고 시설이 한국보다 더 깨끗하거나 넓진 않아요 ^^
하버브릿지 걸어서 올라가서 파일론 전망대에 올라가서 시드니 전경을 봤어요. 날씨가 좋아서 뷰도 좋고 예뻤습니다.
시간은 넉넉하진 않았지만 그냥 몇장의 사진 남기고 올 수 있는정도입니다.
그리고 중식은 시내근처의 피쉬앤칩스로가서 우리나라로 말할것 같으면 감자튀김과 생선까스 요리 ㅎㅎ 음료 없이 ^^ 먹게되구요.
오후는 동부투어로  갭파크 먼저 들러서 한 10분?20분? 약간의 거리 산책 + 사진 찍고 바로 이동
더들리페이지 들러서 한 10분? 사진찍고 이동
본다이비치 도착하여 커피한잔을 먹을정도로 시간을 주셔요. 30분정도 모래도 밟아보고 하라고 하셨지만 그냥 앉아서 커피만 마시고 사진만 찍다가 왔어요.
다시 오전에 갔던 아쿠아리움 바로 옆인 동물원을 갑니다.. 아주 바로 옆이었어요. 이건 마지막날 일정인데 첫날로 옮겨서 진행했구요.
코알라 몇마리 캥거루 한두마리 정도 봤구요. 체험이나 일체 그런건 없이 그냥 눈으로 보는 거였습니다. 한시간? 도 안 걸리는 짧은시간에 다 볼수있었습니다.
이후 호주에서의 첫날일정을 마치고 한식집을 가요. 어느 패키지나 그렇겠지만 ... 다른 패키지 여행사에서도 엄청 많이 오는데 저녁 식사시간이 겹치니까.. 몇십명이 들어와서인지.. 관리도 안되고 반찬도 더 안주고 가져다 먹고... 청결하지 않고.. 물도 수돗물같은거 받아서 줬어요 ㅠㅠ
막걸리 하나에 한화로 15000원? 그쯤 했던거 같네요. 같이오신분이 시켜먹어서 가격 알게되었어요.  한식집에선 너무 실망한 김치찌개? 먹고 숙소 갔어요.
이비스 시드니 올림픽파크 에서 4일동안 있었습니다.
올림픽파크 근처인데 주변에 편의점은 한 10분정도 걸어나가야 있구요, 호텔 수영장같은건 없구요, 옆 건물에 맥도날드, 서브웨이 있었어요. 근처 식당 몇몇개 있었는데 안가봤구요~ 
호주 2일차 일정
8시 30분 모여야해서 6시 30분부터 조식가능해서 조식먹었구요, 조식은 비교적 잘나왔지만 종류는 4일내내 같았어요
포트스테판 와이너리 먼저 방문 했어요. 차로 3시간 가량 이동했고, 1시간 30분 지나서 화장실 갈수있도록 주유소 편의점있는곳에 세워주셨어요.
와이너리... 정말 정말 실망이 컸어요. 도착해서 한 1분도 안되서 잔 인원수대로 꺼내더니 그 잔으로 네가지 종류의 와인을 시음하게 해주는데
그 네가지 다 시음하는 시간 1분? 채안걸리게 너무 빠르게 서두릅니다.. 바빠서인지 뭔지.. 화이트와인 먹었던잔에 다시 레드와인 그리고 다시 또 화이트와인을 주니 이건 뭐 와인이 섞여서 무슨맛인지 도대체 모르겠어서 전 그냥 안샀습니다.
점심식사를 와이너리에서 합니다. 스테이크 주는데, 정말 냄새나고... 얼마나 저렴한거 쓰는지.. 고기 하나도 안먹고 남겼어요. 샐러드에 감자튀김 좀 올라와서 그거 먹었습니다. 아이들에게는 작은 피자를 주는데 차라리 피자가 더 맛있었던거 같아요.
위생관리도 안되어 있어서 ... 물먹는곳이며 커피.. 도 각자 타먹는데 좀 지저분하고 그랬어요..
사진찍기에는 잔디랑 나무들이 너무 잘되어있어서 사진은 예쁘게 찍을 수 있는 곳입니다.
8시30분 출발해서 12시쯤 도착해서 밥먹고 사막으로 갑니다. 사막에선 20분 자유시간 줍니다.
너무 적다고 생각했는데 햇빛도 뜨겁고 모래썰매는 몇번 타면 힘들어서 다들 안탑니다. 사막에서 그렇게 시간 보내고 2시까지 돌고래 보는 배를 타러 가야해서 시간이 촉박합니다. 중간중간에 사진을 더 찍고싶었는데 뛰어다녔어요~
돌고래 보는 배를 타고 한국사람만 엄청 많아요 ^ ^ 자리 앉을 곳 없어서 서서 가야하구요. 돌고래는 보여서 기분 좋았지만 저멀리에 손가락 만하게 보여서 사진으로 찍어도 잘 안나오더라구요. 돌고래보고 다시 시드니 돌아오는데 3시간 ㅎㅎ 그리고 한식집을 갑니다.
2일차 저녁은 쌈밥집입니다. 불고기에 쌈밥. 먹었구요. 비교적 첫날의 한식집보다 깨끗해요. 친절하셨구요.
호텔가기전 가이드님이 마트 들를수있게 해주셔서 간단한거 사서 갈수있었어요.
둘째날은 이동시간이 길어서 일정은 그렇게 많지 않았던거 같아요.
호주 3일차 블루마운틴 가는날
9시 모여서 출발 블루마운틴은 1시간 좀더가면 도착해요. 아침이라 그런지 선선해서 가져간 바람막이 입었어요. 너무 웅장하고 멋지고 좋아요.
아침일찍이라 구름이 많아서 사진은 예쁘게 안담아졌지만요~ 근처 기념품샾도 구경하기에 좋고 잘되어 있어요. 레일웨이 곤돌라 타구 가고요. 거리가 길진 않아요~ 내려서 산책길 걸어서 한 30분은 걸었던거 같아요. 그리고 궤도열차 타고 스카이 웨이 까지 세가지 다 타고 내려옵니다.
그리고 점심시간 근처 100년된 집이라고 한국사람이 운영하는거 같은 식당가서 스테이크 먹어요. 이집은 고기가 맛있었어요. 고기 말고 샐러드에 초장을 뿌려주셔서 그게 조금 ㅎㅎ 웃겼지만요. 밥 천천히 먹고 근처 소화도 좀 시키고 커피는 스스로 타먹었어요.
첫 쇼핑일정 양모공장을 갑니다.
여기 판매하시는 분 말씀하시는데 무척 귀찮아 하고 사기싫으면 물어보지도 말라는 식입니다. 너희한테 안팔아도 된다... 이런 마인드인지..
굉장히 저희 같이 간 다른분들도 다 기분이 나빴어요. 사고싶어도 안사고 나올것 같은 곳이었네요. 너무 실망해서 아무도 안샀습니다.
저녁은 무슨 볼링 클럽 뷔페 갔는데 뷔페라 종류도 많고 입맛에 맞는 것도 많았지만 모든 전세계 패키지 여행자들 다 왔는지 중국 사람 한국사람 너무 많아서 밥먹는데 정신없고 ㅠㅠ 뭐먹으려면 줄서는데 다들 새치기 하시고 그렇게 정신없이 먹었어요~
그리고 호텔도착하니 7시였어요. 근처 산책하고 하루 마무리 되었네요.
벌써 호주 여행 4일차 입니다.
시내일정이구요, 록스마켓 구경가는일정이라 기대가 되었어요.
아침 일찍 시드니 타워를 가서 전망을 보았습니다. 주변 가게가 문도 열지 않은 시간이라 그런지 한산하게 볼수있었지만,,,, 야경이 이쁜 시드니라는데 일정중에 야경은 한번도 못봤네요 ^^ 호텔에서밖에..
20분정도? 시간주셔서 한바퀴 돌아보고 사진찍고 기념품샵 구경도 하고 다시 내려와 퀸 빅토리아 빌딩 가서 사진찍고 구경할 시간 줍니다.
그리고 차타고 또 이동 Mrs.매쿼리스 포인트를 가서 오페라하우스 다보이고 뷰가 좋은곳 있어서 거기에서 내려서 사진찍고 또 차타고 이동 세인트매리 성당내려서 사진찍고 이곳에선 시간 좀 넉넉하게 주셔서 내부도 가서 볼수있었습니다. 사진 너무 예쁘게 잘 나와요~ 그리고 또 차타고 이동 NSW 주립 미술관 갔는데..
미술관에서 20분 ? 10분 주셨나요? 유명한 그림만 보고 나오라고 하시는데 ㅠㅠ 그 유명한 그림도 유료로 변경되서 결국 못보고 ㅎㅎ 그냥 걸려있는 그림 스윽 하고 아니 .. 그냥 화장실한번 들르고 나온것 같네요. 여긴 시간이 너무 짧았습니다. 이렇게 갈거같으면 .. 안가는게 나을수있어요.
그리고 록스마켓을 갑니다. pitt.st 대형쇼핑몰 관광이라고 되어있는데 관광은 못하구요 ㅠㅠ 그냥 한바퀴 돌고 사진찍고 오는 한 20분?30분정도의 시간이었어요...
록스마켓 주말에만 열리는 거라고 하네요. 먹거리 소소하게 있고, 볼거리도 있었어요. 이곳에서 한시간 주셔서 마켓 구경도 하고 근처 조금더 내려가서 오페라 하우스 더 가까이에서 보고오기도 했습니다.
오전 쇼핑지 건강기능식품 갔구요. 여긴 설명 잘해주셨고, 살만한 것들이 좀 있어보였어요 ^^ 몇몇 어른들은 하나씩 사셨구요 .
점심은 한식집 해물순두부를 먹고 오후 쇼핑은 잡화면세점 입니다. 양태반크림을 사라고 하셨지만 저는 그냥 프로폴리스 스프레이만 사왔어요. 종류는 많은데 특색있는건 많지 않았어요~
그리고 디너크루즈 라고 되어있는데.. 유람선같은 배를 타고 ㅠㅠ 저녁을 먹으러 가요! 사람들 정말 많아요 ㅠㅠ
생선요리 .. 주는데 너무 맛이가 없어요.. 커피가 제일 맛있었어요.
야경이라면 예뻤겠지만 해가지지않은 5시에 배를 타서 .. 햇빛이 아주 뜨거웠어요! 한시간 가량 ? 타고 호텔 도착
다음날 공항을 일찍 갈거라고 도시락을 호텔 로비에서 받아서 주셨는데.. 도시락 못먹을 맛이네여 ㅠ 맛없어요~ 다른분들은 그냥 일찍 준비하고 조식 뷔페로 드셨다고 하시는 분들도 있었어요~
  전반적으로 일정이 너무 많아서 시간이 부족했던 패키지 같아요. 뺄건 빼고 더 오래 봐야할 것들은 시간을 좀더 주실수있도록 일정을 좀 변경해주셨으면 좋겠습니다.
호텔은 깨끗했고, 드라이기 있고, 수건도 있어요. 물 없어서 가이드님에게 부탁해서 마켓에서 4일 먹을 물 샀어요. 조식도 먹을만했고 과일도 맛있었어요.
식사는 사람이 많았던거 빼곤.. 입맛은 사람마다 다르지만 비교적 다 먹을 만 했어요.
가이드님은 일정계획표에 있는대로 그거에 맞게 아주 충실하게 다녀주셨고요. 이런저런 소소한 이야기들도 많이 해주셨어요.
패키지에 14명중 7명이 초등학생, 유아였어요. 그래서.. 옵션 야경을 못하게되었어요 ^^ 조금 아쉽지만 다음에 자유여행으로 가서 하려합니다.
직항을 타는게 편하고 좋았구요, 짧은 일정에 정말 많은 곳을 다녔던것 같습니다. 그날그날 일기 적어둔거 보지 않으면 내가 어딜 다녀왔는지도 모를정도예요 ㅎㅎ
보완되어야 할 사항은 보완되서 더 좋은 패키지 상품이 만들어 졌음 좋겠어요~
동물원, 아쿠아리움 이런거 사실 빼도 될것같아요~"
뉴질랜드(북섬)_호주(시드니) 힐링 여행 후기 (1),"우리는 14쌍의 직장 부부모임으로 1997년부터 해외여행을 3년 주기로 다니고 있습니다.
이번 여행을 가기 전 개인적으로 동유럽 6개국 여행을 노란풍선을 이용했던 좋은 추억이 있어서 여러 여행사를 찾던 중 스케줄이 딱 내 맘에 들어 홈페이지에 들어가 봤는데 댓글이 너무 안좋아서 여행사 상담자와 몇 번 상담을 해 보았는데 안 좋은 경험을 한 것도 여행사의 몫이라고 하면서 나름 나에게 좋은 이미지를 주었습니다. (* 다른 여행사에서는 불편한 경험을 올리니까 바로 비공개로 돌려서 처리 하더라고요.)
여러 회원들이 우려와 반대의 목소리를 내었지만 모름지기 여행은 현지 가이드가 좌우한다는 신념으로 밀어부쳐 결국 노란풍선으로 결정하고 뉴질랜드로 갔습니다. 뉴질랜드(오클랜드 공항)도착 후 밖으로 나가니까 우리 또래인 머리가 희끗하신 가이드님이 기다리고 있어서 약간 실망을 하던 차에 본인 스스로 디스를 하면서 첫날부터 재미있는 여행을 시작하더군요.
김희철 가이드님은 자신이 뉴질랜드에 정착하게 된 계기며 개인이 겪은 어려움, 가족들과의 살아가는 이야기등을 진솔하게, 한편으로는 유머러스하게 이야기를 풀어내어 피곤하지만 경청을 하게 만드는 말주변이 좋은 가이드분이셨습니다.  뉴질랜드의 복지, 자연, 역사에 대한 깨알 정보를 이해하기 쉽게 설명해 주어 뉴질랜드에 대해 많이 알게 되었습다. 버스가 좁고 노후한 것 빼고는 어느하나 부족한 것이 없었습니다. 첫날 숙소가 Holiday in Rotorua 였는데 생각보다 깔끔하고 좋아서 모두들 만족하게 여행을 했습니다. 모름지기 숙소가 여행의 2/3를 차지하지 않습니까.(단, 세쨋날 Aitport Palms Hotel은 절대 비추. 곳곳에 뿌려진 방향제향이 너무 지나쳐 밤에는 울렁거려 잠을 잘 수가 없었음)
다만 뉴질랜드 공항여직원의 어처구니 없는 실수로 두사람의 부부이름이 한사람의 이름으로 나오고 캐리어 네임텍의 이름이 다른사람 이름으로 붙여져 배기지가방이 당도하지 않은 불상사가 발생. 여행의 즐거움을 반감시킬 뻔 했으나 여행사의 노력으로 다음 날 주인 찾아 온 것은 불행 중 다행이었습니다.(뉴질랜드 공항 여직원들 모두 일처리가 어리버리 했음)
호주에 도착한 뒤에는 ""임소영"" 가이드님이 우릴 인솔해 주었는데 솔직한 멘트와 여행 중간 중간 조금이라도 지루해 하지 않토록 본인이 호주에 정착하기까지의 개인사와 호주의 교육제도 등등 알찬 여행정보들을 깨알같이 설명해 주면서 서로 농담도 주고 받으면서 재미있는 여행이 되도록 최선을 다하였습니다.
또한 호주에서는 Quest Macquare Park 호텔에서 3일간 묵었는데 정말 가성비가 역대급 최고였습니다. 호텔에서 나오지 않고 여기에서만 편안하게 쉬었다 돌아가고 싶은 마음이 들 정도로... 세탁기와 건조기, 주방식기들이 구비되어 있고 널찍하고 아늑한 공간으로 인하여 휴식을 취하기에는 정말 최고였습니다.(회원들 모두 이구동성으로 ""여행사 선택 잘했다.""고 했음) 그러나 옥의 티는 마지막날 아침 제공된 도시락은 마른 깔깔한 현지식이어서 거의 먹지 못하고 호텔에 그대로 두고 왔습니다. (도시락을 한식이나 아님 샌드위치로 바꾸면 더 좋을 뻔함.)
마지막으로 시드니 ""임소영"" 가이드님 '강추'하고 싶습니다. 너무 친절하고 여행객들에게 본인이 직접 선물도 하고 소소하게 사주기도 하고 이런 가이드님 몇 십년간 여행하면서 처음 봤습니다. 여행 내내 힘써주심에 정말 감사 드립니다. 다음 여행도 노랑풍선!!!"
